Geneid	HF1_1_Cbr	HF1_2_Cbr	HF1_3_Cbr	HF1_1_Cni	HF1_2_Cni	HF1_3_Cni
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	118	95	133	173	175	158
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	99	137	82	198	221	183
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	198	187	192	47	57	57
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	102	102	102	71	132	88
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	100	154	110	658	621	580
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	100	73	60	90	113	74
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	219	242	293	241	196	255
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	511	451	474	165	146	112
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	76	57	103	135	139	140
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	227	238	286	297	256	260
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	105	84	140	279	239	309
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	202	173	145	255	209	225
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	284	317	250	1085	1003	1034
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	706	689	717	211	202	208
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	820	891	733	1977	1894	2060
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	1057	995	950	2882	2987	2821
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	115	96	116	131	119	108
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	292	325	267	322	289	303
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	906	882	936	2149	2191	2333
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	134	169	167	300	371	369
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	63	95	95	47	65	83
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	389	447	464	245	200	239
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	233	218	202	102	122	81
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	335	299	338	57	55	34
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	128	80	87	458	474	522
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	711	858	853	606	495	553
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	38	37	48	81	121	93
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	1145	1120	1143	564	690	577
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	86	101	141	313	357	288
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	200	134	179	440	377	334
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	32	31	74	239	312	285
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	235	233	246	522	438	449
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	408	310	401	1117	1040	912
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	167	171	175	201	164	153
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	232	232	209	114	209	180
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	625	667	668	789	743	828
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	204	226	235	400	328	477
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	63	79	73	110	135	176
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	605	558	459	92	110	73
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	260	233	262	2470	2741	2701
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	196	170	194	1025	936	875
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	335	331	352	202	165	163
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	142	114	139	360	486	321
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	189	197	181	149	176	171
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	97	85	68	78	78	69
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	58	63	87	571	589	603
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	4541	4869	4834	1100	1165	1355
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	367	392	444	289	337	300
CBRIG.III.g7683.t1__CNIGO.Cnig_chr_III.g8637.t1	270	264	297	1399	1346	1373
CBRIG.III.g7690.t1__CNIGO.Cnig_chr_III.g8628.t1	324	402	358	765	910	827
CBRIG.III.g7698.t1__CNIGO.Cnig_chr_III.g8615.t1	91	96	111	125	73	125
CBRIG.III.g7712.t1__CNIGO.Cnig_chr_III.g8597.t1	248	204	202	124	172	129
CBRIG.III.g7725.t1__CNIGO.Cnig_chr_III.g10041.t1	209	199	220	464	483	485
CBRIG.III.g7739.t1__CNIGO.Cnig_chr_III.g8744.t3	978	1042	968	487	487	522
CBRIG.III.g7758.t2__CNIGO.Cnig_chr_III.g8765.t1	394	427	379	183	201	239
CBRIG.III.g7784.t1__CNIGO.Cnig_chr_III.g8830.t2	2944	2755	2846	357	397	369
CBRIG.III.g7799.t1__CNIGO.Cnig_chr_III.g8809.t1	127	114	92	429	420	348
CBRIG.III.g7815.t1__CNIGO.Cnig_chr_III.g8797.t3	698	751	661	3176	3467	3292
CBRIG.III.g7832.t3__CNIGO.Cnig_chr_III.g8846.t1	215	182	188	371	356	283
CBRIG.III.g7864.t1__CNIGO.Cnig_chr_III.g8894.t1	338	334	286	712	551	691
CBRIG.III.g7931.t1__CNIGO.Cnig_chr_III.g9010.t1	484	485	488	108	122	70
CBRIG.III.g7944.t2__CNIGO.Cnig_chr_III.g9020.t2	340	349	355	909	935	929
CBRIG.III.g7975.t2__CNIGO.Cnig_chr_III.g9130.t1	535	468	429	499	482	556
CBRIG.III.g7982.t1__CNIGO.Cnig_chr_III.g9134.t2	1800	1949	1895	858	798	784
CBRIG.III.g7996.t1__CNIGO.Cnig_chr_III.g9156.t1	59	33	49	29	45	73
CBRIG.III.g8006.t2__CNIGO.Cnig_chr_III.g9175.t1	365	351	374	263	302	310
CBRIG.III.g8033.t1__CNIGO.Cnig_chr_III.g9285.t1	63	61	94	67	78	111
CBRIG.III.g8102.t1__CNIGO.Cnig_chr_III.g9335.t1	471	558	491	275	257	231
CBRIG.III.g8108.t2__CNIGO.Cnig_chr_III.g9340.t1	94	148	74	65	128	109
CBRIG.III.g8128.t1__CNIGO.Cnig_chr_III.g9369.t2	218	257	200	224	242	239
CBRIG.III.g8144.t1__CNIGO.Cnig_chr_III.g9383.t2	540	592	631	1035	1066	1060
CBRIG.III.g8163.t1__CNIGO.Cnig_chr_III.g9412.t1	63	117	113	83	91	95
CBRIG.III.g8178.t1__CNIGO.Cnig_chr_III.g9428.t1	405	395	419	126	187	83
CBRIG.III.g8185.t1__CNIGO.Cnig_chr_III.g9434.t1	237	318	295	660	711	649
CBRIG.III.g8186.t1__CNIGO.Cnig_chr_III.g9435.t2	953	858	837	420	399	495
CBRIG.III.g8248.t1__CNIGO.Cnig_chr_III.g9503.t1	167	102	157	104	96	92
CBRIG.III.g8270.t1__CNIGO.Cnig_chr_III.g9515.t1	1049	1065	987	161	129	167
CBRIG.III.g8271.t1__CNIGO.Cnig_chr_III.g9514.t1	493	543	544	159	127	164
CBRIG.III.g8297.t1__CNIGO.Cnig_chr_III.g9563.t1	187	207	174	583	561	548
CBRIG.III.g8304.t1__CNIGO.Cnig_chr_III.g9570.t1	691	708	666	236	314	256
CBRIG.III.g8314.t1__CNIGO.Cnig_chr_III.g9585.t1	410	372	397	148	138	135
CBRIG.III.g8316.t1__CNIGO.Cnig_chr_III.g9588.t2	82	77	115	322	288	279
CBRIG.III.g8330.t1__CNIGO.Cnig_chr_III.g9599.t1	1280	1173	1041	417	397	404
CBRIG.III.g8336.t2__CNIGO.Cnig_chr_III.g9608.t1	91	131	124	210	170	204
CBRIG.III.g8371.t1__CNIGO.Cnig_chr_III.g9644.t1	232	196	210	907	723	736
CBRIG.III.g8377.t1__CNIGO.Cnig_chr_III.g9651.t1	175	133	150	128	165	142
CBRIG.III.g8408.t1__CNIGO.Cnig_chr_III.g9681.t2	132	177	124	576	486	436
CBRIG.III.g8424.t1__CNIGO.Cnig_chr_III.g9695.t1	1261	1378	1442	707	743	792
CBRIG.III.g8437.t1__CNIGO.Cnig_chr_III.g9709.t1	493	443	514	214	184	227
CBRIG.III.g8533.t2__CNIGO.Cnig_chr_III.g9777.t3	360	331	360	186	165	164
CBRIG.III.g8557.t1__CNIGO.Cnig_chr_III.g9804.t2	68	70	76	31	80	51
CBRIG.III.g8573.t3__CNIGO.Cnig_chr_III.g9822.t2	120	100	154	149	175	149
CBRIG.III.g8642.t1__CNIGO.Cnig_chr_III.g9893.t1	192	169	203	581	579	586
CBRIG.III.g8669.t1__CNIGO.Cnig_chr_III.g9919.t2	156	195	154	354	370	387
CBRIG.III.g8671.t2__CNIGO.Cnig_chr_III.g9921.t1	454	490	415	477	481	450
CBRIG.III.g8701.t1__CNIGO.Cnig_chr_III.g9956.t1	1339	1261	1291	427	438	358
CBRIG.III.g8741.t1__CNIGO.Cnig_chr_III.g9997.t2	863	992	963	165	156	134
CBRIG.III.g8745.t1__CNIGO.Cnig_chr_III.g10002.t1	268	215	249	466	516	411
CBRIG.III.g8762.t1__CNIGO.Cnig_chr_III.g10023.t1	422	296	372	716	837	661
CBRIG.III.g8764.t1__CNIGO.Cnig_chr_III.g10031.t1	130	89	101	220	171	210
CBRIG.III.g8775.t1__CNIGO.Cnig_chr_III.g10046.t1	511	549	626	229	224	268
CBRIG.III.g8809.t2__CNIGO.Cnig_chr_III.g10085.t1	261	271	219	479	440	447
CBRIG.III.g8869.t1__CNIGO.Cnig_chr_III.g10140.t1	218	172	172	165	258	302
CBRIG.III.g8872.t1__CNIGO.Cnig_chr_III.g10143.t1	510	453	461	501	435	527
CBRIG.III.g8876.t1__CNIGO.Cnig_chr_III.g10146.t1	150	213	164	213	202	188
CBRIG.III.g8915.t2__CNIGO.Cnig_chr_III.g10182.t1	172	182	174	308	281	322
CBRIG.III.g8947.t1__CNIGO.Cnig_chr_III.g10205.t2	770	711	842	2567	2537	2507
CBRIG.III.g8960.t1__CNIGO.Cnig_chr_III.g10218.t1	355	313	356	665	621	683
CBRIG.III.g8996.t1__CNIGO.Cnig_chr_III.g10267.t1	209	172	216	489	514	559
CBRIG.III.g9020.t1__CNIGO.Cnig_chr_III.g10290.t1	174	187	207	176	149	112
CBRIG.III.g9021.t1__CNIGO.Cnig_chr_III.g10291.t1	189	149	140	187	173	131
CBRIG.III.g9027.t1__CNIGO.Cnig_chr_III.g10296.t2	210	137	143	437	546	398
CBRIG.III.g9036.t3__CNIGO.Cnig_chr_III.g10313.t1	2006	2021	2241	703	669	708
CBRIG.III.g9071.t1__CNIGO.Cnig_chr_III.g10363.t1	326	376	301	173	180	163
CBRIG.III.g9096.t1__CNIGO.Cnig_chr_III.g10418.t1	1401	1286	1327	2611	2758	2468
CBRIG.III.g9117.t1__CNIGO.Cnig_chr_III.g10441.t1	180	155	183	642	594	621
CBRIG.III.g9167.t2__CNIGO.Cnig_chr_III.g10496.t1	688	842	824	254	292	271
CBRIG.III.g9176.t1__CNIGO.Cnig_chr_III.g10506.t1	226	187	212	93	61	104
CBRIG.III.g9181.t3__CNIGO.Cnig_chr_III.g10511.t1	218	245	206	205	243	260
CBRIG.III.g9196.t1__CNIGO.Cnig_chr_III.g10526.t2	866	906	1079	1032	1099	1058
CBRIG.III.g9212.t1__CNIGO.Cnig_chr_III.g10547.t1	172	181	239	239	229	183
CBRIG.III.g9221.t1__CNIGO.Cnig_chr_III.g10555.t1	234	249	236	308	268	218
CBRIG.III.g9258.t2__CNIGO.Cnig_chr_III.g10599.t3	279	291	272	580	573	536
CBRIG.III.g9264.t2__CNIGO.Cnig_chr_III.g10605.t1	155	236	170	214	240	286
CBRIG.III.g9301.t1__CNIGO.Cnig_chr_III.g10642.t1	108	104	103	266	257	207
CBRIG.III.g9309.t1__CNIGO.Cnig_chr_III.g10650.t1	288	238	208	86	74	70
CBRIG.III.g9310.t1__CNIGO.Cnig_chr_III.g10651.t1	100	121	165	236	220	231
CBRIG.III.g9351.t1__CNIGO.Cnig_chr_III.g10693.t3	650	593	639	595	681	727
CBRIG.III.g9357.t2__CNIGO.Cnig_chr_III.g10700.t1	649	610	555	220	208	186
CBRIG.III.g9367.t1__CNIGO.Cnig_chr_III.g10708.t2	576	553	590	283	262	222
CBRIG.III.g9369.t1__CNIGO.Cnig_chr_III.g10731.t1	194	210	237	175	162	197
CBRIG.III.g9412.t1__CNIGO.Cnig_chr_III.g10755.t1	73	85	68	1382	1437	1522
CBRIG.III.g9416.t1__CNIGO.Cnig_chr_III.g10761.t1	125	157	81	155	131	109
CBRIG.III.g9419.t1__CNIGO.Cnig_chr_III.g10825.t2	313	407	309	107	67	90
CBRIG.III.g9423.t1__CNIGO.Cnig_chr_III.g10776.t1	449	453	496	86	87	74
CBRIG.III.g9466.t1__CNIGO.Cnig_chr_III.g10820.t1	139	150	156	190	143	95
CBRIG.III.g9469.t2__CNIGO.Cnig_chr_III.g10822.t2	722	749	648	1557	1698	1696
CBRIG.III.g9476.t1__CNIGO.Cnig_chr_III.g10829.t1	183	168	227	994	1020	1008
CBRIG.III.g9487.t1__CNIGO.Cnig_chr_III.g10845.t1	86	64	84	133	117	126
CBRIG.III.g9492.t1__CNIGO.Cnig_chr_III.g10851.t3	274	306	313	641	575	699
CBRIG.III.g9524.t2__CNIGO.Cnig_chr_III.g10879.t1	829	812	753	222	194	241
CBRIG.III.g9526.t2__CNIGO.Cnig_chr_III.g10881.t1	432	480	483	466	384	458
CBRIG.III.g9565.t1__CNIGO.Cnig_chr_III.g10957.t1	71	65	94	60	50	102
CBRIG.III.g9749.t1__CNIGO.Cnig_chr_III.g11072.t1	44	54	47	501	477	550
CBRIG.III.g9771.t1__CNIGO.Cnig_chr_III.g11120.t1	285	273	266	303	294	344
CBRIG.III.g9862.t1__CNIGO.Cnig_chr_III.g11259.t1	160	189	165	639	642	575
CBRIG.III.g9901.t1__CNIGO.Cnig_chr_III.g11311.t1	976	1002	913	256	232	223
CBRIG.III.g9915.t1__CNIGO.Cnig_chr_III.g11327.t1	72	86	59	116	104	121
CBRIG.III.g9916.t1__CNIGO.Cnig_chr_III.g11330.t2	371	397	310	139	104	136
CBRIG.III.g9919.t1__CNIGO.Cnig_chr_III.g11333.t1	120	159	163	375	255	359
CBRIG.III.g9934.t1__CNIGO.Cnig_chr_III.g11355.t1	947	993	900	438	499	421
CBRIG.III.g9940.t1__CNIGO.Cnig_chr_III.g11407.t1	404	407	398	333	299	367
CBRIG.III.g9948.t1__CNIGO.Cnig_chr_III.g11395.t2	192	217	165	239	229	242
CBRIG.III.g9993.t1__CNIGO.Cnig_chr_III.g11023.t1	63	53	50	313	276	267
CBRIG.IV.g10445.t1__CNIGO.Cnig_chr_IV.g12098.t1	1357	1355	1239	330	328	320
CBRIG.IV.g10456.t3__CNIGO.Cnig_chr_IV.g12072.t1	377	492	476	213	192	240
CBRIG.IV.g10474.t1__CNIGO.Cnig_chr_IV.g12051.t2	288	328	298	373	304	273
CBRIG.IV.g10484.t1__CNIGO.Cnig_chr_IV.g12041.t1	447	432	343	393	400	485
CBRIG.IV.g10525.t1__CNIGO.Cnig_chr_IV.g11984.t1	197	140	134	71	72	95
CBRIG.IV.g10552.t2__CNIGO.Cnig_chr_IV.g11953.t1	98	148	123	348	344	357
CBRIG.IV.g10554.t1__CNIGO.Cnig_chr_IV.g11951.t1	181	131	123	233	350	236
CBRIG.IV.g10557.t1__CNIGO.Cnig_chr_IV.g11948.t1	244	221	245	233	252	253
CBRIG.IV.g10589.t1__CNIGO.Cnig_chr_IV.g12155.t1	111	123	79	381	361	448
CBRIG.IV.g10603.t1__CNIGO.Cnig_chr_IV.g12173.t2	872	853	724	287	317	297
CBRIG.IV.g10604.t2__CNIGO.Cnig_chr_IV.g12175.t1	831	796	841	397	491	379
CBRIG.IV.g10661.t1__CNIGO.Cnig_chr_IV.g12264.t1	619	514	509	210	190	205
CBRIG.IV.g10703.t1__CNIGO.Cnig_chr_IV.g12123.t1	153	172	180	101	175	150
CBRIG.IV.g10766.t2__CNIGO.Cnig_chr_IV.g12415.t3	308	367	385	189	170	227
CBRIG.IV.g10811.t1__CNIGO.Cnig_chr_IV.g12476.t2	477	407	446	452	453	390
CBRIG.IV.g10832.t1__CNIGO.Cnig_chr_IV.g12497.t1	232	260	258	474	486	548
CBRIG.IV.g10865.t1__CNIGO.Cnig_chr_IV.g12540.t2	123	89	87	87	95	80
CBRIG.IV.g10895.t1__CNIGO.Cnig_chr_IV.g12627.t1	36	40	54	39	44	49
CBRIG.IV.g10924.t1__CNIGO.Cnig_chr_IV.g12728.t1	190	192	275	474	483	421
CBRIG.IV.g10959.t1__CNIGO.Cnig_chr_IV.g12690.t2	534	616	505	272	313	289
CBRIG.IV.g10976.t1__CNIGO.Cnig_chr_IV.g12670.t1	152	81	161	114	146	126
CBRIG.IV.g11031.t1__CNIGO.Cnig_chr_IV.g12871.t1	330	345	353	351	305	320
CBRIG.IV.g11051.t2__CNIGO.Cnig_chr_IV.g12878.t1	58	56	101	209	298	277
CBRIG.IV.g11139.t1__CNIGO.Cnig_chr_IV.g13012.t1	310	293	257	98	92	134
CBRIG.IV.g11213.t2__CNIGO.Cnig_chr_IV.g13102.t1	652	816	876	193	190	237
CBRIG.IV.g11223.t1__CNIGO.Cnig_chr_IV.g13112.t1	90	62	47	148	148	223
CBRIG.IV.g11256.t1__CNIGO.Cnig_chr_IV.g13153.t1	1357	1373	1302	471	405	396
CBRIG.IV.g11259.t1__CNIGO.Cnig_chr_IV.g13154.t2	637	653	537	2528	2259	2353
CBRIG.IV.g11331.t1__CNIGO.Cnig_chr_IV.g13238.t2	1706	1435	1594	211	185	190
CBRIG.IV.g11353.t1__CNIGO.Cnig_chr_IV.g13209.t1	85	53	134	125	179	181
CBRIG.IV.g11357.t1__CNIGO.Cnig_chr_IV.g13201.t1	259	241	317	132	149	151
CBRIG.IV.g11385.t1__CNIGO.Cnig_chr_IV.g13315.t1	879	806	856	482	501	473
CBRIG.IV.g11406.t1__CNIGO.Cnig_chr_IV.g13336.t1	709	829	815	277	275	261
CBRIG.IV.g11414.t1__CNIGO.Cnig_chr_IV.g13345.t1	137	146	189	50	58	81
CBRIG.IV.g11432.t1__CNIGO.Cnig_chr_IV.g13362.t1	1049	1051	1102	551	473	482
CBRIG.IV.g11469.t1__CNIGO.Cnig_chr_IV.g13398.t1	302	282	266	971	1096	1196
CBRIG.IV.g11511.t1__CNIGO.Cnig_chr_IV.g13451.t1	876	748	833	279	292	302
CBRIG.IV.g11522.t2__CNIGO.Cnig_chr_IV.g13459.t1	229	259	188	847	863	973
CBRIG.IV.g11525.t1__CNIGO.Cnig_chr_IV.g13456.t1	795	958	870	134	114	158
CBRIG.IV.g11536.t1__CNIGO.Cnig_chr_IV.g13476.t1	65	82	91	166	170	158
CBRIG.IV.g11562.t1__CNIGO.Cnig_chr_IV.g13505.t1	243	280	194	245	222	267
CBRIG.IV.g11570.t1__CNIGO.Cnig_chr_IV.g13513.t1	393	366	452	823	719	834
CBRIG.IV.g11581.t2__CNIGO.Cnig_chr_IV.g13520.t3	412	377	394	217	175	250
CBRIG.IV.g11582.t3__CNIGO.Cnig_chr_IV.g13521.t2	184	145	212	186	162	213
CBRIG.IV.g11673.t2__CNIGO.Cnig_chr_IV.g13613.t1	1350	1463	1449	506	409	486
CBRIG.IV.g11680.t1__CNIGO.Cnig_chr_IV.g13621.t1	1215	1112	1063	419	339	358
CBRIG.IV.g11698.t3__CNIGO.Cnig_chr_IV.g13961.t1	561	507	563	1679	1730	1472
CBRIG.IV.g11709.t1__CNIGO.Cnig_chr_IV.g13949.t1	453	411	524	3210	3181	3352
CBRIG.IV.g11712.t1__CNIGO.Cnig_chr_IV.g13946.t1	382	410	473	84	121	106
CBRIG.IV.g11721.t2__CNIGO.Cnig_chr_IV.g13933.t2	339	384	327	656	579	574
CBRIG.IV.g11726.t1__CNIGO.Cnig_chr_IV.g13929.t1	156	208	124	64	53	42
CBRIG.IV.g11763.t1__CNIGO.Cnig_chr_IV.g13897.t1	76	28	57	79	64	51
CBRIG.IV.g11769.t1__CNIGO.Cnig_chr_IV.g13886.t1	1186	1128	1080	220	207	212
CBRIG.IV.g11773.t1__CNIGO.Cnig_chr_IV.g13882.t1	219	204	235	608	491	598
CBRIG.IV.g11820.t1__CNIGO.Cnig_chr_IV.g13829.t1	300	359	343	275	298	292
CBRIG.IV.g11823.t1__CNIGO.Cnig_chr_IV.g13826.t1	898	768	926	510	484	428
CBRIG.IV.g11852.t2__CNIGO.Cnig_chr_IV.g13796.t1	296	380	348	179	179	165
CBRIG.IV.g11859.t1__CNIGO.Cnig_chr_IV.g13788.t1	261	300	208	292	183	251
CBRIG.IV.g11871.t1__CNIGO.Cnig_chr_IV.g13777.t1	361	296	296	624	625	827
CBRIG.IV.g11873.t1__CNIGO.Cnig_chr_IV.g13775.t1	109	180	95	249	207	268
CBRIG.IV.g11927.t1__CNIGO.Cnig_chr_IV.g13715.t1	750	661	710	200	144	250
CBRIG.IV.g11931.t1__CNIGO.Cnig_chr_IV.g13711.t1	476	468	481	195	242	273
CBRIG.IV.g11954.t1__CNIGO.Cnig_chr_IV.g13688.t2	861	777	871	432	432	456
CBRIG.IV.g11955.t1__CNIGO.Cnig_chr_IV.g13687.t1	1345	1338	1334	659	616	568
CBRIG.IV.g11988.t1__CNIGO.Cnig_chr_IV.g13656.t2	141	129	183	279	229	266
CBRIG.IV.g11993.t1__CNIGO.Cnig_chr_IV.g13650.t1	61	68	79	292	181	211
CBRIG.IV.g12005.t2__CNIGO.Cnig_chr_IV.g13640.t1	161	190	201	804	875	899
CBRIG.IV.g12023.t1__CNIGO.Cnig_chr_IV.g13977.t2	2059	2085	2078	1097	1033	819
CBRIG.IV.g12030.t1__CNIGO.Cnig_chr_IV.g13982.t1	328	346	336	1301	1273	1432
CBRIG.IV.g12052.t1__CNIGO.Cnig_chr_IV.g14001.t1	645	688	929	352	372	328
CBRIG.IV.g12081.t2__CNIGO.Cnig_chr_IV.g14026.t1	405	455	425	1712	1619	1618
CBRIG.IV.g12082.t1__CNIGO.Cnig_chr_IV.g14027.t1	341	421	374	113	158	147
CBRIG.IV.g12121.t1__CNIGO.Cnig_chr_IV.g14067.t1	190	238	237	237	314	247
CBRIG.IV.g12123.t1__CNIGO.Cnig_chr_IV.g14069.t1	681	696	684	1548	1424	1307
CBRIG.IV.g12141.t1__CNIGO.Cnig_chr_IV.g14090.t1	170	162	171	43	24	55
CBRIG.IV.g12154.t1__CNIGO.Cnig_chr_IV.g14102.t1	3287	3172	3018	526	504	461
CBRIG.IV.g12160.t1__CNIGO.Cnig_chr_IV.g14108.t1	96	116	101	237	202	161
CBRIG.IV.g12183.t1__CNIGO.Cnig_chr_IV.g14135.t1	160	175	196	210	257	181
CBRIG.IV.g12202.t1__CNIGO.Cnig_chr_IV.g14157.t2	296	319	347	283	279	315
CBRIG.IV.g12213.t2__CNIGO.Cnig_chr_IV.g14169.t1	556	626	605	269	326	253
CBRIG.IV.g12217.t1__CNIGO.Cnig_chr_IV.g14176.t1	631	707	755	202	168	179
CBRIG.IV.g12228.t1__CNIGO.Cnig_chr_IV.g14185.t1	812	828	874	245	231	200
CBRIG.IV.g12288.t2__CNIGO.Cnig_chr_IV.g14266.t1	2602	2473	2282	7449	7198	7241
CBRIG.IV.g12291.t1__CNIGO.Cnig_chr_IV.g14269.t2	140	163	167	407	335	374
CBRIG.IV.g12316.t1__CNIGO.Cnig_chr_IV.g14300.t1	352	346	344	150	177	153
CBRIG.IV.g12338.t1__CNIGO.Cnig_chr_IV.g14322.t1	447	423	445	256	313	298
CBRIG.IV.g12343.t2__CNIGO.Cnig_chr_IV.g14329.t1	285	282	312	604	512	630
CBRIG.IV.g12361.t4__CNIGO.Cnig_chr_IV.g14350.t1	1279	1159	1243	701	634	632
CBRIG.IV.g12395.t1__CNIGO.Cnig_chr_IV.g14386.t1	272	222	224	441	533	558
CBRIG.IV.g12407.t1__CNIGO.Cnig_chr_IV.g14397.t1	294	296	303	283	261	242
CBRIG.IV.g12413.t1__CNIGO.Cnig_chr_IV.g14405.t1	73	77	84	136	69	116
CBRIG.IV.g12473.t1__CNIGO.Cnig_chr_IV.g14472.t1	207	253	217	112	123	117
CBRIG.IV.g12486.t1__CNIGO.Cnig_chr_IV.g14485.t1	267	278	284	92	83	78
CBRIG.IV.g12489.t1__CNIGO.Cnig_chr_IV.g14488.t2	191	199	240	184	218	199
CBRIG.IV.g12514.t2__CNIGO.Cnig_chr_IV.g14513.t1	126	147	161	519	505	602
CBRIG.IV.g12518.t2__CNIGO.Cnig_chr_IV.g14518.t2	674	708	601	373	329	341
CBRIG.IV.g12519.t1__CNIGO.Cnig_chr_IV.g14519.t1	300	366	322	1573	1634	1562
CBRIG.IV.g12521.t1__CNIGO.Cnig_chr_IV.g14521.t1	277	277	262	497	432	505
CBRIG.IV.g12523.t1__CNIGO.Cnig_chr_IV.g14523.t1	472	567	399	223	215	202
CBRIG.IV.g12532.t1__CNIGO.Cnig_chr_IV.g14535.t1	80	108	77	458	385	365
CBRIG.IV.g12560.t1__CNIGO.Cnig_chr_IV.g14566.t1	42	49	62	71	52	72
CBRIG.IV.g12582.t1__CNIGO.Cnig_chr_IV.g14591.t1	607	646	579	577	684	710
CBRIG.IV.g12586.t1__CNIGO.Cnig_chr_IV.g14594.t3	402	482	428	216	193	205
CBRIG.IV.g12587.t2__CNIGO.Cnig_chr_IV.g14596.t1	1221	1214	1115	326	373	332
CBRIG.IV.g12612.t4__CNIGO.Cnig_chr_IV.g14628.t1	792	691	754	174	161	151
CBRIG.IV.g12642.t1__CNIGO.Cnig_chr_IV.g14668.t1	507	456	505	446	467	449
CBRIG.IV.g12645.t1__CNIGO.Cnig_chr_IV.g14671.t1	146	139	130	141	128	138
CBRIG.IV.g12652.t1__CNIGO.Cnig_chr_IV.g14678.t1	504	407	408	191	186	217
CBRIG.IV.g12653.t1__CNIGO.Cnig_chr_IV.g14679.t1	199	262	201	1131	1250	1141
CBRIG.IV.g12660.t1__CNIGO.Cnig_chr_IV.g14686.t2	496	413	440	1351	1354	1323
CBRIG.IV.g12707.t1__CNIGO.Cnig_chr_IV.g14734.t1	250	217	304	249	248	317
CBRIG.IV.g12729.t1__CNIGO.Cnig_chr_IV.g14756.t1	337	363	311	138	126	112
CBRIG.IV.g12765.t1__CNIGO.Cnig_chr_IV.g14809.t1	980	901	846	246	238	169
CBRIG.IV.g12779.t1__CNIGO.Cnig_chr_IV.g14827.t1	213	266	234	397	427	397
CBRIG.IV.g12782.t1__CNIGO.Cnig_chr_IV.g14830.t1	454	379	344	176	113	98
CBRIG.IV.g12783.t1__CNIGO.Cnig_chr_IV.g14831.t1	311	257	332	288	282	353
