gene_id	HF1_1_Cbr	HF1_1_Cni	HF1_2_Cbr	HF1_2_Cni	HF1_3_Cbr	HF1_3_Cni
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	118	173	95	175	133	158
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	99	397	277	221	82	183
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	198	17	187	27	192	27
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	102	72	102	265	102	88
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	100	658	154	621	221	580
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	202	90	75	227	60	150
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	221	241	242	196	294	513
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	511	166	451	146	949	112
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	76	135	115	139	211	140
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	457	297	240	257	286	260
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	123	290	94	244	156	321
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	223	272	190	223	156	239
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	283	1086	635	1003	250	1033
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	706	213	688	204	716	212
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	827	1985	899	1912	739	2074
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	1073	2906	1016	3011	977	2840
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	129	147	101	135	130	117
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	292	325	327	289	267	304
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	670	2168	651	2113	702	2250
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	135	301	171	371	339	370
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	63	47	191	66	95	83
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	362	250	398	207	416	243
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	233	205	437	122	202	81
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	338	59	306	57	679	35
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	257	458	80	474	175	522
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	698	606	834	509	836	548
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	58	99	61	140	73	109
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	1164	514	1118	627	1159	531
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	180	313	208	357	288	288
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	201	441	270	377	181	338
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	65	239	31	312	74	285
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	236	523	474	440	247	451
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	411	1119	316	1042	405	915
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	167	205	174	165	178	154
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	232	114	232	209	209	180
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	664	831	698	800	705	879
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	210	425	238	342	251	499
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	63	110	79	135	72	176
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	605	186	558	225	458	73
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	265	2472	234	2746	266	2702
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	397	1025	342	936	390	875
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	672	202	332	166	352	335
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	287	360	229	487	139	322
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	189	149	197	176	181	343
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	106	83	98	86	81	78
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	118	571	127	589	87	603
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	4550	1119	4762	1191	4845	1372
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	735	289	392	675	444	300
CBRIG.III.g7683.t1__CNIGO.Cnig_chr_III.g8637.t1	271	1399	264	1346	597	1373
CBRIG.III.g7690.t1__CNIGO.Cnig_chr_III.g8628.t1	323	766	402	910	358	827
CBRIG.III.g7698.t1__CNIGO.Cnig_chr_III.g8615.t1	91	125	96	147	111	253
CBRIG.III.g7712.t1__CNIGO.Cnig_chr_III.g8597.t1	248	249	204	172	405	129
CBRIG.III.g7725.t1__CNIGO.Cnig_chr_III.g10041.t1	419	464	199	483	220	485
CBRIG.III.g7739.t1__CNIGO.Cnig_chr_III.g8744.t3	980	492	1047	498	977	532
CBRIG.III.g7758.t2__CNIGO.Cnig_chr_III.g8765.t1	394	183	427	201	759	239
CBRIG.III.g7784.t1__CNIGO.Cnig_chr_III.g8830.t2	2945	359	2757	364	2846	748
CBRIG.III.g7799.t1__CNIGO.Cnig_chr_III.g8809.t1	127	429	114	421	92	697
CBRIG.III.g7815.t1__CNIGO.Cnig_chr_III.g8797.t3	701	3178	1510	3467	1340	3293
CBRIG.III.g7832.t3__CNIGO.Cnig_chr_III.g8846.t1	215	371	182	356	188	283
CBRIG.III.g7864.t1__CNIGO.Cnig_chr_III.g8894.t1	342	717	339	556	580	692
CBRIG.III.g7931.t1__CNIGO.Cnig_chr_III.g9010.t1	484	217	485	122	488	70
CBRIG.III.g7944.t2__CNIGO.Cnig_chr_III.g9020.t2	341	925	350	941	357	944
CBRIG.III.g7975.t2__CNIGO.Cnig_chr_III.g9130.t1	541	504	446	483	436	565
CBRIG.III.g7982.t1__CNIGO.Cnig_chr_III.g9134.t2	1800	1717	1949	1599	1895	1571
CBRIG.III.g7996.t1__CNIGO.Cnig_chr_III.g9156.t1	59	29	33	45	49	73
CBRIG.III.g8006.t2__CNIGO.Cnig_chr_III.g9175.t1	365	263	352	302	374	621
CBRIG.III.g8033.t1__CNIGO.Cnig_chr_III.g9285.t1	5	129	17	138	31	204
CBRIG.III.g8102.t1__CNIGO.Cnig_chr_III.g9335.t1	475	277	559	258	491	231
CBRIG.III.g8108.t2__CNIGO.Cnig_chr_III.g9340.t1	189	65	148	257	74	219
CBRIG.III.g8128.t1__CNIGO.Cnig_chr_III.g9369.t2	218	450	257	242	401	239
CBRIG.III.g8144.t1__CNIGO.Cnig_chr_III.g9383.t2	548	1023	598	1045	643	1032
CBRIG.III.g8163.t1__CNIGO.Cnig_chr_III.g9412.t1	74	100	143	104	143	108
CBRIG.III.g8178.t1__CNIGO.Cnig_chr_III.g9428.t1	407	105	400	157	422	83
CBRIG.III.g8185.t1__CNIGO.Cnig_chr_III.g9434.t1	475	660	637	711	295	649
CBRIG.III.g8186.t1__CNIGO.Cnig_chr_III.g9435.t2	967	421	868	409	845	505
CBRIG.III.g8248.t1__CNIGO.Cnig_chr_III.g9503.t1	167	104	102	193	157	92
CBRIG.III.g8270.t1__CNIGO.Cnig_chr_III.g9515.t1	1051	164	1064	131	987	170
CBRIG.III.g8271.t1__CNIGO.Cnig_chr_III.g9514.t1	989	161	543	128	544	329
CBRIG.III.g8297.t1__CNIGO.Cnig_chr_III.g9563.t1	398	587	216	566	179	550
CBRIG.III.g8304.t1__CNIGO.Cnig_chr_III.g9570.t1	692	237	716	314	670	257
CBRIG.III.g8314.t1__CNIGO.Cnig_chr_III.g9585.t1	821	148	372	138	397	135
CBRIG.III.g8316.t1__CNIGO.Cnig_chr_III.g9588.t2	82	322	77	288	115	279
CBRIG.III.g8330.t1__CNIGO.Cnig_chr_III.g9599.t1	1306	417	1194	405	1061	418
CBRIG.III.g8336.t2__CNIGO.Cnig_chr_III.g9608.t1	185	118	264	98	126	116
CBRIG.III.g8371.t1__CNIGO.Cnig_chr_III.g9644.t1	232	907	393	723	211	736
CBRIG.III.g8377.t1__CNIGO.Cnig_chr_III.g9651.t1	217	158	165	194	189	171
CBRIG.III.g8408.t1__CNIGO.Cnig_chr_III.g9681.t2	292	576	365	486	274	436
CBRIG.III.g8424.t1__CNIGO.Cnig_chr_III.g9695.t1	1267	709	2759	743	1446	795
CBRIG.III.g8437.t1__CNIGO.Cnig_chr_III.g9709.t1	508	221	455	192	526	232
CBRIG.III.g8533.t2__CNIGO.Cnig_chr_III.g9777.t3	380	200	347	175	374	173
CBRIG.III.g8557.t1__CNIGO.Cnig_chr_III.g9804.t2	68	31	70	80	155	51
CBRIG.III.g8573.t3__CNIGO.Cnig_chr_III.g9822.t2	120	149	100	175	155	299
CBRIG.III.g8642.t1__CNIGO.Cnig_chr_III.g9893.t1	192	582	170	579	203	586
CBRIG.III.g8669.t1__CNIGO.Cnig_chr_III.g9919.t2	156	354	195	370	309	387
CBRIG.III.g8671.t2__CNIGO.Cnig_chr_III.g9921.t1	455	477	490	482	415	450
CBRIG.III.g8701.t1__CNIGO.Cnig_chr_III.g9956.t1	1340	434	1263	446	1301	358
CBRIG.III.g8741.t1__CNIGO.Cnig_chr_III.g9997.t2	862	165	992	156	963	134
CBRIG.III.g8745.t1__CNIGO.Cnig_chr_III.g10002.t1	284	476	218	523	260	426
CBRIG.III.g8762.t1__CNIGO.Cnig_chr_III.g10023.t1	424	717	298	837	375	662
CBRIG.III.g8764.t1__CNIGO.Cnig_chr_III.g10031.t1	261	220	89	171	205	210
CBRIG.III.g8775.t1__CNIGO.Cnig_chr_III.g10046.t1	527	235	553	238	651	272
CBRIG.III.g8809.t2__CNIGO.Cnig_chr_III.g10085.t1	298	530	296	500	242	492
CBRIG.III.g8869.t1__CNIGO.Cnig_chr_III.g10140.t1	221	169	179	266	176	303
CBRIG.III.g8872.t1__CNIGO.Cnig_chr_III.g10143.t1	535	528	478	454	481	546
CBRIG.III.g8876.t1__CNIGO.Cnig_chr_III.g10146.t1	150	213	213	202	164	188
CBRIG.III.g8915.t2__CNIGO.Cnig_chr_III.g10182.t1	172	622	182	567	174	655
CBRIG.III.g8947.t1__CNIGO.Cnig_chr_III.g10205.t2	793	2602	727	2586	863	2551
CBRIG.III.g8960.t1__CNIGO.Cnig_chr_III.g10218.t1	355	671	314	625	357	683
CBRIG.III.g8996.t1__CNIGO.Cnig_chr_III.g10267.t1	210	495	173	523	214	571
CBRIG.III.g9020.t1__CNIGO.Cnig_chr_III.g10290.t1	179	179	188	152	207	113
CBRIG.III.g9021.t1__CNIGO.Cnig_chr_III.g10291.t1	193	188	149	173	141	130
CBRIG.III.g9027.t1__CNIGO.Cnig_chr_III.g10296.t2	214	439	138	548	144	398
CBRIG.III.g9036.t3__CNIGO.Cnig_chr_III.g10313.t1	2007	704	2024	668	2242	711
CBRIG.III.g9071.t1__CNIGO.Cnig_chr_III.g10363.t1	327	152	376	318	301	277
CBRIG.III.g9096.t1__CNIGO.Cnig_chr_III.g10418.t1	1446	2658	1314	2796	1348	2514
CBRIG.III.g9117.t1__CNIGO.Cnig_chr_III.g10441.t1	180	644	156	595	183	622
CBRIG.III.g9167.t2__CNIGO.Cnig_chr_III.g10496.t1	691	258	850	292	827	276
CBRIG.III.g9176.t1__CNIGO.Cnig_chr_III.g10506.t1	226	93	187	61	211	106
CBRIG.III.g9181.t3__CNIGO.Cnig_chr_III.g10511.t1	241	179	269	223	219	235
CBRIG.III.g9196.t1__CNIGO.Cnig_chr_III.g10526.t2	869	1037	915	1101	1086	1059
CBRIG.III.g9212.t1__CNIGO.Cnig_chr_III.g10547.t1	181	245	190	241	247	193
CBRIG.III.g9221.t1__CNIGO.Cnig_chr_III.g10555.t1	257	334	272	294	257	239
CBRIG.III.g9258.t2__CNIGO.Cnig_chr_III.g10599.t3	288	585	296	585	282	545
CBRIG.III.g9264.t2__CNIGO.Cnig_chr_III.g10605.t1	210	250	318	284	220	332
CBRIG.III.g9301.t1__CNIGO.Cnig_chr_III.g10642.t1	117	295	112	288	126	227
CBRIG.III.g9309.t1__CNIGO.Cnig_chr_III.g10650.t1	288	86	238	74	208	70
CBRIG.III.g9310.t1__CNIGO.Cnig_chr_III.g10651.t1	104	251	131	232	181	257
CBRIG.III.g9351.t1__CNIGO.Cnig_chr_III.g10693.t3	651	600	597	686	642	727
CBRIG.III.g9357.t2__CNIGO.Cnig_chr_III.g10700.t1	702	239	645	220	584	192
CBRIG.III.g9367.t1__CNIGO.Cnig_chr_III.g10708.t2	577	283	552	262	589	223
CBRIG.III.g9369.t1__CNIGO.Cnig_chr_III.g10731.t1	194	352	210	162	237	397
CBRIG.III.g9412.t1__CNIGO.Cnig_chr_III.g10755.t1	155	1382	180	1437	141	1522
CBRIG.III.g9416.t1__CNIGO.Cnig_chr_III.g10761.t1	135	159	169	139	88	113
CBRIG.III.g9419.t1__CNIGO.Cnig_chr_III.g10825.t2	313	107	407	137	309	90
CBRIG.III.g9423.t1__CNIGO.Cnig_chr_III.g10776.t1	454	88	455	87	498	38
CBRIG.III.g9466.t1__CNIGO.Cnig_chr_III.g10820.t1	143	167	159	131	161	86
CBRIG.III.g9469.t2__CNIGO.Cnig_chr_III.g10822.t2	743	1322	774	1468	668	1469
CBRIG.III.g9476.t1__CNIGO.Cnig_chr_III.g10829.t1	183	994	169	1019	229	1009
CBRIG.III.g9487.t1__CNIGO.Cnig_chr_III.g10845.t1	86	133	64	117	84	126
CBRIG.III.g9492.t1__CNIGO.Cnig_chr_III.g10851.t3	274	647	306	582	313	705
CBRIG.III.g9524.t2__CNIGO.Cnig_chr_III.g10879.t1	830	223	812	395	753	241
CBRIG.III.g9526.t2__CNIGO.Cnig_chr_III.g10881.t1	436	473	486	386	485	463
CBRIG.III.g9565.t1__CNIGO.Cnig_chr_III.g10957.t1	71	60	65	50	94	102
CBRIG.III.g9749.t1__CNIGO.Cnig_chr_III.g11072.t1	91	501	54	477	50	550
CBRIG.III.g9771.t1__CNIGO.Cnig_chr_III.g11120.t1	573	303	547	294	267	689
CBRIG.III.g9862.t1__CNIGO.Cnig_chr_III.g11259.t1	175	675	205	688	182	609
CBRIG.III.g9901.t1__CNIGO.Cnig_chr_III.g11311.t1	976	514	1002	468	913	448
CBRIG.III.g9915.t1__CNIGO.Cnig_chr_III.g11327.t1	73	117	88	106	122	121
CBRIG.III.g9916.t1__CNIGO.Cnig_chr_III.g11330.t2	371	279	397	104	310	137
CBRIG.III.g9919.t1__CNIGO.Cnig_chr_III.g11333.t1	122	375	162	260	167	363
CBRIG.III.g9934.t1__CNIGO.Cnig_chr_III.g11355.t1	948	437	993	499	899	424
CBRIG.III.g9940.t1__CNIGO.Cnig_chr_III.g11407.t1	411	335	409	300	402	370
CBRIG.III.g9948.t1__CNIGO.Cnig_chr_III.g11395.t2	192	239	217	460	331	242
CBRIG.III.g9993.t1__CNIGO.Cnig_chr_III.g11023.t1	63	313	107	276	50	267
CBRIG.IV.g10445.t1__CNIGO.Cnig_chr_IV.g12098.t1	1358	337	1359	335	1239	324
CBRIG.IV.g10456.t3__CNIGO.Cnig_chr_IV.g12072.t1	380	216	497	191	479	243
CBRIG.IV.g10474.t1__CNIGO.Cnig_chr_IV.g12051.t2	577	373	657	304	301	273
CBRIG.IV.g10484.t1__CNIGO.Cnig_chr_IV.g12041.t1	448	395	431	400	345	485
CBRIG.IV.g10525.t1__CNIGO.Cnig_chr_IV.g11984.t1	224	74	161	74	174	99
CBRIG.IV.g10552.t2__CNIGO.Cnig_chr_IV.g11953.t1	98	348	148	344	124	357
CBRIG.IV.g10554.t1__CNIGO.Cnig_chr_IV.g11951.t1	185	240	136	352	129	243
CBRIG.IV.g10557.t1__CNIGO.Cnig_chr_IV.g11948.t1	350	353	283	360	359	370
CBRIG.IV.g10589.t1__CNIGO.Cnig_chr_IV.g12155.t1	117	386	123	371	78	454
CBRIG.IV.g10603.t1__CNIGO.Cnig_chr_IV.g12173.t2	882	249	862	318	732	257
CBRIG.IV.g10604.t2__CNIGO.Cnig_chr_IV.g12175.t1	832	397	797	492	846	381
CBRIG.IV.g10661.t1__CNIGO.Cnig_chr_IV.g12264.t1	622	211	517	191	512	206
CBRIG.IV.g10703.t1__CNIGO.Cnig_chr_IV.g12123.t1	153	102	172	175	180	301
CBRIG.IV.g10766.t2__CNIGO.Cnig_chr_IV.g12415.t3	308	190	737	170	387	228
CBRIG.IV.g10811.t1__CNIGO.Cnig_chr_IV.g12476.t2	959	452	407	453	896	390
CBRIG.IV.g10832.t1__CNIGO.Cnig_chr_IV.g12497.t1	232	474	259	486	258	548
CBRIG.IV.g10865.t1__CNIGO.Cnig_chr_IV.g12540.t2	123	87	89	95	87	80
CBRIG.IV.g10895.t1__CNIGO.Cnig_chr_IV.g12627.t1	36	39	44	45	55	50
CBRIG.IV.g10924.t1__CNIGO.Cnig_chr_IV.g12728.t1	381	474	192	483	551	421
CBRIG.IV.g10959.t1__CNIGO.Cnig_chr_IV.g12690.t2	539	277	620	321	509	293
CBRIG.IV.g10976.t1__CNIGO.Cnig_chr_IV.g12670.t1	152	229	81	146	161	126
CBRIG.IV.g11031.t1__CNIGO.Cnig_chr_IV.g12871.t1	331	351	346	611	353	643
CBRIG.IV.g11051.t2__CNIGO.Cnig_chr_IV.g12878.t1	58	209	60	298	104	277
CBRIG.IV.g11139.t1__CNIGO.Cnig_chr_IV.g13012.t1	310	98	587	92	257	134
CBRIG.IV.g11213.t2__CNIGO.Cnig_chr_IV.g13102.t1	663	198	818	196	883	244
CBRIG.IV.g11223.t1__CNIGO.Cnig_chr_IV.g13112.t1	101	176	62	169	44	241
CBRIG.IV.g11256.t1__CNIGO.Cnig_chr_IV.g13153.t1	1357	949	1373	405	1302	797
CBRIG.IV.g11259.t1__CNIGO.Cnig_chr_IV.g13154.t2	641	2542	665	2265	541	2362
CBRIG.IV.g11331.t1__CNIGO.Cnig_chr_IV.g13238.t2	1706	211	1435	376	1593	192
CBRIG.IV.g11353.t1__CNIGO.Cnig_chr_IV.g13209.t1	86	126	54	178	137	187
CBRIG.IV.g11357.t1__CNIGO.Cnig_chr_IV.g13201.t1	258	132	240	149	316	151
CBRIG.IV.g11385.t1__CNIGO.Cnig_chr_IV.g13315.t1	887	494	813	504	870	479
CBRIG.IV.g11406.t1__CNIGO.Cnig_chr_IV.g13336.t1	709	277	1660	275	815	261
CBRIG.IV.g11414.t1__CNIGO.Cnig_chr_IV.g13345.t1	137	50	146	117	189	81
CBRIG.IV.g11432.t1__CNIGO.Cnig_chr_IV.g13362.t1	1050	565	1052	975	1102	498
CBRIG.IV.g11469.t1__CNIGO.Cnig_chr_IV.g13398.t1	308	989	294	1114	275	1214
CBRIG.IV.g11511.t1__CNIGO.Cnig_chr_IV.g13451.t1	883	285	760	299	839	309
CBRIG.IV.g11522.t2__CNIGO.Cnig_chr_IV.g13459.t1	229	847	259	863	188	973
CBRIG.IV.g11525.t1__CNIGO.Cnig_chr_IV.g13456.t1	794	134	957	114	869	158
CBRIG.IV.g11536.t1__CNIGO.Cnig_chr_IV.g13476.t1	65	166	82	170	91	158
CBRIG.IV.g11562.t1__CNIGO.Cnig_chr_IV.g13505.t1	487	245	280	222	390	267
CBRIG.IV.g11570.t1__CNIGO.Cnig_chr_IV.g13513.t1	793	823	736	719	453	834
CBRIG.IV.g11581.t2__CNIGO.Cnig_chr_IV.g13520.t3	412	217	377	351	394	250
CBRIG.IV.g11582.t3__CNIGO.Cnig_chr_IV.g13521.t2	370	186	145	162	212	427
CBRIG.IV.g11673.t2__CNIGO.Cnig_chr_IV.g13613.t1	1369	511	1471	412	1460	490
CBRIG.IV.g11680.t1__CNIGO.Cnig_chr_IV.g13621.t1	1228	421	1119	340	1071	362
CBRIG.IV.g11698.t3__CNIGO.Cnig_chr_IV.g13961.t1	568	1681	512	1732	569	1477
CBRIG.IV.g11709.t1__CNIGO.Cnig_chr_IV.g13949.t1	468	3229	423	3198	527	3391
CBRIG.IV.g11712.t1__CNIGO.Cnig_chr_IV.g13946.t1	406	89	447	130	506	115
CBRIG.IV.g11721.t2__CNIGO.Cnig_chr_IV.g13933.t2	330	710	352	652	324	615
CBRIG.IV.g11726.t1__CNIGO.Cnig_chr_IV.g13929.t1	156	129	208	107	124	42
CBRIG.IV.g11763.t1__CNIGO.Cnig_chr_IV.g13897.t1	76	79	28	64	57	51
CBRIG.IV.g11769.t1__CNIGO.Cnig_chr_IV.g13886.t1	1201	220	1145	208	1094	210
CBRIG.IV.g11773.t1__CNIGO.Cnig_chr_IV.g13882.t1	219	613	204	987	235	1206
CBRIG.IV.g11820.t1__CNIGO.Cnig_chr_IV.g13829.t1	307	293	369	316	354	299
CBRIG.IV.g11823.t1__CNIGO.Cnig_chr_IV.g13826.t1	899	513	768	485	927	428
CBRIG.IV.g11852.t2__CNIGO.Cnig_chr_IV.g13796.t1	296	359	380	359	348	166
CBRIG.IV.g11859.t1__CNIGO.Cnig_chr_IV.g13788.t1	261	585	300	183	208	252
CBRIG.IV.g11871.t1__CNIGO.Cnig_chr_IV.g13777.t1	361	628	298	626	303	828
CBRIG.IV.g11873.t1__CNIGO.Cnig_chr_IV.g13775.t1	111	253	181	222	96	272
CBRIG.IV.g11927.t1__CNIGO.Cnig_chr_IV.g13715.t1	1291	200	577	289	613	503
CBRIG.IV.g11931.t1__CNIGO.Cnig_chr_IV.g13711.t1	476	196	468	242	482	274
CBRIG.IV.g11954.t1__CNIGO.Cnig_chr_IV.g13688.t2	862	434	777	432	872	456
CBRIG.IV.g11955.t1__CNIGO.Cnig_chr_IV.g13687.t1	1347	663	1339	618	1334	570
CBRIG.IV.g11988.t1__CNIGO.Cnig_chr_IV.g13656.t2	141	279	129	461	184	267
CBRIG.IV.g11993.t1__CNIGO.Cnig_chr_IV.g13650.t1	124	292	137	181	79	211
CBRIG.IV.g12005.t2__CNIGO.Cnig_chr_IV.g13640.t1	163	813	191	887	204	913
CBRIG.IV.g12023.t1__CNIGO.Cnig_chr_IV.g13977.t2	2071	1066	2103	1018	2082	809
CBRIG.IV.g12030.t1__CNIGO.Cnig_chr_IV.g13982.t1	329	1303	348	1275	337	1435
CBRIG.IV.g12052.t1__CNIGO.Cnig_chr_IV.g14001.t1	613	389	660	403	888	350
CBRIG.IV.g12081.t2__CNIGO.Cnig_chr_IV.g14026.t1	404	1715	457	1620	432	1620
CBRIG.IV.g12082.t1__CNIGO.Cnig_chr_IV.g14027.t1	354	116	441	159	388	152
CBRIG.IV.g12121.t1__CNIGO.Cnig_chr_IV.g14067.t1	201	242	245	326	247	253
CBRIG.IV.g12123.t1__CNIGO.Cnig_chr_IV.g14069.t1	684	1562	699	1436	690	1321
CBRIG.IV.g12141.t1__CNIGO.Cnig_chr_IV.g14090.t1	187	55	170	32	201	57
CBRIG.IV.g12154.t1__CNIGO.Cnig_chr_IV.g14102.t1	3292	533	3176	515	3022	465
CBRIG.IV.g12160.t1__CNIGO.Cnig_chr_IV.g14108.t1	96	236	116	203	101	161
CBRIG.IV.g12183.t1__CNIGO.Cnig_chr_IV.g14135.t1	160	210	175	257	196	181
CBRIG.IV.g12202.t1__CNIGO.Cnig_chr_IV.g14157.t2	594	284	640	279	695	315
CBRIG.IV.g12213.t2__CNIGO.Cnig_chr_IV.g14169.t1	555	270	626	328	605	508
CBRIG.IV.g12217.t1__CNIGO.Cnig_chr_IV.g14176.t1	633	207	716	165	762	177
CBRIG.IV.g12228.t1__CNIGO.Cnig_chr_IV.g14185.t1	812	505	828	480	873	204
CBRIG.IV.g12288.t2__CNIGO.Cnig_chr_IV.g14266.t1	2672	7570	2527	7321	2327	7348
CBRIG.IV.g12291.t1__CNIGO.Cnig_chr_IV.g14269.t2	140	407	163	335	167	373
CBRIG.IV.g12316.t1__CNIGO.Cnig_chr_IV.g14300.t1	352	150	346	355	344	308
CBRIG.IV.g12338.t1__CNIGO.Cnig_chr_IV.g14322.t1	447	256	423	313	445	298
CBRIG.IV.g12343.t2__CNIGO.Cnig_chr_IV.g14329.t1	295	625	290	534	327	647
CBRIG.IV.g12361.t4__CNIGO.Cnig_chr_IV.g14350.t1	1293	666	1174	597	1267	581
CBRIG.IV.g12395.t1__CNIGO.Cnig_chr_IV.g14386.t1	274	446	224	536	226	561
CBRIG.IV.g12407.t1__CNIGO.Cnig_chr_IV.g14397.t1	299	286	302	266	307	245
CBRIG.IV.g12413.t1__CNIGO.Cnig_chr_IV.g14405.t1	73	136	77	69	84	116
CBRIG.IV.g12473.t1__CNIGO.Cnig_chr_IV.g14472.t1	206	113	257	124	216	120
CBRIG.IV.g12486.t1__CNIGO.Cnig_chr_IV.g14485.t1	269	92	280	84	284	80
CBRIG.IV.g12489.t1__CNIGO.Cnig_chr_IV.g14488.t2	198	188	200	230	247	205
CBRIG.IV.g12514.t2__CNIGO.Cnig_chr_IV.g14513.t1	127	519	148	506	163	1205
CBRIG.IV.g12518.t2__CNIGO.Cnig_chr_IV.g14518.t2	684	382	717	344	611	355
CBRIG.IV.g12519.t1__CNIGO.Cnig_chr_IV.g14519.t1	301	1573	368	1633	323	1563
CBRIG.IV.g12521.t1__CNIGO.Cnig_chr_IV.g14521.t1	277	497	278	431	264	505
CBRIG.IV.g12523.t1__CNIGO.Cnig_chr_IV.g14523.t1	482	228	577	220	409	204
CBRIG.IV.g12532.t1__CNIGO.Cnig_chr_IV.g14535.t1	79	458	108	772	78	364
CBRIG.IV.g12560.t1__CNIGO.Cnig_chr_IV.g14566.t1	44	140	49	52	61	72
CBRIG.IV.g12582.t1__CNIGO.Cnig_chr_IV.g14591.t1	661	631	699	744	639	765
CBRIG.IV.g12586.t1__CNIGO.Cnig_chr_IV.g14594.t3	443	241	522	196	468	227
CBRIG.IV.g12587.t2__CNIGO.Cnig_chr_IV.g14596.t1	1223	335	1218	378	1117	345
CBRIG.IV.g12612.t4__CNIGO.Cnig_chr_IV.g14628.t1	809	184	704	174	758	168
CBRIG.IV.g12642.t1__CNIGO.Cnig_chr_IV.g14668.t1	511	449	458	468	505	449
CBRIG.IV.g12645.t1__CNIGO.Cnig_chr_IV.g14671.t1	151	142	141	128	131	141
CBRIG.IV.g12652.t1__CNIGO.Cnig_chr_IV.g14678.t1	505	193	408	188	408	222
CBRIG.IV.g12653.t1__CNIGO.Cnig_chr_IV.g14679.t1	205	1135	268	1256	204	1147
CBRIG.IV.g12660.t1__CNIGO.Cnig_chr_IV.g14686.t2	487	1221	397	1234	426	1193
CBRIG.IV.g12707.t1__CNIGO.Cnig_chr_IV.g14734.t1	250	501	217	499	304	320
CBRIG.IV.g12729.t1__CNIGO.Cnig_chr_IV.g14756.t1	337	277	363	126	311	112
CBRIG.IV.g12765.t1__CNIGO.Cnig_chr_IV.g14809.t1	982	493	901	238	846	342
CBRIG.IV.g12779.t1__CNIGO.Cnig_chr_IV.g14827.t1	214	399	266	855	235	398
CBRIG.IV.g12782.t1__CNIGO.Cnig_chr_IV.g14830.t1	457	178	380	116	344	99
CBRIG.IV.g12783.t1__CNIGO.Cnig_chr_IV.g14831.t1	330	236	265	251	344	318
