Geneid	Cbr_1_Cbr	Cbr_2_Cbr	Cbr_3_Cbr	Cni_1_Cni	Cni_2_Cni	Cni_3_Cni
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	265	288	277	3056	3000	3144
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	209	249	261	271	276	227
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	471	460	503	288	294	359
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	217	152	212	392	319	307
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	1001	990	979	885	877	1064
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	1949	2156	2013	433	430	378
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	209	201	270	229	234	210
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	190	180	197	561	578	602
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	224	126	196	150	150	211
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	282	389	447	181	165	160
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	1208	1354	1279	152	165	182
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	510	470	500	262	183	227
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	212	142	186	700	755	740
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	513	508	461	405	449	492
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	1754	1736	1754	356	283	281
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	151	183	150	548	584	559
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	571	547	514	1276	1223	1297
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	1764	1626	1731	106	141	172
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	1496	1570	1601	446	407	460
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	2014	1894	2011	422	498	558
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	1301	1337	1405	483	383	489
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	3370	2947	3118	3828	3874	3572
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	1869	1964	1853	6100	6040	5804
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	1355	1281	1316	196	308	189
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	543	576	585	568	623	620
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	1871	1840	1963	1400	1414	1425
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	379	355	326	975	1069	1172
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	293	262	272	120	122	159
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	1783	1829	1819	477	428	434
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	248	221	266	293	217	250
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	1124	1096	1204	143	79	104
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	177	177	199	1531	1596	1718
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	849	888	843	1062	1281	1174
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	67	81	72	167	150	149
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	2132	2216	2275	1182	1144	993
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	597	626	582	374	389	336
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	378	429	337	787	720	793
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	175	225	180	186	193	182
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	462	543	504	1364	1398	1480
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	664	719	710	1386	1393	1382
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	1558	1561	1482	328	359	267
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	413	349	375	451	478	432
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	2673	2501	2533	1637	1419	1406
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	415	473	498	1322	1235	1321
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	154	181	150	663	701	714
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	294	332	286	164	190	171
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	1567	1703	1428	490	529	507
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	490	426	395	809	753	862
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	1356	1389	1430	399	413	362
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	271	230	228	248	231	231
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	347	381	371	313	344	391
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	150	164	151	514	505	511
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	251	302	248	270	333	266
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	4831	4709	4664	2247	2388	2323
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	9091	9317	8711	584	571	629
CBRIG.III.g7683.t1__CNIGO.Cnig_chr_III.g8637.t1	4089	3719	3650	467	535	401
CBRIG.III.g7690.t1__CNIGO.Cnig_chr_III.g8628.t1	728	769	770	2707	2474	2658
CBRIG.III.g7698.t1__CNIGO.Cnig_chr_III.g8615.t1	201	215	225	234	242	221
CBRIG.III.g7712.t1__CNIGO.Cnig_chr_III.g8597.t1	970	902	953	290	271	270
CBRIG.III.g7725.t1__CNIGO.Cnig_chr_III.g10041.t1	1399	1272	1493	476	476	471
CBRIG.III.g7739.t1__CNIGO.Cnig_chr_III.g8744.t3	1977	2044	2065	1031	1030	1069
CBRIG.III.g7758.t2__CNIGO.Cnig_chr_III.g8765.t1	391	414	436	363	404	466
CBRIG.III.g7784.t1__CNIGO.Cnig_chr_III.g8830.t2	779	660	649	3671	4013	3792
CBRIG.III.g7799.t1__CNIGO.Cnig_chr_III.g8809.t1	271	284	234	417	444	391
CBRIG.III.g7815.t1__CNIGO.Cnig_chr_III.g8797.t3	4193	4214	4015	1746	1747	1693
CBRIG.III.g7832.t3__CNIGO.Cnig_chr_III.g8846.t1	420	334	463	1402	1328	1388
CBRIG.III.g7864.t1__CNIGO.Cnig_chr_III.g8894.t1	1231	1292	1192	573	583	528
CBRIG.III.g7931.t1__CNIGO.Cnig_chr_III.g9010.t1	202	190	290	377	445	425
CBRIG.III.g7944.t2__CNIGO.Cnig_chr_III.g9020.t2	2763	2801	2681	591	617	648
CBRIG.III.g7975.t2__CNIGO.Cnig_chr_III.g9130.t1	2082	1873	1876	972	951	1025
CBRIG.III.g7982.t1__CNIGO.Cnig_chr_III.g9134.t2	5083	5092	5369	1559	1639	1526
CBRIG.III.g7996.t1__CNIGO.Cnig_chr_III.g9156.t1	110	134	112	108	126	98
CBRIG.III.g8006.t2__CNIGO.Cnig_chr_III.g9175.t1	587	671	601	764	696	771
CBRIG.III.g8033.t1__CNIGO.Cnig_chr_III.g9285.t1	802	643	605	184	159	158
CBRIG.III.g8102.t1__CNIGO.Cnig_chr_III.g9335.t1	563	613	506	1091	1110	1106
CBRIG.III.g8108.t2__CNIGO.Cnig_chr_III.g9340.t1	168	258	157	179	216	266
CBRIG.III.g8128.t1__CNIGO.Cnig_chr_III.g9369.t2	463	502	452	503	460	483
CBRIG.III.g8144.t1__CNIGO.Cnig_chr_III.g9383.t2	1058	1218	1123	2020	2126	2158
CBRIG.III.g8163.t1__CNIGO.Cnig_chr_III.g9412.t1	310	359	392	209	197	173
CBRIG.III.g8178.t1__CNIGO.Cnig_chr_III.g9428.t1	203	211	193	210	246	259
CBRIG.III.g8185.t1__CNIGO.Cnig_chr_III.g9434.t1	589	658	514	2935	3029	3132
CBRIG.III.g8186.t1__CNIGO.Cnig_chr_III.g9435.t2	982	907	894	840	920	918
CBRIG.III.g8248.t1__CNIGO.Cnig_chr_III.g9503.t1	155	167	143	1288	1256	1301
CBRIG.III.g8270.t1__CNIGO.Cnig_chr_III.g9515.t1	367	302	320	375	294	343
CBRIG.III.g8271.t1__CNIGO.Cnig_chr_III.g9514.t1	241	245	275	754	901	910
CBRIG.III.g8297.t1__CNIGO.Cnig_chr_III.g9563.t1	370	360	441	1483	1298	1532
CBRIG.III.g8304.t1__CNIGO.Cnig_chr_III.g9570.t1	996	894	948	523	532	515
CBRIG.III.g8314.t1__CNIGO.Cnig_chr_III.g9585.t1	1134	1114	983	288	273	318
CBRIG.III.g8316.t1__CNIGO.Cnig_chr_III.g9588.t2	215	183	259	642	659	634
CBRIG.III.g8330.t1__CNIGO.Cnig_chr_III.g9599.t1	820	777	808	1772	1445	1619
CBRIG.III.g8336.t2__CNIGO.Cnig_chr_III.g9608.t1	232	285	267	2357	2330	2179
CBRIG.III.g8371.t1__CNIGO.Cnig_chr_III.g9644.t1	1114	1153	1129	389	391	443
CBRIG.III.g8377.t1__CNIGO.Cnig_chr_III.g9651.t1	1262	1196	1300	250	272	231
CBRIG.III.g8408.t1__CNIGO.Cnig_chr_III.g9681.t2	260	321	226	2783	2784	3034
CBRIG.III.g8424.t1__CNIGO.Cnig_chr_III.g9695.t1	4256	4073	4359	1409	1594	1669
CBRIG.III.g8437.t1__CNIGO.Cnig_chr_III.g9709.t1	423	423	492	2002	1789	1718
CBRIG.III.g8533.t2__CNIGO.Cnig_chr_III.g9777.t3	343	342	329	825	817	784
CBRIG.III.g8557.t1__CNIGO.Cnig_chr_III.g9804.t2	608	555	536	155	82	143
CBRIG.III.g8573.t3__CNIGO.Cnig_chr_III.g9822.t2	688	782	857	320	337	394
CBRIG.III.g8642.t1__CNIGO.Cnig_chr_III.g9893.t1	768	800	790	353	379	380
CBRIG.III.g8669.t1__CNIGO.Cnig_chr_III.g9919.t2	379	321	421	340	412	360
CBRIG.III.g8671.t2__CNIGO.Cnig_chr_III.g9921.t1	1750	2097	1896	893	952	1001
CBRIG.III.g8701.t1__CNIGO.Cnig_chr_III.g9956.t1	769	833	822	4216	4370	4584
CBRIG.III.g8741.t1__CNIGO.Cnig_chr_III.g9997.t2	766	857	853	285	300	255
CBRIG.III.g8745.t1__CNIGO.Cnig_chr_III.g10002.t1	1961	1789	1876	494	453	414
CBRIG.III.g8762.t1__CNIGO.Cnig_chr_III.g10023.t1	1604	1518	1625	811	772	711
CBRIG.III.g8764.t1__CNIGO.Cnig_chr_III.g10031.t1	388	322	371	191	282	232
CBRIG.III.g8775.t1__CNIGO.Cnig_chr_III.g10046.t1	580	469	448	962	937	996
CBRIG.III.g8809.t2__CNIGO.Cnig_chr_III.g10085.t1	984	933	1024	499	436	507
CBRIG.III.g8869.t1__CNIGO.Cnig_chr_III.g10140.t1	389	318	369	1452	1488	1620
CBRIG.III.g8872.t1__CNIGO.Cnig_chr_III.g10143.t1	6270	5852	6112	982	993	981
CBRIG.III.g8876.t1__CNIGO.Cnig_chr_III.g10146.t1	393	345	427	750	861	727
CBRIG.III.g8915.t2__CNIGO.Cnig_chr_III.g10182.t1	395	415	366	1101	1084	1103
CBRIG.III.g8947.t1__CNIGO.Cnig_chr_III.g10205.t2	1672	1815	1863	1645	1716	1708
CBRIG.III.g8960.t1__CNIGO.Cnig_chr_III.g10218.t1	747	622	697	3384	3306	3263
CBRIG.III.g8996.t1__CNIGO.Cnig_chr_III.g10267.t1	422	424	458	556	457	496
CBRIG.III.g9020.t1__CNIGO.Cnig_chr_III.g10290.t1	366	427	393	615	630	591
CBRIG.III.g9021.t1__CNIGO.Cnig_chr_III.g10291.t1	276	293	238	560	596	547
CBRIG.III.g9027.t1__CNIGO.Cnig_chr_III.g10296.t2	636	592	659	240	306	351
CBRIG.III.g9036.t3__CNIGO.Cnig_chr_III.g10313.t1	1466	1334	1533	5270	5545	5453
CBRIG.III.g9071.t1__CNIGO.Cnig_chr_III.g10363.t1	1212	1067	1168	370	380	394
CBRIG.III.g9096.t1__CNIGO.Cnig_chr_III.g10418.t1	2824	2697	2880	5490	5476	5312
CBRIG.III.g9117.t1__CNIGO.Cnig_chr_III.g10441.t1	3237	3211	3159	388	386	429
CBRIG.III.g9167.t2__CNIGO.Cnig_chr_III.g10496.t1	553	632	539	2315	2327	2006
CBRIG.III.g9176.t1__CNIGO.Cnig_chr_III.g10506.t1	215	185	206	353	362	363
CBRIG.III.g9181.t3__CNIGO.Cnig_chr_III.g10511.t1	455	392	431	935	812	933
CBRIG.III.g9196.t1__CNIGO.Cnig_chr_III.g10526.t2	3847	4033	4097	772	694	641
CBRIG.III.g9212.t1__CNIGO.Cnig_chr_III.g10547.t1	382	408	451	395	426	369
CBRIG.III.g9221.t1__CNIGO.Cnig_chr_III.g10555.t1	589	443	433	518	534	508
CBRIG.III.g9258.t2__CNIGO.Cnig_chr_III.g10599.t3	593	601	661	2582	2494	2438
CBRIG.III.g9264.t2__CNIGO.Cnig_chr_III.g10605.t1	355	374	352	798	952	983
CBRIG.III.g9301.t1__CNIGO.Cnig_chr_III.g10642.t1	634	648	561	278	196	207
CBRIG.III.g9309.t1__CNIGO.Cnig_chr_III.g10650.t1	363	336	355	225	198	146
CBRIG.III.g9310.t1__CNIGO.Cnig_chr_III.g10651.t1	185	176	192	455	390	410
CBRIG.III.g9351.t1__CNIGO.Cnig_chr_III.g10693.t3	3938	3867	3669	1230	1179	1381
CBRIG.III.g9357.t2__CNIGO.Cnig_chr_III.g10700.t1	1658	1756	1509	455	415	421
CBRIG.III.g9367.t1__CNIGO.Cnig_chr_III.g10708.t2	541	553	475	1058	1140	1121
CBRIG.III.g9369.t1__CNIGO.Cnig_chr_III.g10731.t1	407	382	313	263	386	359
CBRIG.III.g9412.t1__CNIGO.Cnig_chr_III.g10755.t1	192	129	108	557	552	585
CBRIG.III.g9416.t1__CNIGO.Cnig_chr_III.g10761.t1	200	214	239	258	168	233
CBRIG.III.g9419.t1__CNIGO.Cnig_chr_III.g10825.t2	280	208	269	618	637	792
CBRIG.III.g9423.t1__CNIGO.Cnig_chr_III.g10776.t1	469	470	440	158	166	193
CBRIG.III.g9466.t1__CNIGO.Cnig_chr_III.g10820.t1	772	840	855	308	290	285
CBRIG.III.g9469.t2__CNIGO.Cnig_chr_III.g10822.t2	8278	8619	8322	1589	1647	1707
CBRIG.III.g9476.t1__CNIGO.Cnig_chr_III.g10829.t1	781	851	825	429	438	453
CBRIG.III.g9487.t1__CNIGO.Cnig_chr_III.g10845.t1	111	151	142	196	197	260
CBRIG.III.g9492.t1__CNIGO.Cnig_chr_III.g10851.t3	563	557	617	2575	2572	2297
CBRIG.III.g9524.t2__CNIGO.Cnig_chr_III.g10879.t1	565	458	536	2142	2162	2120
CBRIG.III.g9526.t2__CNIGO.Cnig_chr_III.g10881.t1	1128	962	1039	2767	2710	2690
CBRIG.III.g9565.t1__CNIGO.Cnig_chr_III.g10957.t1	130	79	86	119	90	95
CBRIG.III.g9749.t1__CNIGO.Cnig_chr_III.g11072.t1	452	389	508	83	98	113
CBRIG.III.g9771.t1__CNIGO.Cnig_chr_III.g11120.t1	648	728	629	1786	2151	1904
CBRIG.III.g9862.t1__CNIGO.Cnig_chr_III.g11259.t1	2064	2042	2095	382	417	381
CBRIG.III.g9901.t1__CNIGO.Cnig_chr_III.g11311.t1	506	516	572	945	948	870
CBRIG.III.g9915.t1__CNIGO.Cnig_chr_III.g11327.t1	372	311	300	235	200	159
CBRIG.III.g9916.t1__CNIGO.Cnig_chr_III.g11330.t2	746	672	745	297	271	228
CBRIG.III.g9919.t1__CNIGO.Cnig_chr_III.g11333.t1	333	272	305	385	292	358
CBRIG.III.g9934.t1__CNIGO.Cnig_chr_III.g11355.t1	979	905	973	7364	7531	7626
CBRIG.III.g9940.t1__CNIGO.Cnig_chr_III.g11407.t1	1588	1573	1445	730	708	829
CBRIG.III.g9948.t1__CNIGO.Cnig_chr_III.g11395.t2	497	432	452	883	906	855
CBRIG.III.g9993.t1__CNIGO.Cnig_chr_III.g11023.t1	117	112	120	271	289	421
CBRIG.IV.g10445.t1__CNIGO.Cnig_chr_IV.g12098.t1	2496	2822	2616	648	683	712
CBRIG.IV.g10456.t3__CNIGO.Cnig_chr_IV.g12072.t1	1882	1860	1872	421	353	473
CBRIG.IV.g10474.t1__CNIGO.Cnig_chr_IV.g12051.t2	585	530	544	637	518	572
CBRIG.IV.g10484.t1__CNIGO.Cnig_chr_IV.g12041.t1	998	843	823	828	902	836
CBRIG.IV.g10525.t1__CNIGO.Cnig_chr_IV.g11984.t1	254	315	305	206	202	182
CBRIG.IV.g10552.t2__CNIGO.Cnig_chr_IV.g11953.t1	825	878	815	241	264	215
CBRIG.IV.g10554.t1__CNIGO.Cnig_chr_IV.g11951.t1	321	290	262	535	532	563
CBRIG.IV.g10557.t1__CNIGO.Cnig_chr_IV.g11948.t1	1604	1513	1450	523	527	524
CBRIG.IV.g10589.t1__CNIGO.Cnig_chr_IV.g12155.t1	190	190	209	587	620	674
CBRIG.IV.g10603.t1__CNIGO.Cnig_chr_IV.g12173.t2	2787	2768	2849	612	655	637
CBRIG.IV.g10604.t2__CNIGO.Cnig_chr_IV.g12175.t1	930	763	774	789	842	857
CBRIG.IV.g10661.t1__CNIGO.Cnig_chr_IV.g12264.t1	787	745	801	359	458	407
CBRIG.IV.g10703.t1__CNIGO.Cnig_chr_IV.g12123.t1	336	265	319	322	340	339
CBRIG.IV.g10766.t2__CNIGO.Cnig_chr_IV.g12415.t3	381	371	469	454	431	360
CBRIG.IV.g10811.t1__CNIGO.Cnig_chr_IV.g12476.t2	1233	1246	1378	857	857	739
CBRIG.IV.g10832.t1__CNIGO.Cnig_chr_IV.g12497.t1	513	484	525	540	553	443
CBRIG.IV.g10865.t1__CNIGO.Cnig_chr_IV.g12540.t2	737	914	712	190	188	232
CBRIG.IV.g10895.t1__CNIGO.Cnig_chr_IV.g12627.t1	96	126	122	128	93	80
CBRIG.IV.g10924.t1__CNIGO.Cnig_chr_IV.g12728.t1	924	919	812	368	526	437
CBRIG.IV.g10959.t1__CNIGO.Cnig_chr_IV.g12690.t2	526	541	561	2406	2456	2533
CBRIG.IV.g10976.t1__CNIGO.Cnig_chr_IV.g12670.t1	131	130	135	298	307	330
CBRIG.IV.g11031.t1__CNIGO.Cnig_chr_IV.g12871.t1	655	667	597	2599	2671	2616
CBRIG.IV.g11051.t2__CNIGO.Cnig_chr_IV.g12878.t1	352	418	406	613	540	486
CBRIG.IV.g11139.t1__CNIGO.Cnig_chr_IV.g13012.t1	159	181	167	202	161	173
CBRIG.IV.g11213.t2__CNIGO.Cnig_chr_IV.g13102.t1	446	361	354	371	368	331
CBRIG.IV.g11223.t1__CNIGO.Cnig_chr_IV.g13112.t1	344	378	369	106	113	150
CBRIG.IV.g11256.t1__CNIGO.Cnig_chr_IV.g13153.t1	849	818	952	814	917	803
CBRIG.IV.g11259.t1__CNIGO.Cnig_chr_IV.g13154.t2	1095	1109	1214	2498	2517	2471
CBRIG.IV.g11331.t1__CNIGO.Cnig_chr_IV.g13238.t2	415	462	524	813	982	900
CBRIG.IV.g11353.t1__CNIGO.Cnig_chr_IV.g13209.t1	188	133	151	2747	2450	2272
CBRIG.IV.g11357.t1__CNIGO.Cnig_chr_IV.g13201.t1	285	195	261	1196	1225	1131
CBRIG.IV.g11385.t1__CNIGO.Cnig_chr_IV.g13315.t1	814	825	835	3693	3621	3843
CBRIG.IV.g11406.t1__CNIGO.Cnig_chr_IV.g13336.t1	516	553	517	583	540	534
CBRIG.IV.g11414.t1__CNIGO.Cnig_chr_IV.g13345.t1	134	115	103	90	125	159
CBRIG.IV.g11432.t1__CNIGO.Cnig_chr_IV.g13362.t1	2292	2225	2178	960	1013	997
CBRIG.IV.g11469.t1__CNIGO.Cnig_chr_IV.g13398.t1	464	490	435	432	568	478
CBRIG.IV.g11511.t1__CNIGO.Cnig_chr_IV.g13451.t1	5118	5208	4894	614	606	533
CBRIG.IV.g11522.t2__CNIGO.Cnig_chr_IV.g13459.t1	1555	1798	1770	395	385	426
CBRIG.IV.g11525.t1__CNIGO.Cnig_chr_IV.g13456.t1	2527	2847	2580	330	370	327
CBRIG.IV.g11536.t1__CNIGO.Cnig_chr_IV.g13476.t1	614	646	575	190	248	192
CBRIG.IV.g11562.t1__CNIGO.Cnig_chr_IV.g13505.t1	564	523	475	458	498	490
CBRIG.IV.g11570.t1__CNIGO.Cnig_chr_IV.g13513.t1	757	850	725	818	833	733
CBRIG.IV.g11581.t2__CNIGO.Cnig_chr_IV.g13520.t3	435	406	431	390	382	415
CBRIG.IV.g11582.t3__CNIGO.Cnig_chr_IV.g13521.t2	419	406	395	818	940	757
CBRIG.IV.g11673.t2__CNIGO.Cnig_chr_IV.g13613.t1	3671	3785	3700	994	985	974
CBRIG.IV.g11680.t1__CNIGO.Cnig_chr_IV.g13621.t1	9472	9714	9768	807	835	801
CBRIG.IV.g11698.t3__CNIGO.Cnig_chr_IV.g13961.t1	4305	4339	4411	748	814	818
CBRIG.IV.g11709.t1__CNIGO.Cnig_chr_IV.g13949.t1	850	832	908	883	928	833
CBRIG.IV.g11712.t1__CNIGO.Cnig_chr_IV.g13946.t1	462	582	449	230	246	228
CBRIG.IV.g11721.t2__CNIGO.Cnig_chr_IV.g13933.t2	722	690	647	605	605	609
CBRIG.IV.g11726.t1__CNIGO.Cnig_chr_IV.g13929.t1	141	178	160	698	813	765
CBRIG.IV.g11763.t1__CNIGO.Cnig_chr_IV.g13897.t1	204	228	244	128	102	126
CBRIG.IV.g11769.t1__CNIGO.Cnig_chr_IV.g13886.t1	402	356	481	1964	1872	1895
CBRIG.IV.g11773.t1__CNIGO.Cnig_chr_IV.g13882.t1	385	421	353	398	320	455
CBRIG.IV.g11820.t1__CNIGO.Cnig_chr_IV.g13829.t1	567	649	524	1719	1696	1770
CBRIG.IV.g11823.t1__CNIGO.Cnig_chr_IV.g13826.t1	819	895	960	2556	2671	2771
CBRIG.IV.g11852.t2__CNIGO.Cnig_chr_IV.g13796.t1	2125	2214	2066	294	274	328
CBRIG.IV.g11859.t1__CNIGO.Cnig_chr_IV.g13788.t1	2045	1990	2118	474	520	565
CBRIG.IV.g11871.t1__CNIGO.Cnig_chr_IV.g13777.t1	4033	3969	4095	720	753	661
CBRIG.IV.g11873.t1__CNIGO.Cnig_chr_IV.g13775.t1	291	207	304	514	463	471
CBRIG.IV.g11927.t1__CNIGO.Cnig_chr_IV.g13715.t1	490	500	495	1330	1277	1262
CBRIG.IV.g11931.t1__CNIGO.Cnig_chr_IV.g13711.t1	455	554	483	954	898	1039
CBRIG.IV.g11954.t1__CNIGO.Cnig_chr_IV.g13688.t2	702	795	875	872	771	853
CBRIG.IV.g11955.t1__CNIGO.Cnig_chr_IV.g13687.t1	1336	1293	1278	5019	5186	5311
CBRIG.IV.g11988.t1__CNIGO.Cnig_chr_IV.g13656.t2	577	453	572	217	315	320
CBRIG.IV.g11993.t1__CNIGO.Cnig_chr_IV.g13650.t1	64	68	138	114	163	86
CBRIG.IV.g12005.t2__CNIGO.Cnig_chr_IV.g13640.t1	2165	2432	2181	431	320	324
CBRIG.IV.g12023.t1__CNIGO.Cnig_chr_IV.g13977.t2	11675	12182	12109	2035	1923	1971
CBRIG.IV.g12030.t1__CNIGO.Cnig_chr_IV.g13982.t1	645	609	649	639	617	676
CBRIG.IV.g12052.t1__CNIGO.Cnig_chr_IV.g14001.t1	673	871	796	1639	1629	1603
CBRIG.IV.g12081.t2__CNIGO.Cnig_chr_IV.g14026.t1	3297	3350	3444	875	810	854
CBRIG.IV.g12082.t1__CNIGO.Cnig_chr_IV.g14027.t1	213	298	250	804	825	731
CBRIG.IV.g12121.t1__CNIGO.Cnig_chr_IV.g14067.t1	970	940	913	519	485	545
CBRIG.IV.g12123.t1__CNIGO.Cnig_chr_IV.g14069.t1	3013	2932	3011	1516	1393	1267
CBRIG.IV.g12141.t1__CNIGO.Cnig_chr_IV.g14090.t1	316	272	300	102	79	61
CBRIG.IV.g12154.t1__CNIGO.Cnig_chr_IV.g14102.t1	2887	2886	3093	966	999	999
CBRIG.IV.g12160.t1__CNIGO.Cnig_chr_IV.g14108.t1	207	213	222	366	354	407
CBRIG.IV.g12183.t1__CNIGO.Cnig_chr_IV.g14135.t1	796	784	805	322	342	377
CBRIG.IV.g12202.t1__CNIGO.Cnig_chr_IV.g14157.t2	2257	2351	2258	538	605	504
CBRIG.IV.g12213.t2__CNIGO.Cnig_chr_IV.g14169.t1	1199	1161	1257	525	560	554
CBRIG.IV.g12217.t1__CNIGO.Cnig_chr_IV.g14176.t1	567	681	659	265	312	259
CBRIG.IV.g12228.t1__CNIGO.Cnig_chr_IV.g14185.t1	1571	1674	1527	491	376	536
CBRIG.IV.g12288.t2__CNIGO.Cnig_chr_IV.g14266.t1	4877	4944	4942	10117	10151	9992
CBRIG.IV.g12291.t1__CNIGO.Cnig_chr_IV.g14269.t2	1659	1503	1553	282	250	268
CBRIG.IV.g12316.t1__CNIGO.Cnig_chr_IV.g14300.t1	680	719	613	333	322	323
CBRIG.IV.g12338.t1__CNIGO.Cnig_chr_IV.g14322.t1	1769	1718	1676	712	608	647
CBRIG.IV.g12343.t2__CNIGO.Cnig_chr_IV.g14329.t1	1128	1218	1227	552	609	660
CBRIG.IV.g12361.t4__CNIGO.Cnig_chr_IV.g14350.t1	1213	1230	1292	1311	1273	1353
CBRIG.IV.g12395.t1__CNIGO.Cnig_chr_IV.g14386.t1	4608	4407	4297	497	533	506
CBRIG.IV.g12407.t1__CNIGO.Cnig_chr_IV.g14397.t1	551	497	468	1780	1611	1554
CBRIG.IV.g12413.t1__CNIGO.Cnig_chr_IV.g14405.t1	358	295	304	211	167	149
CBRIG.IV.g12473.t1__CNIGO.Cnig_chr_IV.g14472.t1	226	312	305	294	241	281
CBRIG.IV.g12486.t1__CNIGO.Cnig_chr_IV.g14485.t1	322	351	407	165	177	197
CBRIG.IV.g12489.t1__CNIGO.Cnig_chr_IV.g14488.t2	393	377	376	854	796	858
CBRIG.IV.g12514.t2__CNIGO.Cnig_chr_IV.g14513.t1	286	287	296	767	887	771
CBRIG.IV.g12518.t2__CNIGO.Cnig_chr_IV.g14518.t2	2007	1955	2174	665	643	583
CBRIG.IV.g12519.t1__CNIGO.Cnig_chr_IV.g14519.t1	680	718	623	1431	1087	1200
CBRIG.IV.g12521.t1__CNIGO.Cnig_chr_IV.g14521.t1	520	598	519	1070	997	1030
CBRIG.IV.g12523.t1__CNIGO.Cnig_chr_IV.g14523.t1	1446	1412	1417	513	465	458
CBRIG.IV.g12532.t1__CNIGO.Cnig_chr_IV.g14535.t1	294	286	276	133	141	150
CBRIG.IV.g12560.t1__CNIGO.Cnig_chr_IV.g14566.t1	81	92	78	91	91	88
CBRIG.IV.g12582.t1__CNIGO.Cnig_chr_IV.g14591.t1	12493	12491	12523	1296	1178	1140
CBRIG.IV.g12586.t1__CNIGO.Cnig_chr_IV.g14594.t3	389	402	458	844	831	844
CBRIG.IV.g12587.t2__CNIGO.Cnig_chr_IV.g14596.t1	6709	7135	6847	750	621	638
