# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "briggsae.cds.small.gff" "-o" "counts/Cbr_fc.counts.txt" "alignments/Cbr_1_Cbr.sorted.bam" "alignments/Cbr_2_Cbr.sorted.bam" "alignments/Cbr_3_Cbr.sorted.bam" "alignments/hf1_split/HF1_1_Cbr.sorted.bam" "alignments/hf1_split/HF1_2_Cbr.sorted.bam" "alignments/hf1_split/HF1_3_Cbr.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/Cbr_1_Cbr.sorted.bam	alignments/Cbr_2_Cbr.sorted.bam	alignments/Cbr_3_Cbr.sorted.bam	alignments/hf1_split/HF1_1_Cbr.sorted.bam	alignments/hf1_split/HF1_2_Cbr.sorted.bam	alignments/hf1_split/HF1_3_Cbr.sorted.bam
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	CBRIG.II.g4793.t1	1	1263	+	1263	477	454	551	305	241	261
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	CBRIG.II.g4807.t1	1	1113	+	1113	459	519	419	253	290	243
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	CBRIG.II.g4811.t1	1	2313	+	2313	2841	2797	2799	1289	1391	1311
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	CBRIG.II.g4836.t1	1	6219	+	6219	2493	2548	2489	7378	7615	7303
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	CBRIG.II.g4879.t1	1	1413	+	1413	1227	1101	1223	498	631	454
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	CBRIG.II.g4886.t2	1	483	+	483	208	145	176	104	116	91
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	CBRIG.II.g4901.t1	1	2400	+	2400	898	1072	892	502	390	489
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	CBRIG.II.g4930.t1	1	1200	+	1200	503	478	459	1421	1553	1544
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	CBRIG.II.g4947.t2	1	1947	+	1947	847	719	871	856	739	777
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	CBRIG.II.g4958.t1	1	957	+	957	376	369	415	391	384	384
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	CBRIG.II.g4979.t1	1	372	+	372	461	391	413	58	84	73
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	CBRIG.II.g4992.t1	1	201	+	201	114	100	85	33	60	69
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	CBRIG.II.g5005.t1	1	1062	+	1062	478	471	445	235	250	172
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	CBRIG.II.g5016.t1	1	729	+	729	321	230	247	577	627	602
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	CBRIG.II.g5020.t1	1	3915	+	3915	6244	5970	6360	1574	1645	1502
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	CBRIG.II.g5046.t1	1	792	+	792	336	268	306	156	145	144
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	CBRIG.II.g5054.t1	1	981	+	981	366	391	487	350	386	375
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	CBRIG.II.g5057.t1	1	375	+	375	285	317	328	73	47	98
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	CBRIG.II.g5066.t1	1	786	+	786	685	629	674	115	180	176
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	CBRIG.II.g5093.t1	1	225	+	225	110	96	112	46	59	61
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	CBRIG.II.g5098.t1	1	1929	+	1929	3872	3808	3844	429	373	310
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	CBRIG.II.g5124.t3	1	981	+	981	438	455	389	176	249	205
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	CBRIG.II.g5133.t2	1	1545	+	1545	1927	1937	1874	281	278	348
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	CBRIG.II.g5149.t1	1	255	+	255	70	126	79	39	39	67
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	CBRIG.II.g5155.t1	1	231	+	231	68	63	71	38	35	36
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	CBRIG.II.g5158.t1	1	285	+	285	140	126	128	156	135	110
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	CBRIG.II.g5168.t1	1	564	+	564	285	228	237	220	208	283
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	CBRIG.II.g5201.t2	1	807	+	807	693	691	637	144	165	142
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	CBRIG.II.g5205.t1	1	1587	+	1587	724	711	599	272	328	254
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	CBRIG.II.g5212.t2	1	3927	+	3927	11079	10812	11029	3227	3111	3138
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	CBRIG.II.g5288.t3	1	1320	+	1320	432	482	520	794	869	726
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	CBRIG.II.g5299.t1	1	1641	+	1641	708	724	603	1675	1660	1556
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	CBRIG.II.g5327.t1	1	525	+	525	137	234	223	95	99	97
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	CBRIG.II.g5330.t1	1	636	+	636	505	488	594	243	250	319
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	CBRIG.II.g5331.t3	1	888	+	888	415	355	300	143	163	160
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	CBRIG.II.g5355.t1	1	1230	+	1230	2015	2130	1818	204	255	213
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	CBRIG.II.g5374.t1	1	627	+	627	205	261	249	122	129	106
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	CBRIG.II.g5433.t1	1	588	+	588	438	443	465	142	120	141
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	CBRIG.II.g5476.t1	1	4473	+	4473	1802	1679	1860	838	894	893
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	CBRIG.II.g5479.t2	1	996	+	996	733	892	778	265	174	229
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	CBRIG.II.g5552.t1	1	1719	+	1719	796	665	640	755	618	742
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	CBRIG.II.g5560.t1	1	1488	+	1488	576	573	637	436	340	293
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	CBRIG.II.g5586.t1	1	267	+	267	838	723	795	69	61	44
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	CBRIG.II.g5587.t1	1	1812	+	1812	723	692	691	313	350	370
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	CBRIG.II.g5635.t1	1	2100	+	2100	1629	1496	1744	472	425	385
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	CBRIG.II.g5638.t1	1	309	+	309	126	96	134	81	60	97
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	CBRIG.II.g5639.t1	1	783	+	783	288	280	348	890	803	745
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	CBRIG.II.g5674.t1	1	1083	+	1083	735	986	794	219	215	153
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	CBRIG.II.g5695.t2	1	588	+	588	705	774	691	430	348	372
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	CBRIG.II.g5715.t3	1	2541	+	2541	994	837	1050	2584	2668	2659
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	CBRIG.II.g5716.t1	1	783	+	783	250	314	283	1314	1252	1161
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	CBRIG.II.g5729.t1	1	834	+	834	344	315	324	396	317	321
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	CBRIG.II.g5745.t1	1	855	+	855	1000	989	1035	165	160	192
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	CBRIG.II.g5781.t1	1	804	+	804	334	282	325	368	319	286
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	CBRIG.II.g5836.t1	1	1071	+	1071	398	465	450	489	408	450
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	CBRIG.II.g5842.t1	1	2859	+	2859	1197	1123	1110	544	552	563
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	CBRIG.II.g5867.t1	1	1020	+	1020	350	480	408	215	213	198
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	CBRIG.II.g5873.t1	1	1188	+	1188	4299	4213	4175	249	274	211
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	CBRIG.II.g5874.t2	1	1056	+	1056	365	375	377	224	247	266
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	CBRIG.II.g5882.t1	1	972	+	972	1142	1289	1095	402	353	420
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	CBRIG.II.g5924.t2	1	534	+	534	250	255	179	73	130	101
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	CBRIG.II.g5991.t2	1	810	+	810	272	352	375	430	510	436
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	CBRIG.II.g6008.t1	1	549	+	549	170	224	197	91	149	85
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	CBRIG.II.g6022.t1	1	909	+	909	386	405	378	193	156	202
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	CBRIG.II.g6036.t1	1	300	+	300	314	405	439	44	62	64
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	CBRIG.II.g6040.t1	1	801	+	801	335	274	347	160	132	164
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	CBRIG.II.g6044.t1	1	1032	+	1032	388	409	432	395	476	403
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	CBRIG.II.g6067.t1	1	2193	+	2193	2531	2691	2542	454	553	451
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	CBRIG.II.g6090.t1	1	300	+	300	145	141	134	187	222	175
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	CBRIG.II.g6092.t1	1	2778	+	2778	1095	1066	1110	1571	1565	1775
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	CBRIG.II.g6102.t1	1	1935	+	1935	784	697	755	358	336	371
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	CBRIG.II.g6106.t1	1	477	+	477	141	183	241	117	104	71
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	CBRIG.II.g6128.t1	1	837	+	837	340	352	358	184	163	156
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	CBRIG.II.g6166.t2	1	3888	+	3888	22037	22139	22612	1468	1669	1625
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	CBRIG.II.g6167.t1	1	387	+	387	317	294	368	60	68	90
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	CBRIG.II.g6168.t1	1	630	+	630	276	240	238	252	188	287
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	CBRIG.II.g6184.t2	1	4011	+	4011	1623	1539	1590	2458	2434	2324
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	CBRIG.II.g6195.t1	1	627	+	627	275	197	303	378	327	396
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	CBRIG.II.g6257.t1	1	492	+	492	815	708	746	201	149	197
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	CBRIG.II.g6276.t1	1	1122	+	1122	454	441	531	260	198	233
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	CBRIG.II.g6277.t1	1	573	+	573	1007	1005	1046	241	209	177
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	CBRIG.II.g6298.t1	1	501	+	501	2139	2206	2155	502	571	479
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	CBRIG.II.g6305.t1	1	567	+	567	467	501	368	183	188	217
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	CBRIG.II.g6319.t1	1	546	+	546	677	657	595	86	117	116
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	CBRIG.II.g6327.t1	1	690	+	690	632	604	539	538	534	439
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	CBRIG.II.g6358.t1	1	327	+	327	699	645	680	47	78	66
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	CBRIG.II.g6410.t1	1	306	+	306	491	518	455	70	71	61
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	CBRIG.II.g6424.t1	1	438	+	438	167	144	197	79	80	75
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	CBRIG.II.g6453.t1	1	924	+	924	421	407	447	181	179	182
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	CBRIG.II.g6463.t3	1	939	+	939	368	485	425	203	187	156
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	CBRIG.II.g6547.t1	1	312	+	312	136	75	136	117	117	114
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	CBRIG.II.g6558.t1	1	327	+	327	142	133	158	162	155	126
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	CBRIG.II.g6561.t1	1	462	+	462	731	666	805	102	103	107
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	CBRIG.II.g6656.t1	1	681	+	681	265	288	277	429	434	445
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	CBRIG.II.g6685.t1	1	579	+	579	209	249	261	354	316	424
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	CBRIG.II.g6686.t1	1	591	+	591	471	460	503	111	99	119
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	CBRIG.II.g6702.t2	1	456	+	456	217	152	212	69	112	121
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	CBRIG.II.g6703.t1	1	822	+	822	1001	990	979	498	464	554
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	CBRIG.II.g6705.t2	1	993	+	993	1949	2156	2013	346	382	383
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	CBRIG.II.g6721.t1	1	540	+	540	209	201	270	125	110	110
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	CBRIG.II.g6744.t1	1	549	+	549	190	180	197	118	95	133
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	CBRIG.II.g6766.t2	1	483	+	483	224	126	196	99	137	82
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	CBRIG.II.g6793.t2	1	954	+	954	282	389	447	198	187	192
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	CBRIG.II.g6843.t1	1	456	+	456	1208	1354	1279	102	102	102
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	CBRIG.II.g7093.t1	1	585	+	585	510	470	500	100	154	110
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	CBRIG.II.g7094.t1	1	432	+	432	212	142	186	100	73	60
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	CBRIG.II.g7112.t1	1	1203	+	1203	513	508	461	219	242	293
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	CBRIG.II.g7117.t5	1	2241	+	2241	1754	1736	1754	511	451	474
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	CBRIG.II.g7130.t1	1	408	+	408	151	183	150	76	57	103
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	CBRIG.II.g7165.t3	1	1284	+	1284	571	547	514	227	238	286
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	CBRIG.II.g7317.t1	1	522	+	522	1764	1626	1731	105	84	140
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	CBRIG.II.g7367.t1	1	963	+	963	1496	1570	1601	202	173	145
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	CBRIG.II.g7381.t1	1	1269	+	1269	2014	1894	2011	284	317	250
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	CBRIG.II.g7397.t1	1	1158	+	1158	1301	1337	1405	706	689	717
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	CBRIG.III.g10012.t1	1	3870	+	3870	3370	2947	3118	820	891	733
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	CBRIG.III.g10014.t1	1	4845	+	4845	1869	1964	1853	1057	995	950
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	CBRIG.III.g10036.t2	1	537	+	537	1355	1281	1316	115	96	116
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	CBRIG.III.g10037.t1	1	1515	+	1515	543	576	585	292	325	267
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	CBRIG.III.g10063.t4	1	4491	+	4491	1871	1840	1963	906	882	936
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	CBRIG.III.g10082.t1	1	867	+	867	379	355	326	134	169	167
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	CBRIG.III.g10088.t1	1	384	+	384	293	262	272	63	95	95
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	CBRIG.III.g10148.t2	1	1122	+	1122	1783	1829	1819	389	447	464
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	CBRIG.III.g10152.t1	1	552	+	552	248	221	266	233	218	202
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	CBRIG.III.g10176.t1	1	870	+	870	1124	1096	1204	335	299	338
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	CBRIG.III.g10183.t1	1	519	+	519	177	177	199	128	80	87
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	CBRIG.III.g10202.t1	1	2115	+	2115	849	888	843	711	858	853
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	CBRIG.III.g10204.t1	1	204	+	204	67	81	72	38	37	48
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	CBRIG.III.g10209.t1	1	2790	+	2790	2132	2216	2275	1145	1120	1143
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	CBRIG.III.g10213.t1	1	480	+	480	597	626	582	86	101	141
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	CBRIG.III.g10218.t1	1	939	+	939	378	429	337	200	134	179
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	CBRIG.III.g10247.t1	1	273	+	273	175	225	180	32	31	74
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	CBRIG.III.g10268.t2	1	1185	+	1185	462	543	504	235	233	246
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	CBRIG.III.g10320.t1	1	1836	+	1836	664	719	710	408	310	401
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	CBRIG.III.g10321.t1	1	987	+	987	1558	1561	1482	167	171	175
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	CBRIG.III.g10323.t1	1	939	+	939	413	349	375	232	232	209
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	CBRIG.III.g10335.t2	1	3279	+	3279	2673	2501	2533	625	667	668
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	CBRIG.III.g10344.t2	1	1086	+	1086	415	473	498	204	226	235
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	CBRIG.III.g10355.t1	1	363	+	363	154	181	150	63	79	73
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	CBRIG.III.g7423.t1	1	423	+	423	294	332	286	605	558	459
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	CBRIG.III.g7436.t2	1	1284	+	1284	1567	1703	1428	260	233	262
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	CBRIG.III.g7440.t1	1	1137	+	1137	490	426	395	196	170	194
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	CBRIG.III.g7485.t3	1	900	+	900	1356	1389	1430	335	331	352
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	CBRIG.III.g7496.t1	1	621	+	621	271	230	228	142	114	139
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	CBRIG.III.g7541.t1	1	900	+	900	347	381	371	189	197	181
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	CBRIG.III.g7617.t1	1	348	+	348	150	164	151	97	85	68
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	CBRIG.III.g7639.t1	1	357	+	357	251	302	248	58	63	87
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	CBRIG.III.g7647.t3	1	5907	+	5907	4831	4709	4664	4541	4869	4834
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	CBRIG.III.g7667.t3	1	2022	+	2022	9091	9317	8711	367	392	444
CBRIG.III.g7683.t1__CNIGO.Cnig_chr_III.g8637.t1	CBRIG.III.g7683.t1	1	1164	+	1164	4089	3719	3650	270	264	297
CBRIG.III.g7690.t1__CNIGO.Cnig_chr_III.g8628.t1	CBRIG.III.g7690.t1	1	1947	+	1947	728	769	770	324	402	358
CBRIG.III.g7698.t1__CNIGO.Cnig_chr_III.g8615.t1	CBRIG.III.g7698.t1	1	279	+	279	201	215	225	91	96	111
CBRIG.III.g7712.t1__CNIGO.Cnig_chr_III.g8597.t1	CBRIG.III.g7712.t1	1	1188	+	1188	970	902	953	248	204	202
CBRIG.III.g7725.t1__CNIGO.Cnig_chr_III.g10041.t1	CBRIG.III.g7725.t1	1	1110	+	1110	1399	1272	1493	209	199	220
CBRIG.III.g7739.t1__CNIGO.Cnig_chr_III.g8744.t3	CBRIG.III.g7739.t1	1	2598	+	2598	1977	2044	2065	978	1042	968
CBRIG.III.g7758.t2__CNIGO.Cnig_chr_III.g8765.t1	CBRIG.III.g7758.t2	1	999	+	999	391	414	436	394	427	379
CBRIG.III.g7784.t1__CNIGO.Cnig_chr_III.g8830.t2	CBRIG.III.g7784.t1	1	1782	+	1782	779	660	649	2944	2755	2846
CBRIG.III.g7799.t1__CNIGO.Cnig_chr_III.g8809.t1	CBRIG.III.g7799.t1	1	606	+	606	271	284	234	127	114	92
CBRIG.III.g7815.t1__CNIGO.Cnig_chr_III.g8797.t3	CBRIG.III.g7815.t1	1	3447	+	3447	4193	4214	4015	698	751	661
CBRIG.III.g7832.t3__CNIGO.Cnig_chr_III.g8846.t1	CBRIG.III.g7832.t3	1	999	+	999	420	334	463	215	182	188
CBRIG.III.g7864.t1__CNIGO.Cnig_chr_III.g8894.t1	CBRIG.III.g7864.t1	1	1521	+	1521	1231	1292	1192	338	334	286
CBRIG.III.g7931.t1__CNIGO.Cnig_chr_III.g9010.t1	CBRIG.III.g7931.t1	1	531	+	531	202	190	290	484	485	488
CBRIG.III.g7944.t2__CNIGO.Cnig_chr_III.g9020.t2	CBRIG.III.g7944.t2	1	1755	+	1755	2763	2801	2681	340	349	355
CBRIG.III.g7975.t2__CNIGO.Cnig_chr_III.g9130.t1	CBRIG.III.g7975.t2	1	2397	+	2397	2082	1873	1876	535	468	429
CBRIG.III.g7982.t1__CNIGO.Cnig_chr_III.g9134.t2	CBRIG.III.g7982.t1	1	3183	+	3183	5083	5092	5369	1800	1949	1895
CBRIG.III.g7996.t1__CNIGO.Cnig_chr_III.g9156.t1	CBRIG.III.g7996.t1	1	306	+	306	110	134	112	59	33	49
CBRIG.III.g8006.t2__CNIGO.Cnig_chr_III.g9175.t1	CBRIG.III.g8006.t2	1	1641	+	1641	587	671	601	365	351	374
CBRIG.III.g8033.t1__CNIGO.Cnig_chr_III.g9285.t1	CBRIG.III.g8033.t1	1	267	+	267	802	643	605	63	61	94
CBRIG.III.g8102.t1__CNIGO.Cnig_chr_III.g9335.t1	CBRIG.III.g8102.t1	1	1365	+	1365	563	613	506	471	558	491
CBRIG.III.g8108.t2__CNIGO.Cnig_chr_III.g9340.t1	CBRIG.III.g8108.t2	1	510	+	510	168	258	157	94	148	74
CBRIG.III.g8128.t1__CNIGO.Cnig_chr_III.g9369.t2	CBRIG.III.g8128.t1	1	1182	+	1182	463	502	452	218	257	200
CBRIG.III.g8144.t1__CNIGO.Cnig_chr_III.g9383.t2	CBRIG.III.g8144.t1	1	2931	+	2931	1058	1218	1123	540	592	631
CBRIG.III.g8163.t1__CNIGO.Cnig_chr_III.g9412.t1	CBRIG.III.g8163.t1	1	420	+	420	310	359	392	63	117	113
CBRIG.III.g8178.t1__CNIGO.Cnig_chr_III.g9428.t1	CBRIG.III.g8178.t1	1	510	+	510	203	211	193	405	395	419
CBRIG.III.g8185.t1__CNIGO.Cnig_chr_III.g9434.t1	CBRIG.III.g8185.t1	1	1494	+	1494	589	658	514	237	318	295
CBRIG.III.g8186.t1__CNIGO.Cnig_chr_III.g9435.t2	CBRIG.III.g8186.t1	1	2217	+	2217	982	907	894	953	858	837
CBRIG.III.g8248.t1__CNIGO.Cnig_chr_III.g9503.t1	CBRIG.III.g8248.t1	1	357	+	357	155	167	143	167	102	157
CBRIG.III.g8270.t1__CNIGO.Cnig_chr_III.g9515.t1	CBRIG.III.g8270.t1	1	867	+	867	367	302	320	1049	1065	987
CBRIG.III.g8271.t1__CNIGO.Cnig_chr_III.g9514.t1	CBRIG.III.g8271.t1	1	609	+	609	241	245	275	493	543	544
CBRIG.III.g8297.t1__CNIGO.Cnig_chr_III.g9563.t1	CBRIG.III.g8297.t1	1	924	+	924	370	360	441	187	207	174
CBRIG.III.g8304.t1__CNIGO.Cnig_chr_III.g9570.t1	CBRIG.III.g8304.t1	1	1167	+	1167	996	894	948	691	708	666
CBRIG.III.g8314.t1__CNIGO.Cnig_chr_III.g9585.t1	CBRIG.III.g8314.t1	1	696	+	696	1134	1114	983	410	372	397
