Geneid	Cbr_1_Cbr	Cbr_2_Cbr	Cbr_3_Cbr	HF1_1_Cbr	HF1_2_Cbr	HF1_3_Cbr	Cni_1_Cni	Cni_2_Cni	Cni_3_Cni	HF1_1_Cni	HF1_2_Cni	HF1_3_Cni
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	733	892	778	265	174	229	266	224	231	96	116	112
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	796	665	640	755	618	742	6108	6178	6252	366	317	388
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	576	573	637	436	340	293	1605	1745	1664	1583	1384	1549
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	838	723	795	69	61	44	134	176	157	192	102	148
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	723	692	691	313	350	370	1415	1527	1544	812	745	732
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	1629	1496	1744	472	425	385	950	885	1000	1802	1867	1799
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	126	96	134	81	60	97	453	512	428	105	109	137
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	288	280	348	890	803	745	283	319	246	135	141	121
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	735	986	794	219	215	153	386	483	448	1429	1372	1623
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	705	774	691	430	348	372	224	226	210	81	103	109
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	994	837	1050	2584	2668	2659	2179	2253	2220	196	229	249
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	250	314	283	1314	1252	1161	371	406	335	160	192	161
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	344	315	324	396	317	321	894	900	1010	214	166	160
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	1000	989	1035	165	160	192	380	312	327	803	867	887
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	334	282	325	368	319	286	2166	1868	1909	520	550	436
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	398	465	450	489	408	450	493	343	436	181	265	172
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	1197	1123	1110	544	552	563	1207	1271	1216	594	642	612
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	350	480	408	215	213	198	406	422	522	231	187	244
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	4299	4213	4175	249	274	211	561	460	493	1785	1754	1753
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	365	375	377	224	247	266	1202	1270	1185	203	191	211
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	1142	1289	1095	402	353	420	426	390	352	154	212	186
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	250	255	179	73	130	101	218	234	202	139	93	94
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	272	352	375	430	510	436	176	189	199	107	98	103
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	170	224	197	91	149	85	389	396	434	717	758	733
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	386	405	378	193	156	202	1380	1386	1387	362	355	321
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	314	405	439	44	62	64	107	129	123	52	68	49
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	335	274	347	160	132	164	1509	1435	1567	452	432	475
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	388	409	432	395	476	403	1301	1234	1158	199	183	196
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	2531	2691	2542	454	553	451	831	815	799	351	329	399
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	145	141	134	187	222	175	818	888	739	52	45	64
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	1095	1066	1110	1571	1565	1775	1196	1098	1057	565	606	630
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	784	697	755	358	336	371	2263	2393	2274	502	385	430
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	141	183	241	117	104	71	152	163	208	73	115	93
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	340	352	358	184	163	156	560	636	629	185	177	153
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	22037	22139	22612	1468	1669	1625	1322	1376	1468	735	839	635
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	317	294	368	60	68	90	97	143	151	136	147	133
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	276	240	238	252	188	287	648	690	634	145	175	139
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	1623	1539	1590	2458	2434	2324	14701	14332	14355	767	709	812
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	275	197	303	378	327	396	757	839	688	137	151	108
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	815	708	746	201	149	197	151	208	183	59	113	99
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	454	441	531	260	198	233	1294	1413	1240	652	741	700
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	1007	1005	1046	241	209	177	235	169	191	123	71	116
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	2139	2206	2155	502	571	479	230	157	219	96	104	96
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	467	501	368	183	188	217	303	300	256	158	139	135
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	677	657	595	86	117	116	239	174	144	93	80	62
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	632	604	539	538	534	439	277	299	309	165	183	151
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	699	645	680	47	78	66	177	195	136	89	119	80
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	491	518	455	70	71	61	293	287	229	127	92	137
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	167	144	197	79	80	75	162	181	209	90	61	66
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	421	407	447	181	179	182	513	403	471	906	867	974
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	368	485	425	203	187	156	954	982	1056	278	349	371
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	136	75	136	117	117	114	950	769	852	133	150	96
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	142	133	158	162	155	126	1617	1693	1484	167	208	224
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	731	666	805	102	103	107	170	131	196	233	174	152
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	265	288	277	429	434	445	3056	3000	3144	330	481	368
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	209	249	261	354	316	424	271	276	227	126	62	126
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	471	460	503	111	99	119	288	294	359	121	153	168
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	217	152	212	69	112	121	392	319	307	78	87	63
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	1001	990	979	498	464	554	885	877	1064	498	452	477
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	1949	2156	2013	346	382	383	433	430	378	225	177	130
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	209	201	270	125	110	110	229	234	210	111	133	66
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	190	180	197	118	95	133	561	578	602	173	175	158
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	224	126	196	99	137	82	150	150	211	198	221	183
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	282	389	447	198	187	192	181	165	160	47	57	57
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	1208	1354	1279	102	102	102	152	165	182	71	132	88
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	510	470	500	100	154	110	262	183	227	658	621	580
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	212	142	186	100	73	60	700	755	740	90	113	74
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	513	508	461	219	242	293	405	449	492	241	196	255
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	1754	1736	1754	511	451	474	356	283	281	165	146	112
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	151	183	150	76	57	103	548	584	559	135	139	140
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	571	547	514	227	238	286	1276	1223	1297	297	256	260
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	1764	1626	1731	105	84	140	106	141	172	279	239	309
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	1496	1570	1601	202	173	145	446	407	460	255	209	225
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	2014	1894	2011	284	317	250	422	498	558	1085	1003	1034
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	1301	1337	1405	706	689	717	483	383	489	211	202	208
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	3370	2947	3118	820	891	733	3828	3874	3572	1977	1894	2060
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	1869	1964	1853	1057	995	950	6100	6040	5804	2882	2987	2821
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	1355	1281	1316	115	96	116	196	308	189	131	119	108
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	543	576	585	292	325	267	568	623	620	322	289	303
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	1871	1840	1963	906	882	936	1400	1414	1425	2149	2191	2333
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	379	355	326	134	169	167	975	1069	1172	300	371	369
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	293	262	272	63	95	95	120	122	159	47	65	83
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	1783	1829	1819	389	447	464	477	428	434	245	200	239
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	248	221	266	233	218	202	293	217	250	102	122	81
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	1124	1096	1204	335	299	338	143	79	104	57	55	34
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	177	177	199	128	80	87	1531	1596	1718	458	474	522
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	849	888	843	711	858	853	1062	1281	1174	606	495	553
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	67	81	72	38	37	48	167	150	149	81	121	93
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	2132	2216	2275	1145	1120	1143	1182	1144	993	564	690	577
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	597	626	582	86	101	141	374	389	336	313	357	288
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	378	429	337	200	134	179	787	720	793	440	377	334
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	175	225	180	32	31	74	186	193	182	239	312	285
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	462	543	504	235	233	246	1364	1398	1480	522	438	449
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	664	719	710	408	310	401	1386	1393	1382	1117	1040	912
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	1558	1561	1482	167	171	175	328	359	267	201	164	153
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	413	349	375	232	232	209	451	478	432	114	209	180
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	2673	2501	2533	625	667	668	1637	1419	1406	789	743	828
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	415	473	498	204	226	235	1322	1235	1321	400	328	477
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	154	181	150	63	79	73	663	701	714	110	135	176
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	294	332	286	605	558	459	164	190	171	92	110	73
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	1567	1703	1428	260	233	262	490	529	507	2470	2741	2701
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	490	426	395	196	170	194	809	753	862	1025	936	875
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	1356	1389	1430	335	331	352	399	413	362	202	165	163
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	271	230	228	142	114	139	248	231	231	360	486	321
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	347	381	371	189	197	181	313	344	391	149	176	171
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	150	164	151	97	85	68	514	505	511	78	78	69
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	251	302	248	58	63	87	270	333	266	571	589	603
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	4831	4709	4664	4541	4869	4834	2247	2388	2323	1100	1165	1355
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	9091	9317	8711	367	392	444	584	571	629	289	337	300
CBRIG.III.g7683.t1__CNIGO.Cnig_chr_III.g8637.t1	4089	3719	3650	270	264	297	467	535	401	1399	1346	1373
CBRIG.III.g7690.t1__CNIGO.Cnig_chr_III.g8628.t1	728	769	770	324	402	358	2707	2474	2658	765	910	827
CBRIG.III.g7698.t1__CNIGO.Cnig_chr_III.g8615.t1	201	215	225	91	96	111	234	242	221	125	73	125
CBRIG.III.g7712.t1__CNIGO.Cnig_chr_III.g8597.t1	970	902	953	248	204	202	290	271	270	124	172	129
CBRIG.III.g7725.t1__CNIGO.Cnig_chr_III.g10041.t1	1399	1272	1493	209	199	220	476	476	471	464	483	485
CBRIG.III.g7739.t1__CNIGO.Cnig_chr_III.g8744.t3	1977	2044	2065	978	1042	968	1031	1030	1069	487	487	522
CBRIG.III.g7758.t2__CNIGO.Cnig_chr_III.g8765.t1	391	414	436	394	427	379	363	404	466	183	201	239
CBRIG.III.g7784.t1__CNIGO.Cnig_chr_III.g8830.t2	779	660	649	2944	2755	2846	3671	4013	3792	357	397	369
CBRIG.III.g7799.t1__CNIGO.Cnig_chr_III.g8809.t1	271	284	234	127	114	92	417	444	391	429	420	348
CBRIG.III.g7815.t1__CNIGO.Cnig_chr_III.g8797.t3	4193	4214	4015	698	751	661	1746	1747	1693	3176	3467	3292
CBRIG.III.g7832.t3__CNIGO.Cnig_chr_III.g8846.t1	420	334	463	215	182	188	1402	1328	1388	371	356	283
CBRIG.III.g7864.t1__CNIGO.Cnig_chr_III.g8894.t1	1231	1292	1192	338	334	286	573	583	528	712	551	691
CBRIG.III.g7931.t1__CNIGO.Cnig_chr_III.g9010.t1	202	190	290	484	485	488	377	445	425	108	122	70
CBRIG.III.g7944.t2__CNIGO.Cnig_chr_III.g9020.t2	2763	2801	2681	340	349	355	591	617	648	909	935	929
CBRIG.III.g7975.t2__CNIGO.Cnig_chr_III.g9130.t1	2082	1873	1876	535	468	429	972	951	1025	499	482	556
CBRIG.III.g7982.t1__CNIGO.Cnig_chr_III.g9134.t2	5083	5092	5369	1800	1949	1895	1559	1639	1526	858	798	784
CBRIG.III.g7996.t1__CNIGO.Cnig_chr_III.g9156.t1	110	134	112	59	33	49	108	126	98	29	45	73
CBRIG.III.g8006.t2__CNIGO.Cnig_chr_III.g9175.t1	587	671	601	365	351	374	764	696	771	263	302	310
CBRIG.III.g8033.t1__CNIGO.Cnig_chr_III.g9285.t1	802	643	605	63	61	94	184	159	158	67	78	111
CBRIG.III.g8102.t1__CNIGO.Cnig_chr_III.g9335.t1	563	613	506	471	558	491	1091	1110	1106	275	257	231
CBRIG.III.g8108.t2__CNIGO.Cnig_chr_III.g9340.t1	168	258	157	94	148	74	179	216	266	65	128	109
CBRIG.III.g8128.t1__CNIGO.Cnig_chr_III.g9369.t2	463	502	452	218	257	200	503	460	483	224	242	239
CBRIG.III.g8144.t1__CNIGO.Cnig_chr_III.g9383.t2	1058	1218	1123	540	592	631	2020	2126	2158	1035	1066	1060
CBRIG.III.g8163.t1__CNIGO.Cnig_chr_III.g9412.t1	310	359	392	63	117	113	209	197	173	83	91	95
CBRIG.III.g8178.t1__CNIGO.Cnig_chr_III.g9428.t1	203	211	193	405	395	419	210	246	259	126	187	83
CBRIG.III.g8185.t1__CNIGO.Cnig_chr_III.g9434.t1	589	658	514	237	318	295	2935	3029	3132	660	711	649
CBRIG.III.g8186.t1__CNIGO.Cnig_chr_III.g9435.t2	982	907	894	953	858	837	840	920	918	420	399	495
CBRIG.III.g8248.t1__CNIGO.Cnig_chr_III.g9503.t1	155	167	143	167	102	157	1288	1256	1301	104	96	92
CBRIG.III.g8270.t1__CNIGO.Cnig_chr_III.g9515.t1	367	302	320	1049	1065	987	375	294	343	161	129	167
CBRIG.III.g8271.t1__CNIGO.Cnig_chr_III.g9514.t1	241	245	275	493	543	544	754	901	910	159	127	164
CBRIG.III.g8297.t1__CNIGO.Cnig_chr_III.g9563.t1	370	360	441	187	207	174	1483	1298	1532	583	561	548
CBRIG.III.g8304.t1__CNIGO.Cnig_chr_III.g9570.t1	996	894	948	691	708	666	523	532	515	236	314	256
CBRIG.III.g8314.t1__CNIGO.Cnig_chr_III.g9585.t1	1134	1114	983	410	372	397	288	273	318	148	138	135
CBRIG.III.g8316.t1__CNIGO.Cnig_chr_III.g9588.t2	215	183	259	82	77	115	642	659	634	322	288	279
CBRIG.III.g8330.t1__CNIGO.Cnig_chr_III.g9599.t1	820	777	808	1280	1173	1041	1772	1445	1619	417	397	404
CBRIG.III.g8336.t2__CNIGO.Cnig_chr_III.g9608.t1	232	285	267	91	131	124	2357	2330	2179	210	170	204
CBRIG.III.g8371.t1__CNIGO.Cnig_chr_III.g9644.t1	1114	1153	1129	232	196	210	389	391	443	907	723	736
CBRIG.III.g8377.t1__CNIGO.Cnig_chr_III.g9651.t1	1262	1196	1300	175	133	150	250	272	231	128	165	142
CBRIG.III.g8408.t1__CNIGO.Cnig_chr_III.g9681.t2	260	321	226	132	177	124	2783	2784	3034	576	486	436
CBRIG.III.g8424.t1__CNIGO.Cnig_chr_III.g9695.t1	4256	4073	4359	1261	1378	1442	1409	1594	1669	707	743	792
CBRIG.III.g8437.t1__CNIGO.Cnig_chr_III.g9709.t1	423	423	492	493	443	514	2002	1789	1718	214	184	227
CBRIG.III.g8533.t2__CNIGO.Cnig_chr_III.g9777.t3	343	342	329	360	331	360	825	817	784	186	165	164
CBRIG.III.g8557.t1__CNIGO.Cnig_chr_III.g9804.t2	608	555	536	68	70	76	155	82	143	31	80	51
CBRIG.III.g8573.t3__CNIGO.Cnig_chr_III.g9822.t2	688	782	857	120	100	154	320	337	394	149	175	149
CBRIG.III.g8642.t1__CNIGO.Cnig_chr_III.g9893.t1	768	800	790	192	169	203	353	379	380	581	579	586
CBRIG.III.g8669.t1__CNIGO.Cnig_chr_III.g9919.t2	379	321	421	156	195	154	340	412	360	354	370	387
CBRIG.III.g8671.t2__CNIGO.Cnig_chr_III.g9921.t1	1750	2097	1896	454	490	415	893	952	1001	477	481	450
CBRIG.III.g8701.t1__CNIGO.Cnig_chr_III.g9956.t1	769	833	822	1339	1261	1291	4216	4370	4584	427	438	358
CBRIG.III.g8741.t1__CNIGO.Cnig_chr_III.g9997.t2	766	857	853	863	992	963	285	300	255	165	156	134
CBRIG.III.g8745.t1__CNIGO.Cnig_chr_III.g10002.t1	1961	1789	1876	268	215	249	494	453	414	466	516	411
CBRIG.III.g8762.t1__CNIGO.Cnig_chr_III.g10023.t1	1604	1518	1625	422	296	372	811	772	711	716	837	661
CBRIG.III.g8764.t1__CNIGO.Cnig_chr_III.g10031.t1	388	322	371	130	89	101	191	282	232	220	171	210
CBRIG.III.g8775.t1__CNIGO.Cnig_chr_III.g10046.t1	580	469	448	511	549	626	962	937	996	229	224	268
CBRIG.III.g8809.t2__CNIGO.Cnig_chr_III.g10085.t1	984	933	1024	261	271	219	499	436	507	479	440	447
CBRIG.III.g8869.t1__CNIGO.Cnig_chr_III.g10140.t1	389	318	369	218	172	172	1452	1488	1620	165	258	302
CBRIG.III.g8872.t1__CNIGO.Cnig_chr_III.g10143.t1	6270	5852	6112	510	453	461	982	993	981	501	435	527
CBRIG.III.g8876.t1__CNIGO.Cnig_chr_III.g10146.t1	393	345	427	150	213	164	750	861	727	213	202	188
CBRIG.III.g8915.t2__CNIGO.Cnig_chr_III.g10182.t1	395	415	366	172	182	174	1101	1084	1103	308	281	322
CBRIG.III.g8947.t1__CNIGO.Cnig_chr_III.g10205.t2	1672	1815	1863	770	711	842	1645	1716	1708	2567	2537	2507
CBRIG.III.g8960.t1__CNIGO.Cnig_chr_III.g10218.t1	747	622	697	355	313	356	3384	3306	3263	665	621	683
CBRIG.III.g8996.t1__CNIGO.Cnig_chr_III.g10267.t1	422	424	458	209	172	216	556	457	496	489	514	559
CBRIG.III.g9020.t1__CNIGO.Cnig_chr_III.g10290.t1	366	427	393	174	187	207	615	630	591	176	149	112
CBRIG.III.g9021.t1__CNIGO.Cnig_chr_III.g10291.t1	276	293	238	189	149	140	560	596	547	187	173	131
CBRIG.III.g9027.t1__CNIGO.Cnig_chr_III.g10296.t2	636	592	659	210	137	143	240	306	351	437	546	398
CBRIG.III.g9036.t3__CNIGO.Cnig_chr_III.g10313.t1	1466	1334	1533	2006	2021	2241	5270	5545	5453	703	669	708
CBRIG.III.g9071.t1__CNIGO.Cnig_chr_III.g10363.t1	1212	1067	1168	326	376	301	370	380	394	173	180	163
CBRIG.III.g9096.t1__CNIGO.Cnig_chr_III.g10418.t1	2824	2697	2880	1401	1286	1327	5490	5476	5312	2611	2758	2468
CBRIG.III.g9117.t1__CNIGO.Cnig_chr_III.g10441.t1	3237	3211	3159	180	155	183	388	386	429	642	594	621
CBRIG.III.g9167.t2__CNIGO.Cnig_chr_III.g10496.t1	553	632	539	688	842	824	2315	2327	2006	254	292	271
CBRIG.III.g9176.t1__CNIGO.Cnig_chr_III.g10506.t1	215	185	206	226	187	212	353	362	363	93	61	104
CBRIG.III.g9181.t3__CNIGO.Cnig_chr_III.g10511.t1	455	392	431	218	245	206	935	812	933	205	243	260
CBRIG.III.g9196.t1__CNIGO.Cnig_chr_III.g10526.t2	3847	4033	4097	866	906	1079	772	694	641	1032	1099	1058
CBRIG.III.g9212.t1__CNIGO.Cnig_chr_III.g10547.t1	382	408	451	172	181	239	395	426	369	239	229	183
CBRIG.III.g9221.t1__CNIGO.Cnig_chr_III.g10555.t1	589	443	433	234	249	236	518	534	508	308	268	218
CBRIG.III.g9258.t2__CNIGO.Cnig_chr_III.g10599.t3	593	601	661	279	291	272	2582	2494	2438	580	573	536
CBRIG.III.g9264.t2__CNIGO.Cnig_chr_III.g10605.t1	355	374	352	155	236	170	798	952	983	214	240	286
CBRIG.III.g9301.t1__CNIGO.Cnig_chr_III.g10642.t1	634	648	561	108	104	103	278	196	207	266	257	207
CBRIG.III.g9309.t1__CNIGO.Cnig_chr_III.g10650.t1	363	336	355	288	238	208	225	198	146	86	74	70
CBRIG.III.g9310.t1__CNIGO.Cnig_chr_III.g10651.t1	185	176	192	100	121	165	455	390	410	236	220	231
CBRIG.III.g9351.t1__CNIGO.Cnig_chr_III.g10693.t3	3938	3867	3669	650	593	639	1230	1179	1381	595	681	727
CBRIG.III.g9357.t2__CNIGO.Cnig_chr_III.g10700.t1	1658	1756	1509	649	610	555	455	415	421	220	208	186
CBRIG.III.g9367.t1__CNIGO.Cnig_chr_III.g10708.t2	541	553	475	576	553	590	1058	1140	1121	283	262	222
CBRIG.III.g9369.t1__CNIGO.Cnig_chr_III.g10731.t1	407	382	313	194	210	237	263	386	359	175	162	197
CBRIG.III.g9412.t1__CNIGO.Cnig_chr_III.g10755.t1	192	129	108	73	85	68	557	552	585	1382	1437	1522
CBRIG.III.g9416.t1__CNIGO.Cnig_chr_III.g10761.t1	200	214	239	125	157	81	258	168	233	155	131	109
CBRIG.III.g9419.t1__CNIGO.Cnig_chr_III.g10825.t2	280	208	269	313	407	309	618	637	792	107	67	90
CBRIG.III.g9423.t1__CNIGO.Cnig_chr_III.g10776.t1	469	470	440	449	453	496	158	166	193	86	87	74
CBRIG.III.g9466.t1__CNIGO.Cnig_chr_III.g10820.t1	772	840	855	139	150	156	308	290	285	190	143	95
CBRIG.III.g9469.t2__CNIGO.Cnig_chr_III.g10822.t2	8278	8619	8322	722	749	648	1589	1647	1707	1557	1698	1696
CBRIG.III.g9476.t1__CNIGO.Cnig_chr_III.g10829.t1	781	851	825	183	168	227	429	438	453	994	1020	1008
CBRIG.III.g9487.t1__CNIGO.Cnig_chr_III.g10845.t1	111	151	142	86	64	84	196	197	260	133	117	126
CBRIG.III.g9492.t1__CNIGO.Cnig_chr_III.g10851.t3	563	557	617	274	306	313	2575	2572	2297	641	575	699
CBRIG.III.g9524.t2__CNIGO.Cnig_chr_III.g10879.t1	565	458	536	829	812	753	2142	2162	2120	222	194	241
CBRIG.III.g9526.t2__CNIGO.Cnig_chr_III.g10881.t1	1128	962	1039	432	480	483	2767	2710	2690	466	384	458
CBRIG.III.g9565.t1__CNIGO.Cnig_chr_III.g10957.t1	130	79	86	71	65	94	119	90	95	60	50	102
CBRIG.III.g9749.t1__CNIGO.Cnig_chr_III.g11072.t1	452	389	508	44	54	47	83	98	113	501	477	550
CBRIG.III.g9771.t1__CNIGO.Cnig_chr_III.g11120.t1	648	728	629	285	273	266	1786	2151	1904	303	294	344
CBRIG.III.g9862.t1__CNIGO.Cnig_chr_III.g11259.t1	2064	2042	2095	160	189	165	382	417	381	639	642	575
CBRIG.III.g9901.t1__CNIGO.Cnig_chr_III.g11311.t1	506	516	572	976	1002	913	945	948	870	256	232	223
CBRIG.III.g9915.t1__CNIGO.Cnig_chr_III.g11327.t1	372	311	300	72	86	59	235	200	159	116	104	121
CBRIG.III.g9916.t1__CNIGO.Cnig_chr_III.g11330.t2	746	672	745	371	397	310	297	271	228	139	104	136
CBRIG.III.g9919.t1__CNIGO.Cnig_chr_III.g11333.t1	333	272	305	120	159	163	385	292	358	375	255	359
CBRIG.III.g9934.t1__CNIGO.Cnig_chr_III.g11355.t1	979	905	973	947	993	900	7364	7531	7626	438	499	421
CBRIG.III.g9940.t1__CNIGO.Cnig_chr_III.g11407.t1	1588	1573	1445	404	407	398	730	708	829	333	299	367
CBRIG.III.g9948.t1__CNIGO.Cnig_chr_III.g11395.t2	497	432	452	192	217	165	883	906	855	239	229	242
CBRIG.III.g9993.t1__CNIGO.Cnig_chr_III.g11023.t1	117	112	120	63	53	50	271	289	421	313	276	267
