# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "nigoni.cds.small.gff" "-o" "counts/Cni_fc.counts.txt" "alignments/Cni_1_Cni.sorted.bam" "alignments/Cni_2_Cni.sorted.bam" "alignments/Cni_3_Cni.sorted.bam" "alignments/hf1_split/HF1_1_Cni.sorted.bam" "alignments/hf1_split/HF1_2_Cni.sorted.bam" "alignments/hf1_split/HF1_3_Cni.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/Cni_1_Cni.sorted.bam	alignments/Cni_2_Cni.sorted.bam	alignments/Cni_3_Cni.sorted.bam	alignments/hf1_split/HF1_1_Cni.sorted.bam	alignments/hf1_split/HF1_2_Cni.sorted.bam	alignments/hf1_split/HF1_3_Cni.sorted.bam
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	CNIGO.Cnig_chr_II.g4616.t1	1	579	+	579	474	508	480	131	130	117
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	CNIGO.Cnig_chr_II.g4662.t2	1	1968	+	1968	2281	2305	2276	473	437	366
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	CNIGO.Cnig_chr_II.g4644.t1	1	681	+	681	2182	2187	2203	598	576	574
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	CNIGO.Cnig_chr_II.g4666.t2	1	939	+	939	381	393	379	228	168	204
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	CNIGO.Cnig_chr_II.g4688.t1	1	552	+	552	240	233	208	88	84	104
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	CNIGO.Cnig_chr_II.g4713.t1	1	1245	+	1245	1036	904	1013	251	213	269
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	CNIGO.Cnig_chr_II.g4735.t1	1	1800	+	1800	803	604	624	380	363	301
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	CNIGO.Cnig_chr_II.g4808.t2	1	1287	+	1287	1058	1020	992	249	236	233
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	CNIGO.Cnig_chr_II.g5039.t1	1	678	+	678	273	251	250	362	417	446
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	CNIGO.Cnig_chr_II.g5030.t1	1	1812	+	1812	760	710	740	1073	1080	1133
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	CNIGO.Cnig_chr_II.g5016.t1	1	936	+	936	347	404	474	198	150	205
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	CNIGO.Cnig_chr_II.g5009.t1	1	1749	+	1749	739	638	658	289	319	301
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	CNIGO.Cnig_chr_II.g4962.t1	1	2664	+	2664	3258	3042	3198	583	517	538
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	CNIGO.Cnig_chr_II.g4953.t1	1	1605	+	1605	3135	3050	3215	1032	926	948
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	CNIGO.Cnig_chr_II.g5079.t1	1	1203	+	1203	1533	1534	1409	470	469	477
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	CNIGO.Cnig_chr_II.g5128.t1	1	486	+	486	654	553	637	106	56	79
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	CNIGO.Cnig_chr_II.g5147.t1	1	1215	+	1215	420	410	445	219	225	232
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	CNIGO.Cnig_chr_II.g5152.t1	1	1059	+	1059	413	431	401	162	257	179
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	CNIGO.Cnig_chr_II.g5176.t1	1	1692	+	1692	2678	2581	2509	320	316	391
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	CNIGO.Cnig_chr_II.g5216.t1	1	1413	+	1413	650	501	555	252	353	387
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	CNIGO.Cnig_chr_II.g5224.t1	1	483	+	483	705	680	861	271	333	300
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	CNIGO.Cnig_chr_II.g5240.t1	1	2400	+	2400	1893	2010	1909	1854	1869	2071
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	CNIGO.Cnig_chr_II.g5267.t1	1	1200	+	1200	572	466	470	192	242	244
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	CNIGO.Cnig_chr_II.g5288.t1	1	2013	+	2013	762	850	811	395	388	396
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	CNIGO.Cnig_chr_II.g5299.t1	1	894	+	894	1561	1475	1528	186	158	163
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	CNIGO.Cnig_chr_II.g5314.t1	1	375	+	375	156	134	146	147	95	147
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	CNIGO.Cnig_chr_II.g5327.t1	1	201	+	201	460	592	543	119	70	108
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	CNIGO.Cnig_chr_II.g5342.t1	1	2163	+	2163	3360	3444	3408	859	862	791
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	CNIGO.Cnig_chr_II.g5353.t1	1	729	+	729	322	356	258	119	158	124
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	CNIGO.Cnig_chr_II.g5356.t1	1	3873	+	3873	1524	1577	1411	741	750	686
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	CNIGO.Cnig_chr_II.g5384.t1	1	792	+	792	636	633	625	169	130	128
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	CNIGO.Cnig_chr_II.g5394.t1	1	1098	+	1098	775	784	848	198	225	207
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	CNIGO.Cnig_chr_II.g5398.t1	1	201	+	201	75	96	98	31	41	51
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	CNIGO.Cnig_chr_II.g5407.t2	1	786	+	786	309	283	341	147	119	166
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	CNIGO.Cnig_chr_II.g5434.t1	1	225	+	225	374	368	343	44	25	60
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	CNIGO.Cnig_chr_II.g5438.t3	1	1992	+	1992	890	811	811	351	412	370
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	CNIGO.Cnig_chr_II.g5457.t2	1	1071	+	1071	1271	1162	1257	393	453	365
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	CNIGO.Cnig_chr_II.g5467.t1	1	1434	+	1434	628	658	591	293	291	279
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	CNIGO.Cnig_chr_II.g5483.t1	1	258	+	258	440	417	388	84	116	121
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	CNIGO.Cnig_chr_II.g5488.t1	1	234	+	234	664	677	693	50	59	73
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	CNIGO.Cnig_chr_II.g5492.t1	1	285	+	285	518	536	602	44	92	58
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	CNIGO.Cnig_chr_II.g5502.t1	1	414	+	414	537	548	430	103	74	54
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	CNIGO.Cnig_chr_II.g5532.t1	1	807	+	807	256	332	356	173	142	165
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	CNIGO.Cnig_chr_II.g5539.t1	1	1587	+	1587	755	621	586	331	337	326
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	CNIGO.Cnig_chr_II.g5547.t2	1	3933	+	3933	1596	1583	1584	779	790	692
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	CNIGO.Cnig_chr_II.g5630.t3	1	1323	+	1323	1079	1207	1068	254	267	258
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	CNIGO.Cnig_chr_II.g5640.t1	1	1641	+	1641	4085	3972	3806	348	326	305
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	CNIGO.Cnig_chr_II.g5663.t1	1	525	+	525	330	370	373	302	280	379
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	CNIGO.Cnig_chr_II.g5666.t1	1	636	+	636	313	244	204	77	119	146
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	CNIGO.Cnig_chr_II.g5667.t2	1	1482	+	1482	1153	1164	1155	326	297	262
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	CNIGO.Cnig_chr_II.g5694.t1	1	1230	+	1230	515	477	514	659	836	713
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	CNIGO.Cnig_chr_II.g5717.t1	1	2040	+	2040	2951	3268	3070	756	861	856
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	CNIGO.Cnig_chr_II.g5789.t1	1	486	+	486	184	234	177	448	419	475
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	CNIGO.Cnig_chr_II.g5832.t1	1	4473	+	4473	5391	5269	5575	2772	2646	2755
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	CNIGO.Cnig_chr_II.g5836.t1	1	633	+	633	266	224	231	96	116	112
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	CNIGO.Cnig_chr_II.g5909.t1	1	1722	+	1722	6108	6178	6252	366	317	388
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	CNIGO.Cnig_chr_II.g5918.t1	1	1482	+	1482	1605	1745	1664	1583	1384	1549
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	CNIGO.Cnig_chr_II.g5741.t3	1	339	+	339	134	176	157	192	102	148
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	CNIGO.Cnig_chr_II.g5947.t1	1	1812	+	1812	1415	1527	1544	812	745	732
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	CNIGO.Cnig_chr_II.g5995.t1	1	2244	+	2244	950	885	1000	1802	1867	1799
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	CNIGO.Cnig_chr_II.g5998.t1	1	309	+	309	453	512	428	105	109	137
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	CNIGO.Cnig_chr_II.g5999.t2	1	780	+	780	283	319	246	135	141	121
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	CNIGO.Cnig_chr_II.g6035.t2	1	1086	+	1086	386	483	448	1429	1372	1623
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	CNIGO.Cnig_chr_II.g6059.t1	1	537	+	537	224	226	210	81	103	109
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	CNIGO.Cnig_chr_II.g6077.t2	1	1377	+	1377	2179	2253	2220	196	229	249
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	CNIGO.Cnig_chr_II.g6079.t2	1	885	+	885	371	406	335	160	192	161
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	CNIGO.Cnig_chr_II.g6095.t1	1	789	+	789	894	900	1010	214	166	160
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	CNIGO.Cnig_chr_II.g6110.t1	1	855	+	855	380	312	327	803	867	887
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	CNIGO.Cnig_chr_II.g6154.t1	1	2592	+	2592	2166	1868	1909	520	550	436
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	CNIGO.Cnig_chr_II.g6217.t1	1	1083	+	1083	493	343	436	181	265	172
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	CNIGO.Cnig_chr_II.g6223.t1	1	2904	+	2904	1207	1271	1216	594	642	612
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	CNIGO.Cnig_chr_II.g6251.t4	1	1164	+	1164	406	422	522	231	187	244
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	CNIGO.Cnig_chr_II.g6257.t1	1	1188	+	1188	561	460	493	1785	1754	1753
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	CNIGO.Cnig_chr_II.g6258.t2	1	1068	+	1068	1202	1270	1185	203	191	211
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	CNIGO.Cnig_chr_II.g6266.t1	1	966	+	966	426	390	352	154	212	186
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	CNIGO.Cnig_chr_II.g6308.t1	1	489	+	489	218	234	202	139	93	94
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	CNIGO.Cnig_chr_II.g6374.t1	1	498	+	498	176	189	199	107	98	103
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	CNIGO.Cnig_chr_II.g6386.t2	1	549	+	549	389	396	434	717	758	733
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	CNIGO.Cnig_chr_II.g6402.t1	1	909	+	909	1380	1386	1387	362	355	321
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	CNIGO.Cnig_chr_II.g6418.t1	1	300	+	300	107	129	123	52	68	49
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	CNIGO.Cnig_chr_II.g6422.t1	1	729	+	729	1509	1435	1567	452	432	475
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	CNIGO.Cnig_chr_II.g6427.t2	1	1065	+	1065	1301	1234	1158	199	183	196
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	CNIGO.Cnig_chr_II.g6453.t3	1	1917	+	1917	831	815	799	351	329	399
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	CNIGO.Cnig_chr_II.g6472.t1	1	300	+	300	818	888	739	52	45	64
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	CNIGO.Cnig_chr_II.g6474.t1	1	2778	+	2778	1196	1098	1057	565	606	630
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	CNIGO.Cnig_chr_II.g6488.t2	1	1956	+	1956	2263	2393	2274	502	385	430
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	CNIGO.Cnig_chr_II.g6491.t1	1	477	+	477	152	163	208	73	115	93
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	CNIGO.Cnig_chr_II.g6511.t1	1	831	+	831	560	636	629	185	177	153
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	CNIGO.Cnig_chr_II.g6571.t1	1	3747	+	3747	1322	1376	1468	735	839	635
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	CNIGO.Cnig_chr_II.g6572.t1	1	387	+	387	97	143	151	136	147	133
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	CNIGO.Cnig_chr_II.g6573.t1	1	801	+	801	648	690	634	145	175	139
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	CNIGO.Cnig_chr_II.g6592.t1	1	3990	+	3990	14701	14332	14355	767	709	812
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	CNIGO.Cnig_chr_II.g6605.t1	1	627	+	627	757	839	688	137	151	108
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	CNIGO.Cnig_chr_II.g6682.t1	1	492	+	492	151	208	183	59	113	99
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	CNIGO.Cnig_chr_II.g6702.t1	1	1143	+	1143	1294	1413	1240	652	741	700
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	CNIGO.Cnig_chr_II.g6703.t1	1	573	+	573	235	169	191	123	71	116
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	CNIGO.Cnig_chr_II.g6722.t1	1	507	+	507	230	157	219	96	104	96
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	CNIGO.Cnig_chr_II.g6730.t1	1	699	+	699	303	300	256	158	139	135
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	CNIGO.Cnig_chr_II.g6742.t1	1	525	+	525	239	174	144	93	80	62
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	CNIGO.Cnig_chr_II.g6748.t1	1	690	+	690	277	299	309	165	183	151
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	CNIGO.Cnig_chr_II.g6822.t1	1	378	+	378	177	195	136	89	119	80
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	CNIGO.Cnig_chr_II.g6886.t1	1	633	+	633	293	287	229	127	92	137
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	CNIGO.Cnig_chr_II.g6956.t1	1	435	+	435	162	181	209	90	61	66
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	CNIGO.Cnig_chr_II.g6757.t1	1	1098	+	1098	513	403	471	906	867	974
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	CNIGO.Cnig_chr_II.g6768.t1	1	849	+	849	954	982	1056	278	349	371
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	CNIGO.Cnig_chr_II.g6959.t2	1	684	+	684	950	769	852	133	150	96
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	CNIGO.Cnig_chr_II.g6971.t3	1	981	+	981	1617	1693	1484	167	208	224
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	CNIGO.Cnig_chr_II.g6981.t1	1	462	+	462	170	131	196	233	174	152
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	CNIGO.Cnig_chr_II.g7190.t1	1	1908	+	1908	3056	3000	3144	330	481	368
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	CNIGO.Cnig_chr_II.g7206.t1	1	534	+	534	271	276	227	126	62	126
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	CNIGO.Cnig_chr_II.g7207.t1	1	711	+	711	288	294	359	121	153	168
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	CNIGO.Cnig_chr_II.g7236.t1	1	426	+	426	392	319	307	78	87	63
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	CNIGO.Cnig_chr_II.g7237.t1	1	2487	+	2487	885	877	1064	498	452	477
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	CNIGO.Cnig_chr_II.g7242.t1	1	999	+	999	433	430	378	225	177	130
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	CNIGO.Cnig_chr_II.g7263.t2	1	564	+	564	229	234	210	111	133	66
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	CNIGO.Cnig_chr_II.g7289.t1	1	756	+	756	561	578	602	173	175	158
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	CNIGO.Cnig_chr_II.g7312.t1	1	486	+	486	150	150	211	198	221	183
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	CNIGO.Cnig_chr_II.g7356.t1	1	348	+	348	181	165	160	47	57	57
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	CNIGO.Cnig_chr_II.g7423.t1	1	456	+	456	152	165	182	71	132	88
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	CNIGO.Cnig_chr_II.g7964.t1	1	585	+	585	262	183	227	658	621	580
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	CNIGO.Cnig_chr_II.g7965.t1	1	432	+	432	700	755	740	90	113	74
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	CNIGO.Cnig_chr_II.g7975.t1	1	1281	+	1281	405	449	492	241	196	255
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	CNIGO.Cnig_chr_II.g7868.t1	1	750	+	750	356	283	281	165	146	112
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	CNIGO.Cnig_chr_II.g8011.t1	1	618	+	618	548	584	559	135	139	140
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	CNIGO.Cnig_chr_II.g7938.t1	1	444	+	444	1276	1223	1297	297	256	260
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	CNIGO.Cnig_chr_II.g8257.t1	1	405	+	405	106	141	172	279	239	309
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	CNIGO.Cnig_chr_II.g8307.t2	1	1095	+	1095	446	407	460	255	209	225
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	CNIGO.Cnig_chr_II.g8319.t1	1	1269	+	1269	422	498	558	1085	1003	1034
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	CNIGO.Cnig_chr_II.g8336.t1	1	1137	+	1137	483	383	489	211	202	208
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	CNIGO.Cnig_chr_III.g11463.t3	1	9741	+	9741	3828	3874	3572	1977	1894	2060
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	CNIGO.Cnig_chr_III.g11461.t3	1	4836	+	4836	6100	6040	5804	2882	2987	2821
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	CNIGO.Cnig_chr_III.g11471.t2	1	540	+	540	196	308	189	131	119	108
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	CNIGO.Cnig_chr_III.g11472.t1	1	1515	+	1515	568	623	620	322	289	303
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	CNIGO.Cnig_chr_III.g11503.t3	1	3528	+	3528	1400	1414	1425	2149	2191	2333
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	CNIGO.Cnig_chr_III.g11528.t1	1	864	+	864	975	1069	1172	300	371	369
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	CNIGO.Cnig_chr_III.g11549.t1	1	342	+	342	120	122	159	47	65	83
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	CNIGO.Cnig_chr_III.g11631.t1	1	1092	+	1092	477	428	434	245	200	239
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	CNIGO.Cnig_chr_III.g11635.t1	1	552	+	552	293	217	250	102	122	81
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	CNIGO.Cnig_chr_III.g8965.t1	1	261	+	261	143	79	104	57	55	34
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	CNIGO.Cnig_chr_III.g11749.t1	1	519	+	519	1531	1596	1718	458	474	522
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	CNIGO.Cnig_chr_III.g11730.t1	1	2940	+	2940	1062	1281	1174	606	495	553
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	CNIGO.Cnig_chr_III.g11729.t1	1	201	+	201	167	150	149	81	121	93
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	CNIGO.Cnig_chr_III.g11723.t2	1	2898	+	2898	1182	1144	993	564	690	577
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	CNIGO.Cnig_chr_III.g11716.t1	1	807	+	807	374	389	336	313	357	288
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	CNIGO.Cnig_chr_III.g11708.t1	1	951	+	951	787	720	793	440	377	334
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	CNIGO.Cnig_chr_III.g11678.t1	1	459	+	459	186	193	182	239	312	285
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	CNIGO.Cnig_chr_III.g11773.t1	1	1113	+	1113	1364	1398	1480	522	438	449
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	CNIGO.Cnig_chr_III.g11822.t1	1	1824	+	1824	1386	1393	1382	1117	1040	912
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	CNIGO.Cnig_chr_III.g11823.t1	1	774	+	774	328	359	267	201	164	153
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	CNIGO.Cnig_chr_III.g11826.t1	1	939	+	939	451	478	432	114	209	180
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	CNIGO.Cnig_chr_III.g11917.t2	1	3768	+	3768	1637	1419	1406	789	743	828
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	CNIGO.Cnig_chr_III.g11905.t2	1	1050	+	1050	1322	1235	1321	400	328	477
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	CNIGO.Cnig_chr_III.g11838.t2	1	345	+	345	663	701	714	110	135	176
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	CNIGO.Cnig_chr_III.g8347.t1	1	423	+	423	164	190	171	92	110	73
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	CNIGO.Cnig_chr_III.g8362.t1	1	1284	+	1284	490	529	507	2470	2741	2701
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	CNIGO.Cnig_chr_III.g8368.t1	1	1050	+	1050	809	753	862	1025	936	875
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	CNIGO.Cnig_chr_III.g8425.t2	1	912	+	912	399	413	362	202	165	163
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	CNIGO.Cnig_chr_III.g8441.t1	1	621	+	621	248	231	231	360	486	321
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	CNIGO.Cnig_chr_III.g8501.t1	1	897	+	897	313	344	391	149	176	171
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	CNIGO.Cnig_chr_III.g8707.t1	1	351	+	351	514	505	511	78	78	69
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	CNIGO.Cnig_chr_III.g8686.t1	1	708	+	708	270	333	266	571	589	603
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	CNIGO.Cnig_chr_III.g8677.t3	1	5862	+	5862	2247	2388	2323	1100	1165	1355
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	CNIGO.Cnig_chr_III.g8653.t1	1	1527	+	1527	584	571	629	289	337	300
