Geneid	BF1_Cbr	BF2_Cbr	BF3_Cbr	BM1_Cbr	BM2_Cbr	BM3_Cbr	9F1_Cni	9F2_Cni	9F3_Cni	9M1_Cni	9M2_Cni	9M3_Cni
V.g16477.t1__Cnig_chr_V.g19506.t1	1760	1917	1671	1838	1566	1433	3997	3080	3116	1078	1265	898
X.g19375.t1__Cnig_chr_X.g23135.t3	49	51	53	68	61	65	109	75	57	137	148	157
X.g19374.t1__Cnig_chr_X.g23134.t1	138	108	127	434	321	285	349	293	272	733	619	604
X.g20540.t1__Cnig_chr_X.g24332.t1	146	89	99	329	188	250	276	232	235	515	367	399
X.g20898.t2__Cnig_chr_X.g24816.t1	126	97	61	457	156	385	396	233	407	375	365	436
V.g17599.t1__Cnig_chr_V.g20730.t1	41	25	34	65	61	51	12	26	18	7	17	19
X.g19364.t2__Cnig_chr_X.g23120.t1	7	3	3	10	14	5	7	5	4	58	58	41
V.g14700.t1__Cnig_chr_V.g17386.t1	214	250	172	172	92	210	342	318	347	286	341	257
IV.g12230.t2__Cnig_chr_IV.g14186.t1	1	0	0	1	2	2	2	1	0	18	15	26
V.g15280.t1__Cnig_chr_V.g18153.t1	766	690	1007	386	286	495	741	775	794	482	540	458
II.g4386.t1__Cnig_chr_II.g4571.t1	1291	1175	1881	6996	7411	5998	7	44	3	2682	2394	4826
V.g14278.t1__Cnig_chr_V.g16888.t1	16943	23984	18986	6162	4339	9144	469	544	530	836	733	1120
V.g14169.t1__Cnig_chr_V.g16739.t1	11868	17354	13823	4614	3200	6260	6092	8959	8216	3108	2856	3918
X.g22114.t2__Cnig_chr_X.g26304.t1	77	45	27	153	83	134	56	43	55	137	121	118
X.g22116.t1__Cnig_chr_X.g26306.t1	119	82	98	53	21	59	23	23	19	102	83	69
II.g4662.t1__Cnig_chr_II.g5022.t2	3	0	2	12	8	8	1	6	12	16	2	9
X.g19948.t1__Cnig_chr_X.g23807.t1	23536	16125	17569	22519	16992	19787	17920	14658	19345	16655	14547	15149
X.g19947.t2__Cnig_chr_X.g23806.t2	29860	21948	23842	31684	26451	27347	34247	28145	33976	33202	27073	29408
IV.g11083.t1__Cnig_chr_IV.g12952.t1	1732	1488	1595	1458	1012	1408	2041	1740	1946	1822	1646	1706
IV.g10645.t1__Cnig_chr_IV.g12247.t1	7094	9514	8857	588	248	2026	896	1721	1370	15	23	21
IV.g10646.t1__Cnig_chr_IV.g12248.t1	3170	3457	3440	239	97	819	532	1045	860	9	14	6
X.g19393.t1__Cnig_chr_X.g23152.t1	621	400	383	908	598	723	745	450	681	1012	926	941
IV.g13173.t1__Cnig_chr_IV.g15246.t1	7	7	5	13	11	15	16	21	15	152	127	126
II.g4863.t1__Cnig_chr_II.g5201.t1	1412	1037	845	10093	7468	9040	10	46	3	2625	1936	3987
II.g7371.t1__Cnig_chr_II.g8311.t1	110	93	80	918	589	592	702	445	590	1777	1381	1588
V.g18066.t1__Cnig_chr_V.g21477.t1	6	1	1	5	0	1	0	2	1	1	2	0
II.g5052.t1__Cnig_chr_II.g5392.t1	6417	4247	4951	3194	1802	3458	3468	3276	3334	3022	3221	2935
V.g14691.t2__Cnig_chr_V.g17381.t2	159	115	57	110	70	58	39	20	23	27	26	31
V.g14035.t1__Cnig_chr_V.g16522.t1	6	3	6	12	7	8	3	3	10	10	4	9
IV.g13164.t1__Cnig_chr_IV.g15221.t1	0	0	0	0	0	1	0	0	0	1	0	0
IV.g13162.t1__Cnig_chr_IV.g15219.t2	1	1	2	5	7	1	1	0	1	4	5	5
V.g15312.t2__Cnig_chr_V.g18198.t1	5980	4010	3385	5033	3173	4958	1366	2430	1941	1275	1144	2067
II.g7349.t2__Cnig_chr_II.g8288.t2	741	441	434	616	340	617	401	829	571	282	230	476
V.g15324.t2__Cnig_chr_V.g18212.t1	1798	1373	1304	1258	956	1244	2828	2492	2828	2400	2400	2188
V.g15329.t1__Cnig_chr_V.g18218.t1	1382	649	819	275	255	481	111	260	144	39	68	111
IV.g12020.t1__Cnig_chr_IV.g13972.t2	2	0	2	10	9	4	3	0	0	7	16	13
V.g15328.t1__Cnig_chr_V.g18217.t1	8	30	15	159	148	57	573	379	489	443	254	490
V.g15853.t1__Cnig_chr_V.g18808.t1	3	4	1	1	1	4	33	17	31	22	12	5
V.g15839.t3__Cnig_chr_V.g18799.t1	21	5	9	1079	1169	865	4	5	0	249	259	628
V.g15851.t2__Cnig_chr_V.g18806.t2	0	1	0	9	18	3	4	1	3	206	149	117
V.g15850.t1__Cnig_chr_V.g18805.t1	0	1	0	5	5	2	11	4	4	228	297	134
V.g15842.t1__Cnig_chr_V.g18800.t1	2	0	0	144	161	101	2	7	2	106	88	302
V.g15847.t2__Cnig_chr_V.g18802.t1	21	15	21	137	211	105	106	60	78	140	133	102
V.g15854.t1__Cnig_chr_V.g18809.t1	3	3	4	11	11	0	77	46	52	82	72	43
V.g15848.t1__Cnig_chr_V.g18804.t1	0	1	0	4	6	3	45	27	34	194	164	102
V.g13925.t3__Cnig_chr_V.g16378.t3	52	24	31	138	161	113	6	7	1	60	37	93
V.g15878.t1__Cnig_chr_V.g18823.t1	464	331	681	1306	1746	1163	23	41	3	3427	3994	5503
V.g15843.t1__Cnig_chr_V.g18801.t1	2	0	0	8	22	4	7	0	2	166	147	123
I.g2915.t4__Cnig_chr_I.g2530.t1	23110	17496	22168	12003	14203	12142	15250	12637	14299	5688	9110	6161
V.g14765.t1__Cnig_chr_V.g17442.t1	54	52	48	154	106	109	125	96	55	310	168	257
V.g15533.t1__Cnig_chr_V.g18479.t1	37	29	43	40	54	37	16	14	14	34	12	31
I.g1851.t2__Cnig_chr_I.g1473.t1	1378	1196	837	12122	9086	10166	45	93	22	9574	7421	14217
V.g13935.t1__Cnig_chr_V.g16388.t1	22	23	13	59	66	43	14	18	18	8	16	14
V.g13934.t1__Cnig_chr_V.g16387.t1	488	454	559	672	1129	475	2798	1943	2216	1781	2080	1612
I.g2916.t1__Cnig_chr_I.g2531.t1	4770	3964	6966	2332	3410	2673	1085	1622	1388	789	1072	867
V.g18335.t1__Cnig_chr_V.g21782.t1	155	116	59	150	98	138	280	244	223	188	210	220
IV.g12049.t1__Cnig_chr_IV.g13998.t1	227	148	184	501	581	593	7474	7619	8158	12007	10192	15148
V.g15071.t2__Cnig_chr_V.g17927.t2	8	4	24	1	0	0	4	6	2	0	1	0
II.g6400.t2__Cnig_chr_II.g6876.t1	2502	3254	1592	1866	793	2136	2179	3007	2915	1786	1342	1814
IV.g11703.t2__Cnig_chr_IV.g13956.t2	31762	32614	31408	31451	22682	26892	46364	43558	45037	37774	35119	35461
IV.g10988.t1__Cnig_chr_IV.g12825.t2	175	29	116	216	180	116	348	173	544	115	309	263
V.g15070.t1__Cnig_chr_V.g17925.t2	210	237	371	134	135	182	128	88	86	156	234	281
V.g18333.t1__Cnig_chr_V.g21784.t1	141	107	71	91	85	114	205	176	159	91	104	93
X.g19985.t2__Cnig_chr_X.g23845.t1	114	68	250	18	35	15	225	136	105	95	93	129
I.g3289.t1__Cnig_chr_I.g3077.t3	444	261	260	1957	1335	1675	9	20	9	1515	1257	2014
X.g19987.t1__Cnig_chr_X.g23846.t3	241	139	285	57	41	72	21	30	20	13	8	8
I.g2849.t1__Cnig_chr_I.g2466.t2	611	522	415	3930	3044	3230	476	564	357	1822	1518	2131
III.g10195.t3__Cnig_chr_III.g11673.t1	150	99	112	955	697	849	8	18	4	1100	832	1345
II.g6143.t1__Cnig_chr_II.g6548.t1	325	231	173	1423	1002	1178	34	37	18	232	146	504
V.g16433.t1__Cnig_chr_V.g19458.t2	5	4	5	12	4	7	21	41	30	17	11	29
V.g17164.t1__Cnig_chr_V.g20230.t1	207	75	139	3126	2757	3081	10	16	8	642	691	1500
V.g16430.t4__Cnig_chr_V.g19456.t1	2	0	4	2	6	0	43	37	34	36	32	23
V.g16431.t1__Cnig_chr_V.g19457.t1	15	14	12	64	35	24	19	15	15	14	23	25
V.g15923.t1__Cnig_chr_V.g18875.t1	1	1	3	8	15	5	5	6	2	26	38	32
IV.g13716.t2__Cnig_chr_IV.g16073.t2	2619	1488	896	3858	1341	3562	9569	8583	8913	9493	6785	8184
V.g18296.t1__Cnig_chr_V.g21772.t2	383	60	166	13240	12386	14116	40	65	52	1872	2149	4153
IV.g12294.t3__Cnig_chr_IV.g14273.t2	3911	4141	3918	6104	4104	5553	17099	16917	17118	17668	12394	15554
I.g3541.t1__Cnig_chr_I.g3448.t3	12	22	14	36	37	36	46	17	27	40	51	26
V.g15927.t1__Cnig_chr_V.g18879.t1	1	9	3	46	58	6	141	70	105	243	192	176
V.g18292.t1__Cnig_chr_V.g21768.t2	81	22	57	3733	3658	2995	7	7	2	567	441	1010
V.g18277.t1__Cnig_chr_V.g21753.t1	12	13	7	134	141	92	14	3	2	34	21	45
IV.g11106.t1__Cnig_chr_IV.g12978.t3	600	816	579	197	77	319	657	833	847	402	412	416
V.g15333.t1__Cnig_chr_V.g18228.t1	0	0	0	6	12	13	23	11	29	18	14	17
V.g15928.t1__Cnig_chr_V.g18880.t1	13	0	4	13	33	0	6	28	16	15	42	23
I.g3641.t2__Cnig_chr_I.g3581.t2	16	20	17	19	27	31	94	52	43	153	147	100
V.g15370.t1__Cnig_chr_V.g18286.t1	2	4	0	35	35	7	490	243	360	614	595	439
IV.g12700.t1__Cnig_chr_IV.g14724.t1	3491	2436	2919	833	577	1109	1897	1976	2044	995	991	943
V.g15517.t1__Cnig_chr_V.g18465.t1	21	13	21	45	43	44	77	88	97	53	82	77
IV.g11335.t1__Cnig_chr_IV.g13232.t1	11438	14643	10735	1177	410	3344	1774	4146	3312	233	220	218
IV.g11959.t1__Cnig_chr_IV.g13683.t1	3241	3499	3419	355	151	1000	282	619	529	12	22	26
V.g15516.t1__Cnig_chr_V.g18464.t1	449	297	403	752	798	1086	1072	861	989	842	1065	708
II.g5651.t1__Cnig_chr_II.g6014.t1	29	22	25	49	30	38	7	7	5	3	8	10
X.g19007.t1__Cnig_chr_X.g22701.t1	100	85	69	266	167	149	91	237	206	78	61	202
V.g14799.t1__Cnig_chr_V.g17507.t1	1	1	1	6	11	5	9	0	8	13	20	36
IV.g12211.t1__Cnig_chr_IV.g14167.t1	4177	3053	2682	1319	764	1701	2066	2116	2127	2193	1887	1978
IV.g12213.t2__Cnig_chr_IV.g14169.t1	4790	5140	3635	3728	2667	4304	1467	1516	1647	2086	1896	2239
IV.g12212.t1__Cnig_chr_IV.g14168.t1	1663	1378	1297	824	482	958	991	1074	1101	808	739	774
IV.g12987.t1__Cnig_chr_IV.g16147.t2	2	7	7	5	15	4	14	14	20	55	40	41
IV.g12989.t2__Cnig_chr_IV.g16149.t2	6	2	1	4	8	5	16	11	11	13	17	20
V.g15484.t1__Cnig_chr_V.g18439.t1	22	28	34	27	32	25	31	25	21	16	28	26
V.g18449.t1__Cnig_chr_V.g22012.t1	831	354	303	1375	829	834	815	688	2264	1349	863	1412
I.g2543.t1__Cnig_chr_I.g2113.t1	6309	3541	4613	378	234	957	670	985	903	159	162	152
V.g13932.t1__Cnig_chr_V.g16385.t3	0	1	3	1	0	0	1	1	3	13	27	11
II.g6697.t2__Cnig_chr_II.g7229.t1	493	424	265	816	429	791	617	526	571	1385	1033	951
II.g5578.t1__Cnig_chr_II.g5939.t1	290	357	173	2163	1434	1484	7003	3079	4788	7242	4642	4809
III.g9232.t1__Cnig_chr_III.g10567.t1	9726	8399	7303	65304	50355	59891	227	785	52	30504	26312	71305
IV.g12283.t2__Cnig_chr_IV.g14260.t1	43452	56585	55749	5214	2882	13351	6847	13135	10719	207	218	239
V.g14548.t1__Cnig_chr_V.g17168.t1	73	77	120	58	53	59	9	29	8	30	31	52
II.g3993.t1__Cnig_chr_II.g4046.t3	18	17	14	105	109	103	3	9	5	181	137	290
X.g20682.t1__Cnig_chr_X.g24570.t1	53	96	75	59	55	34	32	21	42	134	222	140
V.g17742.t2__Cnig_chr_V.g20924.t2	0	1	0	2	1	1	0	0	0	14	27	12
III.g8090.t1__Cnig_chr_III.g9318.t1	3564	3524	1689	4408	1148	3770	5202	5552	5803	4765	3380	4112
I.g2349.t1__Cnig_chr_I.g1977.t1	59	163	142	356	398	179	17	11	5	4921	4914	4417
V.g17552.t1__Cnig_chr_V.g20682.t2	6	3	2	236	109	252	5	1	3	45	23	78
IV.g12900.t2__Cnig_chr_IV.g14917.t1	3	4	6	37	60	46	2	0	0	0	1	0
IV.g12655.t1__Cnig_chr_IV.g14681.t1	6870	6331	7975	33616	33511	27719	75	273	33	11988	11488	25215
X.g21053.t1__Cnig_chr_X.g25013.t1	129	112	102	109	95	112	9	13	5	24	29	33
II.g4103.t1__Cnig_chr_II.g4193.t2	347	417	409	611	621	586	206	178	198	359	388	373
V.g13971.t1__Cnig_chr_V.g16425.t1	63	65	57	455	296	304	15	18	12	947	910	1422
II.g4405.t1__Cnig_chr_II.g4594.t2	472	286	265	1726	1220	1514	0	7	2	220	184	422
III.g8023.t1__Cnig_chr_III.g9243.t5	1128	944	697	5382	3280	4639	380	438	388	3857	3035	5295
I.g1274.t1__Cnig_chr_I.g841.t1	592	391	317	4293	2804	3737	45	63	35	2225	2014	2974
I.g902.t1__Cnig_chr_I.g386.t1	112	138	116	109	118	95	189	151	183	405	365	303
V.g15560.t1__Cnig_chr_V.g18503.t1	23	12	13	48	31	36	12	7	14	47	35	40
III.g8093.t1__Cnig_chr_III.g9325.t2	4671	4822	2931	3845	2057	4307	4452	4739	5033	4038	3177	3790
IV.g13754.t1__Cnig_chr_IV.g16284.t1	34	23	24	62	50	62	7	3	5	152	132	105
III.g9849.t1__Cnig_chr_III.g11239.t1	122	63	34	426	167	386	260	111	312	1069	822	792
IV.g13468.t1__Cnig_chr_IV.g15720.t3	300	226	256	405	280	390	198	166	219	377	387	330
IV.g11196.t1__Cnig_chr_IV.g13081.t1	160	124	92	421	264	290	35	24	28	789	505	483
II.g4339.t1__Cnig_chr_II.g4523.t2	5	3	8	33	27	29	95	71	76	262	256	442
IV.g13469.t1__Cnig_chr_IV.g15719.t1	576	565	307	792	188	745	1193	950	1302	1758	1515	1578
IV.g11501.t1__Cnig_chr_IV.g13438.t1	3812	4283	3174	3721	2414	2698	8084	7085	7496	6100	5298	5676
IV.g11500.t1__Cnig_chr_IV.g13436.t3	3143	3239	2547	6849	5135	4715	6275	6357	5939	14491	12509	13522
III.g7449.t3__Cnig_chr_III.g8385.t2	4769	3725	3979	8045	5961	6657	5726	6049	5732	5417	4628	5769
V.g16544.t1__Cnig_chr_V.g19577.t1	1148	908	887	542	431	528	737	948	747	1065	906	866
II.g4340.t1__Cnig_chr_II.g4524.t2	119	91	105	285	202	224	577	555	502	340	365	437
V.g16545.t1__Cnig_chr_V.g19578.t2	1252	609	850	222	292	230	1258	2761	1790	10	18	12
V.g17313.t3__Cnig_chr_V.g20390.t1	0	0	0	0	0	2	0	0	1	2	0	4
X.g21307.t1__Cnig_chr_X.g25307.t1	13427	10194	14611	14978	7572	9896	16782	13906	13145	13493	11256	10148
II.g6545.t1__Cnig_chr_II.g6958.t3	80	62	56	22	20	24	96	122	99	7	15	10
I.g897.t2__Cnig_chr_I.g382.t1	4658	4864	3888	3952	2475	4010	7151	7066	7350	5770	5480	5670
IV.g12495.t1__Cnig_chr_IV.g14494.t1	323	318	329	526	426	423	601	510	447	992	1012	846
V.g14258.t2__Cnig_chr_V.g16865.t1	55	33	19	102	12	98	1506	1372	1410	341	202	229
II.g5840.t2__Cnig_chr_II.g6221.t1	25	30	38	111	108	84	46	58	53	98	80	111
X.g20699.t1__Cnig_chr_X.g24590.t3	34	27	37	57	55	32	87	51	67	141	109	103
V.g17063.t2__Cnig_chr_V.g20106.t1	22	22	24	63	41	41	10	17	16	29	28	30
I.g2599.t1__Cnig_chr_I.g2179.t1	164	138	154	288	191	198	187	148	173	321	300	260
IV.g11857.t1__Cnig_chr_IV.g13790.t1	463	264	331	371	318	461	78	99	50	110	128	158
III.g8385.t1__Cnig_chr_III.g9658.t1	1805	1332	1168	2815	1914	2236	2215	1998	1980	4421	3738	3831
III.g9776.t1__Cnig_chr_III.g11127.t2	63	74	122	33	30	21	3	6	4	18	27	24
I.g1562.t1__Cnig_chr_I.g1172.t2	699	474	348	272	132	343	1884	2005	2016	1679	1596	1600
I.g2994.t1__Cnig_chr_I.g2626.t1	20	24	16	13	28	14	4	1	3	52	41	39
V.g16165.t1__Cnig_chr_V.g19160.t1	1469	1375	2048	637	249	757	1388	1635	1643	919	1174	873
X.g21321.t1__Cnig_chr_X.g25323.t1	284	171	114	380	193	261	231	379	286	399	379	358
II.g4805.t2__Cnig_chr_II.g5143.t2	4	4	2	11	12	13	1	0	2	4	1	8
II.g6041.t1__Cnig_chr_II.g6423.t2	149	93	130	102	64	104	101	114	67	86	82	62
III.g7682.t1__Cnig_chr_III.g8638.t1	1212	1346	847	1059	361	1261	1539	1755	1627	1408	1143	1654
II.g4997.t1__Cnig_chr_II.g5332.t2	3671	3243	2490	3477	1765	3579	4121	3235	4791	3827	3415	4314
V.g15365.t2__Cnig_chr_V.g18261.t1	4	4	8	8	7	6	4	2	6	5	4	7
IV.g12419.t1__Cnig_chr_IV.g14413.t1	7	6	9	26	18	13	49	40	35	110	103	192
II.g5498.t2__Cnig_chr_II.g5856.t2	13	28	6	156	138	13	390	190	241	571	905	471
I.g1446.t1__Cnig_chr_I.g1045.t1	818	3008	808	12530	12014	4558	70419	39192	64404	57879	42030	42756
I.g3068.t3__Cnig_chr_I.g2720.t2	1467	925	821	7579	6057	6676	48	79	25	3746	3043	5407
II.g5767.t1__Cnig_chr_II.g6140.t1	7432	8372	5047	6964	2964	7696	4552	6267	5673	5062	3728	6420
X.g21978.t1__Cnig_chr_X.g26132.t1	87657	70820	74977	78107	62279	63770	12470	37361	23132	4733	3153	21925
X.g18893.t1__Cnig_chr_X.g22558.t1	1214	3549	1160	17261	17207	5708	86090	50849	81410	81610	67354	63060
III.g10014.t1__Cnig_chr_III.g11461.t3	5330	6117	3222	4007	1607	4748	6807	8308	7777	5900	4087	6492
I.g2689.t1__Cnig_chr_I.g2280.t1	605	440	309	7268	4521	6212	30	56	9	4535	3820	6378
I.g3080.t2__Cnig_chr_I.g2734.t2	363	251	256	2185	1456	1847	148	133	126	1522	1345	2325
III.g7864.t1__Cnig_chr_III.g8894.t1	301	182	205	341	315	429	600	455	417	672	1034	808
III.g7851.t3__Cnig_chr_III.g8857.t1	644	863	525	828	422	787	441	303	369	652	538	483
V.g16592.t1__Cnig_chr_V.g19626.t1	6644	6811	5408	12141	8418	9393	9595	7255	8472	4963	4188	4413
III.g9397.t1__Cnig_chr_III.g10730.t1	9718	7577	9340	7580	6729	6573	8429	7314	7883	7444	8456	7626
V.g17581.t1__Cnig_chr_V.g20728.t1	1128	730	602	1080	652	1118	1229	1399	1308	643	653	779
III.g7865.t1__Cnig_chr_III.g8895.t1	112	69	114	150	123	122	260	253	230	262	300	303
V.g17600.t2__Cnig_chr_V.g20731.t1	583	673	512	928	640	388	14018	9414	10420	298	352	362
III.g7741.t1__Cnig_chr_III.g8746.t3	1412	1739	1207	1421	721	1362	1983	1984	2082	1766	1287	1805
IV.g11898.t1__Cnig_chr_IV.g13745.t2	78	49	69	150	138	114	74	95	80	101	95	111
IV.g13042.t1__Cnig_chr_IV.g15094.t2	115	100	71	438	272	406	927	767	1063	1166	1082	942
I.g783.t1__Cnig_chr_I.g226.t3	91	46	19	54	3	56	444	363	398	304	242	262
I.g1388.t1__Cnig_chr_I.g967.t1	3003	3164	2092	2941	1358	3066	2563	2702	2823	2800	2130	2499
IV.g13039.t1__Cnig_chr_IV.g15091.t1	67	85	71	87	95	127	55	91	79	132	116	154
III.g10124.t1__Cnig_chr_III.g11604.t1	324	282	154	2500	1351	2129	21	45	20	1958	2002	2560
IV.g13267.t1__Cnig_chr_IV.g15320.t1	845	670	643	1878	1195	1510	756	1023	739	1260	1015	1370
IV.g13062.t2__Cnig_chr_IV.g15099.t2	17	32	21	63	52	51	108	60	97	120	110	75
III.g8942.t1__Cnig_chr_III.g10200.t1	90762	57263	60356	66505	56395	65451	1448	15294	4213	481	500	14101
V.g16703.t1__Cnig_chr_V.g19725.t1	253943	181218	185793	231853	184030	200420	29866	101748	53958	12449	10881	81357
III.g7740.t2__Cnig_chr_III.g8745.t1	2760	2311	764	2180	271	2464	2999	3724	4006	2613	1510	1966
I.g2783.t1__Cnig_chr_I.g2395.t1	933	680	699	4904	3757	4321	16	42	11	3102	3620	4986
IV.g12569.t1__Cnig_chr_IV.g14579.t1	303	215	260	238	179	171	297	359	257	340	389	271
X.g18648.t1__Cnig_chr_X.g22309.t1	98066	76779	84277	93732	79713	75879	20402	75503	37993	4889	5012	36406
IV.g13758.t1__Cnig_chr_IV.g16280.t1	207	177	164	291	202	290	219	208	214	1275	1079	1723
I.g2421.t2__Cnig_chr_I.g2065.t1	306	222	327	1497	1442	1362	3	18	0	1006	867	1446
III.g8700.t1__Cnig_chr_III.g9955.t1	165	160	105	1407	980	1209	5	10	1	652	506	873
I.g2423.t1__Cnig_chr_I.g2063.t2	55	49	41	416	417	296	5	12	2	714	843	989
I.g2417.t2__Cnig_chr_I.g2069.t2	8474	5591	5886	3319	2399	3979	3297	3932	3590	3784	2869	3789
V.g14761.t2__Cnig_chr_V.g17551.t1	12	6	12	37	56	38	10	2	20	32	31	52
V.g14811.t2__Cnig_chr_V.g17557.t2	2	7	5	16	14	20	26	28	23	31	24	38
I.g2422.t1__Cnig_chr_I.g2064.t1	183	145	87	2035	1864	1488	6	15	5	1361	1155	1382
IV.g13463.t1__Cnig_chr_IV.g15727.t2	13	13	29	15	16	20	9	6	5	8	7	6
II.g5407.t1__Cnig_chr_II.g5762.t1	2329	2484	1603	3402	1706	3161	2170	2780	2854	3701	2357	3938
II.g6043.t1__Cnig_chr_II.g6426.t2	3282	2292	2171	3093	2624	2600	2812	3088	2681	2077	2296	2312
II.g5232.t1__Cnig_chr_II.g5568.t1	266	228	236	333	281	332	567	659	524	325	363	481
V.g14763.t2__Cnig_chr_V.g17553.t1	6	2	5	8	8	17	2	1	4	2	1	4
V.g15992.t1__Cnig_chr_V.g18952.t1	31	24	19	26	14	34	24	23	15	41	43	47
V.g16022.t1__Cnig_chr_V.g18978.t1	249	188	271	175	152	172	224	266	156	282	245	213
V.g16023.t2__Cnig_chr_V.g18979.t1	10	9	13	186	115	114	6	2	6	600	414	380
I.g3299.t1__Cnig_chr_I.g3107.t1	1638	2044	1336	792	412	1018	1481	1793	1754	1049	828	922
V.g15492.t2__Cnig_chr_V.g18448.t1	0	2	0	1	0	2	17	12	11	163	116	79
V.g15909.t2__Cnig_chr_V.g18855.t2	1691	1017	1141	638	492	849	145	142	161	128	99	88
V.g17426.t1__Cnig_chr_V.g20521.t1	4305	4437	3148	2457	1228	2747	3070	3401	3451	2139	2045	1916
V.g15911.t2__Cnig_chr_V.g18861.t2	201	111	123	205	119	164	95	61	131	196	141	187
I.g3040.t2__Cnig_chr_I.g2691.t1	1362	922	213	1300	125	1385	171	201	208	167	111	179
V.g17185.t1__Cnig_chr_V.g20252.t1	23	165	44	481	342	173	949	1561	1075	156	132	325
I.g3042.t1__Cnig_chr_I.g2694.t3	2973	3460	2535	3109	1415	2903	1338	1316	1230	1352	1114	1456
III.g8102.t1__Cnig_chr_III.g9335.t1	1262	1154	1078	740	445	946	463	538	580	614	513	521
I.g1871.t1__Cnig_chr_I.g1486.t2	11	8	9	18	22	11	10	6	18	17	13	15
III.g10076.t1__Cnig_chr_III.g11520.t1	43	34	31	404	597	122	1504	592	2476	13995	14836	10580
II.g5408.t2__Cnig_chr_II.g5763.t2	1377	916	711	3552	1249	3011	2781	3084	3074	4265	2478	3275
V.g17184.t2__Cnig_chr_V.g20251.t1	7	55	11	163	83	72	141	372	210	67	80	136
II.g6299.t1__Cnig_chr_II.g6723.t1	360	240	201	357	427	278	184	164	118	178	243	188
II.g6308.t1__Cnig_chr_II.g6733.t1	54	113	43	327	308	191	222	436	248	104	103	218
V.g17371.t2__Cnig_chr_V.g20458.t3	3124	3831	2305	3911	1716	3755	1774	1806	2110	1523	1150	1304
V.g17186.t1__Cnig_chr_V.g20253.t1	19	188	37	607	415	227	1022	1385	1090	235	176	421
II.g6298.t1__Cnig_chr_II.g6722.t1	115	128	99	779	943	666	513	625	568	841	848	1114
II.g4629.t1__Cnig_chr_II.g4836.t1	1828	6302	1981	25531	23535	8186	141599	80013	122745	134762	138720	105792
II.g5309.t1__Cnig_chr_II.g5649.t2	1830	1535	1703	2150	1896	1810	1783	1579	1275	1064	956	1115
V.g17636.t1__Cnig_chr_V.g20784.t1	5	0	3	12	29	24	11	4	25	9	11	23
II.g4896.t1__Cnig_chr_II.g5233.t3	1385	1434	934	1053	482	1207	1540	1640	1768	1673	1217	1662
V.g17625.t1__Cnig_chr_V.g20767.t1	83	40	65	72	108	108	0	2	1	1	5	1
V.g17109.t1__Cnig_chr_V.g20153.t1	4	0	0	20	7	10	2	1	3	5	7	1
V.g17635.t1__Cnig_chr_V.g20782.t1	27	1	8	51	66	104	2	4	38	0	2	11
I.g1647.t1__Cnig_chr_I.g1255.t1	146	93	96	949	859	753	4	7	4	629	481	986
X.g21827.t1__Cnig_chr_X.g25857.t1	184	129	120	886	684	245	1448	576	1767	1212	1394	959
X.g21618.t1__Cnig_chr_X.g25675.t1	26	15	13	238	86	136	143	77	97	470	307	314
IV.g12023.t1__Cnig_chr_IV.g13977.t2	1128	1075	583	830	394	750	1833	2085	1658	820	646	780
V.g17627.t2__Cnig_chr_V.g20772.t1	40	6	17	109	320	135	12	5	10	13	11	21
V.g17637.t1__Cnig_chr_V.g20785.t1	57	8	34	247	359	205	11	9	56	38	44	48
V.g17639.t1__Cnig_chr_V.g20787.t1	95	32	33	91	87	91	13	11	108	58	32	141
V.g15729.t1__Cnig_chr_V.g18679.t1	108	53	86	161	173	148	62	72	68	156	175	202
V.g17638.t1__Cnig_chr_V.g20786.t1	297	76	82	333	314	271	21	18	226	105	66	242
I.g2731.t1__Cnig_chr_I.g2324.t3	3297	3011	1821	5391	1830	4536	4895	5410	4978	5851	3879	5305
V.g17628.t1__Cnig_chr_V.g20773.t1	88	56	85	52	46	55	0	0	0	0	0	1
V.g15727.t1__Cnig_chr_V.g18677.t1	306	249	417	568	579	550	573	602	661	1159	1525	1424
V.g15731.t1__Cnig_chr_V.g18681.t1	128	12	64	4970	5740	4690	0	12	0	168	164	551
V.g17482.t1__Cnig_chr_V.g20592.t1	0	0	0	0	0	0	0	0	0	0	0	0
V.g17485.t1__Cnig_chr_V.g20591.t1	0	0	0	0	0	1	0	0	0	0	0	0
V.g17488.t1__Cnig_chr_V.g20594.t1	0	0	0	1	3	0	0	0	0	0	0	0
V.g15730.t1__Cnig_chr_V.g18680.t1	83	8	51	3743	4105	3808	8	9	9	357	428	886
III.g7689.t1__Cnig_chr_III.g8630.t1	17	37	20	316	275	111	144	206	187	758	551	737
X.g22063.t1__Cnig_chr_X.g26239.t2	19	15	16	21	11	19	10	7	11	17	22	22
IV.g11536.t1__Cnig_chr_IV.g13476.t1	6	6	4	6	8	4	1074	1715	1198	1	4	3
IV.g12001.t1__Cnig_chr_IV.g13645.t1	2092	1854	1212	1485	602	1688	1996	2337	2565	1839	1186	1559
II.g5777.t1__Cnig_chr_II.g6151.t1	719	462	416	4523	3505	3638	26	47	26	1362	1239	2325
III.g9202.t1__Cnig_chr_III.g10534.t1	16	43	19	84	74	58	15	9	9	19	24	27
V.g16747.t2__Cnig_chr_V.g19775.t1	2977	1897	2003	2893	2232	2689	10820	9993	11529	12654	9969	11966
X.g22062.t2__Cnig_chr_X.g26238.t1	1	0	0	8	3	5	0	0	0	2	2	1
