# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "../references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_Thomas_fc.counts.txt" "BAM/SRR580389.bam" "BAM/SRR580390.bam" "BAM/SRR580391.bam" "BAM/SRR580392.bam" "BAM/SRR580393.bam" "BAM/SRR580394.bam" 
Geneid	Chr	Start	End	Strand	Length	BAM/SRR580389.bam	BAM/SRR580390.bam	BAM/SRR580391.bam	BAM/SRR580392.bam	BAM/SRR580393.bam	BAM/SRR580394.bam
II.g5823.t1	II	9584944	9585835	+	892	3	7	2	72	59	51
IV.g12080.t1	IV	8611258	8613307	-	2050	1940	2254	1899	1216	1441	1508
X.g18660.t1	X	628666	629187	-	522	0	0	0	1	2	1
V.g15103.t1	V	4975007	4978142	+	3136	6140	4583	5519	9107	5083	8546
IV.g12078.t1	IV	8606837	8608927	-	2091	936	1119	967	453	547	511
X.g18661.t1	X	629541	634032	-	4492	0	0	0	2	1	6
II.g5979.t2	II	10212356	10218032	-	5677	4281	4736	4231	2391	2836	2938
III.g7767.t1	III	1996109	2003331	+	7223	2	3	2	3355	2117	2654
IV.g12052.t1	IV	8494903	8502031	-	7129	2392	2700	2598	2293	2118	2496
IV.g11343.t1	IV	5454324	5457494	+	3171	24	17	11	60	36	46
I.g2320.t1	I	7759611	7761445	+	1835	2668	3036	2764	1782	2402	2144
IV.g12054.t2	IV	8505871	8509945	-	4075	2497	2878	2618	2063	1503	2244
V.g16957.t2	V	12750376	12752540	+	2165	180	566	140	1318	723	1167
IV.g13656.t1	IV	16638077	16642365	+	4289	1453	1519	1462	1362	1128	1771
IV.g11340.t1	IV	5445454	5452961	+	7508	32	23	43	64	20	41
III.g9348.t1	III	9132667	9133857	+	1191	3	1	1	1785	951	1506
X.g19572.t1	X	5908585	5911545	+	2961	200	196	166	284	172	295
V.g15552.t1	V	7192222	7192682	+	461	0	0	0	720	304	590
V.g17080.t1	V	13116442	13118680	-	2239	299	285	239	221	181	178
V.g16594.t1	V	11183737	11186048	+	2312	1857	2270	2028	1251	970	1458
III.g7561.t1	III	837539	840212	-	2674	7	14	3	698	333	634
III.g8533.t2	III	5830905	5832170	-	1266	0	6	1	369	224	395
V.g13910.t1	V	187367	188777	+	1411	28	35	31	60	36	62
V.g13908.t1	V	180009	181804	+	1796	521	479	609	516	138	474
IV.g12612.t4	IV	10746672	10749897	+	3226	75	74	99	52	18	31
IV.g12613.t1	IV	10754054	10757966	+	3913	609	50	121	2984	638	984
III.g8200.t3	III	4497002	4498143	-	1142	220	214	219	15	5	25
V.g18486.t1	V	19331711	19339474	+	7764	10	5	9	31	14	27
V.g16595.t3	V	11186104	11203263	+	17160	7992	9242	7570	12014	12722	15962
V.g14120.t2	V	953220	954971	-	1752	35	43	34	111	103	97
III.g8744.t1	III	6677199	6683088	+	5890	56	59	51	148	110	146
X.g19625.t2	X	6243862	6246910	-	3049	50	62	53	3	2	8
IV.g11843.t2	IV	7714453	7715778	+	1326	61	89	83	415	122	407
IV.g12453.t1	IV	10239006	10246950	+	7945	3350	3764	3169	2712	2390	3193
II.g6105.t1	II	10719604	10720535	+	932	7071	7210	6953	5905	5269	6406
II.g6103.t1	II	10713464	10718943	+	5480	4521	4824	4665	2148	2567	2819
II.g6250.t1	II	11300328	11303760	+	3433	3245	3475	3072	1906	1703	2189
IV.g11123.t1	IV	4181832	4183248	-	1417	114	120	34	10	52	70
III.g7871.t2	III	2762753	2767720	+	4968	633	605	568	472	449	552
IV.g12887.t2	IV	11899412	11903070	-	3659	129	179	150	245	143	206
II.g6249.t1	II	11296388	11299425	+	3038	2872	3049	2767	1646	1879	1834
IV.g13407.t2	IV	14909213	14912553	-	3341	9	3	2	1013	501	814
II.g3989.t1	II	220350	221769	+	1420	11479	15369	8409	160	617	193
X.g21253.t1	X	15312067	15312812	-	746	48	80	35	4	2	14
I.g2147.t2	I	6975142	6979354	-	4213	159	161	163	192	103	144
V.g17211.t1	V	13738037	13739617	-	1581	748	885	721	2030	1161	1764
I.g2033.t1	I	6531637	6533671	-	2035	196	179	166	262	235	311
V.g18314.t1	V	18538564	18539248	-	685	0	0	0	1	7	2
IV.g13770.t1	IV	17177300	17179328	-	2029	520	523	507	161	147	171
V.g18311.t1	V	18527010	18533936	-	6927	2256	4134	1792	15749	4940	11558
III.g7872.t1	III	2767933	2780275	+	12343	121	156	166	186	164	202
I.g2146.t1	I	6972594	6974454	-	1861	11	13	6	16	29	25
V.g15666.t1	V	7644922	7645611	+	690	1	1	1	18	6	6
IV.g13324.t1	IV	14238554	14259599	+	21046	1284	1390	1266	829	592	909
V.g15590.t3	V	7344927	7356250	+	11324	467	357	374	1563	1357	1352
V.g18315.t2	V	18540536	18541053	-	518	0	1	0	0	0	0
IV.g12077.t1	IV	8602306	8604504	-	2199	4267	5852	3798	905	1766	1762
V.g18313.t1	V	18536251	18537320	-	1070	16	0	10	10	13	4
IV.g13703.t1	IV	16895023	16896249	-	1227	1	1	0	0	0	0
X.g21552.t1	X	16851446	16853352	+	1907	27	36	28	89	29	57
V.g16176.t1	V	9595570	9596352	-	783	2464	3028	2376	916	1171	1514
I.g3919.t1	I	15399969	15400763	-	795	1685	1633	1711	1082	1139	1206
V.g16626.t1	V	11374666	11377283	-	2618	6	5	7	44	47	45
IV.g13705.t1	IV	16901431	16920338	-	18908	3251	3502	3322	1529	1046	1798
III.g7528.t2	III	618186	623821	+	5636	138	188	174	96	73	121
V.g15787.t1	V	8061084	8062310	-	1227	2	1	4	3	3	0
III.g10189.t1	III	13395464	13401457	+	5994	1175	1178	1173	631	558	842
II.g7324.t1	II	16384629	16387042	-	2414	249	115	118	100	197	119
II.g4139.t1	II	1315603	1323035	-	7433	4473	4903	4382	2708	2317	3033
II.g6020.t1	II	10337634	10338268	-	635	21030	22386	21946	7877	7230	8360
II.g4140.t1	II	1323956	1338593	-	14638	778	820	756	616	597	739
III.g9110.t1	III	8176159	8176655	-	497	593	373	495	1052	471	675
III.g8779.t1	III	6832415	6833145	+	731	5069	4366	4594	8008	5896	7365
V.g16833.t3	V	12257927	12264105	-	6179	408	420	394	971	578	749
I.g3889.t1	I	15321548	15323253	-	1706	2816	3297	2741	2123	2188	2362
I.g2663.t1	I	9056196	9057665	-	1470	546	404	385	1031	936	952
IV.g13093.t1	IV	12811509	12812383	-	875	14	31	23	376	38	221
X.g20557.t1	X	11504676	11507061	-	2386	13575	12492	12755	19985	11130	18261
V.g18266.t3	V	18251868	18253791	-	1924	2082	1804	460	245	777	281
I.g2697.t1	I	9190826	9192000	-	1175	2335	2470	2211	1453	2021	1868
I.g713.t2	I	145999	168520	+	22522	702	923	719	1264	641	1254
II.g4996.t1	II	6068641	6070796	-	2156	30541	44784	31929	57894	41648	59702
IV.g12760.t1	IV	11380764	11382528	-	1765	291	139	270	188	266	212
III.g8130.t1	III	4176190	4178171	-	1982	2555	2448	2209	1222	1736	1653
IV.g12158.t2	IV	8947628	8950591	-	2964	12911	17139	8373	11527	17092	15218
I.g1619.t1	I	4773307	4774260	+	954	7261	7680	6956	3506	4690	4803
III.g8131.t1	III	4178711	4180841	-	2131	2369	2585	1782	1458	2104	1607
III.g7415.t1	III	114352	119301	-	4950	4456	4235	4174	2661	2535	2571
III.g7568.t1	III	863436	880534	-	17099	9201	8725	8438	4391	2621	4186
III.g8261.t2	III	4734577	4736306	+	1730	2260	2123	2125	1357	1738	1623
IV.g12043.t1	IV	8467604	8469573	-	1970	583	706	527	2198	1896	1942
IV.g11737.t1	IV	7356970	7358274	+	1305	22	58	39	67	26	47
IV.g11736.t3	IV	7354908	7355600	-	693	20	26	22	25	26	18
I.g2431.t1	I	8147138	8147725	-	588	23	36	19	107	119	109
III.g8262.t1	III	4736556	4742381	+	5826	2719	3255	2763	1017	1406	1432
IV.g11738.t1	IV	7360082	7360527	+	446	2	2	4	1	4	1
V.g17472.t1	V	14756986	14761692	-	4707	12	2	3	6	15	14
IV.g10468.t1	IV	205411	208088	-	2678	11	16	11	4960	3448	4289
II.g7169.t1	II	15713033	15714881	+	1849	4	6	5	18	17	17
V.g16367.t1	V	10291500	10292564	+	1065	1913	1753	1936	1729	846	1441
II.g6309.t1	II	11529235	11531293	+	2059	36	19	9	256	82	129
II.g5043.t1	II	6261399	6271292	-	9894	2337	2214	2134	841	1053	1187
I.g1694.t1	I	5129484	5131127	+	1644	5000	5905	5113	4544	4483	5475
II.g5044.t3	II	6271543	6275441	-	3899	3107	3053	3055	823	1099	1227
I.g2874.t1	I	9834584	9834912	+	329	0	0	0	5812	3301	4939
X.g20532.t1	X	11355845	11358736	-	2892	867	824	794	771	1479	1048
II.g4479.t1	II	3504146	3505204	+	1059	31	32	11	363	76	105
IV.g10728.t1	IV	1664095	1664585	-	491	0	1	0	7002	4286	5747
II.g4480.t1	II	3507665	3513056	+	5392	101	168	88	429	120	297
IV.g12710.t1	IV	11167720	11169124	+	1405	0	1	0	5329	2757	4376
II.g7170.t2	II	15715650	15716923	+	1274	0	0	0	11	13	8
X.g20634.t1	X	11869511	11870990	-	1480	7247	2986	5590	13812	4037	12447
IV.g11852.t2	IV	7754820	7755680	-	861	1	0	1	452	425	443
I.g2768.t1	I	9444918	9450200	+	5283	3454	3600	3201	1640	2111	2110
X.g21419.t1	X	16084834	16086390	-	1557	19693	10539	18160	35039	7372	23846
III.g9974.t1	III	12034333	12037748	+	3416	3241	2496	2732	4416	5842	3584
III.g7470.t1	III	345523	348252	-	2730	2080	2238	2044	2494	2528	2653
II.g6312.t2	II	11534317	11537204	-	2888	839	1002	656	968	1489	952
X.g19729.t3	X	6972978	6977446	-	4469	140	134	87	226	212	248
X.g20252.t1	X	9754760	9756294	+	1535	8280	5306	7290	9244	6630	6734
II.g6551.t1	II	12691601	12698455	-	6855	2663	2803	2219	4602	1820	3523
V.g17954.t1	V	16619465	16623074	+	3610	91	31	55	30	406	64
III.g8105.t1	III	4086598	4088168	-	1571	36523	37939	35620	22348	20178	24941
III.g10380.t1	III	14344551	14345994	-	1444	6105	3899	5031	14456	9082	11655
IV.g11062.t1	IV	3732172	3736060	+	3889	326	329	257	704	997	649
II.g5135.t2	II	6651486	6659315	+	7830	34627	40247	35629	13358	11458	16721
III.g8250.t1	III	4671337	4672388	-	1052	60	59	48	65	39	72
I.g1451.t1	I	4128603	4129446	-	844	352	353	355	674	324	383
III.g8249.t1	III	4666939	4671194	-	4256	11	13	9	1855	1362	1653
III.g10109.t1	III	12918276	12919929	+	1654	1	1	1	5412	3602	4590
IV.g13501.t1	IV	15572582	15572979	-	398	0	1	2	3413	1769	2750
IV.g11061.t3	IV	3724443	3731781	+	7339	248	306	217	516	346	478
IV.g12968.t1	IV	12258543	12259879	+	1337	80	82	71	269	343	322
X.g19949.t1	X	8166279	8166827	-	549	310	363	219	359	958	515
III.g8327.t1	III	5029584	5030736	-	1153	977	1030	877	942	1447	1185
II.g7327.t3	II	16389536	16392560	-	3025	4118	4387	3975	3849	2087	3853
II.g6595.t2	II	12898357	12901408	-	3052	410	489	450	131	164	254
X.g19745.t2	X	7088034	7094136	+	6103	147	192	218	85	34	109
X.g21163.t2	X	14784416	14786053	+	1638	215	234	207	27	34	53
IV.g13467.t1	IV	15331875	15333353	-	1479	6133	5671	5501	8199	8448	7905
X.g21364.t1	X	15785952	15787986	-	2035	306	180	272	285	527	370
X.g20153.t1	X	9359925	9361803	+	1879	216	214	228	190	238	193
I.g1233.t1	I	3251179	3252629	-	1451	1650	1652	1547	656	578	744
I.g1234.t1	I	3254349	3256627	-	2279	1578	1936	1660	659	632	754
III.g8670.t2	III	6374764	6381364	-	6601	985	1235	1068	1102	903	1153
III.g8669.t1	III	6373177	6374481	-	1305	445	495	426	429	599	546
V.g13921.t1	V	225089	227676	+	2588	6295	6617	5985	3682	2823	3917
V.g13922.t1	V	228417	229895	+	1479	2029	1848	1878	941	1206	1105
I.g3275.t1	I	11715406	11720929	-	5524	1007	1118	988	771	782	863
III.g8069.t1	III	3890812	3891108	-	297	22	26	25	49	58	50
V.g15719.t1	V	7846618	7854645	+	8028	626	888	585	1139	814	1223
V.g18437.t1	V	19106801	19108364	+	1564	7	7	1	10	9	12
V.g16109.t1	V	9335010	9335906	+	897	1953	2227	1910	2009	1778	2154
II.g5861.t1	II	9802043	9805582	-	3540	2851	3207	2744	3252	2638	3827
X.g20656.t1	X	11939465	11940897	+	1433	846	945	578	1427	1571	1519
X.g19116.t2	X	3289085	3291494	+	2410	47	44	37	153	98	117
I.g3277.t1	I	11725892	11734337	-	8446	684	692	606	494	467	527
X.g22042.t1	X	19518957	19529263	+	10307	195	149	186	303	292	295
V.g16110.t1	V	9336014	9339174	+	3161	6765	7383	6396	6345	5089	6832
I.g1259.t1	I	3400134	3403090	-	2957	211	184	160	410	282	353
V.g16814.t2	V	12179313	12187430	+	8118	1648	1707	1633	1385	1307	1640
V.g15790.t3	V	8073512	8075410	+	1899	20	24	12	35	74	30
IV.g12225.t1	IV	9215212	9218595	-	3384	1412	1007	866	2396	2184	2509
IV.g11026.t1	IV	3466746	3473364	+	6619	17	14	19	46	42	41
X.g18837.t1	X	1553816	1556729	+	2914	106	85	90	214	214	209
X.g20655.t1	X	11937581	11939045	+	1465	184	189	150	155	250	186
II.g3977.t1	II	172861	173234	-	374	0	0	1	1317	843	1035
I.g2519.t1	I	8505687	8507397	-	1711	3844	3994	3548	2171	2783	2740
X.g21472.t2	X	16397506	16402589	+	5084	45	24	30	67	53	62
III.g10064.t1	III	12627919	12632099	+	4181	1206	1157	1129	509	452	598
I.g2518.t1	I	8503272	8505474	-	2203	2458	2925	2558	2568	2971	3122
I.g2991.t1	I	10389140	10391756	+	2617	1	9	5	3	2	2
IV.g13569.t1	IV	16048980	16057632	+	8653	1042	1329	950	3534	1849	3057
I.g3605.t1	I	13766363	13767400	-	1038	0	0	0	1432	993	1289
V.g15408.t1	V	6543549	6544689	+	1141	571	584	467	350	521	468
IV.g11585.t4	IV	6827877	6831153	+	3277	24108	24585	23212	16969	17173	17731
I.g2854.t1	I	9770955	9772769	+	1815	0	0	0	1656	1566	1634
III.g8317.t1	III	4979504	4981470	-	1967	76	93	59	71	112	136
V.g16101.t1	V	9303487	9306675	-	3189	1	4	2	617	397	578
IV.g10910.t3	IV	2658491	2662807	+	4317	326	342	295	683	304	557
I.g1476.t1	I	4231093	4231382	-	290	0	0	2	0	3	1
II.g5103.t1	II	6530433	6531797	-	1365	11	14	11	2303	1966	2137
V.g16100.t1	V	9301154	9303288	-	2135	6463	6975	6588	1653	2126	2302
II.g4809.t1	II	5176933	5178092	-	1160	2	2	12	618	501	569
I.g1625.t2	I	4798426	4801665	+	3240	3818	3762	3790	2544	2555	3224
X.g20074.t1	X	8889564	8891143	-	1580	15	16	23	8	11	13
I.g1624.t1	I	4794293	4798353	+	4061	15	13	11	44	60	47
II.g4545.t1	II	3813629	3814834	+	1206	24427	29150	39199	5458	860	4266
X.g22276.t2	X	20805312	20808479	-	3168	3687	3132	4768	167	221	179
II.g5601.t1	II	8617647	8621918	+	4272	291	320	167	1605	1265	1350
IV.g11214.t1	IV	4788992	4790301	-	1310	35204	42320	36894	3514	3373	7277
V.g18380.t1	V	18864514	18869640	-	5127	365	293	224	1052	409	516
III.g7719.t1	III	1731571	1738031	+	6461	90	71	82	252	270	308
III.g7720.t1	III	1740879	1744820	+	3942	107	110	99	169	177	164
IV.g10448.t1	IV	81802	84252	+	2451	49	96	30	92	39	109
III.g9803.t1	III	11047109	11049077	-	1969	122	161	138	409	379	401
V.g18451.t1	V	19159545	19165695	+	6151	435	418	449	1059	545	945
III.g9578.t2	III	10094475	10097040	+	2566	54	49	57	118	98	112
X.g19930.t3	X	8086137	8096014	-	9878	525	572	451	1368	1358	1467
IV.g10447.t1	IV	73367	75789	+	2423	413	604	381	408	115	443
X.g19086.t1	X	3067421	3068354	+	934	2735	1421	2445	6765	1912	4469
II.g4601.t2	II	4093530	4100380	+	6851	6	5	5	36	13	12
II.g4130.t1	II	1219223	1220306	-	1084	0	0	0	0	0	0
I.g2671.t1	I	9082286	9085857	-	3572	2613	3311	2989	4184	6250	6751
II.g4602.t1	II	4101326	4104928	-	3603	282	105	142	246	319	183
III.g9804.t1	III	11049466	11050936	-	1471	6070	6325	5755	4372	3708	4987
IV.g10462.t1	IV	163918	169147	-	5230	500	412	352	625	409	604
V.g14361.t2	V	1849798	1854203	+	4406	295	171	188	418	415	404
II.g6381.t1	II	11888166	11891146	+	2981	2720	2732	2560	1305	1747	1733
III.g8458.t3	III	5583466	5587833	-	4368	42	40	46	122	108	88
IV.g12276.t1	IV	9426468	9427572	-	1105	292	258	211	137	148	175
II.g6380.t2	II	11882982	11887483	+	4502	4	4	12	59	69	67
III.g8456.t1	III	5577762	5579534	-	1773	218	226	158	464	251	287
V.g16031.t1	V	8964823	8967399	-	2577	1136	1205	1037	533	483	577
X.g20677.t1	X	12059510	12060030	-	521	1229	1822	990	5008	7092	8154
V.g16030.t1	V	8962519	8964540	-	2022	1515	1542	1522	598	776	753
II.g5392.t2	II	7706345	7710695	+	4351	7	7	4	38	42	33
V.g15886.t1	V	8418380	8419198	+	819	1086	1864	1001	3267	1960	2310
III.g9507.t1	III	9756517	9756987	-	471	771	1205	568	6771	9583	10671
I.g1221.t1	I	3205839	3206740	+	902	100	73	74	146	301	224
V.g15885.t1	V	8415505	8416240	+	736	5348	11275	4259	12411	11651	11187
IV.g12277.t4	IV	9427852	9429006	-	1155	201	156	103	173	224	147
IV.g11310.t2	IV	5271326	5271990	+	665	212	141	223	144	99	96
II.g7126.t1	II	15426477	15430082	-	3606	1033	832	944	548	368	490
I.g3848.t2	I	15121186	15124929	-	3744	6315	3756	5822	14408	3095	11057
II.g5224.t1	II	7100768	7101526	+	759	6	37	8	109	829	120
II.g5225.t1	II	7102834	7105122	+	2289	375	1741	345	2738	850	2309
IV.g10636.t1	IV	1165181	1168450	+	3270	6	2	6	7	12	11
II.g5413.t1	II	7816547	7821225	+	4679	9651	12082	10522	3656	3665	4733
I.g2181.t1	I	7196249	7211410	+	15162	239	195	215	584	248	505
I.g1688.t1	I	5111504	5113379	+	1876	6	7	5	2	12	7
II.g7127.t1	II	15430392	15439485	-	9094	3229	3534	3262	2162	1661	2696
IV.g12163.t3	IV	8962877	8967529	+	4653	292	294	210	866	240	402
I.g3847.t4	I	15116723	15121319	-	4597	14292	8159	13342	31591	8208	22874
V.g17330.t1	V	14157957	14159203	+	1247	1074	1269	1125	662	733	752
IV.g11206.t1	IV	4746944	4748989	+	2046	2563	2984	2493	1201	820	1420
V.g14279.t2	V	1556467	1562710	-	6244	32	33	23	65	36	56
I.g1515.t2	I	4375231	4378934	-	3704	7903	8475	7820	2495	3121	4168
IV.g11120.t1	IV	4137039	4141726	-	4688	762	955	611	1030	943	999
I.g1513.t1	I	4368439	4371015	-	2577	14385	14312	14381	3860	3009	4891
IV.g10919.t1	IV	2731461	2737701	+	6241	252	1179	273	2137	424	1339
V.g14283.t2	V	1569266	1573487	-	4222	212	76	104	480	155	192
I.g3621.t1	I	13850148	13864644	+	14497	5317	5621	4873	4989	2346	4060
V.g15602.t3	V	7391584	7394845	-	3262	111	126	90	118	271	148
V.g17228.t1	V	13792659	13794497	-	1839	46777	53183	46629	9240	11229	15447
II.g5411.t1	II	7811351	7813907	+	2557	7103	8833	8299	2638	2088	3272
X.g19381.t1	X	4843398	4844757	+	1360	5493	5576	4233	9689	5580	8290
IV.g12142.t2	IV	8882964	8886634	-	3671	35970	40870	34721	24781	23127	27022
III.g9066.t1	III	7985755	7986587	+	833	2	2	0	713	604	708
III.g9065.t1	III	7984894	7985561	+	668	4	5	2	19	22	16
II.g5451.t1	II	7989112	7990377	+	1266	3014	3405	3006	1628	2169	2386
V.g14431.t1	V	2150429	2151860	+	1432	126	171	157	181	97	106
I.g2647.t2	I	9005088	9005923	-	836	7010	7400	7069	9431	8928	9448
I.g2573.t1	I	8698986	8702452	+	3467	4606	4796	4292	2004	3035	2657
II.g5351.t1	II	7583864	7584937	-	1074	2075	2329	2047	2376	2520	2866
V.g14430.t1	V	2148472	2150081	+	1610	166	266	204	224	282	213
X.g19391.t1	X	4912318	4916180	-	3863	12	9	16	51	25	44
X.g18688.t1	X	739851	743230	+	3380	117	62	111	170	49	103
V.g16153.t3	V	9519358	9521800	-	2443	1642	1711	1584	1201	1248	1443
III.g7763.t1	III	1979727	1982431	-	2705	2392	2433	2145	6747	5001	6563
X.g20727.t1	X	12299999	12301234	+	1236	2961	1967	2686	3871	2940	2926
V.g16152.t1	V	9515402	9518453	-	3052	7341	7973	7043	2799	3523	4008
II.g7312.t1	II	16349862	16352597	-	2736	218	191	150	656	443	614
V.g15418.t1	V	6572672	6573820	+	1149	0	0	0	0	0	0
V.g14689.t1	V	3321486	3323131	+	1646	0	1	0	3	1	4
III.g10085.t2	III	12746215	12753238	-	7024	505	437	468	213	261	247
II.g7313.t1	II	16353803	16356111	+	2309	17	15	15	69	45	47
I.g2572.t1	I	8693645	8698430	+	4786	3771	4496	5622	3344	3824	3957
V.g15419.t1	V	6574166	6575332	+	1167	1	0	0	0	1	0
I.g1450.t1	I	4125484	4127349	-	1866	6	5	3	1615	1525	1499
I.g2247.t1	I	7464847	7466333	+	1487	2	0	2	3675	4602	3921
III.g7789.t1	III	2191506	2194989	-	3484	138	197	123	522	246	466
III.g10101.t2	III	12849614	12856224	+	6611	470	457	455	414	419	557
V.g15976.t1	V	8767128	8768328	-	1201	1504	1384	1269	688	1012	843
IV.g11608.t1	IV	6928767	6929946	+	1180	4433	4386	4168	2779	3019	3320
X.g18829.t1	X	1513821	1514806	-	986	35	33	29	84	44	78
II.g6344.t1	II	11693868	11695088	-	1221	1229	1207	1172	673	744	879
IV.g10522.t1	IV	407269	408328	+	1060	1152	1230	1097	682	886	690
III.g10317.t1	III	14122494	14123492	-	999	0	0	0	1960	2186	2600
III.g8120.t1	III	4123831	4124521	-	691	18	23	13	24	24	30
II.g4415.t1	II	3175338	3178317	-	2980	2	0	0	18	5	10
III.g7904.t1	III	2994977	2997814	+	2838	2	3	3	1236	901	1082
X.g20586.t1	X	11628568	11629898	-	1331	367	203	251	142	199	158
III.g7930.t1	III	3201716	3202889	+	1174	888	723	735	223	412	345
III.g7903.t1	III	2992317	2993789	+	1473	1717	1989	1482	6737	10078	8946
II.g4113.t1	II	1055805	1061167	-	5363	0	3	4	13	11	16
I.g2692.t1	I	9162142	9166911	+	4770	56719	51781	50092	41456	34532	38100
IV.g12460.t1	IV	10264986	10268117	+	3132	1964	2270	2100	1027	1164	1304
IV.g10663.t1	IV	1345546	1348404	-	2859	57	52	58	347	255	326
III.g8333.t3	III	5054427	5057209	+	2783	81	78	59	312	178	293
III.g7931.t1	III	3204526	3206993	+	2468	631	614	542	513	561	390
I.g3285.t1	I	11773181	11774980	-	1800	9	12	11	46312	16926	36500
V.g14196.t1	V	1255876	1259217	-	3342	19	23	13	48	23	51
I.g2693.t1	I	9167389	9170776	+	3388	3933	4802	4779	1226	2081	1845
I.g2221.t1	I	7373418	7373735	-	318	13	13	8	107	335	137
I.g2222.t1	I	7373985	7374293	-	309	5	3	3	632	906	848
IV.g11940.t1	IV	8098150	8099638	+	1489	0	1	0	1635	565	1229
I.g1498.t1	I	4308692	4309403	-	712	378	422	421	177	354	221
V.g14198.t1	V	1267125	1270708	-	3584	8	12	10	47	47	53
III.g10131.t1	III	13025886	13029074	+	3189	1072	1040	1004	517	396	553
III.g9183.t1	III	8518322	8518647	+	326	0	0	0	3	0	1
V.g14197.t3	V	1260732	1264679	-	3948	7	9	2	24	35	26
III.g9554.t1	III	9982948	9990232	-	7285	76	143	86	74	22	49
IV.g13250.t2	IV	13628258	13630514	+	2257	64	29	27	188	19	70
IV.g12889.t1	IV	11912966	11915266	-	2301	90	125	56	526	486	501
III.g8361.t1	III	5163237	5164938	-	1702	1905	1904	1877	1085	1502	1361
I.g1926.t1	I	6032428	6036721	+	4294	6	1	8	4988	4968	4906
V.g14690.t1	V	3325204	3326907	-	1704	0	2	1	8	5	9
II.g6082.t1	II	10613603	10616061	+	2459	1	0	0	3501	3626	3541
II.g5953.t1	II	10134621	10135828	-	1208	41	16	13	213	9	92
IV.g12890.t1	IV	11915557	11918938	-	3382	341	281	262	317	348	328
III.g8226.t1	III	4583732	4584798	-	1067	0	0	0	808	664	741
IV.g12891.t1	IV	11919508	11921457	-	1950	446	437	369	1094	1788	1312
III.g8365.t1	III	5183892	5186026	+	2135	0	2	2	4410	3579	4244
III.g8360.t1	III	5162303	5163091	-	789	1228	960	966	550	732	587
III.g10012.t1	III	12334620	12342267	+	7648	46	89	47	105	42	99
II.g5711.t1	II	9081782	9083989	-	2208	208	196	195	382	534	362
I.g1924.t1	I	6027142	6030324	-	3183	3	0	1	251	293	258
X.g20595.t1	X	11672466	11674175	+	1710	5318	5045	5103	6104	3728	4820
I.g1162.t2	I	2927653	2933415	+	5763	10797	11304	9608	11960	11775	11572
II.g4723.t3	II	4736418	4749455	+	13038	1423	1379	1280	2755	1767	2598
X.g21755.t2	X	17876981	17879592	-	2612	765	746	767	579	484	531
III.g8399.t1	III	5326373	5327386	-	1014	2310	2557	2209	687	939	1074
I.g1282.t1	I	3492887	3497963	+	5077	289	231	286	482	243	426
IV.g12426.t4	IV	10075915	10096917	-	21003	15415	17763	15432	7439	6709	8879
III.g9555.t3	III	9990639	9999113	-	8475	5	12	3	55	17	24
I.g2269.t1	I	7546339	7547252	+	914	3844	3963	3754	2687	3411	3289
I.g951.t1	I	1738421	1739437	-	1017	21	31	38	8	4	16
I.g1990.t1	I	6319089	6319931	-	843	35	38	44	3	5	12
I.g952.t1	I	1740820	1742573	-	1754	68	80	63	161	284	200
II.g5522.t3	II	8315543	8317125	+	1583	10372	10414	9724	6706	5076	7247
III.g8032.t1	III	3743536	3745173	-	1638	5761	6089	5710	7135	7062	7323
II.g5521.t2	II	8313239	8315176	-	1938	7095	6852	6696	5737	4086	6751
IV.g10628.t3	IV	1091160	1098220	+	7061	3822	4106	3598	1506	1053	1643
IV.g11133.t1	IV	4274905	4280559	+	5655	6271	2929	5377	2989	1557	1969
I.g1281.t2	I	3471634	3490589	+	18956	534	372	511	1288	389	1229
I.g1988.t1	I	6315667	6316415	+	749	443	473	403	250	223	238
IV.g10629.t1	IV	1099365	1103313	+	3949	1538	1658	1383	854	1034	956
I.g1340.t2	I	3733083	3734888	+	1806	50	91	62	8720	6919	7889
IV.g12719.t1	IV	11207826	11210179	-	2354	4110	4480	3797	1288	1562	1848
X.g21737.t1	X	17730333	17733052	+	2720	3583	2254	2976	4360	2255	2901
IV.g11132.t1	IV	4270167	4273949	+	3783	2640	2052	2241	2712	450	2015
I.g1989.t1	I	6316961	6317599	+	639	123	89	123	124	144	93
IV.g12718.t1	IV	11205811	11207642	-	1832	2260	2262	2289	1232	1599	1477
V.g14948.t1	V	4421577	4422343	-	767	1	0	7	8	10	4
V.g14947.t1	V	4420429	4421224	-	796	40	107	36	98	43	111
V.g15823.t2	V	8166362	8167164	+	803	249	278	157	202	621	258
V.g18433.t2	V	19090479	19091819	-	1341	0	1	0	0	1	2
V.g15822.t1	V	8162051	8165339	+	3289	4	1	1	18	16	16
V.g17205.t1	V	13711423	13712392	-	970	163	193	168	307	366	317
V.g14620.t1	V	3065974	3069298	+	3325	0	0	4	7	3	10
V.g17734.t1	V	15730424	15734242	-	3819	7	18	9	16	144	21
V.g17036.t1	V	13014450	13015256	+	807	1	3	2	7	17	14
IV.g12722.t1	IV	11214483	11220910	+	6428	230	298	260	4405	5145	6095
IV.g12721.t1	IV	11211565	11214259	+	2695	15524	13744	14738	8304	6252	9030
V.g15959.t1	V	8707710	8708400	-	691	13	9	15	8	12	14
