# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_fc.counts.txt" "STAR/BAM/BF1_Cbr.bam" "STAR/BAM/BF2_Cbr.bam" "STAR/BAM/BF3_Cbr.bam" "STAR/BAM/BM1_Cbr.bam" "STAR/BAM/BM2_Cbr.bam" "STAR/BAM/BM3_Cbr.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/BF1_Cbr.bam	STAR/BAM/BF2_Cbr.bam	STAR/BAM/BF3_Cbr.bam	STAR/BAM/BM1_Cbr.bam	STAR/BAM/BM2_Cbr.bam	STAR/BAM/BM3_Cbr.bam
III.g9758.t1	III	10833346	10834462	-	1117	3	32	5	15	7	7
II.g5883.t1	II	9895742	9896775	-	1034	17	13	13	49	21	38
II.g5879.t1	II	9887344	9888901	+	1558	2364	2043	1662	1749	1127	1765
V.g16365.t1	V	10285738	10287729	+	1992	140	88	80	1151	941	957
III.g9195.t2	III	8558268	8563417	+	5150	1686	1214	883	2597	1376	2461
II.g5878.t1	II	9886564	9887185	+	622	1515	943	1098	572	495	605
II.g6892.t1	II	14109772	14112746	-	2975	1491	1860	1301	1140	625	1292
I.g3433.t1	I	12715582	12716312	-	731	268	125	226	70	84	90
I.g3434.t1	I	12717575	12718290	+	716	45	33	51	48	59	43
IV.g12977.t1	IV	12283421	12294019	-	10599	1956	2049	1312	3356	935	2665
II.g5911.t2	II	10002971	10004903	+	1933	7158	5928	4949	3726	1961	4373
V.g15734.t1	V	7887306	7891869	+	4564	366	202	235	3712	2518	3568
III.g8890.t1	III	7265346	7267835	-	2490	2157	1623	1347	714	306	939
I.g3437.t1	I	12726114	12727084	+	971	276	167	774	130	330	178
X.g21837.t1	X	18391970	18395787	-	3818	1153	798	778	1197	792	1161
II.g4551.t1	II	3846215	3848246	+	2032	37	31	32	80	94	57
X.g18677.t1	X	692391	693584	-	1194	1395	1127	1352	1005	961	928
I.g3435.t1	I	12720753	12721651	+	899	546	233	679	359	491	226
II.g4550.t1	II	3841700	3843103	+	1404	1328	832	1555	1112	2047	1336
I.g2069.t1	I	6663649	6665294	-	1646	3241	2790	2681	2113	1370	2270
I.g2068.t1	I	6662088	6663389	-	1302	1292	1551	1291	516	332	643
IV.g13749.t1	IV	17089141	17090495	+	1355	2174	1269	1270	9582	7742	8064
I.g2601.t3	I	8820782	8835953	-	15172	1016	703	468	1372	618	1290
IV.g13748.t1	IV	17087610	17088969	-	1360	2133	1448	1339	11182	9211	9045
III.g8363.t1	III	5167871	5168739	+	869	1178	1045	1086	988	725	934
III.g9145.t1	III	8321084	8323119	-	2036	2165	1413	1039	861	393	1032
I.g1412.t2	I	3998776	4006730	-	7955	14461	14654	8634	9036	3826	11320
IV.g13561.t1	IV	16018514	16022507	-	3994	1067	816	865	6723	4924	5546
III.g9146.t2	III	8323335	8324944	-	1610	1275	925	911	697	570	737
V.g16421.t1	V	10530493	10531194	+	702	5	13	2	39	60	15
V.g15733.t1	V	7885332	7886878	+	1547	2575	2099	2287	2848	3598	2936
I.g1553.t2	I	4511279	4514046	-	2768	6604	4553	3656	11459	5288	8484
III.g8258.t1	III	4718312	4721108	-	2797	6422	4831	3485	38848	20103	33962
IV.g11504.t1	IV	6400045	6403265	-	3221	13	5	11	68	99	18
X.g19933.t2	X	8113394	8115277	+	1884	42	26	31	15	25	27
I.g2123.t1	I	6870260	6875952	+	5693	7	9	8	10	10	10
X.g19934.t1	X	8119463	8120919	-	1457	11	6	12	54	38	40
V.g14308.t1	V	1634833	1635527	+	695	480	219	177	629	670	764
X.g19653.t3	X	6485692	6497588	-	11897	132	87	27	438	193	204
V.g15515.t2	V	7036062	7037815	-	1754	124	177	212	244	235	179
X.g19652.t3	X	6478945	6485165	-	6221	786	657	468	1307	456	993
V.g15215.t1	V	5626279	5627063	+	785	2980	3329	3323	1781	2015	1707
III.g8767.t1	III	6793704	6797352	+	3649	1419	754	903	359	248	441
V.g17006.t1	V	12932020	12933803	-	1784	280	200	154	303	184	237
III.g7505.t1	III	500761	501980	-	1220	4313	4856	4673	5937	5004	5167
X.g20008.t1	X	8519744	8520178	+	435	14093	12457	16025	1341	1134	3555
X.g20011.t1	X	8529783	8530231	+	449	4583	4042	5756	406	268	894
X.g20012.t1	X	8531035	8531366	+	332	571	339	602	66	65	110
X.g21856.t1	X	18522250	18524863	-	2614	7031	5235	5080	7462	5963	6861
IV.g11605.t1	IV	6916600	6919012	-	2413	1579	825	972	1026	666	1029
IV.g11604.t1	IV	6913132	6914628	-	1497	63114	37697	41348	27345	20935	31021
X.g19071.t1	X	2980088	2982121	-	2034	533	527	414	996	605	876
X.g19078.t1	X	3027656	3029211	-	1556	1773	1182	1331	2182	1754	1939
X.g21146.t1	X	14677973	14678316	+	344	49	38	55	100	102	77
I.g3610.t1	I	13783885	13785273	+	1389	6390	9302	8108	4046	3460	4133
IV.g11847.t1	IV	7728703	7729598	+	896	581	423	631	855	949	729
X.g20428.t2	X	10710559	10712047	-	1489	1569	1191	1448	1538	1217	1367
II.g4398.t1	II	3080837	3084815	+	3979	266	345	287	719	529	306
X.g19176.t1	X	3610699	3611101	-	403	10812	9442	11937	1070	1060	2492
IV.g12794.t1	IV	11550566	11551234	+	669	292	261	310	1413	1451	1248
II.g5073.t2	II	6410941	6414241	-	3301	3251	3220	2251	1477	694	1945
X.g21145.t1	X	14676332	14677112	-	781	53	15	35	96	207	130
X.g20271.t1	X	9877347	9879438	+	2092	58	102	37	428	235	432
X.g18904.t1	X	1892799	1893059	+	261	2	2	1	2	0	2
II.g5074.t1	II	6415194	6416806	-	1613	465	406	425	651	517	522
IV.g12580.t1	IV	10624656	10626306	+	1651	7796	7871	6478	5324	4033	5399
IV.g12579.t1	IV	10622746	10624469	+	1724	1764	1266	1206	858	603	920
III.g7670.t1	III	1476675	1478120	-	1446	10530	9670	13455	1276	1433	2941
II.g4399.t1	II	3085015	3089309	+	4295	795	917	588	521	283	618
III.g8174.t1	III	4367486	4368166	+	681	2952	1758	2283	1685	1719	1764
IV.g10470.t2	IV	224051	228153	-	4103	1655	1317	1483	8805	7283	7843
IV.g10471.t1	IV	228364	229619	-	1256	3771	2376	1820	3421	2248	3140
I.g2283.t1	I	7590611	7593482	-	2872	20	9	20	73	85	22
I.g2284.t1	I	7593692	7595215	-	1524	275	259	204	3983	3329	3238
II.g6289.t1	II	11471699	11473706	+	2008	3255	3164	2097	3585	2205	3561
III.g8562.t1	III	5993041	5994103	-	1063	3105	2713	2479	3209	1880	3036
III.g7855.t1	III	2669421	2670667	-	1247	100	84	99	654	565	555
III.g8173.t1	III	4366308	4367272	+	965	1895	2182	1914	804	663	1074
X.g22043.t1	X	19533161	19536415	+	3255	1246	890	946	1458	1065	1381
II.g6290.t1	II	11475649	11477487	+	1839	4654	3510	2575	5615	4063	5226
V.g17603.t4	V	15182884	15190578	-	7695	950	656	654	1370	721	1226
III.g8963.t1	III	7520881	7521663	-	783	834	580	853	471	479	464
IV.g12181.t2	IV	9036814	9039017	-	2204	4	6	9	36	31	14
X.g20116.t1	X	9152442	9154278	+	1837	1933	1498	922	3597	1503	3018
II.g3940.t1	II	39527	40733	-	1207	2658	1955	1980	2433	1489	2231
I.g2924.t1	I	10080910	10086365	+	5456	5616	5975	3243	2673	1008	3423
V.g17254.t1	V	13912866	13918100	-	5235	393	314	169	923	534	696
I.g2667.t3	I	9069922	9074554	+	4633	1898	1807	1198	1515	612	1649
I.g2592.t1	I	8760914	8761970	+	1057	3685	3207	2723	21391	16168	17499
IV.g12182.t2	IV	9043733	9047300	-	3568	24	22	23	3	9	6
II.g4878.t1	II	5526087	5530858	-	4772	2056	1354	1245	1806	998	1578
IV.g12917.t1	IV	12031188	12032257	-	1070	363	247	237	1400	1538	1314
III.g8752.t1	III	6738669	6740074	-	1406	262	151	144	1660	1421	1428
III.g10112.t1	III	12931493	12933989	-	2497	446	306	297	1669	1266	1413
III.g7457.t1	III	289013	290149	+	1137	1584	1552	1570	8135	8404	6182
III.g10174.t2	III	13281441	13286041	-	4601	39	14	23	44	50	57
X.g19951.t2	X	8189100	8191399	+	2300	113	93	119	322	364	210
IV.g11160.t1	IV	4419543	4419839	+	297	1942	2285	2453	2048	2253	1835
I.g2898.t1	I	9922503	9923887	-	1385	344	346	245	2514	2015	1981
II.g4876.t1	II	5521529	5524390	-	2862	1143	1152	821	2145	1110	1629
III.g10194.t1	III	13424410	13429819	-	5410	1976	1737	1944	4314	3646	4133
I.g2668.t1	I	9075486	9076608	+	1123	1771	1153	1277	526	448	640
I.g2805.t1	I	9568678	9569316	+	639	77	47	48	483	501	422
I.g3925.t1	I	15451127	15452883	-	1757	8112	8034	7143	7471	5094	7236
II.g4267.t2	II	2355075	2355797	-	723	781	718	856	904	769	751
II.g7001.t1	II	14613065	14619323	-	6259	2336	2771	1753	2346	943	2146
X.g22077.t1	X	19790632	19796486	+	5855	525	531	372	1553	235	994
I.g2640.t1	I	8976664	8980241	+	3578	16	4	3	81	12	72
III.g9071.t1	III	7994833	7995876	-	1044	29	26	35	113	111	88
I.g2641.t3	I	8980518	8994122	+	13605	2479	2451	1888	2508	1348	2321
III.g8404.t1	III	5341945	5343242	-	1298	216	133	120	934	904	851
IV.g10651.t2	IV	1280344	1285076	-	4733	2	0	7	2	3	1
V.g17775.t2	V	15864129	15865641	-	1513	0	0	0	0	0	0
II.g4266.t1	II	2352716	2354446	-	1731	3602	3432	4582	1803	1448	1984
IV.g12920.t1	IV	12041106	12043216	-	2111	3104	3409	2171	5380	4353	5437
V.g17374.t3	V	14321451	14336862	-	15412	15581	15626	13321	17314	7645	14681
V.g14420.t3	V	2100477	2103631	+	3155	2733	3036	2500	1264	774	1559
V.g14421.t1	V	2103659	2106001	+	2343	1797	1831	1651	2717	2148	2435
X.g19455.t1	X	5280829	5282431	+	1603	121	69	81	131	138	126
V.g16880.t1	V	12417262	12417961	-	700	89	59	83	51	37	55
III.g8672.t1	III	6387354	6388646	-	1293	3285	2095	2345	841	645	1026
II.g6406.t2	II	12000155	12001581	+	1427	757	762	784	2012	1898	1580
V.g16879.t1	V	12415786	12417024	-	1239	1	48	2	3	0	1
I.g929.t1	I	1637909	1643588	-	5680	622	356	272	1947	1184	1683
V.g14305.t1	V	1631031	1631790	-	760	1947	1358	1192	1323	2199	1823
II.g6402.t1	II	11983159	11985909	+	2751	927	992	853	445	283	476
V.g16401.t1	V	10459526	10459927	+	402	2638	1548	2382	544	593	763
X.g19057.t1	X	2913456	2915018	+	1563	651	463	441	1071	798	787
III.g8902.t2	III	7291193	7292311	-	1119	49	50	27	191	228	127
III.g9385.t1	III	9268120	9271280	-	3161	2805	2306	1815	1786	992	1905
X.g21527.t1	X	16690443	16691503	+	1061	1401	1106	1250	603	622	567
IV.g13747.t1	IV	17083670	17086631	+	2962	234	197	183	2394	1927	1942
III.g8801.t1	III	6954589	6956517	-	1929	1581	1169	1442	1395	1293	792
IV.g11816.t2	IV	7636159	7636782	+	624	2400	1791	2047	1590	1558	1549
III.g9384.t1	III	9267195	9267961	-	767	1995	1248	1291	580	446	693
I.g2226.t1	I	7387124	7388319	+	1196	495	319	181	68	59	91
I.g2698.t1	I	9193540	9195148	+	1609	2716	2868	2407	998	674	1408
IV.g13526.t3	IV	15771852	15775425	-	3574	1562	2038	1809	1076	971	1163
IV.g13525.t1	IV	15769567	15771535	-	1969	3596	2218	2768	1499	1222	1656
V.g14461.t1	V	2293622	2294614	-	993	1277	4180	1628	19454	10676	5932
I.g1237.t1	I	3268248	3272436	+	4189	2204	2943	2350	2082	1327	1942
IV.g13513.t2	IV	15670890	15685707	+	14818	611	524	161	697	57	790
I.g2225.t1	I	7385309	7386385	-	1077	41	46	15	333	264	218
V.g14477.t1	V	2369570	2370910	-	1341	2034	7081	2335	44824	22830	12315
II.g6025.t1	II	10352251	10353439	-	1189	1009	767	416	579	135	708
II.g5525.t2	II	8324058	8325102	+	1045	1649	1224	1101	863	427	1015
III.g9119.t1	III	8217903	8222084	-	4182	826	636	501	8076	5551	7058
I.g1894.t1	I	5899489	5901694	+	2206	4263	4883	3174	5576	3441	5802
III.g7840.t2	III	2555331	2580975	-	25645	1165	1159	650	2361	799	2180
I.g1236.t2	I	3263604	3267384	+	3781	469	428	325	742	395	576
V.g14428.t2	V	2137589	2138367	-	779	3011	1864	2451	1224	1192	1499
X.g19971.t1	X	8327553	8328215	+	663	3777	2315	3378	1700	1618	1604
X.g21805.t3	X	18228188	18230122	-	1935	2286	1384	1671	1546	1075	1718
II.g6023.t2	II	10344400	10346282	-	1883	1709	1741	1480	1080	848	1185
X.g18965.t1	X	2251860	2252624	+	765	24	15	16	38	52	34
III.g8194.t1	III	4436735	4439103	+	2369	1424	1129	1253	2170	1943	1902
IV.g11838.t1	IV	7703116	7704091	-	976	907	854	800	727	536	732
I.g1320.t1	I	3632313	3632794	+	482	439	387	596	2130	2806	1776
I.g1781.t1	I	5518035	5518695	-	661	1691	1153	1213	6260	5386	5267
X.g20321.t3	X	10139865	10145746	-	5882	148	141	96	263	103	193
V.g15884.t1	V	8403690	8405992	-	2303	4797	3959	2893	5047	2343	5338
III.g8255.t1	III	4701235	4702384	+	1150	1235	1301	1049	1702	1343	1630
V.g15883.t1	V	8401411	8403239	-	1829	2980	3063	2182	2702	1835	2782
IV.g12516.t1	IV	10441621	10444563	-	2943	2134	2100	1371	1198	711	1457
I.g1436.t1	I	4105006	4105823	+	818	1164	1124	958	692	245	885
I.g2294.t2	I	7648498	7650537	-	2040	1925	1389	1426	1602	1421	1340
II.g6896.t1	II	14128478	14142737	+	14260	6179	6476	3202	5579	1938	5582
V.g16359.t1	V	10272616	10273958	+	1343	918	715	1194	789	932	675
IV.g12515.t2	IV	10437025	10441008	-	3984	2259	2082	1561	1343	682	1616
X.g21502.t1	X	16562280	16563277	+	998	36	22	24	9	6	9
IV.g13410.t3	IV	14918787	14940534	-	21748	3226	2470	1735	5189	1641	4955
V.g17453.t1	V	14662808	14663455	+	648	239	246	267	141	85	111
III.g7519.t1	III	579333	581776	+	2444	376	243	274	2254	1792	1894
V.g17416.t1	V	14495015	14497153	-	2139	2513	2998	2415	2290	1618	2345
II.g7264.t2	II	16141101	16145052	+	3952	1713	2210	1340	1190	769	1317
I.g2293.t1	I	7647490	7648345	-	856	425	276	248	255	147	201
III.g9327.t1	III	9056936	9057294	-	359	319	284	248	1770	1828	1430
I.g1438.t3	I	4107056	4107989	+	934	2386	2404	2623	1405	1015	1554
I.g2204.t1	I	7321244	7322932	+	1689	4351	5501	4201	1074	583	1831
V.g16938.t1	V	12656586	12658452	+	1867	5856	5075	4371	7921	5277	6972
III.g7874.t1	III	2787195	2794671	-	7477	306	279	802	217	370	237
I.g1654.t2	I	4946994	4949570	+	2577	1558	1475	710	1249	341	1457
I.g2205.t1	I	7323437	7325506	+	2070	1393	1696	1267	1580	1040	1605
V.g17140.t2	V	13404564	13415300	+	10737	2820	2527	971	3337	487	3439
IV.g13531.t1	IV	15788920	15790847	-	1928	996	826	1227	762	711	635
III.g10269.t4	III	13903670	13913096	+	9427	1083	1112	558	1009	414	1074
IV.g12749.t1	IV	11352467	11355798	-	3332	1	4	0	8	0	11
I.g1376.t2	I	3882872	3884430	+	1559	28	16	30	94	52	52
II.g4988.t1	II	6013360	6015364	+	2005	2411	2204	1515	2432	1388	2535
I.g3926.t1	I	15453671	15455342	+	1672	612	412	307	3240	1421	2862
II.g4989.t1	II	6015740	6018335	+	2596	2378	2167	1645	1436	642	1686
IV.g13532.t1	IV	15791232	15795322	-	4091	1343	1495	1084	1130	767	1220
IV.g12845.t1	IV	11729602	11731906	-	2305	833	535	527	3369	2153	2869
V.g18507.t1	V	19430445	19432131	+	1687	3008	2391	2744	1566	1287	1586
I.g1377.t3	I	3887235	3893561	+	6327	320	281	271	499	363	390
V.g18508.t1	V	19432451	19435873	+	3423	1552	1528	946	813	230	1013
III.g9038.t1	III	7908626	7910443	-	1818	3188	3525	3377	2324	1863	2434
I.g1769.t1	I	5460931	5462970	-	2040	32743	38703	27314	4540	1731	10694
II.g4136.t1	II	1258557	1264799	+	6243	895	1059	963	538	291	623
V.g18485.t1	V	19313487	19322187	-	8701	32	72	21	886	536	417
II.g4767.t1	II	4997227	4999533	+	2307	18104	19328	15013	11409	8288	11934
IV.g11034.t2	IV	3518442	3536844	+	18403	1288	1400	590	1297	312	1449
III.g9037.t2	III	7906677	7908531	-	1855	14637	13173	10904	15157	10754	14932
II.g5070.t1	II	6400223	6401967	+	1745	27	27	19	51	41	46
IV.g12784.t1	IV	11498303	11499241	+	939	11754	11699	11641	16777	12488	14235
II.g4344.t1	II	2862035	2863728	-	1694	25	14	25	62	78	84
V.g18484.t1	V	19309607	19313327	-	3721	18	84	20	356	209	164
III.g8318.t1	III	4983514	4986100	-	2587	4348	4332	2703	5134	2125	4902
III.g8160.t1	III	4327684	4328417	-	734	5385	5336	5362	9085	7171	7935
II.g5069.t1	II	6399337	6399754	+	418	536	421	468	797	946	645
V.g14802.t1	V	3771112	3772526	-	1415	11	11	14	62	103	58
I.g1942.t1	I	6113112	6114379	+	1268	1274	1431	1286	1373	975	1339
V.g17249.t1	V	13877662	13894306	-	16645	2135	2263	1378	2125	790	2176
III.g8751.t2	III	6727553	6732371	-	4819	51	41	32	113	53	107
I.g1585.t1	I	4647498	4649401	-	1904	3807	2507	2580	1562	1001	1832
III.g10182.t1	III	13360749	13362401	-	1653	13983	12083	12499	14821	12528	14121
III.g7540.t3	III	670147	682106	+	11960	2233	2901	2272	1374	1217	1574
III.g8413.t2	III	5392716	5401326	+	8611	156	100	76	413	186	338
I.g1586.t1	I	4649579	4651920	-	2342	2998	2155	1575	1616	865	1670
I.g2790.t1	I	9506068	9507213	+	1146	2926	2364	2176	1199	809	1419
X.g19318.t1	X	4468369	4469506	+	1138	1	0	0	21	9	12
X.g19154.t1	X	3486591	3489604	+	3014	642	681	410	1114	578	807
IV.g12345.t1	IV	9736977	9737903	-	927	4579	2704	2692	15876	12409	13777
X.g19155.t1	X	3490075	3493963	+	3889	597	358	403	914	640	901
V.g15893.t1	V	8469031	8469516	+	486	48	49	62	63	100	53
I.g2791.t2	I	9507392	9509392	+	2001	3885	3397	2854	2215	1344	2510
I.g1940.t1	I	6108482	6110575	+	2094	1303	1100	442	1358	265	1363
X.g19080.t1	X	3031321	3031709	+	389	1	0	0	1	0	1
II.g3979.t1	II	175486	177323	-	1838	689	481	436	4398	2872	3831
V.g18272.t3	V	18292544	18308074	+	15531	360	478	193	1253	582	749
I.g2402.t2	I	8047638	8049133	-	1496	3	7	4	33	15	10
III.g8563.t1	III	5994385	5995513	+	1129	992	807	880	538	475	610
V.g15386.t1	V	6418790	6423510	-	4721	128	88	118	407	235	348
II.g4864.t1	II	5428072	5434837	+	6766	453	384	307	2093	1108	1554
I.g1502.t1	I	4319818	4320348	-	531	78513	54409	71139	37150	36718	36417
II.g4924.t1	II	5733832	5735289	-	1458	12256	11308	12402	8222	6065	8195
II.g3978.t1	II	173369	175219	+	1851	75	52	41	545	474	496
V.g16213.t2	V	9735153	9736795	+	1643	0	6	3	20	26	12
I.g881.t1	I	1216438	1218507	-	2070	0	7	5	50	79	16
V.g15139.t1	V	5254089	5257780	-	3692	120	94	117	202	179	120
III.g8564.t1	III	5996671	5997109	+	439	3085	2245	3736	4854	4956	3672
X.g19564.t1	X	5869883	5874592	-	4710	33	24	13	486	209	316
I.g884.t3	I	1239798	1249536	-	9739	778	816	429	1666	1088	848
IV.g10476.t1	IV	243688	251139	-	7452	3381	3365	1563	4911	1496	4994
II.g4923.t1	II	5732209	5733596	-	1388	8642	7538	7221	4556	3147	4849
II.g5886.t1	II	9900219	9900984	+	766	2678	1690	1929	930	767	1021
II.g5884.t3	II	9897117	9900048	+	2932	2177	1982	2182	939	797	1078
V.g16212.t3	V	9729340	9734437	+	5098	21	4	17	8	20	15
IV.g11330.t1	IV	5372727	5376335	+	3609	1354	819	936	1940	1469	1763
X.g19909.t1	X	7970084	7975470	-	5387	316	294	250	518	272	421
I.g2233.t1	I	7414633	7416337	+	1705	624	769	585	206	144	325
IV.g11192.t1	IV	4639497	4643888	-	4392	779	594	137	949	44	967
IV.g11190.t3	IV	4633703	4637717	-	4015	1898	2157	1403	2542	901	2403
III.g10344.t2	III	14222649	14225353	-	2705	7331	7549	5456	8005	3548	7704
X.g19279.t1	X	4237315	4239982	-	2668	257	240	218	336	202	295
II.g6615.t2	II	12977886	12982102	-	4217	845	1007	844	425	285	499
II.g4838.t1	II	5314034	5315400	+	1367	1200	1115	1150	710	602	698
V.g16376.t1	V	10352224	10354136	-	1913	4620	4643	3625	5872	2919	5292
I.g3732.t1	I	14500845	14502552	+	1708	2098	1404	1436	7633	5298	6537
V.g16565.t1	V	11044987	11046072	+	1086	9	5	6	36	61	41
II.g4839.t1	II	5315575	5317318	+	1744	3787	3079	3186	883	608	1136
V.g16460.t1	V	10685303	10686402	-	1100	368	252	273	366	274	590
III.g7552.t1	III	737449	741800	+	4352	40	45	33	107	70	92
X.g21118.t2	X	14567233	14572715	-	5483	662	450	389	724	301	616
III.g9067.t1	III	7987422	7988059	-	638	2139	1451	2518	827	983	1055
X.g19679.t1	X	6663335	6672650	-	9316	62	65	58	83	69	95
III.g10377.t3	III	14327347	14330285	-	2939	7048	6098	6499	10629	8007	9205
V.g16461.t3	V	10689023	10690296	-	1274	905	532	676	485	474	496
V.g16111.t2	V	9339699	9342354	+	2656	1028	1074	671	1042	550	1117
IV.g12144.t1	IV	8892582	8893187	-	606	274	184	169	491	428	396
V.g16457.t1	V	10666273	10668645	+	2373	904	718	650	696	552	574
IV.g12146.t1	IV	8894396	8896525	-	2130	280	184	136	536	156	456
III.g7501.t1	III	477674	479481	-	1808	1774	999	1080	1418	1393	1591
IV.g12293.t1	IV	9539073	9539577	+	505	1	1	0	2	5	4
I.g3628.t1	I	13953865	13954830	+	966	97	100	100	491	661	468
X.g21215.t1	X	15040836	15042175	+	1340	531	478	430	1337	912	1078
III.g8757.t1	III	6747208	6747680	+	473	15	12	8	77	103	54
III.g10052.t1	III	12566153	12567990	-	1838	15	6	8	14	7	13
IV.g12260.t3	IV	9349124	9351948	-	2825	86310	85892	92733	57135	49522	48910
III.g8905.t1	III	7297655	7298700	+	1046	522	396	303	2007	1603	1833
III.g8761.t1	III	6759316	6762048	+	2733	75	67	50	718	757	510
I.g2050.t1	I	6565652	6566801	-	1150	731	625	420	4200	3216	3784
I.g1749.t1	I	5379424	5380768	-	1345	6328	4711	4072	3519	2289	3863
I.g1750.t1	I	5381181	5385363	-	4183	3801	2934	2145	1966	964	2488
V.g14354.t1	V	1829020	1832408	+	3389	893	764	555	1739	1093	1257
II.g4087.t1	II	861069	864224	+	3156	19	32	21	25	19	9
I.g3624.t1	I	13905873	13916039	-	10167	641	487	531	1156	945	1067
V.g14688.t2	V	3315024	3319135	-	4112	103	127	112	13	2	39
III.g9542.t2	III	9940116	9942400	+	2285	609	397	423	3181	3192	2728
II.g6387.t1	II	11918106	11919213	+	1108	48	50	47	34	40	33
IV.g12639.t2	IV	10873671	10874388	-	718	144	118	121	358	260	283
IV.g11081.t1	IV	3945502	3945958	+	457	245	272	143	290	73	279
X.g19566.t1	X	5880016	5884621	+	4606	17	14	15	75	51	46
IV.g11082.t1	IV	3946565	3948705	+	2141	840	980	789	925	527	881
III.g9709.t1	III	10653490	10654750	+	1261	397	333	262	2659	2380	2431
IV.g13336.t3	IV	14349385	14374615	+	25231	12	28	11	173	65	64
IV.g10881.t2	IV	2462295	2464637	+	2343	4	1	4	4	5	5
IV.g11554.t1	IV	6725474	6727686	-	2213	257	243	161	1845	1213	1432
IV.g10880.t1	IV	2454007	2458159	+	4153	4	6	3	6	6	4
IV.g10834.t1	IV	2173988	2175203	+	1216	1	0	0	2	0	0
V.g16631.t1	V	11387590	11389525	+	1936	623	440	484	249	121	229
IV.g11850.t1	IV	7749454	7750380	-	927	4	3	3	31	2	38
V.g15874.t1	V	8361634	8364163	+	2530	5035	4126	3144	5135	2419	4995
V.g15875.t1	V	8364422	8367895	+	3474	3695	3399	2465	3060	1499	3366
V.g16420.t1	V	10528225	10529257	-	1033	17	29	24	203	134	95
I.g2212.t3	I	7353790	7355808	-	2019	2268	2430	1475	1005	533	1400
V.g16632.t1	V	11389686	11396590	+	6905	80	35	44	109	74	94
I.g2372.t2	I	7947492	7952947	+	5456	4651	3590	3583	16323	14021	14572
I.g2370.t1	I	7944076	7946779	+	2704	51	22	14	135	14	134
I.g3017.t2	I	10514062	10524278	+	10217	1603	1730	1264	2852	960	2863
IV.g11888.t2	IV	7917910	7919021	-	1112	323	198	248	222	236	199
I.g2589.t1	I	8751570	8752379	-	810	104	46	49	1009	1042	888
V.g18429.t1	V	19077808	19079106	-	1299	0	1	1	2	8	0
I.g798.t1	I	713672	714161	-	490	339	313	304	647	654	486
V.g16419.t2	V	10526797	10527856	-	1060	904	572	631	650	579	623
II.g5379.t1	II	7655204	7655725	-	522	696	468	697	224	209	285
V.g16333.t1	V	10169393	10169653	+	261	33	16	26	50	28	37
IV.g12562.t3	IV	10553329	10556411	+	3083	703	385	575	394	366	408
I.g2083.t2	I	6709226	6712006	+	2781	1608	1689	1274	722	435	929
X.g21125.t1	X	14597278	14600389	-	3112	649	563	603	382	327	450
II.g5353.t1	II	7586666	7587696	+	1031	4112	3808	4386	3050	2482	2977
II.g5381.t1	II	7661397	7661904	-	508	5	2	2	60	72	45
III.g8231.t3	III	4600753	4606534	-	5782	15198	15784	12077	14590	8681	13945
III.g8871.t2	III	7206935	7210406	+	3472	3626	4647	3131	1895	997	2335
V.g13974.t1	V	384558	385721	+	1164	1823	1278	1304	569	525	701
I.g3846.t2	I	15091223	15109199	-	17977	4899	4973	3092	6790	2047	6477
II.g5354.t1	II	7587860	7589146	+	1287	6043	3838	3949	2554	1887	2539
V.g13975.t2	V	385772	387406	+	1635	3305	4221	3361	1612	934	2122
I.g1199.t1	I	3113185	3123607	+	10423	2765	2076	1308	21650	10010	18236
X.g19278.t2	X	4235740	4236849	+	1110	103	94	133	120	138	138
V.g15957.t2	V	8700942	8703053	+	2112	5534	5120	3825	5291	2660	5205
I.g748.t2	I	387288	388249	+	962	11474	12389	11476	2937	1963	4360
V.g15958.t1	V	8703658	8707340	+	3683	2535	3080	2350	1245	879	1629
IV.g13807.t1	IV	17305390	17312435	-	7046	1388	1080	540	1263	503	1154
I.g1263.t1	I	3431991	3432851	-	861	21115	30082	24007	4246	2770	8123
I.g1538.t2	I	4443492	4446380	-	2889	1225	769	795	764	339	804
II.g5750.t1	II	9274322	9276113	-	1792	1764	1264	1060	721	383	821
I.g1536.t1	I	4435774	4437060	-	1287	2073	1359	1682	1269	875	1226
X.g20176.t1	X	9453564	9454670	+	1107	0	0	1	0	1	0
X.g20249.t3	X	9741718	9744294	-	2577	463	257	197	498	238	486
V.g17158.t2	V	13518259	13520367	-	2109	8363	8161	8182	1108	672	2403
V.g16056.t1	V	9084436	9085439	-	1004	1696	1537	4277	446	866	539
I.g2950.t1	I	10217972	10218780	-	809	7	31	8	63	56	20
V.g16799.t1	V	12125176	12126860	+	1685	560	340	293	3737	2585	3195
IV.g13005.t1	IV	12426226	12428027	-	1802	6	9	10	362	362	208
V.g16465.t1	V	10708877	10709374	+	498	266	158	215	177	195	206
IV.g12946.t1	IV	12203285	12205993	+	2709	73	59	65	491	389	371
X.g19276.t1	X	4231736	4233349	+	1614	93	69	53	85	38	81
I.g1321.t3	I	3633126	3640307	+	7182	528	399	195	5938	2196	4827
V.g14572.t2	V	2834415	2837615	-	3201	107	73	59	272	102	254
X.g18845.t1	X	1591063	1592197	-	1135	8	12	2	17	3	16
