gene_id	HF1_Cbr	HF1_Cni	HF2_Cbr	HF2_Cni	HF3_Cbr	HF3_Cni	HM1_Cbr	HM1_Cni	HM2_Cbr	HM2_Cni	HM3_Cbr	HM3_Cni
II.g5381.t1__Cnig_chr_II.g5725.t1	4	0	2	0	1	0	2	2	0	0	1	1
II.g5382.t2__Cnig_chr_II.g5726.t2	8	7	7	7	5	5	15	15	13	14	11	11
II.g5383.t1__Cnig_chr_II.g5728.t1	36	35	35	34	16	16	78	77	54	54	67	66
II.g5384.t1__Cnig_chr_II.g5729.t2	73	76	50	50	30	30	113	113	65	67	86	86
II.g5385.t1__Cnig_chr_II.g5730.t2	7	4	6	3	2	1	15	14	7	6	10	9
II.g5386.t2__Cnig_chr_II.g5731.t1	186	167	162	139	91	79	39	31	16	14	29	25
II.g5387.t2__Cnig_chr_II.g5732.t1	12	12	17	14	7	7	12	11	8	8	7	5
II.g5388.t1__Cnig_chr_II.g5733.t1	53	45	77	62	28	23	337	329	103	99	216	209
II.g5389.t1__Cnig_chr_II.g5735.t1	1192	1174	1987	1960	714	705	1091	1078	521	513	791	781
II.g5390.t1__Cnig_chr_II.g5736.t1	19	21	20	21	11	12	32	33	58	59	19	19
II.g5391.t2__Cnig_chr_II.g5737.t1	211	220	186	188	114	116	36	38	35	35	25	25
II.g5392.t2__Cnig_chr_II.g5739.t1	0	3	0	2	0	2	8	19	5	13	7	15
II.g5394.t1__Cnig_chr_II.g5740.t1	2	2	1	1	1	1	14	14	7	6	13	13
II.g5396.t1__Cnig_chr_II.g5742.t1	1127	934	963	784	580	481	556	477	360	315	431	375
II.g5397.t1__Cnig_chr_II.g5743.t1	6	6	3	3	3	4	62	55	31	30	50	44
II.g5398.t1__Cnig_chr_II.g5744.t1	62	65	33	35	32	33	122	125	51	53	93	96
II.g5399.t1__Cnig_chr_II.g5753.t1	9	11	5	6	4	5	66	67	17	20	51	54
II.g5401.t1__Cnig_chr_II.g5755.t1	898	956	790	863	451	486	192	183	153	153	146	142
II.g5402.t1__Cnig_chr_II.g5757.t2	661	664	773	779	339	342	154	154	111	111	116	118
II.g5403.t1__Cnig_chr_II.g5758.t1	806	802	734	733	416	416	151	151	112	112	123	125
II.g5404.t1__Cnig_chr_II.g5759.t1	700	699	599	600	384	385	203	202	140	140	155	155
II.g5405.t1__Cnig_chr_II.g5760.t1	29	25	21	19	14	13	147	143	49	48	119	116
II.g5406.t1__Cnig_chr_II.g5761.t1	1932	1927	1793	1788	1034	1032	290	289	223	222	216	215
II.g5407.t1__Cnig_chr_II.g5762.t1	1308	1299	1100	1093	677	673	538	535	376	375	428	426
II.g5408.t2__Cnig_chr_II.g5763.t2	131	130	93	92	75	74	504	489	331	325	368	363
II.g5409.t1__Cnig_chr_II.g5764.t1	849	842	722	719	433	431	891	891	477	475	717	712
II.g5410.t1__Cnig_chr_II.g5765.t2	735	727	659	654	371	371	141	139	93	89	104	102
II.g5411.t1__Cnig_chr_II.g5766.t1	1790	1794	1276	1273	945	945	209	206	198	196	163	161
II.g5412.t1__Cnig_chr_II.g5767.t1	64	67	51	52	31	33	70	68	43	41	48	48
II.g5413.t1__Cnig_chr_II.g5769.t1	2326	2328	1991	1995	1237	1238	441	439	347	347	338	339
II.g5414.t1__Cnig_chr_II.g5770.t1	222	215	209	202	115	111	51	51	29	25	38	38
II.g5415.t1__Cnig_chr_II.g5771.t2	701	705	597	597	374	375	217	217	130	129	174	175
II.g5416.t1__Cnig_chr_II.g5772.t1	221	218	211	209	110	111	56	53	17	18	47	46
II.g5417.t1__Cnig_chr_II.g5773.t2	790	787	700	697	439	438	219	218	135	135	168	167
II.g5418.t2__Cnig_chr_II.g5774.t1	1561	1578	1341	1352	868	878	618	623	453	453	497	500
II.g5419.t1__Cnig_chr_II.g5775.t1	994	986	854	846	508	505	537	534	334	332	427	424
II.g5420.t1__Cnig_chr_II.g5776.t1	866	862	735	730	455	453	243	241	171	170	187	186
II.g5421.t1__Cnig_chr_II.g5777.t1	730	661	738	677	373	344	414	385	191	172	329	305
II.g5422.t1__Cnig_chr_II.g5778.t1	617	619	584	587	323	324	121	120	89	89	91	92
II.g5423.t3__Cnig_chr_II.g5779.t1	26	15	25	12	14	7	28	19	11	7	20	14
II.g5424.t2__Cnig_chr_II.g5780.t2	2442	1997	2211	1875	1306	1063	480	431	403	352	351	310
II.g5425.t1__Cnig_chr_II.g5782.t1	32	31	28	27	18	18	4	4	2	2	3	3
II.g5426.t2__Cnig_chr_II.g5785.t2	106	1	72	0	57	1	35	6	23	3	23	3
II.g5428.t1__Cnig_chr_II.g5786.t1	40	39	45	45	17	17	433	426	131	130	273	269
II.g5430.t1__Cnig_chr_II.g5787.t1	14	14	13	13	5	5	121	119	28	28	88	87
II.g5433.t1__Cnig_chr_II.g5789.t1	74	77	68	70	39	41	16	17	29	28	10	11
II.g5434.t3__Cnig_chr_II.g5791.t1	14	25	10	20	10	16	224	227	92	93	183	186
II.g5435.t1__Cnig_chr_II.g5792.t1	2	8	2	7	1	5	17	23	9	11	15	18
II.g5436.t1__Cnig_chr_II.g5793.t1	1426	1432	1167	1172	707	710	1388	1394	928	934	1048	1053
II.g5437.t1__Cnig_chr_II.g5794.t2	6	13	6	11	2	6	8	13	1	5	5	10
II.g5438.t2__Cnig_chr_II.g5795.t1	768	770	716	722	411	415	120	128	107	107	93	98
II.g5439.t1__Cnig_chr_II.g5796.t1	722	744	707	728	394	405	741	752	386	393	595	603
II.g5443.t1__Cnig_chr_II.g5800.t1	54	79	51	82	27	42	14	26	6	7	10	19
II.g5444.t3__Cnig_chr_II.g5801.t2	102	103	89	92	57	59	432	432	317	319	321	323
II.g5446.t1__Cnig_chr_II.g5802.t1	589	598	577	586	309	314	125	120	109	95	99	93
II.g5447.t1__Cnig_chr_II.g5803.t1	5443	5283	5533	5348	2677	2596	3864	3778	1588	1531	3174	3112
II.g5448.t1__Cnig_chr_II.g5804.t1	2397	2349	2077	2041	1237	1217	2051	2020	1012	997	1615	1591
II.g5450.t3__Cnig_chr_II.g5805.t1	360	362	321	317	187	187	301	296	159	157	244	238
II.g5451.t1__Cnig_chr_II.g5807.t1	861	851	837	843	421	420	321	326	199	200	257	257
II.g5452.t1__Cnig_chr_II.g5808.t2	300	304	197	202	152	155	37	38	25	24	29	28
II.g5453.t1__Cnig_chr_II.g5809.t1	34	34	29	29	19	18	38	34	16	13	27	25
II.g5454.t3__Cnig_chr_II.g5810.t1	1557	1550	1338	1330	807	802	312	307	239	239	223	220
II.g5456.t3__Cnig_chr_II.g5811.t1	9370	9360	8974	8963	4850	4845	6223	6214	3196	3195	4969	4963
II.g5457.t3__Cnig_chr_II.g5812.t3	866	1398	785	1316	457	754	299	419	130	202	237	340
II.g5458.t1__Cnig_chr_II.g5814.t1	1187	1194	1050	1060	611	613	331	335	231	234	259	263
II.g5459.t2__Cnig_chr_II.g5815.t1	1112	1133	791	804	579	591	3640	3743	2625	2716	2765	2844
II.g5460.t1__Cnig_chr_II.g5816.t1	48	47	44	45	24	25	73	72	38	40	57	57
II.g5461.t1__Cnig_chr_II.g5817.t1	38	37	20	20	16	16	211	208	115	117	160	160
II.g5462.t2__Cnig_chr_II.g5818.t1	4	5	3	4	2	2	40	45	27	26	35	37
II.g5463.t3__Cnig_chr_II.g5819.t1	312	312	230	229	181	181	971	966	644	644	744	737
II.g5464.t1__Cnig_chr_II.g5820.t3	172	169	131	127	101	98	730	713	385	375	545	528
II.g5466.t1__Cnig_chr_II.g5822.t1	46	37	51	44	28	23	24	21	13	11	19	18
II.g5467.t1__Cnig_chr_II.g5823.t1	253	253	168	169	144	144	2195	2196	915	914	1610	1610
II.g5468.t3__Cnig_chr_II.g5824.t2	144	135	113	101	65	61	292	282	190	183	214	211
II.g5469.t1__Cnig_chr_II.g5825.t1	3	5	3	4	1	2	30	29	16	16	18	17
II.g5470.t1__Cnig_chr_II.g5826.t1	4	7	3	5	1	4	19	17	9	9	14	14
II.g5471.t1__Cnig_chr_II.g5827.t2	660	667	650	656	350	352	212	213	116	118	173	174
II.g5472.t1__Cnig_chr_II.g5828.t1	1114	1115	1007	1007	604	604	1048	1048	671	671	829	829
II.g5473.t1__Cnig_chr_II.g5829.t1	307	305	284	282	145	143	79	78	38	38	56	55
II.g5474.t1__Cnig_chr_II.g5830.t1	2019	1929	1662	1601	1026	979	933	895	471	445	725	696
II.g5475.t1__Cnig_chr_II.g5831.t1	795	957	655	787	402	488	398	496	285	305	306	386
II.g5476.t1__Cnig_chr_II.g5832.t1	6	8	6	8	2	3	24	27	15	15	15	16
II.g5477.t1__Cnig_chr_II.g5833.t1	0	0	0	0	0	0	2	2	1	1	2	2
II.g5478.t1__Cnig_chr_II.g5834.t1	0	0	0	0	0	0	3	3	2	2	2	2
II.g5479.t2__Cnig_chr_II.g5836.t1	1	1	2	1	0	0	32	22	18	13	26	20
II.g5480.t1__Cnig_chr_II.g5838.t1	381	359	354	327	184	172	214	194	115	105	184	170
II.g5482.t2__Cnig_chr_II.g5840.t2	2172	2171	1810	1803	1169	1168	595	596	491	491	464	464
II.g5483.t1__Cnig_chr_II.g5841.t1	742	738	706	703	396	395	323	321	188	187	267	265
II.g5485.t1__Cnig_chr_II.g5844.t1	0	1	0	1	0	0	4	4	0	1	3	3
II.g5486.t1__Cnig_chr_II.g5845.t1	3	3	2	2	1	1	19	15	10	8	17	13
II.g5487.t1__Cnig_chr_II.g5846.t2	37	38	27	28	13	14	84	92	52	57	61	67
II.g5488.t1__Cnig_chr_II.g5847.t2	1	6	1	5	0	3	362	370	183	190	272	277
II.g5489.t1__Cnig_chr_II.g5848.t1	1	6	1	5	1	3	499	497	277	277	394	394
II.g5490.t1__Cnig_chr_II.g5849.t2	9	15	6	12	4	6	55	62	50	53	26	30
II.g5491.t1__Cnig_chr_II.g5850.t3	6	12	5	11	3	5	35	34	21	22	24	25
II.g5492.t1__Cnig_chr_II.g5851.t1	1091	1108	1186	1201	593	602	1233	1246	882	886	954	969
II.g5493.t1__Cnig_chr_II.g5852.t1	573	592	518	541	292	304	126	125	108	112	97	99
II.g5494.t1__Cnig_chr_II.g5853.t1	726	738	677	691	366	368	240	240	146	148	189	189
II.g5495.t1__Cnig_chr_II.g5854.t1	396	162	371	146	201	80	111	42	65	31	94	32
II.g5497.t2__Cnig_chr_II.g5855.t1	13	13	10	10	5	6	107	106	66	67	81	81
II.g5498.t2__Cnig_chr_II.g5856.t2	0	1	0	0	0	0	2	4	1	1	1	2
II.g5506.t1__Cnig_chr_II.g5857.t1	3	3	1	1	1	1	43	44	13	13	29	30
II.g5507.t1__Cnig_chr_II.g5858.t2	0	0	1	1	0	0	4	3	2	2	3	2
II.g5508.t1__Cnig_chr_II.g5859.t2	42	42	35	35	24	24	120	120	81	82	88	90
II.g5509.t2__Cnig_chr_II.g5862.t2	8	9	7	8	3	4	32	35	22	23	20	22
II.g5514.t2__Cnig_chr_II.g5874.t1	2	11	3	7	0	2	27	53	24	55	16	38
II.g5518.t1__Cnig_chr_II.g5875.t1	369	372	277	282	164	166	1360	1389	1055	1054	1034	1056
II.g5519.t1__Cnig_chr_II.g5877.t1	3	3	2	2	1	1	13	16	4	6	12	16
II.g5520.t1__Cnig_chr_II.g5878.t1	164	167	152	155	86	87	354	359	170	175	273	278
II.g5521.t2__Cnig_chr_II.g5879.t2	1447	1432	1266	1253	787	779	482	476	366	364	384	377
II.g5522.t3__Cnig_chr_II.g5880.t1	2055	2047	1849	1845	1106	1103	587	584	299	297	468	467
II.g5523.t1__Cnig_chr_II.g5881.t3	32	34	25	27	12	13	137	134	108	103	96	94
II.g5524.t2__Cnig_chr_II.g5882.t1	259	266	235	241	141	143	84	89	51	49	63	64
II.g5525.t2__Cnig_chr_II.g5883.t1	493	496	425	426	263	265	121	126	104	104	93	95
II.g5526.t1__Cnig_chr_II.g5884.t1	63	67	57	62	36	37	165	169	99	100	121	124
II.g5528.t1__Cnig_chr_II.g5886.t1	686	688	720	722	349	351	555	550	160	157	432	424
II.g5529.t1__Cnig_chr_II.g5887.t1	471	497	427	449	261	271	313	329	173	171	249	255
II.g5530.t1__Cnig_chr_II.g5888.t2	857	766	735	658	432	383	216	171	123	93	166	134
II.g5531.t1__Cnig_chr_II.g5889.t2	1050	1063	874	884	548	553	327	331	231	228	257	261
II.g5532.t1__Cnig_chr_II.g5890.t1	2	11	3	13	1	6	4	14	1	2	3	9
II.g5535.t1__Cnig_chr_II.g5891.t1	60	67	48	57	32	36	126	136	84	84	99	109
II.g5536.t1__Cnig_chr_II.g5892.t1	51	60	50	61	29	35	403	413	184	184	320	330
II.g5539.t1__Cnig_chr_II.g5895.t1	1	5	1	6	0	4	7	13	1	1	6	8
II.g5540.t2__Cnig_chr_II.g5896.t1	966	970	1062	1065	545	546	2386	2378	1265	1263	1798	1791
II.g5541.t1__Cnig_chr_II.g5897.t1	1071	1103	991	1016	532	545	190	198	139	138	142	147
II.g5542.t1__Cnig_chr_II.g5898.t1	468	471	491	494	242	243	217	222	132	133	177	178
II.g5543.t3__Cnig_chr_II.g5899.t1	980	979	1027	1024	520	518	672	670	349	347	501	500
II.g5544.t1__Cnig_chr_II.g5900.t1	3	3	5	6	2	2	12	12	5	5	8	9
II.g5545.t3__Cnig_chr_II.g5902.t1	3	3	3	4	1	1	516	510	178	175	404	400
II.g5546.t3__Cnig_chr_II.g5903.t1	1255	1262	1005	1010	664	665	278	279	218	219	221	220
II.g5547.t1__Cnig_chr_II.g5904.t1	613	614	586	586	342	342	107	106	67	66	82	82
II.g5548.t2__Cnig_chr_II.g5905.t1	355	357	336	337	182	183	36	36	19	19	28	28
II.g5549.t1__Cnig_chr_II.g5906.t1	6	10	7	9	4	4	17	7	6	3	12	5
II.g5550.t1__Cnig_chr_II.g5907.t1	467	477	438	448	254	259	595	596	342	346	455	454
II.g5551.t1__Cnig_chr_II.g5908.t1	892	894	839	836	479	478	268	266	153	152	203	200
II.g5552.t1__Cnig_chr_II.g5909.t1	1613	1611	1389	1391	833	833	339	332	289	277	283	277
II.g5553.t1__Cnig_chr_II.g5910.t1	1721	1721	1495	1496	918	917	2137	2136	1375	1374	1638	1638
II.g5554.t1__Cnig_chr_II.g5911.t1	613	628	613	630	328	337	600	614	339	336	477	485
II.g5555.t3__Cnig_chr_II.g5912.t4	21	22	27	28	10	10	68	68	31	27	53	53
II.g5556.t1__Cnig_chr_II.g5913.t1	1078	1089	973	982	562	565	96	103	88	87	75	80
II.g5558.t1__Cnig_chr_II.g5916.t1	61	67	68	73	30	32	145	154	61	60	104	112
II.g5559.t1__Cnig_chr_II.g5917.t1	547	292	539	275	296	156	1781	903	823	557	1327	678
II.g5560.t1__Cnig_chr_II.g5918.t1	571	568	552	550	316	316	87	86	71	71	70	69
II.g5561.t1__Cnig_chr_II.g5919.t1	94	93	86	85	46	47	125	126	60	60	103	103
II.g5562.t2__Cnig_chr_II.g5920.t2	1485	1472	1273	1264	785	782	432	430	355	356	334	331
II.g5563.t1__Cnig_chr_II.g5921.t1	1013	1029	881	895	545	553	238	242	178	179	190	192
II.g5564.t1__Cnig_chr_II.g5922.t1	3	1	3	2	1	1	10	11	4	4	9	9
II.g5565.t1__Cnig_chr_II.g5923.t1	7	4	7	5	1	1	215	208	111	107	165	160
II.g5566.t3__Cnig_chr_II.g5924.t1	523	2	639	2	325	1	93	1	18	2	64	2
II.g5567.t1__Cnig_chr_II.g5925.t3	18480	18466	18552	18542	10429	10420	2217	2215	1890	1890	1564	1564
II.g5568.t1__Cnig_chr_II.g5927.t2	1520	1503	1312	1301	791	781	273	269	211	208	203	200
II.g5569.t1__Cnig_chr_II.g5928.t2	54	48	32	29	21	19	239	209	170	153	182	161
II.g5570.t1__Cnig_chr_II.g5931.t1	125	118	97	92	65	62	99	96	49	48	74	69
II.g5572.t2__Cnig_chr_II.g5933.t2	3801	3811	2661	2662	1954	1953	514	512	499	501	369	366
II.g5573.t2__Cnig_chr_II.g5934.t1	11	8	14	11	7	5	56	52	27	27	42	41
II.g5574.t1__Cnig_chr_II.g5935.t1	215	213	223	219	117	114	103	99	54	53	70	70
II.g5575.t1__Cnig_chr_II.g5936.t1	1767	1801	1648	1673	921	936	1022	1042	609	653	792	808
II.g5576.t1__Cnig_chr_II.g5937.t1	1294	1279	1349	1331	683	673	680	673	304	300	541	538
II.g5578.t1__Cnig_chr_II.g5939.t1	58	60	51	53	29	29	524	521	289	289	391	390
II.g5579.t1__Cnig_chr_II.g5940.t1	1727	1728	1462	1461	869	870	295	297	260	262	219	220
II.g5580.t1__Cnig_chr_II.g5941.t2	1197	1170	975	957	631	621	543	530	386	360	419	407
II.g5581.t1__Cnig_chr_II.g5942.t1	733	730	681	681	373	371	420	420	275	275	335	336
II.g5582.t1__Cnig_chr_II.g5943.t1	43	57	39	51	19	27	10	13	7	9	8	11
II.g5583.t1__Cnig_chr_II.g5944.t1	3	4	2	4	1	2	7	6	3	4	6	6
II.g5586.t1__Cnig_chr_II.g5741.t3	1	0	1	0	0	0	1	2	1	0	1	2
II.g5587.t1__Cnig_chr_II.g5947.t1	24	23	17	18	13	13	46	43	28	25	33	32
II.g5588.t1__Cnig_chr_II.g5948.t3	2	2	2	1	1	1	14	12	6	9	11	10
II.g5589.t1__Cnig_chr_II.g5950.t2	2049	17	1781	13	1046	10	524	303	494	286	407	241
II.g5591.t2__Cnig_chr_II.g5952.t1	0	3	0	6	0	3	3	5	2	3	4	5
II.g5592.t1__Cnig_chr_II.g5953.t1	9	9	5	5	4	3	33	33	24	25	29	29
II.g5593.t1__Cnig_chr_II.g5954.t1	449	449	476	474	223	222	192	192	38	39	159	160
II.g5594.t1__Cnig_chr_II.g5955.t1	30	27	22	20	19	18	318	289	155	111	242	215
II.g5595.t1__Cnig_chr_II.g5956.t1	502	472	502	469	260	249	129	122	83	66	100	95
II.g5596.t1__Cnig_chr_II.g5957.t1	922	932	761	770	483	489	330	337	202	206	250	257
II.g5597.t1__Cnig_chr_II.g5958.t2	3382	3366	3004	2987	1806	1800	3342	3319	1802	1801	2608	2596
II.g5598.t3__Cnig_chr_II.g5959.t1	415	386	417	388	206	193	224	194	106	103	179	160
II.g5599.t1__Cnig_chr_II.g5960.t1	38	13	36	11	15	4	451	421	187	186	361	343
II.g5600.t2__Cnig_chr_II.g5961.t3	46	21	46	21	20	9	59	29	11	10	46	28
II.g5601.t1__Cnig_chr_II.g5962.t1	41	39	33	32	20	18	220	203	130	114	171	157
II.g5602.t1__Cnig_chr_II.g5963.t1	1303	1289	1156	1144	689	682	794	784	496	493	630	625
II.g5603.t1__Cnig_chr_II.g5964.t1	327	302	315	285	173	160	79	72	43	42	66	63
II.g5606.t1__Cnig_chr_II.g5966.t4	1	7	2	7	0	4	625	1198	224	666	446	912
II.g5608.t1__Cnig_chr_II.g5969.t1	2	9	2	8	0	4	959	1445	440	811	709	1109
II.g5610.t1__Cnig_chr_II.g5972.t1	1354	1368	1249	1259	708	713	41	42	54	55	24	25
II.g5611.t1__Cnig_chr_II.g5973.t1	0	1	0	0	0	1	39	35	21	15	29	28
II.g5612.t1__Cnig_chr_II.g5974.t1	10	10	6	6	4	5	28	28	17	18	26	27
II.g5613.t1__Cnig_chr_II.g5975.t1	1522	899	1337	824	895	527	552	359	401	227	434	278
II.g5615.t1__Cnig_chr_II.g5977.t1	17	15	19	17	11	9	35	32	13	11	23	21
II.g5616.t1__Cnig_chr_II.g5978.t1	70	79	68	71	35	40	103	112	25	27	79	88
II.g5617.t1__Cnig_chr_II.g5979.t2	118	212	80	150	67	116	671	1242	568	911	524	941
II.g5619.t1__Cnig_chr_II.g5980.t1	0	2	1	1	0	0	17	16	1	1	15	14
II.g5620.t1__Cnig_chr_II.g5981.t1	55	58	42	44	18	19	105	105	53	54	82	82
II.g5621.t1__Cnig_chr_II.g5982.t1	4	5	4	4	2	2	10	7	2	2	9	7
II.g5622.t1__Cnig_chr_II.g5983.t1	4	4	3	4	2	2	14	12	3	2	10	9
II.g5623.t1__Cnig_chr_II.g5984.t1	8	8	6	7	3	3	178	178	81	81	140	140
II.g5624.t2__Cnig_chr_II.g5985.t1	1832	1857	1456	1478	984	996	433	435	353	352	336	336
II.g5625.t1__Cnig_chr_II.g5986.t3	1	1	2	1	1	0	4	4	2	2	1	1
II.g5626.t1__Cnig_chr_II.g5987.t3	0	0	1	0	0	0	66	66	33	33	61	61
II.g5627.t1__Cnig_chr_II.g5988.t1	1	0	1	0	0	0	4	4	1	1	4	4
II.g5631.t1__Cnig_chr_II.g5992.t1	59	58	45	45	28	28	207	197	115	113	154	146
II.g5633.t1__Cnig_chr_II.g5993.t1	8	9	8	9	5	5	38	41	46	47	17	18
II.g5634.t1__Cnig_chr_II.g5994.t1	46	45	35	36	23	24	100	97	75	74	79	79
II.g5635.t1__Cnig_chr_II.g5995.t1	1125	1179	967	1017	596	625	376	399	313	320	284	304
II.g5636.t1__Cnig_chr_II.g5996.t1	1	5	1	4	0	3	170	171	35	36	133	135
II.g5637.t1__Cnig_chr_II.g5997.t2	0	8	1	3	0	2	70	70	31	31	54	55
II.g5638.t1__Cnig_chr_II.g5998.t1	1	3	1	2	1	1	3	2	0	1	1	1
II.g5639.t1__Cnig_chr_II.g5999.t2	0	1	0	0	0	0	1	1	0	0	0	0
II.g5640.t1__Cnig_chr_II.g6000.t1	0	0	0	0	0	0	1	0	0	0	0	0
II.g5641.t1__Cnig_chr_II.g6001.t1	2	2	1	1	0	0	24	27	6	5	17	19
II.g5643.t1__Cnig_chr_II.g6004.t1	0	0	1	1	0	0	204	211	87	90	161	166
II.g5644.t1__Cnig_chr_II.g6005.t1	22	22	17	17	9	9	96	98	61	60	80	81
II.g5645.t2__Cnig_chr_II.g6006.t1	35	32	37	35	21	19	163	147	70	63	125	113
II.g5646.t2__Cnig_chr_II.g6007.t1	0	1	0	1	0	0	89	87	47	47	71	69
II.g5648.t1__Cnig_chr_II.g6011.t3	368	362	544	535	310	305	1819	1788	1367	1348	1355	1332
II.g5649.t1__Cnig_chr_II.g6012.t1	6	6	8	7	4	4	22	21	15	14	14	14
II.g5650.t1__Cnig_chr_II.g6013.t1	8	7	6	6	4	3	50	47	30	29	33	31
II.g5651.t1__Cnig_chr_II.g6014.t1	7	2	4	1	2	0	17	4	8	3	12	3
II.g5652.t1__Cnig_chr_II.g6015.t1	2	1	1	0	1	0	6	5	4	4	2	3
II.g5653.t1__Cnig_chr_II.g6016.t1	385	415	367	394	200	212	150	163	81	89	120	133
II.g5654.t1__Cnig_chr_II.g6017.t1	24	22	22	19	9	8	418	426	213	214	345	347
II.g5655.t1__Cnig_chr_II.g6018.t2	5	8	7	10	2	3	45	42	25	23	33	31
II.g5656.t1__Cnig_chr_II.g6019.t1	16	13	14	11	7	6	94	94	52	52	75	74
II.g5657.t1__Cnig_chr_II.g6020.t1	0	1	0	0	0	0	4	4	3	3	2	2
II.g5658.t1__Cnig_chr_II.g6021.t1	100	101	71	71	32	33	213	214	87	86	148	148
II.g5661.t1__Cnig_chr_II.g6024.t1	0	1	0	1	0	1	2	1	0	0	1	1
II.g5662.t1__Cnig_chr_II.g6025.t1	525	521	464	463	266	265	147	143	88	88	114	112
II.g5664.t3__Cnig_chr_II.g6026.t3	16	10	9	6	7	4	221	138	147	109	166	101
II.g5667.t2__Cnig_chr_II.g6029.t1	919	849	759	704	494	454	470	353	330	257	359	265
II.g5668.t2__Cnig_chr_II.g6028.t1	15	14	12	12	8	8	93	93	49	49	75	75
II.g5669.t1__Cnig_chr_II.g6030.t1	7	7	8	8	3	3	14	13	10	9	12	12
II.g5670.t1__Cnig_chr_II.g6031.t1	13	13	11	11	7	6	8	7	3	3	4	4
II.g5671.t1__Cnig_chr_II.g6032.t1	6951	6950	5970	5960	3662	3661	1472	1462	1134	1130	1123	1117
II.g5672.t1__Cnig_chr_II.g6033.t3	2265	2264	1823	1823	1222	1222	400	402	326	326	313	314
II.g5673.t1__Cnig_chr_II.g6034.t1	57	65	56	62	31	36	45	48	14	15	42	43
II.g5674.t1__Cnig_chr_II.g6035.t2	811	816	805	809	430	435	243	246	139	140	180	180
II.g5675.t1__Cnig_chr_II.g6036.t1	8	690	7	589	3	368	707	1055	215	503	574	852
II.g5676.t1__Cnig_chr_II.g6037.t1	1233	1214	1105	1089	677	668	549	540	308	306	427	419
II.g5678.t3__Cnig_chr_II.g6038.t2	16	18	15	16	10	12	94	96	50	52	67	68
II.g5679.t1__Cnig_chr_II.g6043.t1	699	699	610	617	354	356	127	128	91	90	99	97
II.g5681.t1__Cnig_chr_II.g6044.t1	157	126	133	105	82	65	23	21	30	27	17	15
II.g5683.t1__Cnig_chr_II.g6046.t1	129	120	97	90	74	67	620	584	336	311	490	458
II.g5684.t1__Cnig_chr_II.g6047.t1	213	211	213	212	106	106	337	332	132	132	263	262
II.g5685.t1__Cnig_chr_II.g6048.t1	705	691	577	564	361	352	263	254	157	155	216	210
II.g5686.t1__Cnig_chr_II.g6049.t1	5	3	2	2	2	1	9	6	2	2	6	5
II.g5687.t2__Cnig_chr_II.g6050.t1	635	629	567	558	332	328	206	201	128	129	140	138
II.g5688.t1__Cnig_chr_II.g6052.t1	1	8	1	4	0	4	1103	1111	669	679	862	869
II.g5689.t1__Cnig_chr_II.g6053.t1	3	3	2	2	1	1	19	17	7	7	13	10
II.g5690.t1__Cnig_chr_II.g6056.t1	0	0	0	0	0	0	6	5	2	2	3	4
II.g5694.t1__Cnig_chr_II.g6058.t3	0	0	0	0	0	0	4	4	2	2	3	3
II.g5695.t2__Cnig_chr_II.g6059.t1	104	104	83	85	50	51	260	260	151	148	197	196
II.g5698.t1__Cnig_chr_II.g6061.t1	151	109	95	70	63	46	478	410	308	252	368	312
II.g5699.t1__Cnig_chr_II.g6062.t1	1	1	1	1	1	0	111	167	81	112	92	137
II.g5700.t1__Cnig_chr_II.g6063.t1	3	4	2	3	2	2	10	13	6	7	10	10
II.g5702.t1__Cnig_chr_II.g6064.t2	23	37	19	30	11	18	122	205	97	112	92	148
II.g5703.t1__Cnig_chr_II.g6069.t2	3	2	4	5	1	1	55	52	28	24	40	38
II.g5711.t1__Cnig_chr_II.g6073.t1	47	50	48	50	25	26	110	114	67	68	83	86
II.g5712.t3__Cnig_chr_II.g6075.t1	1347	1339	1275	1273	714	709	406	286	321	249	307	220
II.g5713.t1__Cnig_chr_II.g6076.t1	438	420	371	370	230	223	59	60	51	54	47	48
II.g5715.t3__Cnig_chr_II.g6077.t2	1560	1499	1401	1340	786	752	117	81	117	97	89	64
II.g5716.t1__Cnig_chr_II.g6079.t2	18	6	18	5	11	4	21	21	12	10	16	16
II.g5717.t1__Cnig_chr_II.g6080.t2	54	44	52	41	31	25	43	40	31	29	32	29
II.g5719.t1__Cnig_chr_II.g6085.t1	1	1	2	0	1	0	4	3	1	0	2	1
II.g5720.t2__Cnig_chr_II.g6086.t1	4	4	4	3	1	1	143	174	78	87	108	135
II.g5721.t1__Cnig_chr_II.g6087.t1	315	318	321	321	236	237	1581	1577	1187	1179	1241	1238
II.g5722.t1__Cnig_chr_II.g6088.t1	994	985	829	822	517	514	189	188	137	134	145	146
II.g5723.t1__Cnig_chr_II.g6089.t3	595	801	586	748	292	403	191	231	121	150	128	161
II.g5725.t1__Cnig_chr_II.g6090.t1	17	19	9	10	8	10	128	126	75	75	103	104
II.g5726.t3__Cnig_chr_II.g6092.t1	323	1	215	1	365	0	44	3	35	2	33	2
II.g5727.t1__Cnig_chr_II.g6093.t1	5	4	4	3	2	1	6	4	2	2	5	5
II.g5728.t1__Cnig_chr_II.g6094.t1	7	6	6	5	3	2	16	12	6	4	12	11
II.g5729.t1__Cnig_chr_II.g6095.t1	136	135	116	115	51	50	211	209	108	103	156	156
