# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/nigoni.chr.transcript.ortho.gff" "-o" "counts/Cni_fc.counts.txt" "STAR/BAM/9F1_Cni.bam" "STAR/BAM/9F2_Cni.bam" "STAR/BAM/9F3_Cni.bam" "STAR/BAM/9M1_Cni.bam" "STAR/BAM/9M2_Cni.bam" "STAR/BAM/9M3_Cni.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/9F1_Cni.bam	STAR/BAM/9F2_Cni.bam	STAR/BAM/9F3_Cni.bam	STAR/BAM/9M1_Cni.bam	STAR/BAM/9M2_Cni.bam	STAR/BAM/9M3_Cni.bam
Cnig_chr_V.g21047.t1	Cnig_chr_V	17613444	17613986	-	543	6	7	16	15	6	8
Cnig_chr_V.g18674.t1	Cnig_chr_V	9115850	9116411	-	562	28	22	24	26	34	24
Cnig_chr_V.g17283.t1	Cnig_chr_V	3720423	3723373	-	2951	0	1	0	2	2	2
Cnig_chr_III.g10976.t3	Cnig_chr_III	10913217	10917607	-	4391	1694	1500	1698	1597	1856	1819
Cnig_chr_III.g10966.t1	Cnig_chr_III	10894102	10895842	-	1741	1937	3522	2743	1285	1188	2465
Cnig_chr_III.g10972.t1	Cnig_chr_III	10904230	10905815	-	1586	3711	1892	2652	5195	4557	3757
Cnig_chr_V.g18549.t2	Cnig_chr_V	8665612	8668431	-	2820	640	652	722	588	548	606
Cnig_chr_III.g10974.t3	Cnig_chr_III	10909164	10910410	-	1247	8	21	17	16	15	34
Cnig_chr_V.g17201.t1	Cnig_chr_V	3391050	3394045	+	2996	0	5	1	0	1	1
Cnig_chr_V.g17230.t2	Cnig_chr_V	3504011	3507186	+	3176	1	0	2	1	0	1
Cnig_chr_I.g3583.t1	Cnig_chr_I	14997586	14999029	-	1444	55985	48467	54280	55962	49724	55596
Cnig_chr_I.g2151.t2	Cnig_chr_I	9102708	9103690	-	983	35	23	29	231	191	227
Cnig_chr_V.g17282.t1	Cnig_chr_V	3714162	3717134	+	2973	11	8	9	12	14	12
Cnig_chr_III.g8938.t1	Cnig_chr_III	3070349	3073788	+	3440	2316	1756	2120	2793	2373	2255
Cnig_chr_III.g9814.t1	Cnig_chr_III	6731317	6733404	-	2088	338	349	333	526	495	456
Cnig_chr_V.g20058.t1	Cnig_chr_V	14213553	14214593	+	1041	0	1	1	4	4	2
Cnig_chr_X.g23829.t1	Cnig_chr_X	9012274	9015247	+	2974	132	123	126	424	410	397
Cnig_chr_V.g20060.t1	Cnig_chr_V	14218219	14219394	+	1176	9	3	13	15	22	15
Cnig_chr_V.g18268.t2	Cnig_chr_V	7464919	7468313	-	3395	3	2	5	13	16	10
Cnig_chr_I.g1119.t1	Cnig_chr_I	5185019	5188353	+	3335	73	61	75	152	200	133
Cnig_chr_I.g2153.t1	Cnig_chr_I	9106178	9107015	-	838	15	14	15	233	145	161
Cnig_chr_X.g22600.t1	Cnig_chr_X	2142723	2145344	-	2622	16	13	17	40	75	43
Cnig_chr_III.g10442.t1	Cnig_chr_III	8996277	8997816	-	1540	460	379	446	674	623	567
Cnig_chr_V.g20059.t2	Cnig_chr_V	14215858	14217106	+	1249	17	18	20	37	25	28
Cnig_chr_V.g20057.t3	Cnig_chr_V	14210037	14212932	+	2896	1	0	1	6	3	5
Cnig_chr_I.g1382.t1	Cnig_chr_I	6255914	6257359	-	1446	21799	20934	22121	22338	17893	19734
Cnig_chr_V.g20265.t1	Cnig_chr_V	14971623	14971894	-	272	10	41	16	0	9	7
Cnig_chr_V.g20354.t1	Cnig_chr_V	15286128	15286399	+	272	10	35	14	3	17	13
Cnig_chr_V.g19518.t1	Cnig_chr_V	12097353	12097647	-	295	160	697	300	72	198	422
Cnig_chr_V.g20886.t1	Cnig_chr_V	17049651	17050663	+	1013	1	1	3	3	10	8
Cnig_chr_V.g18886.t1	Cnig_chr_V	9840029	9840307	+	279	192	517	265	127	290	242
Cnig_chr_V.g18092.t2	Cnig_chr_V	6783840	6786916	+	3077	3	5	4	6	12	4
Cnig_chr_V.g18883.t1	Cnig_chr_V	9836314	9836591	-	278	365	1007	522	357	816	841
Cnig_chr_II.g6460.t3	Cnig_chr_II	11525835	11527956	-	2122	347	142	315	437	348	269
Cnig_chr_I.g3805.t1	Cnig_chr_I	16015786	16016096	+	311	3	0	3	4	8	7
Cnig_chr_X.g24454.t2	Cnig_chr_X	12211484	12212240	+	757	71	54	38	135	103	76
Cnig_chr_V.g16713.t1	Cnig_chr_V	1456531	1457145	-	615	31	16	14	18	4	15
Cnig_chr_X.g24457.t1	Cnig_chr_X	12218938	12220235	+	1298	164	91	100	226	225	177
Cnig_chr_III.g9943.t1	Cnig_chr_III	7170614	7171280	-	667	55	37	55	77	48	66
Cnig_chr_X.g24453.t1	Cnig_chr_X	12210259	12211204	+	946	42	13	21	22	22	16
Cnig_chr_V.g16715.t1	Cnig_chr_V	1459952	1460569	-	618	33	16	13	44	40	20
Cnig_chr_II.g7576.t1	Cnig_chr_II	16108238	16112589	+	4352	5	3	2	305	272	643
Cnig_chr_V.g17235.t1	Cnig_chr_V	3539458	3540137	+	680	0	7	0	116	96	304
Cnig_chr_V.g17237.t1	Cnig_chr_V	3548031	3548695	-	665	5	8	2	360	416	912
Cnig_chr_I.g3265.t2	Cnig_chr_I	13453804	13457224	-	3421	3	25	5	2442	1991	2983
Cnig_chr_I.g2726.t1	Cnig_chr_I	11276862	11279248	+	2387	2	1	3	198	172	233
Cnig_chr_I.g3266.t1	Cnig_chr_I	13458049	13462984	-	4936	30	72	6	5737	4605	7824
Cnig_chr_V.g18203.t1	Cnig_chr_V	7262735	7264372	+	1638	9	4	5	21	14	31
Cnig_chr_II.g4602.t1	Cnig_chr_II	3586472	3588576	-	2105	17	67	10	2145	1727	6225
Cnig_chr_II.g4603.t1	Cnig_chr_II	3589633	3591667	+	2035	2	5	4	260	198	264
Cnig_chr_V.g17818.t2	Cnig_chr_V	5640589	5642651	-	2063	33	21	24	58	55	61
Cnig_chr_V.g17842.t1	Cnig_chr_V	5730797	5732372	+	1576	732	388	703	580	658	673
Cnig_chr_V.g17836.t2	Cnig_chr_V	5711867	5713619	+	1753	528	303	545	409	416	431
Cnig_chr_IV.g12168.t1	Cnig_chr_IV	904208	906353	+	2146	4	3	3	126	128	227
Cnig_chr_X.g26008.t1	Cnig_chr_X	20226267	20227345	+	1079	1	0	2	3	2	3
Cnig_chr_I.g2359.t1	Cnig_chr_I	9798351	9798667	+	317	2	0	0	178	166	156
Cnig_chr_V.g16982.t2	Cnig_chr_V	2416543	2419289	+	2747	12	11	13	7	6	4
Cnig_chr_IV.g12456.t1	Cnig_chr_IV	2334599	2336028	+	1430	5	6	1	373	349	512
Cnig_chr_IV.g12167.t1	Cnig_chr_IV	902921	903304	+	384	4	7	2	333	262	665
Cnig_chr_I.g2951.t1	Cnig_chr_I	12203021	12204415	+	1395	1	6	0	558	493	564
Cnig_chr_II.g4018.t1	Cnig_chr_II	219287	220416	+	1130	58	120	44	4636	4120	9290
Cnig_chr_I.g2608.t1	Cnig_chr_I	10747713	10749186	+	1474	2	0	1	329	281	392
Cnig_chr_I.g2373.t1	Cnig_chr_I	9843925	9845316	-	1392	12	9	6	611	532	915
Cnig_chr_I.g2380.t1	Cnig_chr_I	9864232	9865596	-	1365	5	4	6	471	370	302
Cnig_chr_II.g6820.t1	Cnig_chr_II	12913573	12914537	+	965	57	174	19	9139	8513	17320
Cnig_chr_IV.g12099.t3	Cnig_chr_IV	526884	531663	+	4780	31	148	6	5462	5181	12406
Cnig_chr_I.g3011.t1	Cnig_chr_I	12401011	12402715	-	1705	2	11	0	798	700	991
Cnig_chr_II.g5010.t1	Cnig_chr_II	5416898	5417194	-	297	12	32	14	6	4	5
Cnig_chr_V.g19659.t1	Cnig_chr_V	12653947	12655259	+	1313	45	73	31	790	622	1346
Cnig_chr_III.g10016.t1	Cnig_chr_III	7457092	7458190	-	1099	10	13	3	650	533	1065
Cnig_chr_II.g5001.t1	Cnig_chr_II	5398385	5398726	+	342	5	10	2	1	1	2
Cnig_chr_X.g22424.t1	Cnig_chr_X	1240075	1242033	-	1959	0	0	0	1	1	0
Cnig_chr_IV.g13591.t1	Cnig_chr_IV	8300121	8300459	+	339	21	138	55	12	12	63
Cnig_chr_III.g8469.t2	Cnig_chr_III	523704	528958	-	5255	155	182	165	312	238	238
Cnig_chr_V.g18449.t2	Cnig_chr_V	8222403	8224772	-	2370	1475	1564	1181	530	562	560
Cnig_chr_III.g9432.t1	Cnig_chr_III	5170620	5170932	-	313	449	1199	502	114	132	456
Cnig_chr_V.g16351.t1	Cnig_chr_V	196723	199417	-	2695	6	6	3	221	240	377
Cnig_chr_V.g20998.t1	Cnig_chr_V	17441377	17445999	+	4623	15	12	16	13	29	41
Cnig_chr_X.g26245.t3	Cnig_chr_X	21511428	21517470	-	6043	2	3	1	2	3	1
Cnig_chr_V.g21290.t1	Cnig_chr_V	18245830	18251125	-	5296	425	431	507	358	342	254
Cnig_chr_V.g21950.t1	Cnig_chr_V	21175747	21176936	-	1190	1	1	0	5	3	1
Cnig_chr_V.g21951.t1	Cnig_chr_V	21177264	21178012	-	749	2	2	4	1	2	4
Cnig_chr_V.g22019.t2	Cnig_chr_V	21469267	21471091	-	1825	3	0	0	5	8	5
Cnig_chr_X.g22872.t1	Cnig_chr_X	3674694	3677104	+	2411	5223	4378	4461	2127	2899	2566
Cnig_chr_V.g18632.t1	Cnig_chr_V	8964592	8966607	+	2016	1640	1782	1375	2051	2720	2183
Cnig_chr_X.g25735.t1	Cnig_chr_X	18750486	18754418	+	3933	0	3	1	5	4	3
Cnig_chr_X.g25730.t1	Cnig_chr_X	18733465	18737406	+	3942	0	0	1	5	5	5
Cnig_chr_X.g25736.t1	Cnig_chr_X	18755970	18758139	+	2170	13	21	11	6	2	2
Cnig_chr_V.g21949.t1	Cnig_chr_V	21174611	21175648	-	1038	0	0	2	3	0	7
Cnig_chr_V.g19830.t1	Cnig_chr_V	13358955	13361074	-	2120	1793	2279	1908	1650	2297	2144
Cnig_chr_V.g18631.t2	Cnig_chr_V	8961815	8963835	+	2021	17	32	14	15	15	23
Cnig_chr_IV.g15020.t1	Cnig_chr_IV	13630488	13631529	+	1042	10	15	15	269	288	504
Cnig_chr_V.g19898.t1	Cnig_chr_V	13615827	13617690	+	1864	1046	1604	1267	460	525	560
Cnig_chr_II.g4013.t2	Cnig_chr_II	204588	206662	-	2075	341	209	357	252	248	243
Cnig_chr_V.g18625.t1	Cnig_chr_V	8939222	8941374	+	2153	5	5	6	2	2	4
Cnig_chr_IV.g15037.t1	Cnig_chr_IV	13684867	13685419	+	553	6	12	1	1262	1743	2330
Cnig_chr_V.g18586.t3	Cnig_chr_V	8808201	8808955	-	755	2	0	0	4	2	2
Cnig_chr_V.g19159.t4	Cnig_chr_V	10857466	10858852	+	1387	5	12	2	16	16	24
Cnig_chr_V.g18900.t3	Cnig_chr_V	9921761	9922699	-	939	3	8	2	5	3	5
Cnig_chr_IV.g13944.t2	Cnig_chr_IV	9527857	9528575	-	719	87	55	69	155	113	159
Cnig_chr_I.g1442.t1	Cnig_chr_I	6435207	6435693	+	487	8	16	3	1094	1612	1821
Cnig_chr_IV.g13012.t1	Cnig_chr_IV	5272080	5272633	+	554	0	1	0	69	65	83
Cnig_chr_X.g25418.t1	Cnig_chr_X	17058935	17061206	-	2272	0	0	0	0	0	0
Cnig_chr_IV.g13885.t2	Cnig_chr_IV	9345960	9346906	+	947	3067	2247	2418	6062	4796	6644
Cnig_chr_X.g25540.t1	Cnig_chr_X	17682508	17684361	+	1854	3	2	2	0	2	7
Cnig_chr_IV.g13943.t1	Cnig_chr_IV	9525931	9526700	-	770	3	5	1	97	102	407
Cnig_chr_IV.g13879.t1	Cnig_chr_IV	9336698	9337527	-	830	32	25	23	40	44	136
Cnig_chr_IV.g15334.t1	Cnig_chr_IV	15268655	15270069	+	1415	853	628	697	1104	1379	1023
Cnig_chr_IV.g12265.t2	Cnig_chr_IV	1504511	1507297	+	2787	4	0	3	11	5	9
Cnig_chr_IV.g13880.t1	Cnig_chr_IV	9338360	9339099	-	740	56	43	53	46	59	38
Cnig_chr_IV.g12363.t1	Cnig_chr_IV	1878424	1880217	+	1794	0	0	1	3	1	3
Cnig_chr_V.g18339.t1	Cnig_chr_V	7805432	7806673	+	1242	1	1	0	2	2	1
Cnig_chr_IV.g12362.t1	Cnig_chr_IV	1866671	1870097	-	3427	2	0	0	4	2	2
Cnig_chr_V.g18756.t2	Cnig_chr_V	9367109	9368672	-	1564	1	1	2	103	70	111
Cnig_chr_IV.g12361.t1	Cnig_chr_IV	1863679	1866553	+	2875	0	0	2	2	2	6
Cnig_chr_IV.g12346.t1	Cnig_chr_IV	1779846	1784550	+	4705	0	0	1	2	2	4
Cnig_chr_IV.g12421.t2	Cnig_chr_IV	2167130	2170229	+	3100	3	8	3	17	21	19
Cnig_chr_V.g18013.t1	Cnig_chr_V	6494714	6496979	-	2266	2	0	2	6	4	1
Cnig_chr_V.g17300.t1	Cnig_chr_V	3787458	3790393	+	2936	320	147	231	62	97	53
Cnig_chr_IV.g13684.t1	Cnig_chr_IV	8644268	8645955	-	1688	0	1	0	68	52	65
Cnig_chr_V.g18012.t3	Cnig_chr_V	6481395	6491392	-	9998	3	8	8	12	8	5
Cnig_chr_X.g23713.t1	Cnig_chr_X	8415984	8422246	-	6263	6	3	5	16	9	10
Cnig_chr_III.g11128.t1	Cnig_chr_III	11506862	11512537	-	5676	1418	1789	1816	1732	1305	1961
Cnig_chr_V.g20601.t1	Cnig_chr_V	16101028	16101385	+	358	46	28	40	37	38	31
Cnig_chr_V.g20598.t1	Cnig_chr_V	16095010	16095378	+	369	52	34	43	45	42	39
Cnig_chr_IV.g16156.t1	Cnig_chr_IV	19863974	19864317	-	344	7	22	3	284	350	1036
Cnig_chr_V.g20602.t1	Cnig_chr_V	16102138	16102549	-	412	131	104	128	52	61	32
Cnig_chr_V.g20632.t1	Cnig_chr_V	16217474	16218287	-	814	89	56	118	81	101	75
Cnig_chr_V.g20633.t1	Cnig_chr_V	16218675	16219032	+	358	132	99	114	119	94	117
Cnig_chr_V.g20624.t1	Cnig_chr_V	16203696	16204050	+	355	6	4	6	17	11	12
Cnig_chr_V.g20629.t1	Cnig_chr_V	16213552	16213849	-	298	13	10	14	8	11	8
Cnig_chr_III.g11482.t1	Cnig_chr_III	13330031	13331531	+	1501	323	194	320	320	360	326
Cnig_chr_X.g25615.t2	Cnig_chr_X	18098668	18106501	+	7834	298	377	376	245	234	200
Cnig_chr_V.g19321.t1	Cnig_chr_V	11417574	11420874	-	3301	315	282	388	578	460	442
Cnig_chr_I.g1651.t4	Cnig_chr_I	7167989	7172931	+	4943	17	22	13	3160	2691	3776
Cnig_chr_IV.g15598.t2	Cnig_chr_IV	16913460	16915702	+	2243	24	27	21	26	42	19
Cnig_chr_IV.g13191.t1	Cnig_chr_IV	6204431	6204920	+	490	2	0	1	0	3	1
Cnig_chr_IV.g15669.t2	Cnig_chr_IV	17250564	17255819	+	5256	123	122	94	532	423	962
Cnig_chr_IV.g15594.t1	Cnig_chr_IV	16884685	16889966	+	5282	568	799	616	417	383	454
Cnig_chr_IV.g15595.t1	Cnig_chr_IV	16894203	16898866	+	4664	73	88	72	103	69	133
Cnig_chr_V.g20020.t2	Cnig_chr_V	14059816	14061000	+	1185	14	6	12	8	14	17
Cnig_chr_IV.g15596.t2	Cnig_chr_IV	16908666	16911765	+	3100	2	6	2	0	0	3
Cnig_chr_V.g19230.t1	Cnig_chr_V	11098615	11099680	+	1066	0	0	0	1	0	0
Cnig_chr_V.g19543.t1	Cnig_chr_V	12162715	12164375	-	1661	11	20	7	73	73	71
Cnig_chr_IV.g15599.t1	Cnig_chr_IV	16916006	16920550	-	4545	56	64	32	1525	1299	1925
Cnig_chr_V.g19544.t2	Cnig_chr_V	12165846	12166718	-	873	0	1	2	6	4	5
Cnig_chr_IV.g16036.t1	Cnig_chr_IV	19355754	19356755	-	1002	286	4428	1025	1168	1265	5773
Cnig_chr_II.g8068.t1	Cnig_chr_II	18095743	18097548	+	1806	5	7	5	14	12	18
Cnig_chr_II.g8309.t1	Cnig_chr_II	19104479	19105749	+	1271	217	144	177	4169	3545	3656
Cnig_chr_X.g24111.t1	Cnig_chr_X	10415554	10418948	+	3395	550	613	449	1496	1037	1078
Cnig_chr_IV.g13486.t1	Cnig_chr_IV	7904298	7905021	-	724	109	206	157	88	113	78
Cnig_chr_I.g1970.t2	Cnig_chr_I	8449005	8453115	+	4111	11425	13210	13074	8731	7316	9460
Cnig_chr_V.g16343.t1	Cnig_chr_V	178438	179725	-	1288	1781	1658	1727	925	1365	1074
Cnig_chr_V.g18267.t1	Cnig_chr_V	7453517	7459671	-	6155	5334	5726	6534	3904	2926	3500
Cnig_chr_II.g8110.t1	Cnig_chr_II	18261555	18264099	-	2545	5	2	2	17	12	21
Cnig_chr_II.g5317.t1	Cnig_chr_II	6873134	6874077	+	944	2031	971	2440	3142	3715	2034
Cnig_chr_II.g8112.t1	Cnig_chr_II	18267511	18269548	-	2038	1465	1005	1311	5272	5073	4313
Cnig_chr_II.g8111.t1	Cnig_chr_II	18264982	18266872	+	1891	221	200	168	385	576	434
Cnig_chr_II.g8106.t1	Cnig_chr_II	18249593	18252850	+	3258	271	221	256	335	436	784
Cnig_chr_II.g6109.t1	Cnig_chr_II	10179585	10180851	+	1267	7	3	0	1014	1250	1240
Cnig_chr_II.g8113.t1	Cnig_chr_II	18271152	18273238	+	2087	1159	900	925	3376	2908	2485
Cnig_chr_V.g17735.t1	Cnig_chr_V	5374207	5375929	-	1723	53	13	15	67	70	59
Cnig_chr_II.g8114.t1	Cnig_chr_II	18273646	18277064	-	3419	353	367	416	145	254	159
Cnig_chr_V.g19140.t1	Cnig_chr_V	10812090	10812949	+	860	838	783	804	769	902	843
Cnig_chr_X.g24066.t1	Cnig_chr_X	10255334	10256114	+	781	30	81	43	18	48	85
Cnig_chr_V.g19141.t1	Cnig_chr_V	10814157	10815261	+	1105	3239	2819	3084	2824	2793	2862
Cnig_chr_II.g7905.t2	Cnig_chr_II	17416331	17420494	+	4164	184	218	168	236	285	185
Cnig_chr_II.g7906.t3	Cnig_chr_II	17429133	17434803	+	5671	775	684	674	1092	933	845
Cnig_chr_II.g7904.t1	Cnig_chr_II	17409993	17413127	+	3135	350	275	237	574	551	423
Cnig_chr_IV.g11957.t2	Cnig_chr_IV	67301	68513	+	1213	73	43	45	83	154	98
Cnig_chr_II.g4009.t1	Cnig_chr_II	191428	193837	+	2410	775	617	779	503	572	533
Cnig_chr_IV.g12154.t3	Cnig_chr_IV	825812	835468	-	9657	5007	5789	5979	5054	3123	4457
Cnig_chr_II.g4016.t1	Cnig_chr_II	212317	214141	+	1825	729	504	567	650	567	481
Cnig_chr_II.g3979.t1	Cnig_chr_II	95436	97812	-	2377	262	146	160	255	309	216
Cnig_chr_II.g4010.t2	Cnig_chr_II	195233	197705	+	2473	128	51	83	100	154	78
Cnig_chr_IV.g12151.t3	Cnig_chr_IV	797900	808906	+	11007	1213	1285	1340	2076	1566	2635
Cnig_chr_II.g4015.t1	Cnig_chr_II	210244	212019	+	1776	17	11	11	17	28	20
Cnig_chr_II.g5892.t1	Cnig_chr_II	9285382	9286134	-	753	3521	2783	2972	3213	4610	2934
Cnig_chr_X.g24729.t1	Cnig_chr_X	13533324	13533910	+	587	1026	3475	2299	745	963	2780
Cnig_chr_II.g4014.t1	Cnig_chr_II	207139	208928	-	1790	119	97	124	162	127	153
Cnig_chr_V.g19521.t1	Cnig_chr_V	12099996	12101737	+	1742	5	9	6	40	33	78
Cnig_chr_IV.g15753.t1	Cnig_chr_IV	17723168	17724297	+	1130	144	115	123	137	188	151
Cnig_chr_II.g4012.t1	Cnig_chr_II	202278	204170	-	1893	249	193	229	192	204	172
Cnig_chr_V.g19572.t1	Cnig_chr_V	12262490	12263034	-	545	52	70	79	107	102	113
Cnig_chr_IV.g13571.t2	Cnig_chr_IV	8254594	8259037	-	4444	9	15	1	711	523	1075
Cnig_chr_X.g24730.t1	Cnig_chr_X	13534450	13535845	+	1396	820	1344	1263	666	675	1398
Cnig_chr_V.g19571.t1	Cnig_chr_V	12260833	12261383	-	551	31	60	44	26	48	76
Cnig_chr_II.g4555.t1	Cnig_chr_II	3357805	3363627	+	5823	1	1	1	82	96	107
Cnig_chr_V.g19570.t1	Cnig_chr_V	12260130	12260608	-	479	340	530	298	385	477	597
Cnig_chr_X.g23685.t1	Cnig_chr_X	8274776	8278629	-	3854	39	44	22	245	192	188
Cnig_chr_II.g4536.t1	Cnig_chr_II	3264010	3264624	+	615	0	1	0	32	31	27
Cnig_chr_X.g22512.t1	Cnig_chr_X	1645793	1646803	-	1011	44	84	55	489	410	513
Cnig_chr_V.g20699.t1	Cnig_chr_V	16375780	16376289	+	510	0	0	0	0	0	0
Cnig_chr_V.g20697.t1	Cnig_chr_V	16373129	16373856	+	728	204	181	226	249	213	185
Cnig_chr_X.g24240.t1	Cnig_chr_X	11109066	11114108	+	5043	29660	174517	63092	238	282	405
Cnig_chr_V.g20686.t1	Cnig_chr_V	16348317	16348826	+	510	148	154	210	66	83	58
Cnig_chr_X.g23862.t2	Cnig_chr_X	9181934	9187075	+	5142	8169	73507	23543	193	193	223
Cnig_chr_X.g23900.t1	Cnig_chr_X	9412624	9417665	-	5042	8013	70771	22170	125	108	140
Cnig_chr_V.g20700.t1	Cnig_chr_V	16377260	16377764	+	505	69	56	56	64	106	73
Cnig_chr_IV.g14754.t1	Cnig_chr_IV	12514025	12519182	-	5158	29870	194213	69246	463	466	550
Cnig_chr_I.g1721.t1	Cnig_chr_I	7466530	7467235	-	706	219	192	172	251	289	277
Cnig_chr_III.g9927.t1	Cnig_chr_III	7119495	7121320	-	1826	514	341	777	1046	857	1092
Cnig_chr_V.g19224.t2	Cnig_chr_V	11082487	11083576	-	1090	0	2	4	0	1	1
Cnig_chr_II.g6581.t1	Cnig_chr_II	11940000	11942880	+	2881	24	21	17	28	23	42
Cnig_chr_V.g19994.t1	Cnig_chr_V	13970388	13972279	-	1892	3	3	11	6	4	17
Cnig_chr_X.g24632.t3	Cnig_chr_X	13002299	13008012	-	5714	1	13	0	1	3	3
Cnig_chr_III.g9525.t3	Cnig_chr_III	5535837	5540774	-	4938	2746	3446	3199	3238	2077	2761
Cnig_chr_II.g4247.t1	Cnig_chr_II	1664501	1666443	+	1943	0	1	1	1	1	3
Cnig_chr_II.g4266.t1	Cnig_chr_II	1740420	1744735	+	4316	25	51	30	12	15	22
Cnig_chr_II.g6577.t2	Cnig_chr_II	11918721	11922501	+	3781	3	3	8	7	13	12
Cnig_chr_V.g17496.t1	Cnig_chr_V	4528573	4529985	-	1413	2	4	1	6	1	4
Cnig_chr_V.g18505.t2	Cnig_chr_V	8480559	8481893	-	1335	25	10	20	130	90	117
Cnig_chr_V.g20542.t1	Cnig_chr_V	15921305	15921784	+	480	82	38	340	129	149	200
Cnig_chr_V.g20093.t1	Cnig_chr_V	14317319	14317806	-	488	2138	859	9273	10080	9032	13246
Cnig_chr_V.g20528.t1	Cnig_chr_V	15871939	15872421	-	483	1046	371	3195	4529	6460	6286
Cnig_chr_II.g6351.t2	Cnig_chr_II	11102932	11105193	-	2262	5	13	16	60	63	79
Cnig_chr_V.g19226.t3	Cnig_chr_V	11084739	11086439	-	1701	0	0	0	1	2	0
Cnig_chr_II.g6721.t2	Cnig_chr_II	12532271	12532946	-	676	104	157	123	56	49	105
Cnig_chr_V.g20090.t1	Cnig_chr_V	14312726	14313212	+	487	1368	502	5484	7981	8250	10373
Cnig_chr_V.g20089.t1	Cnig_chr_V	14311899	14312382	-	484	1614	643	7252	11548	12976	15242
Cnig_chr_V.g20544.t2	Cnig_chr_V	15923216	15923782	+	567	576	230	2048	3158	4120	3953
Cnig_chr_V.g20541.t1	Cnig_chr_V	15920493	15920974	-	482	9	3	60	25	59	66
Cnig_chr_IV.g16206.t1	Cnig_chr_IV	20082183	20083953	-	1771	4604	5006	4704	3001	3038	3234
Cnig_chr_V.g20094.t1	Cnig_chr_V	14318132	14318613	+	482	2905	1158	13076	13068	15505	19110
Cnig_chr_IV.g16207.t1	Cnig_chr_IV	20084751	20086171	-	1421	2753	2514	2730	2411	2167	2498
Cnig_chr_IV.g13064.t1	Cnig_chr_IV	5590111	5591055	+	945	0	3	2	5	8	4
Cnig_chr_V.g18200.t2	Cnig_chr_V	7244231	7246326	+	2096	23	24	41	31	11	23
Cnig_chr_X.g23249.t1	Cnig_chr_X	5856300	5857199	-	900	17431	75257	35697	4812	3493	42707
Cnig_chr_V.g17422.t2	Cnig_chr_V	4221526	4223280	-	1755	35	57	39	32	49	48
Cnig_chr_V.g16987.t1	Cnig_chr_V	2428640	2430215	+	1576	1589	1267	1440	968	955	1112
Cnig_chr_IV.g12071.t1	Cnig_chr_IV	428488	429336	-	849	139383	77122	125218	132949	139235	107846
Cnig_chr_IV.g14266.t1	Cnig_chr_IV	10758415	10771617	-	13203	27122	30246	29969	30362	18858	25567
Cnig_chr_I.g3514.t1	Cnig_chr_I	14648247	14649540	+	1294	21	16	15	43	31	33
Cnig_chr_II.g6502.t1	Cnig_chr_II	11683043	11683728	+	686	159	122	170	229	233	277
Cnig_chr_X.g22538.t2	Cnig_chr_X	1749970	1752564	-	2595	20359	67038	37649	7170	4220	39813
Cnig_chr_II.g6567.t1	Cnig_chr_II	11888968	11889695	-	728	1194	1160	1075	1467	1464	1384
Cnig_chr_V.g18616.t1	Cnig_chr_V	8916918	8917564	-	647	22	26	33	29	40	36
Cnig_chr_II.g6512.t1	Cnig_chr_II	11711129	11712362	-	1234	434	455	543	237	403	336
Cnig_chr_X.g23248.t2	Cnig_chr_X	5853581	5854507	-	927	1603	6443	3348	1072	844	9791
Cnig_chr_V.g19324.t1	Cnig_chr_V	11425231	11426681	-	1451	1164	1504	997	1758	1933	1720
Cnig_chr_V.g20075.t1	Cnig_chr_V	14272042	14272793	-	752	63	36	63	61	59	76
Cnig_chr_V.g21407.t1	Cnig_chr_V	18730473	18731742	+	1270	1649	851	1277	827	850	652
Cnig_chr_V.g20855.t1	Cnig_chr_V	16957429	16959847	+	2419	233	116	155	160	141	86
Cnig_chr_V.g16350.t1	Cnig_chr_V	196377	196656	+	280	194	153	175	216	403	318
Cnig_chr_II.g7335.t2	Cnig_chr_II	15116089	15117134	-	1046	0	0	0	6	3	5
Cnig_chr_II.g7332.t1	Cnig_chr_II	15109111	15110226	-	1116	3	1	0	14	18	26
Cnig_chr_II.g7333.t1	Cnig_chr_II	15110575	15112418	-	1844	0	0	0	3	1	2
Cnig_chr_V.g18148.t3	Cnig_chr_V	7045486	7052150	-	6665	81	36	48	129	187	82
Cnig_chr_V.g18609.t1	Cnig_chr_V	8880010	8880322	-	313	106	766	308	4	4	6
Cnig_chr_V.g20077.t1	Cnig_chr_V	14274351	14274632	-	282	278	252	234	235	213	231
Cnig_chr_V.g20078.t1	Cnig_chr_V	14275475	14276253	-	779	481	403	504	847	864	811
Cnig_chr_II.g7636.t1	Cnig_chr_II	16467808	16470123	+	2316	2	1	0	3	0	4
Cnig_chr_V.g17522.t2	Cnig_chr_V	4637417	4641797	-	4381	23	11	9	22	34	21
Cnig_chr_V.g20065.t2	Cnig_chr_V	14233655	14235858	-	2204	81	32	63	41	43	21
Cnig_chr_V.g20064.t2	Cnig_chr_V	14227649	14232053	-	4405	1	1	1	2	4	2
Cnig_chr_III.g11210.t1	Cnig_chr_III	11817814	11818335	+	522	438	387	445	484	391	487
Cnig_chr_I.g267.t1	Cnig_chr_I	1332312	1335093	+	2782	198	222	123	114	99	79
