"","dn","ds","prop_cons_500bp_upstream_5bp_win","num_cons_windows_500bp_upstream_5bp","num_windows_500bp_upstream_5bp","position","domain","chromosome","enc","ds_ENCc"
"I.g1268__Cnig_chr_I.g835",0.0186161005891,0.245016384709,0.3671875,47,128,3449278,"armA","I",47.3035847300584,0.279526510286597
"III.g8736__Cnig_chr_III.g9992",0.00601666511597,0.110792737418,0.623762376237624,63,101,6639043,"center","III",52.5344013254131,0.131084980724021
"X.g21017__Cnig_chr_X.g24967",0.0296574863202,0.221684050003,0.518867924528302,55,106,13890003,"center","X",45.5512373785875,0.260957230810682
"X.g21016__Cnig_chr_X.g24966",0.0699983208822,0.276383695536,NA,NA,NA,13883462,"center","X",50.0088580983065,0.303540617734924
"III.g10311__Cnig_chr_III.g11815",0.0292191230221,0.104860872085,NA,NA,NA,14110567,"tipB","III",41.0421026252914,0.156390331792992
"I.g1266__Cnig_chr_I.g833",0.00830979244255,0.218826401067,0.627450980392157,64,102,3439782,"armA","I",51.2864093874606,0.242510811184116
"I.g3817__Cnig_chr_I.g3845",0.0014112940206,0.117676150524,0.429906542056075,46,107,14951848,"armB","I",40.1109591825954,0.171736551167287
"V.g14463__Cnig_chr_V.g17063",0.0125482588195,0.208069629711,0.472222222222222,51,108,2302731,"armA","V",53.3462053903248,0.226155308437267
"X.g19952__Cnig_chr_X.g23811",0.0477023411968,0.410595579306,0.518867924528302,55,106,8199058,"armA","X",40.0027734202809,0.464950039663292
"IV.g12642__Cnig_chr_IV.g14668",0.0243675796214,0.155564619048,0.615384615384615,64,104,10888727,"center","IV",50.4217165701077,0.181599350659683
"X.g21086__Cnig_chr_X.g25046",0.00558665867039,0.19905197475,0.811881188118812,82,101,14327381,"center","X",33.5799234996389,0.270864383088261
"IV.g12643__Cnig_chr_IV.g14669",0.012366503662,0.128191227396,0.225490196078431,23,102,10891767,"center","IV",47.1420556254165,0.163140405223158
"II.g6925__Cnig_chr_II.g7591",0.082896470487,0.300880737032,0.296296296296296,32,108,14297009,"armB","II",49.4036191385776,0.32968275921077
"II.g6924__Cnig_chr_II.g7592",0.0992123560917,0.361201987699,0.125,14,112,14295697,"armB","II",46.9011331536071,0.396806016882217
"I.g3678__Cnig_chr_I.g3631",0.0964129828933,0.27940893069,0.481818181818182,53,110,14242431,"armB","I",49.6870454262769,0.307440571893311
"I.g2133__Cnig_chr_I.g1760",0.0155432323191,0.125495095731,0.693069306930693,70,101,6905756,"center","I",51.5372523750633,0.148497689538679
"X.g21987__Cnig_chr_X.g26146",0.0183953093102,0.254230312597,0.227848101265823,36,158,19225757,"armB","X",51.7836328704787,0.276563219594987
"II.g7330__Cnig_chr_II.g8270",0.0091838516846,0.14188037867,0.546296296296296,59,108,16399199,"armB","II",53.7132112472982,0.158968498798617
"IV.g10595__Cnig_chr_IV.g12161",0.0187131376651,0.253332676015,0.277777777777778,35,126,771614,"armA","IV",50.0928388789406,0.28026133005916
"V.g17233__Cnig_chr_V.g20302",0.00845037652846,0.120917652291,0.705882352941177,72,102,13809483,"center","V",40.7561171066421,0.173224449219942
"II.g6923__Cnig_chr_II.g7593",0.108387649311,0.221107336022,NA,NA,NA,14292124,"armB","II",44.3493290631486,0.263647423749209
"V.g17234__Cnig_chr_V.g20303",0.0206959739401,0.169236402618,0.647058823529412,66,102,13810674,"center","V",45.7185240667012,0.208054881488835
"III.g10323__Cnig_chr_III.g11826",0.0133576578223,0.247637960358,NA,NA,NA,14163812,"tipB","III",53.0014671055144,0.266660672195367
"III.g8503__Cnig_chr_III.g10187",0.00488771597156,0.0715268163502,0.568627450980392,58,102,5730955,"center","III",45.0894774903274,0.112055106682244
"X.g20043__Cnig_chr_X.g23911",0.0261967254849,0.234909097197,0.676470588235294,69,102,8743481,"center","X",49.0373886445771,0.26470657045937
"X.g20044__Cnig_chr_X.g23912",0.013480443781,0.331159315125,0.682692307692308,71,104,8747080,"center","X",48.8438425319547,0.361482866064387
"III.g9306__Cnig_chr_III.g10646",0.0123879599003,0.162411609132,0.640776699029126,66,103,9003803,"center","III",46.0152163864792,0.200423648626384
"III.g10120__Cnig_chr_III.g11601",0.00578729250579,0.252972326989,NA,NA,NA,12965570,"armB","III",48.6133403979092,0.283922405765
"I.g1878__Cnig_chr_I.g1582",0.0444827231547,0.108156097619,0.732673267326733,74,101,5846832,"center","I",52.2998691158378,0.129085822909688
"II.g4251__Cnig_chr_II.g4391",0.00375275105318,0.18175979413,NA,NA,NA,2255729,"armA","II",46.8688027592481,0.217451700556169
"IV.g11435__Cnig_chr_IV.g13366",0.038059640372,0.248237900915,0.130769230769231,17,130,6019609,"center","IV",53.0401574642123,0.267155448490729
"II.g4252__Cnig_chr_II.g4392",0.00578423893581,0.148851911953,0.284403669724771,31,109,2262862,"armA","II",49.0973162880795,0.17848649589119
"X.g22001__Cnig_chr_X.g26164",0.0109342626578,0.164490773786,0.490384615384615,51,104,19292805,"armB","X",50.8600465157708,0.189334080798877
"III.g9767__Cnig_chr_III.g11115",0.00564676949493,0.225182087211,0.229357798165138,25,109,10895095,"armB","III",48.653962571081,0.256021750860558
"X.g22000__Cnig_chr_X.g26163",0.0111421260915,0.218144748157,0.623762376237624,63,101,19290790,"armB","X",39.9675539270567,0.272594938616696
"II.g6138__Cnig_chr_II.g6543",0.0180474071182,0.199753675933,0.782178217821782,79,101,10840942,"center","II",49.1155880324167,0.229338595444011
"V.g17365__Cnig_chr_V.g20447",0.190658208687,0.440405217907,0.53921568627451,55,102,14276159,"armB","V",48.3916697534862,0.471957819648204
"X.g21251__Cnig_chr_X.g25236",0.0912186257965,0.534330737635,0.267326732673267,27,101,15302136,"center","X",41.3319035141556,0.585072489564492
"V.g16279__Cnig_chr_V.g19286",0.0334306993357,0.179606641,0.833333333333333,85,102,9996136,"center","V",48.9702317431227,0.209586653432153
"V.g16281__Cnig_chr_V.g19288",0.0235141960318,0.123311405807,0.862745098039216,88,102,10001560,"center","V",48.8954217326632,0.15349475932406
"II.g6238__Cnig_chr_II.g6667",0.0573943438235,0.218627078823,0.596153846153846,62,104,11272236,"center","II",46.3302807728926,0.255782741827723
"III.g10126__Cnig_chr_III.g11608",0.0208311476447,0.330929670661,0.251700680272109,37,147,13004596,"armB","III",48.1889568541029,0.363033266321762
"IV.g13510__Cnig_chr_IV.g15811",0.0107112168933,0.319266097891,NA,NA,NA,15633476,"armB","IV",43.9503735877731,0.362890586471706
"I.g829__Cnig_chr_I.g302",0.056080339964,0.355675233281,0.495327102803738,53,107,888570,"armA","I",51.2716711858596,0.379399703302996
"IV.g12954__Cnig_chr_IV.g15017",0.0105243049087,0.158073563923,NA,NA,NA,12221407,"center","IV",28.8171122706539,0.242831769174803
"V.g15612__Cnig_chr_V.g18554",0.0256150625908,0.207161992668,0.480769230769231,50,104,7427481,"center","V",52.3043491607617,0.228079540748851
"IV.g12066__Cnig_chr_IV.g14013",0.00782570558463,0.156066340523,0.752475247524752,76,101,8553539,"center","IV",50.6419363024746,0.181502492893451
"III.g10125__Cnig_chr_III.g11607",0.00378888015403,0.19127673974,NA,NA,NA,13000844,"armB","III",41.6256685225109,0.241220009018042
"III.g10091__Cnig_chr_III.g11546",0.332300298853,0.562886816188,NA,NA,NA,12804052,"armB","III",37.7331525948114,0.623410332773779
"III.g8615__Cnig_chr_III.g9864",0.0705620395215,0.269652726818,0.592592592592593,64,108,6157053,"center","III",49.0686977427667,0.299365098822474
"V.g15613__Cnig_chr_V.g18555",0.0051489870242,0.21864706768,0.386138613861386,39,101,7430083,"center","V",46.6666159514535,0.254888538056211
"V.g13915__Cnig_chr_V.g16352",2.48243566534e-11,0.225965677239,0.428571428571429,45,105,194393,"armA","V",45.5791614639048,0.26516295759207
"II.g4635__Cnig_chr_II.g4830",0.00738915216902,0.189688090602,0.538461538461538,56,104,4271351,"armA","II",43.5467041872682,0.234409792955812
"II.g6191__Cnig_chr_II.g6600",1.30732185946e-11,0.0888414997827,NA,NA,NA,11042508,"center","II",45.8417749478874,0.127324970440834
"X.g21397__Cnig_chr_X.g25431",0.0678403243426,0.389522049606,0.588785046728972,63,107,16020011,"armB","X",51.0664274878174,0.413804392511236
"II.g5598__Cnig_chr_II.g5959",0.0137900087298,0.171694137831,0.764705882352941,78,102,8598148,"center","II",47.70154773219,0.205122560196564
"IV.g12060__Cnig_chr_IV.g14008",0.00645113061423,0.149057813145,0.48,48,100,8537995,"center","IV",43.1173318689205,0.194946592371353
"III.g8570__Cnig_chr_III.g9819",0.00664930002254,0.0841020192568,0.529411764705882,54,102,6006725,"center","III",50.7780581774425,0.109168178767131
"I.g3652__Cnig_chr_I.g3618",0.119068259996,0.255551603262,NA,NA,NA,14040431,"armB","I",49.970864910368,0.282811794742762
"II.g5727__Cnig_chr_II.g6093",0.0150326732512,0.222886987096,0.774509803921569,79,102,9196218,"center","II",47.3194148735934,0.257354084761412
"II.g5599__Cnig_chr_II.g5960",0.0200197364822,0.144883953637,0.7,70,100,8600388,"center","II",44.8514095579077,0.18605933640176
"II.g5728__Cnig_chr_II.g6094",0.00503861584975,0.185787928328,NA,NA,NA,9199796,"center","II",48.6064231137174,0.216756808973744
"IV.g12434__Cnig_chr_IV.g14435",0.0213040950132,0.155817044428,NA,NA,NA,10142265,"center","IV",41.7475719642787,0.205428967968343
"V.g17776__Cnig_chr_V.g20995",0.0145142397211,0.270832160403,0.353741496598639,52,147,15871029,"armB","V",41.9869016564088,0.319793561921635
"X.g21296__Cnig_chr_X.g25296",0.0316578482703,0.207171520853,0.563106796116505,58,103,15479097,"armB","X",48.7894844590278,0.237642822467124
"III.g9275__Cnig_chr_III.g10616",0.00319617246005,0.0821777066631,NA,NA,NA,8886651,"center","III",47.077837909386,0.117301434660318
"II.g7021__Cnig_chr_II.g7832",0.0650789444527,0.33826870235,NA,NA,NA,14725820,"armB","II",50.6330812811449,0.363728923553392
"IV.g12812__Cnig_chr_IV.g14864",0.0911669677129,0.255397804068,0.481818181818182,53,110,11607630,"center","IV",44.4443416577017,0.297679638067698
"I.g2523__Cnig_chr_I.g1983",0.00833481148797,0.113558934526,0.524271844660194,54,103,8513529,"center","I",48.6120793276812,0.144512441016911
"IV.g12064__Cnig_chr_IV.g14012",0.0262146247407,0.19937374771,0.305555555555556,33,108,8543732,"center","IV",46.7041443188011,0.235513212233193
"II.g5611__Cnig_chr_II.g5973",0.0372904386124,0.199181937656,0.12621359223301,13,103,8637882,"center","II",40.4162210430726,0.25241260605478
"I.g3815__Cnig_chr_I.g3843",0.0118184918191,0.243174016106,0.396396396396396,44,111,14934287,"armB","I",52.2743970156287,0.264172977110726
"III.g9756__Cnig_chr_III.g11106",0.0114239288832,0.222707848272,NA,NA,NA,10825725,"armB","III",49.9479448798076,0.250030338686443
"II.g4167__Cnig_chr_II.g4238",0.079109397672,0.341706053734,0.270491803278689,33,122,1545590,"armA","II",49.0254034931401,0.371536103835767
"IV.g12809__Cnig_chr_IV.g14862",0.00114089393372,0.123935288393,NA,NA,NA,11592792,"center","IV",48.1828744102219,0.156055416744107
"III.g8175__Cnig_chr_III.g9425",0.0520155118775,0.247569364323,0.650485436893204,67,103,4368560,"armA","III",53.4575835454562,0.265352306092538
"I.g2097__Cnig_chr_I.g1723",0.0204662718683,0.219261083677,0.375,48,128,6773428,"center","I",49.0446326563899,0.2490388669913
"II.g4163__Cnig_chr_II.g4231",3.28006853678e-11,0.292788095219,NA,NA,NA,1507755,"armA","II",47.6224667541671,0.326431467586147
"I.g1950__Cnig_chr_I.g1553",0.0370790258873,0.139455770395,0.637254901960784,65,102,6136447,"center","I",53.6152087104655,0.156810271213056
"IV.g11409__Cnig_chr_IV.g13339",0.0416792142465,0.0798141846955,NA,NA,NA,5850399,"center","IV",32.5772392519761,0.15435198902671
"I.g3691__Cnig_chr_I.g3671",0.00666284106453,0.22079730613,0.0683760683760684,8,117,14296512,"armB","I",54.7817581531645,0.234981008978386
"II.g5139__Cnig_chr_II.g5471",0.00959464214658,0.14874605849,0.451923076923077,47,104,6677075,"center","II",49.4617832317168,0.177389984850725
"X.g19119__Cnig_chr_X.g22840",0.0460947995378,0.241968970467,0.712871287128713,72,101,3298416,"armA","X",53.6056362824894,0.259349490100959
"V.g14380__Cnig_chr_V.g21661",0.0296716838757,0.332104807359,0.127272727272727,14,110,1919831,"armA","V",37.691715728976,0.392740953487301
"I.g1327__Cnig_chr_I.g893",0.00640440027383,0.148583957159,0.588785046728972,63,107,3651617,"armA","I",50.5731314822717,0.174207127907084
"II.g5141__Cnig_chr_II.g5472",0.0166742448792,0.00836048189937,0.732673267326733,74,101,6694730,"center","II",42.8918354202041,0.0548621830093455
"V.g17266__Cnig_chr_V.g20346",0.0196752415732,0.307425909618,0.57843137254902,59,102,13972145,"center","V",44.2862909519484,0.350137341231451
"II.g3973__Cnig_chr_II.g4022",0.0531873219903,0.117198958825,0.811881188118812,82,101,160563,"armA","II",40.5018324133132,0.170196926963505
"X.g21020__Cnig_chr_X.g24971",0.0542697253633,0.312945450584,0.634615384615385,66,104,13904033,"center","X",50.4412915090231,0.3389269755554
"V.g17462__Cnig_chr_V.g20561",0.0515156272788,0.262364971625,0.435185185185185,47,108,14698257,"armB","V",46.7209224223089,0.298458831586063
"II.g3971__Cnig_chr_II.g4021",0.0635115788951,0.120912196619,0.412213740458015,54,131,155375,"armA","II",49.3187101968152,0.149945009787241
"V.g16503__Cnig_chr_V.g19536",0.00788489017406,0.0982683704914,0.86,86,100,10820104,"center","V",43.5954436418345,0.142857594136702
"I.g3148__Cnig_chr_I.g2810",0.0307687991757,0.175917039253,NA,NA,NA,11123494,"armB","I",41.5571601510227,0.226046521131442
"V.g15237__Cnig_chr_V.g18116",0.0172440598452,0.255080347485,0.27,27,100,5759183,"armA","V",44.3684868501932,0.297568362432401
"V.g17544__Cnig_chr_V.g20673",0.0223942828567,0.24165804947,NA,NA,NA,14922206,"armB","V",50.0716527488363,0.268644289533115
"V.g14560__Cnig_chr_V.g17123",0.0169771041298,0.151155992662,0.227642276422764,28,123,2772485,"armA","V",44.1658380108955,0.194194827407244
"I.g2652__Cnig_chr_I.g2243",0.0340325563158,0.122251789503,0.20863309352518,29,139,9017213,"center","I",51.077740966982,0.146503381241202
"V.g17075__Cnig_chr_V.g20116",0.0155612945482,0.256439427465,0.696078431372549,71,102,13105298,"center","V",45.3304217076488,0.29631280733451
"V.g15276__Cnig_chr_V.g18150",0.0303802104233,0.13844510084,0.5,51,102,5887259,"armA","V",45.4932592289228,0.177875872052781
"X.g22246__Cnig_chr_X.g26445",0.0514176000007,0.331052048769,0.401960784313726,41,102,20651295,"armB","X",46.7389980760638,0.367096777296685
"III.g10397__Cnig_chr_III.g11871",0.0620623470772,0.241870328879,NA,NA,NA,14428292,"tipB","III",45.1182974101806,0.282320283788633
"I.g1714__Cnig_chr_I.g1326",0.0258635411744,0.179061965632,0.715686274509804,73,102,5231687,"center","I",36.8386996702821,0.242016694657863
"X.g22044__Cnig_chr_X.g26219",0.00569833076343,0.221800155905,0.388349514563107,40,103,19538456,"armB","X",50.0608535351735,0.248815749310119
"I.g965__Cnig_chr_I.g454",0.0134229522565,0.246766136699,NA,NA,NA,1840953,"armA","I",48.3658710016225,0.278388862026085
"I.g797__Cnig_chr_I.g245",0.0233180151867,0.208517166406,0.433962264150943,46,106,681286,"armA","I",46.7880274334089,0.244428628240449
"IV.g10770__Cnig_chr_IV.g12419",0.0196915380163,0.286519238784,NA,NA,NA,1867614,"armA","IV",51.4531103241201,0.30975053909526
"X.g18905__Cnig_chr_X.g22568",0.00188213697144,0.142196871946,0.611650485436893,63,103,1893628,"armA","X",40.251438712049,0.195875435188772
"III.g8041__Cnig_chr_III.g9274",0.0255784017871,0.216889798653,0.532710280373832,57,107,3767985,"armA","III",47.1097820480549,0.251926699288833
"II.g7248__Cnig_chr_II.g8168",3.85064678319e-11,0.206328495883,0.60377358490566,64,106,16013768,"armB","II",40.6629779891521,0.25888845424156
"IV.g12678__Cnig_chr_IV.g14703",0.0176817174058,0.166530274774,0.742574257425743,75,101,11035657,"center","IV",41.2908998272304,0.217383478822444
"II.g4855__Cnig_chr_II.g5194",0.00976746602338,0.217029018996,NA,NA,NA,5377862,"center","II",47.3272797607743,0.251474739112041
"IV.g12676__Cnig_chr_IV.g14701",0.0461928460912,0.225231007586,0.356589147286822,46,129,11029475,"center","IV",45.9282312781188,0.263479481298159
"V.g14598__Cnig_chr_V.g17240",0.0390586108853,0.205114729877,0.276190476190476,29,105,2966892,"armA","V",50.3614541872166,0.231313260667976
"III.g8179__Cnig_chr_III.g9429",0.0180092978948,0.205859179099,0.774509803921569,79,102,4386212,"armA","III",48.1611459130162,0.238038367677048
"II.g7185__Cnig_chr_II.g8103",0.0381956673589,0.266559529623,0.123809523809524,13,105,15788953,"armB","II",48.6490087627593,0.297412658218658
"III.g9021__Cnig_chr_III.g10291",0.0193648695366,0.123920481,0.643564356435644,65,101,7856769,"center","III",44.6887790202118,0.165537909819439
"I.g3221__Cnig_chr_I.g2974",0.00949272697313,0.283462199909,0.70873786407767,73,103,11475935,"armB","I",53.6594514487928,0.300696444542684
"IV.g12735__Cnig_chr_IV.g14772",0.0243902958876,0.203884788441,0.803921568627451,82,102,11281372,"center","IV",48.142415945719,0.236114886942026
"II.g5371__Cnig_chr_II.g5715",0.0372827907024,0.220491246422,0.762376237623762,77,101,7634884,"center","II",49.4980263311835,0.249036660416256
"X.g20570__Cnig_chr_X.g24450",0.00359759251019,0.236272538911,0.784313725490196,80,102,11571912,"center","X",41.9508441302041,0.285331948389432
"IV.g12733__Cnig_chr_IV.g14770",0.0279457232734,0.291934141427,0.434782608695652,60,138,11278276,"center","IV",44.7947776807647,0.333263455293598
"III.g10155__Cnig_chr_III.g11637",0.035055097071,0.26162037683,0.388349514563107,40,103,13181858,"armB","III",42.7008564733302,0.308641177803927
"II.g4158__Cnig_chr_II.g4257",0.0831762058669,0.424939240644,0.394230769230769,41,104,1450131,"armA","II",41.2706160971672,0.475847577897902
"IV.g10857__Cnig_chr_IV.g12532",0.00848226049755,0.287517322136,0.190082644628099,23,121,2261282,"armA","IV",51.9213150710987,0.309475995152806
"III.g8797__Cnig_chr_III.g10074",0.0156152009363,0.165573469312,0.796116504854369,82,103,6928746,"center","III",49.0943615793589,0.195216084443785
"IV.g11656__Cnig_chr_IV.g13593",0.0293177021821,0.172633920347,NA,NA,NA,7091352,"center","IV",49.7476045347623,0.200500955841198
"II.g5130__Cnig_chr_II.g5464",0.0190025306124,0.223517995765,0.586538461538462,61,104,6630868,"center","II",49.3466471973566,0.252474873373758
"IV.g12966__Cnig_chr_IV.g15030",0.0104199646368,0.198691227542,0.321100917431193,35,109,12252697,"center","IV",47.2831134411308,0.233256996128793
"V.g18405__Cnig_chr_V.g21957",8.66262075304e-13,0.0086729943318,0.533980582524272,55,103,18988156,"armB","V",32.2005052381206,0.0842347993632936
"II.g6203__Cnig_chr_II.g6618",0.0427869228685,0.265681134739,0.603960396039604,61,101,11091372,"center","II",50.6834699171733,0.29100439459385
"II.g5131__Cnig_chr_II.g5465",0.023272055112,0.247129977053,0.405660377358491,43,106,6633758,"center","II",50.1861067944593,0.273805119581628
"V.g18491__Cnig_chr_V.g22061",0.0199893326063,0.170390204669,0.514851485148515,52,101,19368301,"tipB","V",48.5809444845279,0.201428338775203
"V.g16025__Cnig_chr_V.g18981",0.049400374807,0.20007567015,0.725490196078431,74,102,8941261,"center","V",47.5181573977763,0.234002565772446
"V.g18368__Cnig_chr_V.g21923",0.0677126923003,0.299059471807,0.299363057324841,47,157,18780952,"armB","V",52.3416318655152,0.319875681770315
"V.g15960__Cnig_chr_V.g18915",0.0366755613026,0.181207224272,NA,NA,NA,8710353,"center","V",45.168542329846,0.221520608468529
"III.g7494__Cnig_chr_III.g8439",0.00515716204749,0.234727851514,0.561904761904762,59,105,454449,"armA","III",51.6043423381421,0.25754808809709
"V.g16024__Cnig_chr_V.g18980",0.00576088127742,0.146646491224,0.721153846153846,75,104,8939070,"center","V",48.2094598592305,0.178694357667764
"I.g3131__Cnig_chr_I.g2803",0.0777968291339,0.144733085872,0.544554455445545,55,101,11038432,"armB","I",40.0140137883184,0.19905699378561
"V.g16750__Cnig_chr_V.g19778",0.00437443049931,0.0960781944974,0.586538461538462,61,104,11828526,"center","V",52.2487202655431,0.117146947474981
"I.g3139__Cnig_chr_I.g2795",0.000489602168531,0.153595269975,0.306306306306306,34,111,11072801,"armB","I",43.4123951791967,0.198682037635531
"II.g6405__Cnig_chr_II.g6881",0.00160470461208,0.232942348856,0.306306306306306,34,111,11994770,"armB","II",43.3478866523679,0.278204457139404
"IV.g10778__Cnig_chr_IV.g12431",0.00242489844644,0.175387416083,0.330434782608696,38,115,1912235,"armA","IV",47.3055789746057,0.209892121104614
"IV.g10869__Cnig_chr_IV.g12573",0.0505476289094,0.601236301212,0.19811320754717,21,106,2361763,"armA","IV",53.9548806667892,0.61766753970611
"V.g16795__Cnig_chr_V.g19829",0.0173994943289,0.158930104827,NA,NA,NA,12092227,"center","V",50.4443257249398,0.184903382496301
"III.g7623__Cnig_chr_III.g8702",0.0518882758102,0.271818119244,0.580952380952381,61,105,1176831,"armA","III",46.5773665471978,0.308302178420523
"IV.g13103__Cnig_chr_IV.g15144",0.00962969092061,0.258748231063,NA,NA,NA,12849851,"center","IV",45.7644364987168,0.297441915355149
"II.g4294__Cnig_chr_II.g4462",0.0106068181124,0.198788263903,NA,NA,NA,2516394,"armA","II",54.7441193686777,0.213074272729224
"II.g4289__Cnig_chr_II.g4463",0.00653675469196,0.221555771785,NA,NA,NA,2494184,"armA","II",52.2053249522464,0.242742477561029
"II.g6241__Cnig_chr_II.g6668",0.0173493390925,0.196267199923,NA,NA,NA,11279938,"center","II",47.7746565952226,0.229496905092375
"I.g966__Cnig_chr_I.g455",0.204706680505,0.431161352934,0.722772277227723,73,101,1853458,"armA","I",46.8151849047833,0.466998998047148
"II.g4343__Cnig_chr_II.g4528",0.00681905973353,0.181254913441,0.158415841584158,16,101,2848273,"armA","II",54.1839034658041,0.197063645078954
"IV.g12861__Cnig_chr_IV.g14961",0.0044484354183,0.179916530871,NA,NA,NA,11771987,"center","IV",49.7083486176011,0.20789026787126
"IV.g12704__Cnig_chr_IV.g14729",0.0732929729063,0.22194556426,0.223300970873786,23,103,11150884,"center","IV",46.6964111833835,0.258106048218104
"V.g16134__Cnig_chr_V.g19120",0.0154125910927,0.225903805441,0.519607843137255,53,102,9425657,"center","V",46.8757573886665,0.261576808489368
"II.g5171__Cnig_chr_II.g5505",0.021643650816,0.131702304731,NA,NA,NA,6847903,"center","II",53.9729168395345,0.148084519105061
"III.g7790__Cnig_chr_III.g8821",0.0220053614466,0.244734679573,NA,NA,NA,2202770,"armA","III",50.4982469810477,0.270561393879334
"III.g9349__Cnig_chr_III.g10690",0.0150658163233,0.14608313004,0.725490196078431,74,102,9135536,"center","III",49.2490497305591,0.17530528731736
"V.g16132__Cnig_chr_V.g19118",0.0217346164555,0.259671870804,0.7,70,100,9423656,"center","V",47.0728337364494,0.294809200643374
"V.g14924__Cnig_chr_V.g17748",0.0932632311009,0.539651007037,NA,NA,NA,4326508,"armA","V",42.0840566184804,0.588348331659102
"IV.g11248__Cnig_chr_IV.g13142",0.0486136743702,0.245690950923,0.623853211009174,68,109,4926454,"armA","IV",46.0365710099354,0.283644946416659
"IV.g11246__Cnig_chr_IV.g13140",0.022631287641,0.341184342764,0.584158415841584,59,101,4922933,"armA","IV",44.2828015619706,0.383905258888138
"V.g16550__Cnig_chr_V.g19584",0.00400352469228,0.0714526936131,0.663461538461538,69,104,10992627,"center","V",44.4444490370813,0.113734235744913
"V.g14966__Cnig_chr_V.g17812",0.0107512168189,0.249782845779,0.579439252336449,62,107,4482681,"armA","V",51.3393605591049,0.273323329319671
"X.g21616__Cnig_chr_X.g25673",0.0514922678472,0.237444144608,0.3,33,110,17170387,"armB","X",48.8521457438661,0.267745126587593
"IV.g13664__Cnig_chr_IV.g16011",0.0420121910368,0.244625495852,0.342857142857143,36,105,16682590,"armB","IV",44.2931023701544,0.287318413350037
"V.g15028__Cnig_chr_V.g17883",0.142272596763,0.448040291969,0.666666666666667,68,102,4677255,"armA","V",45.2610240342519,0.488102301650374
"II.g5340__Cnig_chr_II.g5680",0.00848274337165,0.298710805887,0.663366336633663,67,101,7541452,"center","II",47.3331592762258,0.333140544892447
"X.g20782__Cnig_chr_X.g24681",0.00537044526327,0.22107538293,0.673267326732673,68,101,12560413,"center","X",49.4620619792984,0.24971855162694
"II.g5331__Cnig_chr_II.g5667",0.0912894451783,0.201486401546,0.72,72,100,7505109,"center","II",49.1695644637468,0.230924607722277
"IV.g13174__Cnig_chr_IV.g15247",0.0277375410661,0.156898237463,0.72,72,100,13254200,"center","IV",43.1658644986197,0.202655100151502
"V.g16549__Cnig_chr_V.g19583",0.00290726386066,0.0875355006387,0.69,69,100,10991957,"center","V",47.1627102739762,0.122428537066857
"II.g5332__Cnig_chr_II.g5668",0.0721100534487,0.292435390038,0.259615384615385,27,104,7506962,"center","II",47.3745295249858,0.326752680572794
"II.g5221__Cnig_chr_II.g5556",0.0334655569275,0.180398280601,0.108333333333333,13,120,7080566,"center","II",45.6152230061238,0.219497542078344
"III.g9203__Cnig_chr_III.g10536",0.00154297554535,0.0919506675517,0.558823529411765,57,102,8607404,"center","III",45.2338084288274,0.132086651968533
"II.g5220__Cnig_chr_II.g5555",0.00261602799017,0.180574609559,0.7,70,100,7079295,"center","II",40.3665352474131,0.233940328915958
"IV.g12761__Cnig_chr_IV.g14802",0.165628002356,0.242118571515,NA,NA,NA,11383823,"center","IV",46.8499709464114,0.277861664690502
"I.g2857__Cnig_chr_I.g2476",0.00177287295869,0.116809194159,0.572815533980582,59,103,9790747,"center","I",39.7348674546524,0.17189184970527
"X.g21784__Cnig_chr_X.g25845",0.0562474333771,0.391682021958,0.504672897196262,54,107,18101413,"armB","X",38.3208723355323,0.450608057552059
"III.g10297__Cnig_chr_III.g11783",0.00655683637432,0.162769075849,NA,NA,NA,14039077,"armB","III",47.4372674866467,0.196915838333997
"II.g6058__Cnig_chr_II.g6446",0.00270217304752,0.154070733799,0.666666666666667,72,108,10541872,"center","II",45.3438666568045,0.193907568953023
"IV.g13624__Cnig_chr_IV.g15974",0.00403288112504,0.222965934623,0.237623762376238,24,101,16474696,"armB","IV",52.2477073670291,0.244037440759971
"V.g18289__Cnig_chr_V.g21764",0.0098597597924,0.145904790359,0.407079646017699,46,113,18368006,"armB","V",38.9380523057303,0.203153269113379
"III.g8150__Cnig_chr_III.g9393",0.00716777751781,0.241374826057,0.215384615384615,28,130,4280921,"armA","III",50.1803813669688,0.268065530869743
"IV.g11811__Cnig_chr_IV.g13840",0.0225845634025,0.154939327124,NA,NA,NA,7627084,"center","IV",48.2209897654962,0.18695585413024
"II.g6136__Cnig_chr_II.g6541",0.0173436202779,0.213273646074,0.598039215686274,61,102,10838575,"center","II",42.6627384770564,0.260398055571294
"V.g16102__Cnig_chr_V.g19089",0.0577772179566,0.215068619294,0.702970297029703,71,101,9309751,"center","V",48.2260854283716,0.247071295779287
"II.g5114__Cnig_chr_II.g5448",0.0356277993041,0.104489123317,NA,NA,NA,6585338,"center","II",35.7706503550119,0.170346917122124
"II.g4817__Cnig_chr_II.g5159",0.0306166613283,0.197438483686,0.524752475247525,53,101,5227972,"center","II",50.075122354978,0.224415293012872
"III.g8436__Cnig_chr_III.g9708",0.00591928479687,0.199855873899,NA,NA,NA,5498054,"center","III",50.2974433958456,0.226228392418131
"V.g17145__Cnig_chr_V.g20206",0.0124553931238,0.15087947177,0.227722772277228,23,101,13452917,"center","V",46.1884186725768,0.188420730141014
