"gene","sex","class","chromosome","logFC.F1.vs.briggsae","logFC.F1.vs.nigoni","F1_dist_from_zero"
"II.g4629.t1__Cnig_chr_II.g4836.t1","female","underdominant","II",-4.08312837019463,-9.48753693306654,10.3288573590591
"II.g4631.t2__Cnig_chr_II.g4835.t4","female","additive","II",1.27419034525235,-0.729366492449136,1.46817455237511
"II.g4632.t2__Cnig_chr_II.g4834.t1","female","underdominant","II",-2.89929864759638,-1.85300703842659,3.44086729363582
"II.g4633.t1__Cnig_chr_II.g4832.t1","female","underdominant","II",-2.10971463621593,-2.54364986777404,3.30470127183844
"II.g4634.t2__Cnig_chr_II.g4831.t1","female","underdominant","II",-1.34443327793023,-1.74500975149653,2.20285266679917
"II.g4635.t1__Cnig_chr_II.g4830.t1","female","underdominant","II",-8.11563603898912,-2.74506431102259,8.56731733910849
"II.g4637.t2__Cnig_chr_II.g4828.t1","female","C. briggsae dominant","II",-0.672720626778183,-5.27680861232224,5.31951709958442
"II.g4642.t1__Cnig_chr_II.g4824.t1","female","ambiguous","II",-1.0751695893335,-2.05052511830487,2.31530622307866
"II.g4647.t1__Cnig_chr_II.g5042.t1","female","underdominant","II",-0.772145647419145,-5.68866023668201,5.74082434753366
"II.g4649.t1__Cnig_chr_II.g5040.t1","female","underdominant","II",-3.32177680030674,-1.59112614429767,3.68318931337009
"II.g4650.t1__Cnig_chr_II.g5039.t1","female","C. nigoni dominant","II",-3.9189569487775,-2.37176630959994,4.58077493375573
"II.g4651.t1__Cnig_chr_II.g5038.t2","female","underdominant","II",-0.70632577419091,-1.4711407844696,1.63191645221691
"II.g4652.t1__Cnig_chr_II.g5037.t1","female","underdominant","II",-0.549831737732028,-2.08711933063707,2.15832852924117
"II.g4653.t1__Cnig_chr_II.g5036.t1","female","overdominant","II",0.909727180480237,0.429579839785137,1.00605287219626
"II.g4654.t1__Cnig_chr_II.g5031.t1","female","C. briggsae dominant","II",0.633414136830884,-4.92334575948037,4.96392454980236
"II.g4655.t2__Cnig_chr_II.g5030.t1","female","underdominant","II",-2.51575295328099,-7.48099798506543,7.8926765912772
"II.g4657.t1__Cnig_chr_II.g5026.t1","female","underdominant","II",-1.27906833609848,-6.23591694166992,6.36574236926187
"II.g4658.t1__Cnig_chr_II.g5025.t1","female","C. briggsae dominant","II",0.782962582117854,-4.70231771640452,4.76705593747425
"II.g4659.t1__Cnig_chr_II.g5024.t1","female","ambiguous","II",-0.60911272347215,-1.73241520167376,1.83637706936402
"II.g4661.t1__Cnig_chr_II.g5023.t1","female","C. nigoni dominant","II",-7.08071786738746,-1.34787303989162,7.20786565143987
"II.g4662.t1__Cnig_chr_II.g5022.t2","female","ambiguous","II",3.38085747476217,1.68182874354811,3.7760753683262
"II.g4663.t2__Cnig_chr_II.g5021.t1","female","underdominant","II",-0.556819908242952,-1.34699731126569,1.45754937026939
"II.g4665.t1__Cnig_chr_II.g5016.t1","female","ambiguous","II",0.0613022262173524,-0.51769250260903,0.521309399681997
"II.g4666.t1__Cnig_chr_II.g5015.t1","female","C. nigoni dominant","II",1.86777354738106,-0.217738436259949,1.88042230653685
"II.g4668.t1__Cnig_chr_II.g5014.t1","female","underdominant","II",-0.943236040710229,-2.31093034607514,2.49601548330647
"II.g4669.t3__Cnig_chr_II.g5013.t1","female","C. briggsae dominant","II",0.5244207410236,2.03698065060591,2.10340373788738
"II.g4670.t1__Cnig_chr_II.g5012.t1","female","no change","II",0.147228918020592,0.78222266452279,0.795957694349799
"II.g4671.t1__Cnig_chr_II.g5011.t1","female","C. briggsae dominant","II",-0.204459708780126,-4.78937393363462,4.79373616803148
"II.g4673.t1__Cnig_chr_II.g5010.t1","female","ambiguous","II",-2.26030777978588,-3.27482871830192,3.97913236693323
"II.g4674.t1__Cnig_chr_II.g5009.t1","female","underdominant","II",-1.95839701375132,-2.73043851587902,3.36015079311416
"II.g4675.t2__Cnig_chr_II.g5008.t1","female","C. nigoni dominant","II",-4.63370625235288,-1.09905323302406,4.7622632898775
"II.g4677.t1__Cnig_chr_II.g5006.t1","female","overdominant","II",5.83895407762138,3.01043517764439,6.56933061120919
"II.g4680.t2__Cnig_chr_II.g5001.t1","female","C. nigoni dominant","II",-4.415224338663,-1.49284014276767,4.6607700707695
"II.g4682.t1__Cnig_chr_II.g4999.t1","female","underdominant","II",-2.02527286199508,-2.54419717031672,3.25187167750841
"II.g4685.t3__Cnig_chr_II.g4997.t3","female","additive","II",0.966322365374103,-1.49882161097032,1.78332418122277
"II.g4686.t1__Cnig_chr_II.g4995.t2","female","overdominant","II",2.39435949228471,1.94051885394108,3.08197514603779
"II.g4687.t1__Cnig_chr_II.g4994.t1","female","overdominant","II",0.417734614249993,2.45761769702612,2.49286721521194
"II.g4688.t1__Cnig_chr_II.g4993.t1","female","ambiguous","II",-0.776183838961481,-1.5248022774644,1.71098899389377
"II.g4696.t2__Cnig_chr_II.g4969.t2","female","C. briggsae dominant","II",0.130327019275822,0.865898473682736,0.875651356807841
"II.g4697.t1__Cnig_chr_II.g4967.t1","female","overdominant","II",1.15893021936714,1.42311515977687,1.83531360027357
"II.g4698.t1__Cnig_chr_II.g4966.t2","female","ambiguous","II",-0.561562723802323,-0.52630605412421,0.769643265007938
"II.g4699.t1__Cnig_chr_II.g4965.t1","female","overdominant","II",0.831328719812079,1.16227954801178,1.4289860699499
"II.g4700.t1__Cnig_chr_II.g4964.t1","female","additive","II",0.55567333251912,-0.398160693264164,0.683596950061587
"II.g4701.t1__Cnig_chr_II.g4963.t2","female","overdominant","II",1.57702797696903,0.433735540298914,1.63558667121661
"II.g4703.t1__Cnig_chr_II.g4962.t1","female","overdominant","II",2.05727273418803,0.518263705300436,2.1215485785306
"II.g4704.t2__Cnig_chr_II.g4961.t3","female","underdominant","II",-1.93669386314211,-2.38363926905988,3.07124067512408
"II.g4705.t3__Cnig_chr_II.g4958.t1","female","underdominant","II",-1.37912710787337,-1.73719352750623,2.21806964085457
"II.g4706.t1__Cnig_chr_II.g4959.t2","female","ambiguous","II",1.2535709270364,0.314596386945524,1.29244379212021
"II.g4707.t1__Cnig_chr_II.g4956.t1","female","underdominant","II",-2.77532747391944,-4.47986444774152,5.26987932097411
"II.g4714.t1__Cnig_chr_II.g4953.t1","female","underdominant","II",-1.16065805496097,-5.34101354796742,5.46567039256095
"II.g4715.t2__Cnig_chr_II.g4952.t3","female","C. nigoni dominant","II",1.03477903057488,0.171868229698439,1.04895487533886
"II.g4716.t3__Cnig_chr_II.g4951.t1","female","underdominant","II",-0.543617713377047,-1.56044481624559,1.65242495830977
"II.g4717.t2__Cnig_chr_II.g4950.t1","female","ambiguous","II",-2.45229261075327,-1.63048035730643,2.94486081917587
"II.g4719.t1__Cnig_chr_II.g4949.t1","female","underdominant","II",-1.01672177070645,-1.66670893014988,1.95234264842773
"II.g4720.t1__Cnig_chr_II.g4948.t1","female","C. briggsae dominant","II",-1.35300252427776,-5.31304550683448,5.48261510489256
"II.g4721.t2__Cnig_chr_II.g4947.t3","female","C. nigoni dominant","II",-2.144737122852,0.476385063416225,2.197007067532
"II.g4723.t3__Cnig_chr_II.g4941.t2","female","additive","II",1.24174530775371,-0.645832542652527,1.39965391525097
"II.g4724.t2__Cnig_chr_II.g4931.t1","female","C. briggsae dominant","II",-0.540927769339467,3.80833197852605,3.84655629236161
"II.g4725.t1__Cnig_chr_II.g5044.t1","female","no change","II",0.262921857673388,-0.244385407081718,0.358959789442943
"II.g4726.t1__Cnig_chr_II.g5045.t1","female","underdominant","II",-0.607305446074288,-0.674357279548867,0.907511787974151
"II.g4727.t1__Cnig_chr_II.g5046.t1","female","C. briggsae dominant","II",-0.248107500206012,-1.47917088433386,1.49983460312112
"II.g4729.t1__Cnig_chr_II.g5049.t4","female","C. briggsae dominant","II",-0.113267221775805,-1.88624422400016,1.88964195976454
"II.g4730.t1__Cnig_chr_II.g5050.t2","female","overdominant","II",1.22268111728252,1.45148862546583,1.89783253855969
"II.g4736.t2__Cnig_chr_II.g5054.t1","female","overdominant","II",2.24797214510496,0.386591003364934,2.28097158444609
"II.g4738.t1__Cnig_chr_II.g5056.t1","female","overdominant","II",2.16363029138511,0.585305839177259,2.24140111608213
"II.g4739.t1__Cnig_chr_II.g5057.t1","female","overdominant","II",5.98628577084036,2.03070064398012,6.32134182240029
"II.g4740.t1__Cnig_chr_II.g5059.t1","female","overdominant","II",0.494949967211913,0.918577398523236,1.04343658509791
"II.g4741.t1__Cnig_chr_II.g5060.t1","female","C. briggsae dominant","II",0.158366634908468,0.962721986646174,0.975660604218593
"II.g4742.t1__Cnig_chr_II.g5061.t1","female","C. nigoni dominant","II",-6.49081728036909,-1.08469931328039,6.58082681487432
"II.g4744.t2__Cnig_chr_II.g5063.t1","female","ambiguous","II",-1.11982827641949,-0.836639701059012,1.39784883233373
"II.g4745.t2__Cnig_chr_II.g5064.t4","female","C. nigoni dominant","II",1.72229774634613,0.203534315177219,1.73428248694485
"II.g4746.t1__Cnig_chr_II.g5065.t1","female","additive","II",1.85402768925524,-3.67818714487624,4.11903864333147
"II.g4749.t1__Cnig_chr_II.g5068.t1","female","underdominant","II",-5.36952587387858,-4.15063336200668,6.78671978322771
"II.g4750.t1__Cnig_chr_II.g5071.t1","female","C. nigoni dominant","II",-5.44493055133563,0.15571166992723,5.44715658238495
"II.g4752.t1__Cnig_chr_II.g5072.t2","female","overdominant","II",3.12578000682844,6.30519378092917,7.03746895312202
"II.g4753.t1__Cnig_chr_II.g5073.t2","female","overdominant","II",2.53384372816781,5.9277066032265,6.44655486385639
"II.g4755.t1__Cnig_chr_II.g5076.t3","female","C. nigoni dominant","II",-2.90281223372945,-0.206733605698721,2.91016453968063
"II.g4756.t1__Cnig_chr_II.g5078.t1","female","underdominant","II",-3.96148623328428,-4.91492599180874,6.31267539807474
"II.g4757.t1__Cnig_chr_II.g5079.t1","female","underdominant","II",-2.10809707339643,-3.76185744229587,4.31226676899973
"II.g4758.t2__Cnig_chr_II.g5080.t1","female","underdominant","II",-0.865397507270803,-1.06512090794986,1.37236853437495
"II.g4765.t1__Cnig_chr_II.g5085.t1","female","underdominant","II",-1.1846941400793,-1.88577068695367,2.22702296560048
"II.g4766.t1__Cnig_chr_II.g5086.t2","female","no change","II",-0.911821912771293,-0.919189883274232,1.29473133974721
"II.g4767.t1__Cnig_chr_II.g5087.t1","female","underdominant","II",-0.833612583891017,-1.37821134553603,1.6107068178243
"II.g4768.t1__Cnig_chr_II.g5088.t1","female","underdominant","II",-0.900184545483236,-0.254159192682983,0.935376454242957
"II.g4769.t1__Cnig_chr_II.g5089.t1","female","overdominant","II",1.22534489780449,1.47860821235,1.9203521458848
"II.g4770.t2__Cnig_chr_II.g5090.t1","female","overdominant","II",1.64334227422982,1.33748031168096,2.11882689580934
"II.g4771.t1__Cnig_chr_II.g5091.t1","female","overdominant","II",7.48582363571539,4.39073151194853,8.67848366450344
"II.g4772.t1__Cnig_chr_II.g5093.t1","female","ambiguous","II",-0.324257019924005,-0.585791582192248,0.669547901749602
"II.g4773.t1__Cnig_chr_II.g5094.t1","female","overdominant","II",0.786514667020434,0.736784230894156,1.07770883096157
"II.g4775.t1__Cnig_chr_II.g5097.t2","female","overdominant","II",0.965043349244522,0.492166601188525,1.08329895654272
"II.g4776.t1__Cnig_chr_II.g5098.t2","female","additive","II",0.468988313262963,-0.256977108472479,0.534777778386607
"II.g4778.t1__Cnig_chr_II.g5099.t1","female","overdominant","II",1.38133578384284,1.17787480226109,1.81534503539308
"II.g4779.t1__Cnig_chr_II.g5100.t1","female","overdominant","II",0.843287847575209,0.836201939269386,1.1875891870112
"II.g4780.t1__Cnig_chr_II.g5101.t1","female","overdominant","II",1.46384942215046,2.23564373675671,2.67225710747109
"II.g4781.t1__Cnig_chr_II.g5102.t1","female","overdominant","II",0.712541189165847,2.72500131982414,2.81661980737571
"II.g4786.t1__Cnig_chr_II.g5123.t1","female","C. briggsae dominant","II",0.247018093682408,0.797902552782389,0.83526428293274
"II.g4789.t1__Cnig_chr_II.g5122.t1","female","C. nigoni dominant","II",4.39915252287736,0.104097472483522,4.40038398362185
"II.g4793.t1__Cnig_chr_II.g5128.t1","female","underdominant","II",-2.23181467849598,-1.35878111931313,2.61290698061603
"II.g4794.t1__Cnig_chr_II.g5129.t1","female","C. nigoni dominant","II",-2.81383921661526,-1.04609373801608,3.00199987436349
"II.g4795.t3__Cnig_chr_II.g5130.t1","female","underdominant","II",-1.10769868767138,-2.04678743795412,2.3273021288255
"II.g4796.t1__Cnig_chr_II.g5131.t3","female","overdominant","II",2.71850483938673,1.25828572116115,2.99558867634512
"II.g4799.t1__Cnig_chr_II.g5136.t2","female","overdominant","II",0.474159175641536,1.76856560655594,1.83102463897613
"II.g4800.t2__Cnig_chr_II.g5137.t3","female","additive","II",-0.522921029514818,1.59675781190132,1.68020293803359
"II.g4802.t1__Cnig_chr_II.g5140.t1","female","underdominant","II",-0.430045502603198,-0.159549007174441,0.45868836915665
"II.g4803.t1__Cnig_chr_II.g5141.t1","female","overdominant","II",0.639152420740672,0.903769609911628,1.10693962108982
"II.g4804.t1__Cnig_chr_II.g5142.t2","female","C. briggsae dominant","II",-0.233837991682027,-5.4048703442255,5.40992639915204
"II.g4808.t1__Cnig_chr_II.g5148.t3","female","underdominant","II",-2.15189460458718,-3.47854744542526,4.09034750593712
"II.g4809.t1__Cnig_chr_II.g5149.t2","female","C. nigoni dominant","II",-2.96290760111437,0.0917029067769581,2.9643263780921
"II.g4810.t1__Cnig_chr_II.g5150.t1","female","underdominant","II",-3.05516087551837,-3.39096015600822,4.5642763670634
"II.g4811.t1__Cnig_chr_II.g5152.t1","female","underdominant","II",-2.19102184443812,-1.37767051685819,2.58815625027264
"II.g4812.t2__Cnig_chr_II.g5153.t1","female","underdominant","II",-0.951707591436644,-3.43148217079777,3.56101351136178
"II.g4814.t1__Cnig_chr_II.g5158.t1","female","C. briggsae dominant","II",0.319679064623762,-1.29339210827327,1.33231297002705
"II.g4815.t3__Cnig_chr_II.g5157.t1","female","underdominant","II",-1.34656614018936,-3.60062851615202,3.84418601022786
"II.g4816.t1__Cnig_chr_II.g5156.t1","female","C. briggsae dominant","II",0.340883278594217,-4.17765542147526,4.19153983998802
"II.g4817.t1__Cnig_chr_II.g5159.t1","female","overdominant","II",1.58903636199784,1.08254679192433,1.92274390298266
"II.g4818.t1__Cnig_chr_II.g5162.t1","female","additive","II",-0.731301116017235,0.599538814822508,0.945646928175009
"II.g4819.t2__Cnig_chr_II.g5163.t1","female","C. briggsae dominant","II",0.289221657718186,-0.649836321811573,0.711292072526364
"II.g4820.t1__Cnig_chr_II.g5164.t1","female","C. briggsae dominant","II",-1.04422176340074,-2.92363618733048,3.10452051805558
"II.g4822.t1__Cnig_chr_II.g5165.t1","female","underdominant","II",-2.71180877019437,-1.38163773761426,3.04348971480157
"II.g4823.t1__Cnig_chr_II.g5166.t2","female","underdominant","II",-3.33075019964379,-3.16272938475716,4.59312029601159
"II.g4824.t1__Cnig_chr_II.g5167.t2","female","underdominant","II",-1.44687480244903,-2.78965917366981,3.14255389758108
"II.g4826.t1__Cnig_chr_II.g5169.t1","female","underdominant","II",-2.46406434405946,-8.63518792503098,8.97987102314204
"II.g4828.t1__Cnig_chr_II.g5170.t2","female","C. briggsae dominant","II",-1.18441481638168,-7.49769530834404,7.59067015447441
"II.g4831.t2__Cnig_chr_II.g5172.t3","female","C. briggsae dominant","II",0.313449392922862,-2.06625656795339,2.08989634349033
"II.g4833.t1__Cnig_chr_II.g5173.t2","female","additive","II",-0.57931694626565,0.679698158271065,0.893083260725245
"II.g4834.t1__Cnig_chr_II.g5174.t1","female","C. briggsae dominant","II",0.0880702047642428,1.70416054464839,1.70643474030023
"II.g4835.t1__Cnig_chr_II.g5175.t1","female","no change","II",-0.154404315037473,-0.176377332582789,0.234413429545347
"II.g4836.t1__Cnig_chr_II.g5176.t1","female","overdominant","II",4.24224966721131,2.45266215502955,4.90022794221541
"II.g4838.t1__Cnig_chr_II.g5178.t1","female","ambiguous","II",0.414793607673742,0.201172143212161,0.461003219263784
"II.g4839.t1__Cnig_chr_II.g5179.t1","female","overdominant","II",0.496884358600433,1.76774879302746,1.8362543018525
"II.g4840.t1__Cnig_chr_II.g5180.t1","female","overdominant","II",1.53326322320192,3.67710147142635,3.98396427478829
"II.g4842.t1__Cnig_chr_II.g5181.t1","female","C. nigoni dominant","II",-4.9184597075188,0.0759870262834353,4.91904664774073
"II.g4843.t2__Cnig_chr_II.g5182.t1","female","underdominant","II",-2.26826547638348,-1.01611451388164,2.48546111952573
"II.g4848.t1__Cnig_chr_II.g5185.t1","female","underdominant","II",-3.0405791349611,-2.85116080682838,4.16824176630328
"II.g4849.t1__Cnig_chr_II.g5186.t2","female","no change","II",0.344845196077123,0.0133752352643996,0.345104485881954
"II.g4850.t1__Cnig_chr_II.g5187.t1","female","overdominant","II",0.557831705966617,0.875489873717554,1.03810342989685
"II.g4852.t3__Cnig_chr_II.g5190.t2","female","C. nigoni dominant","II",-1.59154004243072,0.190472081800463,1.60289716470078
"II.g4853.t1__Cnig_chr_II.g5191.t1","female","additive","II",7.00463237978084,-2.03349847063745,7.29383238126288
"II.g4854.t2__Cnig_chr_II.g5193.t1","female","C. briggsae dominant","II",0.35554230199476,1.06434830084316,1.12216203554364
"II.g4855.t2__Cnig_chr_II.g5194.t1","female","underdominant","II",-5.57953284035676,-1.79292836101819,5.86052717973075
"II.g4856.t1__Cnig_chr_II.g5195.t1","female","additive","II",-0.593035222404127,5.22383275826873,5.25738713253774
"II.g4858.t1__Cnig_chr_II.g5197.t1","female","C. briggsae dominant","II",0.204778964343709,-2.74731762334293,2.75493893721228
"II.g4859.t3__Cnig_chr_II.g5198.t2","female","underdominant","II",-1.44648039613909,-2.26521369527242,2.68765671574039
"II.g4860.t1__Cnig_chr_II.g5199.t1","female","overdominant","II",0.687023796620453,1.52024985476428,1.66828094697314
"II.g4862.t2__Cnig_chr_II.g5200.t1","female","underdominant","II",-2.6621788217364,-3.11315404236527,4.09620851158691
"II.g4863.t1__Cnig_chr_II.g5201.t1","female","C. nigoni dominant","II",-7.84179367972037,-1.46345287002942,7.97718135797975
"II.g4864.t1__Cnig_chr_II.g5202.t1","female","underdominant","II",-1.66311271847319,-2.84345092744454,3.29410945342327
"II.g4867.t1__Cnig_chr_II.g5204.t4","female","overdominant","II",1.74396867362216,1.65498094537712,2.4042438861598
"II.g4868.t1__Cnig_chr_II.g5203.t2","female","underdominant","II",-0.844891920118777,-1.38512796889596,1.62247398959116
"II.g4870.t1__Cnig_chr_II.g5205.t5","female","overdominant","II",1.47415768488545,1.04884899050025,1.80920565021786
"II.g4871.t1__Cnig_chr_II.g5206.t1","female","underdominant","II",-0.754868345155966,-3.35537108127332,3.43923557081567
"II.g4873.t1__Cnig_chr_II.g5210.t1","female","additive","II",-0.839801691124247,2.1796073136756,2.33579856200044
"II.g4875.t1__Cnig_chr_II.g5213.t1","female","underdominant","II",-2.01847098804936,-1.42918185654814,2.47321368035261
"II.g4876.t1__Cnig_chr_II.g5214.t1","female","underdominant","II",-0.706298500332698,-1.68719876619327,1.82907005011189
"II.g4878.t1__Cnig_chr_II.g5215.t1","female","underdominant","II",-1.17366041086396,-2.13882599716957,2.43968346434487
"II.g4879.t1__Cnig_chr_II.g5216.t1","female","C. briggsae dominant","II",0.247005361110902,-0.362112283422687,0.438334295057002
"II.g4880.t1__Cnig_chr_II.g5217.t2","female","overdominant","II",1.05247239785651,1.89268253614112,2.1656281608031
"II.g4881.t1__Cnig_chr_II.g5218.t1","female","additive","II",1.5863051664313,-0.257150659819003,1.60701292555224
"II.g4882.t2__Cnig_chr_II.g5219.t2","female","overdominant","II",1.02326534658275,0.865884581599117,1.34045815979768
"II.g4883.t1__Cnig_chr_II.g5220.t1","female","C. briggsae dominant","II",-0.126196367480542,1.14633266713951,1.15325804003981
"II.g4884.t1__Cnig_chr_II.g5221.t1","female","C. briggsae dominant","II",-0.0785013009696717,-0.857619504475253,0.861204777454416
"II.g4885.t1__Cnig_chr_II.g5223.t1","female","underdominant","II",-1.51469408992468,-1.4610889171199,2.10453771878372
"II.g4886.t2__Cnig_chr_II.g5224.t1","female","overdominant","II",0.457121767821945,0.869246128723861,0.98211462819677
"II.g4887.t1__Cnig_chr_II.g5225.t2","female","underdominant","II",-2.15831842461987,-2.1898524552025,3.07470196890854
"II.g4889.t1__Cnig_chr_II.g5226.t1","female","underdominant","II",-6.93667019622557,-2.45070214983048,7.35685628773512
"II.g4890.t2__Cnig_chr_II.g5227.t2","female","underdominant","II",-0.962770239058129,-1.29779234302768,1.61591815969662
"II.g4891.t1__Cnig_chr_II.g5228.t2","female","underdominant","II",-1.24631396300567,-1.26830279347229,1.77817054027798
"II.g4892.t1__Cnig_chr_II.g5230.t1","female","overdominant","II",1.05815065097447,0.90007349040705,1.38917784617062
"II.g4893.t3__Cnig_chr_II.g5231.t1","female","underdominant","II",-0.686875277458195,-1.14437349605274,1.33468660937736
"II.g4894.t1__Cnig_chr_II.g5232.t1","female","overdominant","II",2.5222625850865,1.06251030745203,2.7369210258188
"II.g4896.t1__Cnig_chr_II.g5233.t3","female","overdominant","II",2.25233938090664,1.71743986173812,2.8324251738519
"II.g4897.t1__Cnig_chr_II.g5234.t1","female","C. briggsae dominant","II",0.165264780523618,1.55877983828423,1.56751619829682
"II.g4898.t1__Cnig_chr_II.g5236.t1","female","C. briggsae dominant","II",0.0636174778545754,3.86161808028235,3.8621420716297
"II.g4899.t1__Cnig_chr_II.g5237.t1","female","ambiguous","II",-0.225326553265546,-0.268103425693339,0.350216365230174
"II.g4900.t1__Cnig_chr_II.g5238.t1","female","ambiguous","II",0.142721652009058,0.268130974282765,0.303749385714637
"II.g4901.t1__Cnig_chr_II.g5240.t1","female","underdominant","II",-2.2042080565281,-7.38958175298064,7.71131970809458
"II.g4902.t1__Cnig_chr_II.g5241.t1","female","underdominant","II",-2.5650494443527,-3.06345038484128,3.99552335900547
"II.g4904.t2__Cnig_chr_II.g5242.t1","female","C. briggsae dominant","II",-0.417868416073498,-2.44797871102926,2.4833875619412
"II.g4905.t1__Cnig_chr_II.g5243.t1","female","overdominant","II",0.474115606771705,1.82147207908578,1.88216528059402
"II.g4906.t3__Cnig_chr_II.g5244.t1","female","overdominant","II",1.72105098139954,0.960705039085611,1.97103288980697
"II.g4907.t1__Cnig_chr_II.g5245.t3","female","additive","II",-0.433077552746771,0.39278841498301,0.584669911692057
"II.g4908.t1__Cnig_chr_II.g5246.t3","female","overdominant","II",1.19527081500802,1.21708718473284,1.70586445430194
"II.g4909.t1__Cnig_chr_II.g5247.t2","female","underdominant","II",-2.42752696181018,-1.44348809355593,2.82427778848914
"II.g4910.t1__Cnig_chr_II.g5248.t3","female","C. briggsae dominant","II",-0.125332637139053,5.03468054023023,5.03624030523814
"II.g4911.t2__Cnig_chr_II.g5249.t1","female","overdominant","II",1.81933670412911,1.1477734912448,2.1511322670156
"II.g4912.t1__Cnig_chr_II.g5250.t1","female","ambiguous","II",0.276983370846188,0.400062209575885,0.486589723746871
"II.g4913.t1__Cnig_chr_II.g5251.t1","female","overdominant","II",0.764260161805094,1.44894082427866,1.63814624108584
"II.g4914.t1__Cnig_chr_II.g5252.t1","female","overdominant","II",0.420758091576265,1.09726831529539,1.17517450932961
"II.g4918.t1__Cnig_chr_II.g5253.t1","female","C. briggsae dominant","II",0.362888505410451,0.710127001368354,0.797476285184357
"II.g4919.t1__Cnig_chr_II.g5254.t1","female","additive","II",0.614054107432876,-0.301190044798453,0.683942899620195
"II.g4920.t1__Cnig_chr_II.g5255.t1","female","overdominant","II",0.481967427513748,1.3871102473876,1.4684575035022
"II.g4921.t1__Cnig_chr_II.g5265.t1","female","no change","II",0.378455133663719,-0.0247071364939721,0.379260768851927
"II.g4922.t1__Cnig_chr_II.g5264.t1","female","ambiguous","II",2.04241448989105,0.298705727019825,2.06414196698564
"II.g4923.t1__Cnig_chr_II.g5263.t1","female","ambiguous","II",-0.245157193835669,0.0360810061168245,0.247798080484459
"II.g4924.t1__Cnig_chr_II.g5262.t1","female","C. nigoni dominant","II",-0.380427578494073,0.0400324828493834,0.382528093297669
"II.g4925.t2__Cnig_chr_II.g5261.t2","female","additive","II",0.393466429821848,-0.303460516806396,0.496894472355203
"II.g4926.t3__Cnig_chr_II.g5260.t2","female","overdominant","II",3.27051534183107,4.05576322114138,5.21013300282397
"II.g4927.t1__Cnig_chr_II.g5259.t1","female","overdominant","II",15.0917239849098,3.60024221018908,15.5152143655423
"II.g4928.t1__Cnig_chr_II.g5256.t1","female","underdominant","II",-1.80041003593927,-0.788262926857175,1.96540956021087
"II.g4929.t1__Cnig_chr_II.g5266.t1","female","overdominant","II",0.974093535264567,0.630893438528331,1.16055363780496
"II.g4930.t1__Cnig_chr_II.g5267.t1","female","C. briggsae dominant","II",0.140155211689487,-0.57819620535012,0.594940614889421
"II.g4931.t1__Cnig_chr_II.g5268.t1","female","overdominant","II",1.21826657680202,1.1266382346485,1.65936348155694
"II.g4932.t1__Cnig_chr_II.g5269.t1","female","underdominant","II",-0.677430578712692,-0.674941273561387,0.956272927427981
"II.g4933.t1__Cnig_chr_II.g5270.t2","female","ambiguous","II",-0.644017902232912,-0.408196870139012,0.762485241291768
"II.g4934.t1__Cnig_chr_II.g5271.t1","female","ambiguous","II",0.282138840901363,0.311683099037389,0.420414890044009
"II.g4935.t1__Cnig_chr_II.g5272.t1","female","ambiguous","II",0.376749506508733,0.652983680580774,0.753875240181947
"II.g4936.t1__Cnig_chr_II.g5273.t1","female","C. briggsae dominant","II",1.54793116210326,-3.49610441541027,3.82345877002244
"II.g4937.t1__Cnig_chr_II.g5274.t1","female","underdominant","II",-2.30376377651417,-5.0940980552717,5.5908105436244
"II.g4938.t1__Cnig_chr_II.g5275.t2","female","overdominant","II",1.29702702253093,2.15540054124323,2.51555770960777
"II.g4939.t4__Cnig_chr_II.g5276.t1","female","overdominant","II",1.53843758352044,2.29304202263632,2.76130981890194
"II.g4940.t1__Cnig_chr_II.g5277.t1","female","overdominant","II",1.40833022029252,1.95530923940947,2.40969463441101
"II.g4941.t2__Cnig_chr_II.g5279.t3","female","overdominant","II",0.819132579859567,1.42839133664467,1.64659648790738
"II.g4943.t1__Cnig_chr_II.g5280.t3","female","C. briggsae dominant","II",-0.173865324036406,-1.21960947946428,1.23194010946207
"II.g4944.t2__Cnig_chr_II.g5285.t1","female","underdominant","II",-1.87513748957285,-1.71838324335868,2.54341926859444
"II.g4945.t4__Cnig_chr_II.g5287.t3","female","overdominant","II",2.37731079500355,4.75713088548452,5.31807304177662
"II.g4947.t2__Cnig_chr_II.g5288.t1","female","underdominant","II",-1.33640895742273,-1.90671149154773,2.32841955271809
"II.g4948.t1__Cnig_chr_II.g5289.t1","female","no change","II",-1.13615661261461,-1.01885877184038,1.52608159852086
"II.g4949.t1__Cnig_chr_II.g5290.t1","female","underdominant","II",-1.93059180288077,-3.78888423296703,4.25239090867439
"II.g4950.t2__Cnig_chr_II.g5291.t1","female","underdominant","II",-2.1176689714566,-3.35789302217317,3.96988254499165
"II.g4951.t2__Cnig_chr_II.g5292.t1","female","overdominant","II",0.797416095117803,0.598750320423401,0.997183220356244
"II.g4952.t1__Cnig_chr_II.g5293.t1","female","underdominant","II",-0.816485695106606,-0.72367115411413,1.09103108553817
"II.g4954.t1__Cnig_chr_II.g5295.t1","female","no change","II",0.689015152255085,0.0035805481318312,0.689024455561646
"II.g4956.t2__Cnig_chr_II.g5297.t3","female","ambiguous","II",-1.10613930365719,-0.512494762198148,1.21909599309314
"II.g4958.t1__Cnig_chr_II.g5299.t1","female","ambiguous","II",0.0384673410960097,-0.369854877337989,0.371849924864448
