I.g1000,WBGene00040698,Cbr-imb-3
III.g7485,WBGene00087498,CBG26084
III.g7491,WBGene00035514,Cbr-rimb-1
III.g7492,WBGene00035513,CBG15190
III.g7493,WBGene00035511,Cbr-smi-1
III.g7495,WBGene00035508,Cbr-ddp-1
III.g7496,WBGene00087500,Cbr-pqn-82
III.g7497,WBGene00035507,CBG15183
III.g7498,WBGene00035506,CBG15182
III.g7500,WBGene00035504,Cbr-zip-2
III.g7501,WBGene00035503,Cbr-ceeh-1
III.g7503,WBGene00035501,Cbr-zer-1
III.g7504,WBGene00035500,Cbr-ztf-18
III.g7505,WBGene00035499,Cbr-sucl-2
III.g7506,WBGene00035498,CBG15174
III.g7509,WBGene00035495,CBG15171
III.g7510,WBGene00035494,Cbr-bra-2
III.g7511,WBGene00035493,CBG15169
III.g7513,WBGene00035490,Cbr-pef-1
III.g7517,WBGene00035488,CBG15161
III.g7519,WBGene00035486,CBG15159
III.g7520,WBGene00035485,CBG15158
III.g7521,WBGene00035484,Cbr-exc-6
III.g7522,WBGene00035483,CBG15156
III.g7524,WBGene00087504,CBG26090
III.g7525,WBGene00035481,Cbr-rab-18
III.g7526,WBGene00035480,Cbr-uaf-1
III.g7527,WBGene00035479,CBG15151
III.g7528,WBGene00035478,CBG15150
III.g7529,WBGene00035477,CBG15149
III.g7530,WBGene00035476,Cbr-orc-3
III.g7531,WBGene00035475,CBG15147
III.g7532,WBGene00035474,Cbr-mrpl-45
III.g7533,WBGene00035473,Cbr-dss-1
III.g7534,WBGene00035472,CBG15144
III.g7535,WBGene00035471,CBG15143
III.g7536,WBGene00035470,CBG15142
III.g7537,WBGene00035469,Cbr-chin-1
III.g7538,WBGene00035468,Cbr-tbc-10
III.g7541,WBGene00035465,Cbr-pvf-1
III.g7542,WBGene00035464,CBG15136
III.g7543,WBGene00035463,CBG15135
III.g7545,WBGene00035461,Cbr-hlh-33
III.g7549,WBGene00035455,CBG15127
III.g7551,WBGene00035454,CBG15126
III.g7552,WBGene00035453,Cbr-lgc-42
III.g7554,WBGene00035451,Cbr-ckr-2
III.g7555,WBGene00035450,Cbr-dpy-1
III.g7558,WBGene00035446,CBG15114
III.g7559,WBGene00035445,Cbr-ser-4
III.g7560,WBGene00087508,CBG26094
III.g7561,WBGene00087509,CBG26095
III.g7562,WBGene00035444,Cbr-ppk-2
III.g7563,WBGene00035443,CBG15108
III.g7568,WBGene00035809,Cbr-gcn-1
III.g7569,WBGene00035810,CBG15648
III.g7570,WBGene00035811,Cbr-frl-1
III.g7571,WBGene00271050,CBG30182
III.g7575,WBGene00035814,CBG15655
III.g7576,WBGene00035815,Cbr-cic-1
III.g7577,WBGene00035816,Cbr-strm-1
III.g7578,WBGene00035817,Cbr-mrpl-30
III.g7579,WBGene00035818,CBG15660
III.g7580,WBGene00035819,CBG15661
III.g7581,WBGene00035820,Cbr-phf-5
III.g7582,WBGene00035821,Cbr-ppm-1.D
III.g7583,WBGene00035822,CBG15664
III.g7585,WBGene00035824,Cbr-iffb-1
III.g7587,WBGene00035826,Cbr-smg-6
III.g7589,WBGene00035827,CBG15669
III.g7590,WBGene00087218,CBG25804
III.g7591,WBGene00035828,CBG15672
III.g7592,WBGene00035829,CBG15673
III.g7594,WBGene00087219,CBG25805
III.g7598,WBGene00035833,CBG15681
III.g7600,WBGene00035835,CBG15683
III.g7601,WBGene00035836,CBG15684
III.g7603,WBGene00035837,Cbr-ral-1
III.g7604,WBGene00035838,CBG15687
III.g7605,WBGene00035839,Cbr-phf-15
III.g7606,WBGene00035840,CBG15689
III.g7609,WBGene00087222,CBG25808
III.g7610,WBGene00035842,CBG15693
III.g7612,WBGene00035844,CBG15695
III.g7613,WBGene00271051,CBG30183
III.g7616,WBGene00035845,CBG15697
III.g7617,WBGene00035846,CBG15698
III.g7621,WBGene00035851,Cbr-pll-1
III.g7623,WBGene00035852,Cbr-gei-4
III.g7626,WBGene00035856,Cbr-hpo-29
III.g7627,WBGene00035857,CBG15711
III.g7628,WBGene00035859,Cbr-xpd-1
III.g7629,WBGene00035860,Cbr-taco-1
III.g7634,WBGene00035864,CBG15718
III.g7635,WBGene00035865,Cbr-hpo-38
III.g7636,WBGene00035866,Cbr-klp-20
III.g7637,WBGene00035867,CBG15722
III.g7638,WBGene00270510,CBG30272
III.g7639,WBGene00035868,Cbr-sec-20
III.g7640,WBGene00035871,Cbr-ubc-20
III.g7641,WBGene00035872,Cbr-mxl-2
III.g7642,WBGene00035873,CBG15728
III.g7643,WBGene00035874,Cbr-npr-30
III.g7644,WBGene00035875,Cbr-nhr-80
III.g7645,WBGene00035876,CBG15731
III.g7646,WBGene00271052,CBG30184
III.g7647,WBGene00050887,Cbr-daf-2
III.g7648,WBGene00035878,Cbr-cdh-1
III.g7651,WBGene00035882,CBG15737
III.g7652,WBGene00035883,CBG15738
III.g7655,WBGene00035885,Cbr-gab-1
III.g7656,WBGene00035886,Cbr-agmo-1
III.g7657,WBGene00035887,CBG15742
III.g7658,WBGene00035888,CBG15743
III.g7659,WBGene00035889,CBG15744
III.g7660,WBGene00035890,CBG15745
III.g7661,WBGene00035891,Cbr-arx-5
III.g7662,WBGene00035892,CBG15747
III.g7663,WBGene00035893,CBG15748
III.g7664,WBGene00035895,CBG15750
III.g7666,WBGene00035896,CBG15751
III.g7668,WBGene00035898,Cbr-epg-3
III.g7672,WBGene00035901,Cbr-mrps-10
III.g7673,WBGene00035902,Cbr-npp-25
III.g7674,WBGene00035903,CBG15761
III.g7678,WBGene00035906,Cbr-flp-14
III.g7679,WBGene00035907,Cbr-cox-5A
III.g7680,WBGene00035908,Cbr-unc-71
III.g7681,WBGene00035909,Cbr-spcs-2
III.g7682,WBGene00035910,Cbr-mrg-1
III.g7683,WBGene00035911,Cbr-ttm-1
III.g7684,WBGene00035912,Cbr-bckd-1A
III.g7685,WBGene00035913,CBG15771
III.g7686,WBGene00035914,CBG15772
III.g7688,WBGene00035916,Cbr-frg-1
III.g7689,WBGene00035917,CBG15775
III.g7691,WBGene00035920,CBG15778
III.g7692,WBGene00035921,CBG15779
III.g7694,WBGene00035924,Cbr-col-98
III.g7695,WBGene00035925,Cbr-col-97
III.g7696,WBGene00035926,CBG15784
III.g7697,WBGene00035927,CBG15785
III.g7698,WBGene00087227,CBG25813
III.g7705,WBGene00023845,Cbr-pat-4
III.g7706,WBGene00023846,Cbr-spt-4
III.g7708,WBGene00023848,Cbr-mrpl-40
III.g7711,WBGene00087229,CBG25815
III.g7712,WBGene00023851,Cbr-cutl-25
III.g7713,WBGene00023852,CBG00470
III.g7714,WBGene00023853,CBG00471
III.g7718,WBGene00023855,CBG00474
III.g7719,WBGene00023856,CBG00476
III.g7725,WBGene00023860,Cbr-ckb-2.1
III.g7727,WBGene00023862,CBG00482
III.g7729,WBGene00023865,Cbr-josd-1
III.g7730,WBGene00023866,CBG00487
III.g7731,WBGene00023868,CBG00489
III.g7732,WBGene00023867,CBG00488
III.g7733,WBGene00023869,CBG00490
III.g7737,WBGene00023874,Cbr-mrp-8
III.g7739,WBGene00023874,Cbr-mrp-8
III.g7740,WBGene00023876,Cbr-ssl-1
III.g7741,WBGene00023876,Cbr-ssl-1
III.g7742,WBGene00023878,CBG00499
III.g7743,WBGene00023879,Cbr-ceh-88.1
III.g7744,WBGene00023880,Cbr-hut-1
III.g7747,WBGene00032856,Cbr-pqn-92
III.g7758,WBGene00032850,Cbr-pph-4.1
III.g7759,WBGene00032849,CBG11775
III.g7760,WBGene00032848,Cbr-glrx-5
III.g7762,WBGene00032846,CBG11772
III.g7763,WBGene00032845,Cbr-rpt-6
III.g7764,WBGene00032844,Cbr-his-72
III.g7765,WBGene00032843,CBG11769
III.g7766,WBGene00032842,CBG11768
III.g7767,WBGene00032841,Cbr-wht-5
III.g7768,WBGene00032840,Cbr-pqn-10
III.g7774,WBGene00032833,Cbr-cccp-1
III.g7776,WBGene00032830,Cbr-pie-1
III.g7778,WBGene00032827,CBG11752
III.g7779,WBGene00032826,CBG11751
III.g7780,WBGene00032825,CBG11750
III.g7782,WBGene00032823,Cbr-pqn-41.1
III.g7783,WBGene00032821,CBG11744
III.g7784,WBGene00032820,Cbr-polh-1
III.g7785,WBGene00032819,Cbr-rps-22
III.g7786,WBGene00032818,CBG11741
III.g7788,WBGene00032814,Cbr-glb-30
III.g7789,WBGene00032812,CBG11735
III.g7791,WBGene00032808,CBG11730
III.g7794,WBGene00032805,Cbr-smr-1
III.g7796,WBGene00032802,CBG11723
III.g7797,WBGene00032801,CBG11722
III.g7799,WBGene00032800,CBG11721
III.g7800,WBGene00032799,Cbr-snf-6
III.g7801,WBGene00032798,CBG11719
III.g7803,WBGene00032796,CBG11716
III.g7804,WBGene00032795,Cbr-cisd-3.2
III.g7809,WBGene00032791,CBG11708
III.g7810,WBGene00032790,Cbr-elc-1
III.g7811,WBGene00032789,CBG11706
III.g7817,WBGene00032786,CBG11702
III.g7820,WBGene00032781,CBG11697
III.g7821,WBGene00032780,Cbr-sms-3
III.g7822,WBGene00032780,Cbr-sms-3
III.g7824,WBGene00032778,CBG11693
III.g7825,WBGene00032777,Cbr-scav-3
III.g7826,WBGene00032776,Cbr-ani-1
III.g7833,WBGene00032771,CBG11685
III.g7835,WBGene00032769,CBG11683
III.g7836,WBGene00087236,CBG25822
III.g7838,WBGene00032768,Cbr-aakg-1
III.g7839,WBGene00032768,Cbr-aakg-1
III.g7840,WBGene00039186,Cbr-sql-1
III.g7841,WBGene00039187,CBG20119
III.g7842,WBGene00039188,CBG20120
III.g7846,WBGene00087237,CBG25823
III.g7847,WBGene00039190,Cbr-epc-1
III.g7848,WBGene00039191,CBG20127
III.g7849,WBGene00039192,Cbr-gtf-2A2
III.g7851,WBGene00039193,Cbr-pqn-80
III.g7852,WBGene00039195,CBG20133
III.g7854,WBGene00039196,CBG20134
III.g7855,WBGene00087238,CBG25824
III.g7861,.
III.g7864,WBGene00039199,Cbr-cyp-25A2
III.g7865,WBGene00039200,CBG20141
III.g7866,WBGene00039201,Cbr-amx-1
III.g7867,WBGene00039202,Cbr-dpy-27
III.g7868,WBGene00041018,CBG22465
III.g7870,WBGene00041020,CBG22467
III.g7872,WBGene00041022,CBG22469
III.g7877,WBGene00087240,Cbr-lmtr-5
III.g7878,WBGene00041026,CBG22474
III.g7879,WBGene00270545,CBG30307
III.g7880,WBGene00041027,CBG22475
III.g7884,WBGene00087241,CBG25827
III.g7885,WBGene00041031,Cbr-klf-1
III.g7886,WBGene00087242,CBG25828
III.g7896,WBGene00041037,Cbr-mks-1
III.g7898,WBGene00270532,CBG30294
III.g7899,WBGene00039327,Cbr-mec-12
III.g7900,WBGene00039326,CBG20309
III.g7901,WBGene00039325,Cbr-nipa-1
III.g7902,WBGene00039322,Cbr-frm-8
III.g7904,WBGene00039320,CBG20303
III.g7905,WBGene00087551,CBG26137
III.g7906,WBGene00039319,Cbr-nduf-9
III.g7908,WBGene00039318,CBG20299
III.g7912,WBGene00042335,CBG24159
III.g7914,WBGene00042337,Cbr-pqn-83
III.g7915,WBGene00042338,CBG24164
III.g7916,WBGene00088104,CBG26690
III.g7919,WBGene00039954,CBG21086
III.g7930,WBGene00039962,CBG21098
III.g7931,WBGene00039963,CBG21099
III.g7932,WBGene00039964,Cbr-abcf-3
III.g7933,WBGene00039965,CBG21101
III.g7937,WBGene00039969,Cbr-nfm-1
III.g7938,WBGene00039970,Cbr-nmt-1
III.g7939,WBGene00039971,Cbr-kin-18
III.g7941,WBGene00039972,Cbr-mvk-1
III.g7944,WBGene00039974,Cbr-wht-7
III.g7947,WBGene00039974,Cbr-wht-7
III.g7950,WBGene00039980,CBG21120
III.g7951,WBGene00039981,Cbr-nas-28
III.g7955,WBGene00303212,CBG31275
III.g7968,WBGene00039994,CBG21140
III.g7972,WBGene00039997,Cbr-wht-1
III.g7974,WBGene00042132,Cbr-hot-4
III.g7975,WBGene00037103,Cbr-esyt-2
III.g7982,WBGene00037098,CBG17489
III.g7987,WBGene00037094,Cbr-stt-3
III.g7988,WBGene00037082,CBG17472
III.g7995,WBGene00037082,CBG17472
III.g7996,WBGene00037080,CBG17470
III.g7997,WBGene00037079,Cbr-hmg-1.2
III.g7998,WBGene00037078,CBG17467
III.g8005,WBGene00037072,CBG17460
III.g8006,WBGene00037071,CBG17459
III.g8007,WBGene00037070,CBG17458
III.g8018,WBGene00038872,CBG19698
III.g8019,WBGene00038871,CBG19696
III.g8020,WBGene00038870,Cbr-let-767
III.g8023,WBGene00038867,CBG19692
III.g8024,WBGene00038866,CBG19691
III.g8025,WBGene00038865,CBG19690
III.g8028,WBGene00087916,CBG26502
III.g8030,WBGene00038860,Cbr-wht-6
III.g8031,WBGene00038859,CBG19684
III.g8032,WBGene00038858,Cbr-nduf-2.2
III.g8033,WBGene00038857,Cbr-dlc-1
III.g8034,WBGene00038856,CBG19681
III.g8036,WBGene00038854,Cbr-jhdm-1
III.g8037,WBGene00038853,Cbr-set-1
III.g8038,WBGene00038852,CBG19677
III.g8039,WBGene00038851,Cbr-let-721
III.g8041,WBGene00038849,CBG19674
III.g8042,WBGene00038848,Cbr-mel-32
III.g8045,WBGene00038845,Cbr-txdc-9
III.g8046,WBGene00038844,Cbr-mrps-17
III.g8049,WBGene00038841,Cbr-atgl-1
III.g8051,WBGene00038840,Cbr-nas-4
III.g8052,WBGene00038839,CBG19664
III.g8053,WBGene00038838,Cbr-let-756
III.g8056,WBGene00030776,CBG09116
III.g8057,WBGene00030775,Cbr-oatr-1
III.g8058,WBGene00030774,Cbr-smrc-1
III.g8059,WBGene00030773,CBG09113
III.g8060,WBGene00030772,Cbr-let-716
III.g8061,WBGene00030771,CBG09111
III.g8062,WBGene00030770,CBG09110
III.g8063,WBGene00030770,CBG09110
III.g8064,WBGene00030769,Cbr-akap-1
III.g8065,WBGene00030769,Cbr-akap-1
III.g8068,WBGene00030766,Cbr-thoc-2
III.g8069,WBGene00087250,CBG25836
III.g8071,WBGene00030763,Cbr-rpt-3
III.g8072,WBGene00030762,CBG09100
III.g8073,WBGene00030761,CBG09099
III.g8077,WBGene00030755,CBG09093
III.g8079,WBGene00030753,Cbr-sma-4
III.g8080,WBGene00030752,CBG09088
III.g8081,WBGene00270506,CBG30268
III.g8082,WBGene00030751,Cbr-him-10
III.g8089,WBGene00030742,CBG09078
III.g8092,WBGene00087253,CBG25839
III.g8093,WBGene00030740,Cbr-ddx-23
III.g8094,WBGene00030739,Cbr-cct-6
III.g8096,WBGene00030737,Cbr-alh-9
III.g8097,WBGene00030736,Cbr-dpf-4
III.g8098,WBGene00030735,Cbr-dnpp-1
III.g8099,WBGene00030734,Cbr-rabn-5
III.g8100,WBGene00030733,Cbr-eng-1
III.g8102,WBGene00030730,CBG09063
III.g8103,WBGene00030729,CBG09062
III.g8104,WBGene00030728,CBG09061
III.g8106,WBGene00030726,Cbr-mig-21
III.g8109,WBGene00030724,Cbr-hpo-10
III.g8111,WBGene00030722,CBG09055
III.g8117,WBGene00030720,Cbr-zmp-1
III.g8119,WBGene00030715,Cbr-dnc-2
III.g8121,WBGene00030713,Cbr-tdo-2
III.g8123,WBGene00030711,Cbr-erd-2.2
III.g8124,WBGene00030710,Cbr-dpff-1
III.g8126,WBGene00030707,CBG09040
III.g8127,WBGene00030706,CBG09039
III.g8128,WBGene00030705,CBG09038
III.g8130,WBGene00030703,CBG09036
III.g8131,WBGene00270496,CBG30258
III.g8133,WBGene00030702,CBG09035
III.g8134,WBGene00030701,Cbr-nono-1
III.g8136,WBGene00030699,Cbr-dct-6
III.g8138,WBGene00030697,Cbr-frm-2
III.g8140,WBGene00030696,CBG09025
III.g8141,WBGene00030696,CBG09025
III.g8143,WBGene00030694,Cbr-eftu-2
III.g8145,WBGene00030692,Cbr-cyk-3
III.g8148,WBGene00030689,Cbr-tbx-7
III.g8149,WBGene00030688,CBG09017
III.g8150,WBGene00030687,Cbr-ift-139
III.g8154,WBGene00030684,CBG09010
III.g8155,WBGene00030684,CBG09010
III.g8156,WBGene00030682,CBG09008
III.g8160,WBGene00030680,Cbr-arf-1.2
III.g8161,WBGene00030679,Cbr-rbm-26
III.g8162,WBGene00030678,Cbr-hpo-28
III.g8163,WBGene00030677,Cbr-rpl-23
III.g8164,WBGene00030676,Cbr-swp-1
III.g8165,WBGene00030675,Cbr-rgs-5
III.g8167,WBGene00030672,CBG08996
III.g8168,WBGene00030671,Cbr-arle-14
III.g8169,WBGene00030670,Cbr-abi-1
III.g8170,WBGene00030669,Cbr-rcan-1
III.g8173,WBGene00030666,Cbr-ska-3
III.g8174,WBGene00030665,CBG08989
III.g8176,WBGene00030663,CBG08986
III.g8177,WBGene00030662,Cbr-sdz-21.1
III.g8180,WBGene00030660,Cbr-molo-1
III.g8183,WBGene00030658,Cbr-nspb-12
III.g8184,WBGene00030657,CBG08979
III.g8185,WBGene00030656,CBG08978
III.g8187,WBGene00030654,Cbr-ucr-1
III.g8188,WBGene00030653,Cbr-ced-6
III.g8190,WBGene00030650,Cbr-xnd-1
III.g8191,WBGene00030649,CBG08970
III.g8194,WBGene00030647,Cbr-bas-1
III.g8196,WBGene00030646,CBG08965
III.g8197,WBGene00030645,Cbr-daf-4
III.g8200,WBGene00030642,CBG08958
III.g8205,WBGene00027726,Cbr-osg-1.1
III.g8208,WBGene00027723,Cbr-nekl-4
III.g8209,WBGene00270541,CBG30303
III.g8210,WBGene00027722,CBG05210
III.g8211,WBGene00027721,CBG05209
III.g8212,WBGene00027720,CBG05208
III.g8213,WBGene00027718,Cbr-osg-1.2
III.g8218,WBGene00027716,CBG05203
III.g8219,WBGene00027715,CBG05202
III.g8222,WBGene00271066,CBG30198
III.g8223,WBGene00027712,CBG05199
III.g8224,WBGene00027710,CBG05197
III.g8226,WBGene00027709,CBG05196
III.g8228,WBGene00027708,Cbr-lon-1
III.g8229,WBGene00027707,CBG05193
III.g8230,WBGene00027706,CBG05192
III.g8232,WBGene00027703,CBG05189
III.g8233,WBGene00027702,Cbr-skpt-1
III.g8243,WBGene00027695,Cbr-disl-2
III.g8244,WBGene00027694,CBG05179
III.g8245,WBGene00027692,CBG05177
III.g8246,WBGene00027691,Cbr-dnj-24
III.g8248,WBGene00027689,Cbr-grl-22
III.g8249,WBGene00027687,CBG05171
III.g8250,WBGene00270508,CBG30270
III.g8253,WBGene00027683,Cbr-paqr-2
III.g8254,WBGene00027682,Cbr-szy-2
III.g8255,WBGene00027681,Cbr-dhs-9
III.g8256,WBGene00027680,CBG05163
III.g8257,WBGene00042726,CBG24671
III.g8258,WBGene00042727,CBG24672
III.g8259,WBGene00042728,Cbr-mog-3
III.g8260,WBGene00042730,Cbr-pqe-1
III.g8263,WBGene00042732,CBG24677
III.g8264,WBGene00042733,CBG24678
III.g8265,WBGene00042734,Cbr-thoc-5
III.g8266,WBGene00042735,Cbr-glrx-21
III.g8270,WBGene00042737,CBG24683
III.g8271,WBGene00042738,CBG24684
III.g8272,WBGene00042056,CBG23794
III.g8273,WBGene00042057,Cbr-div-1
III.g8275,WBGene00042059,CBG23797
III.g8276,WBGene00042060,Cbr-rip-1
III.g8277,WBGene00042061,Cbr-bbs-5
III.g8278,WBGene00042062,CBG23800
III.g8280,WBGene00042688,Cbr-cnk-1
III.g8281,WBGene00042687,Cbr-pad-2
III.g8283,WBGene00042686,CBG24616
III.g8284,WBGene00042685,Cbr-knl-1
III.g8285,WBGene00042684,Cbr-vglu-2
III.g8287,WBGene00042682,Cbr-unc-50
III.g8288,WBGene00042680,Cbr-sas-7
III.g8290,WBGene00042680,Cbr-sas-7
III.g8293,WBGene00042677,Cbr-mev-1
III.g8294,WBGene00042676,Cbr-ced-9
III.g8295,WBGene00042675,Cbr-ttr-15
III.g8297,WBGene00042673,Cbr-tbx-8
III.g8304,WBGene00037833,CBG18398
III.g8305,WBGene00037832,CBG18397
III.g8306,WBGene00037831,CBG18395
III.g8307,WBGene00037830,Cbr-chl-1
III.g8308,WBGene00037829,Cbr-hat-1
III.g8309,WBGene00037828,CBG18392
III.g8311,WBGene00037826,CBG18390
III.g8312,WBGene00037825,Cbr-prp-3
III.g8314,WBGene00037822,CBG18386
III.g8316,WBGene00037820,CBG18384
III.g8317,WBGene00037819,CBG18383
III.g8318,WBGene00037818,Cbr-cul-1
III.g8322,WBGene00037813,Cbr-atx-2
III.g8323,WBGene00303260,CBG31321
III.g8325,WBGene00037811,CBG18375
III.g8326,WBGene00037810,Cbr-rab-33
III.g8327,WBGene00037809,Cbr-taf-11.3
III.g8328,WBGene00087417,Cbr-urm-1
III.g8329,WBGene00037808,Cbr-sip-1
III.g8330,WBGene00037807,Cbr-sly-1
III.g8333,WBGene00037805,Cbr-unc-49
III.g8334,WBGene00037804,Cbr-nlp-68
III.g8335,WBGene00037803,Cbr-hpd-1
III.g8336,WBGene00037802,CBG18360
III.g8337,WBGene00087416,CBG26002
III.g8338,WBGene00037801,CBG18358
III.g8339,WBGene00037800,Cbr-rab-30
III.g8340,WBGene00037799,Cbr-acdh-11
III.g8341,WBGene00037797,CBG18354
III.g8342,WBGene00270531,CBG30293
III.g8343,WBGene00037796,CBG18353
III.g8344,WBGene00037795,Cbr-epg-6
III.g8345,WBGene00037794,Cbr-rabx-5
III.g8346,WBGene00037793,CBG18350
III.g8347,WBGene00037792,Cbr-mrpl-22
III.g8348,WBGene00037791,Cbr-lron-10
III.g8356,WBGene00037784,CBG18341
III.g8360,WBGene00037781,CBG18338
III.g8361,WBGene00037779,Cbr-orc-4
III.g8362,WBGene00037778,Cbr-orc-1
III.g8363,WBGene00037777,Cbr-dhs-11
III.g8364,WBGene00037776,CBG18333
III.g8365,WBGene00037774,CBG18331
III.g8367,WBGene00037773,Cbr-fmo-5
III.g8371,WBGene00037768,CBG18324
III.g8372,WBGene00037767,CBG18323
III.g8373,WBGene00037766,Cbr-tat-3
III.g8376,WBGene00037762,Cbr-rib-2
III.g8378,WBGene00037760,CBG18316
III.g8379,WBGene00037759,Cbr-hpl-2
III.g8383,WBGene00037756,Cbr-ptr-19
III.g8384,WBGene00037755,CBG18309
III.g8385,WBGene00037754,CBG18308
III.g8386,WBGene00037753,Cbr-klp-7
III.g8387,WBGene00037752,CBG18306
III.g8388,WBGene00037751,Cbr-sca-1
III.g8390,WBGene00037749,CBG18302
III.g8391,WBGene00037748,Cbr-pde-12
III.g8392,WBGene00037747,Cbr-hex-3
III.g8393,WBGene00087412,CBG25998
III.g8394,WBGene00037746,Cbr-oxi-1
III.g8396,WBGene00037744,Cbr-vps-50
III.g8399,WBGene00037741,CBG18294
III.g8400,WBGene00037740,Cbr-athp-1
III.g8401,WBGene00037739,Cbr-com-1
III.g8402,WBGene00037738,Cbr-unc-119
III.g8403,WBGene00037737,CBG18290
III.g8404,WBGene00037736,CBG18289
III.g8405,WBGene00037735,CBG18288
III.g8408,WBGene00037734,CBG18287
III.g8409,WBGene00037733,Cbr-lit-1
III.g8415,WBGene00037728,Cbr-tyr-2
III.g8416,WBGene00037727,Cbr-cut-6
III.g8417,WBGene00037726,CBG18276
III.g8418,WBGene00037725,CBG18275
III.g8419,WBGene00037724,CBG18274
III.g8420,WBGene00037723,Cbr-rle-1
III.g8421,WBGene00037722,Cbr-strd-1
III.g8422,WBGene00037721,Cbr-zig-5
III.g8424,WBGene00037720,CBG18270
III.g8425,WBGene00037719,CBG18269
III.g8427,WBGene00037717,Cbr-toca-2
III.g8428,WBGene00037716,Cbr-dbn-1
III.g8429,WBGene00037715,CBG18265
III.g8430,WBGene00037714,Cbr-cyk-4
III.g8436,WBGene00037708,Cbr-dhc-4
III.g8437,WBGene00037707,Cbr-act-5
III.g8438,WBGene00037706,CBG18255
III.g8442,WBGene00037703,Cbr-mlc-5
III.g8443,WBGene00037702,Cbr-taf-9
III.g8444,WBGene00037701,CBG18250
III.g8445,WBGene00037700,Cbr-arrd-17
III.g8446,WBGene00037699,Cbr-acbp-5
III.g8447,WBGene00270553,CBG30315
III.g8448,WBGene00037697,Cbr-drr-2
III.g8450,WBGene00037696,Cbr-set-16
III.g8451,WBGene00037695,Cbr-aqp-11
III.g8452,WBGene00037694,Cbr-flp-15
III.g8456,WBGene00037691,Cbr-osm-7
III.g8458,WBGene00037690,Cbr-twk-40
III.g8460,WBGene00037689,CBG18235
III.g8462,WBGene00037685,CBG18231
III.g8463,WBGene00037684,Cbr-exos-1
III.g8464,WBGene00037682,Cbr-kvs-4
III.g8467,WBGene00037681,CBG18226
III.g8468,WBGene00037680,CBG18225
III.g8494,WBGene00270503,CBG30265
III.g8500,WBGene00037653,Cbr-rars-1
III.g8501,WBGene00037652,Cbr-cee-1
III.g8504,WBGene00037649,CBG18184
III.g8505,WBGene00037648,Cbr-rom-1
III.g8507,WBGene00270498,CBG30260
III.g8508,WBGene00037646,CBG18181
III.g8509,WBGene00033969,Cbr-spat-2
III.g8513,WBGene00033971,Cbr-rsa-2
III.g8514,WBGene00033972,CBG13167
III.g8520,WBGene00033974,CBG13172
III.g8522,WBGene00033976,Cbr-snpc-3.2
III.g8527,WBGene00033980,CBG13180
III.g8529,WBGene00033982,Cbr-hmt-1
III.g8530,WBGene00033983,CBG13183
III.g8533,WBGene00087268,CBG25854
III.g8534,WBGene00033986,CBG13187
III.g8535,WBGene00033987,Cbr-tra-1
III.g8538,WBGene00033989,CBG13192
III.g8539,WBGene00033990,Cbr-tbx-38
III.g8545,WBGene00033994,CBG13199
III.g8549,WBGene00033998,Cbr-mcm-10
III.g8550,WBGene00033999,Cbr-teg-1
III.g8552,WBGene00034001,Cbr-smc-3
III.g8553,WBGene00034002,Cbr-mib-1
III.g8554,WBGene00034003,Cbr-gly-9
III.g8555,WBGene00034004,CBG13210
III.g8556,WBGene00271073,CBG30205
III.g8557,WBGene00034005,Cbr-obr-1
III.g8558,WBGene00034005,Cbr-obr-1
III.g8559,WBGene00034006,CBG13213
III.g8560,WBGene00087278,CBG25864
III.g8561,WBGene00034007,Cbr-rsks-1
III.g8562,WBGene00034008,Cbr-aakb-2
III.g8563,WBGene00034009,CBG13218
III.g8564,WBGene00034010,CBG13219
III.g8565,WBGene00034011,Cbr-tba-7
III.g8566,WBGene00034012,Cbr-srd-74
III.g8567,WBGene00271074,CBG30206
III.g8568,WBGene00034013,Cbr-mdt-21
III.g8569,WBGene00034014,Cbr-immp-1
III.g8570,WBGene00034015,Cbr-gbf-1
III.g8572,WBGene00034017,Cbr-mrt-2
III.g8574,WBGene00034020,CBG13229
III.g8575,WBGene00034021,CBG13230
III.g8586,WBGene00034031,Cbr-col-95
III.g8588,WBGene00034035,CBG13244
III.g8594,WBGene00034037,Cbr-crh-1
III.g8598,WBGene00034039,Cbr-gly-8
III.g8599,WBGene00034040,Cbr-gyg-2
III.g8600,WBGene00034041,CBG13254
III.g8601,WBGene00271076,CBG30208
III.g8602,WBGene00034042,CBG13256
III.g8606,WBGene00034045,CBG13259
III.g8607,WBGene00034046,CBG13260
III.g8608,WBGene00034047,CBG13261
III.g8609,WBGene00034048,CBG13262
III.g8610,WBGene00034049,CBG13263
III.g8611,WBGene00034050,Cbr-ztf-29
III.g8613,WBGene00034051,CBG13266
III.g8615,WBGene00034053,Cbr-nrps-1
III.g8616,WBGene00034054,Cbr-xpb-1
III.g8617,WBGene00087280,CBG25866
III.g8618,WBGene00034055,Cbr-such-1
III.g8619,WBGene00270501,CBG30263
III.g8620,WBGene00034056,Cbr-spe-6
III.g8621,WBGene00034057,CBG13274
III.g8622,WBGene00034058,Cbr-tin-10
III.g8624,WBGene00034060,Cbr-nars-2
III.g8628,WBGene00034063,Cbr-plr-1
III.g8629,WBGene00034064,Cbr-sbp-1
III.g8630,WBGene00034065,CBG13285
III.g8631,WBGene00034066,Cbr-twk-31
III.g8632,WBGene00034067,CBG13287
III.g8633,WBGene00034069,CBG13289
