"sex","species_AS","species_parents","logFC_F1_cis","logFC_parents","trans_effects","p.value","genes","type","chromosome"
"female","no DE","Cni",-0.665728734657683,1.60519560015039,"sig",0.00155826017766414,"II.g4605.t1__Cnig_chr_II.g4878.t1","trans only","II"
"female","no DE","Cbr",-0.0756272564011609,-1.51814686409595,"sig",0.0177935890426719,"II.g4607.t1__Cnig_chr_II.g4866.t1","trans only","II"
"female","no DE","no DE",0.00829054878870099,-0.725880076047316,"non sig",0.469310490561186,"II.g4609.t2__Cnig_chr_II.g4864.t2","conserved","II"
"female","no DE","Cbr",-0.100382991603777,-2.06923495939039,"sig",0.0112138876953426,"II.g4614.t1__Cnig_chr_II.g4854.t1","trans only","II"
"female","Cbr","Cbr",-0.513590692362158,-0.515204538110857,"non sig",0.982285573025533,"II.g4615.t1__Cnig_chr_II.g4853.t1","cis only","II"
"female","no DE","no DE",0.0158639396046959,0.394358466755265,"non sig",0.0594299829865048,"II.g4616.t2__Cnig_chr_II.g4852.t1","conserved","II"
"female","no DE","Cbr",0.00924566491870572,-0.575298846047409,"non sig",0.0812460904444163,"II.g4617.t1__Cnig_chr_II.g4851.t1","ambiguous","II"
"female","no DE","no DE",-0.0413283756857061,0.132819298629915,"non sig",0.486513290601616,"II.g4618.t1__Cnig_chr_II.g4850.t1","conserved","II"
"female","no DE","Cni",-0.0413857452117608,1.66663322507269,"sig",0.0296551984764788,"II.g4619.t2__Cnig_chr_II.g4849.t1","trans only","II"
"female","no DE","no DE",0.0386204605609941,0.285798689785189,"non sig",0.34261268142805,"II.g4620.t1__Cnig_chr_II.g4848.t1","conserved","II"
"female","no DE","Cbr",0.0560125575713452,-0.735218887132777,"sig",0.0209288431792413,"II.g4621.t1__Cnig_chr_II.g4847.t1","trans only","II"
"female","no DE","Cni",-0.139660390345527,1.34724140799234,"sig",0.00058868524539755,"II.g4623.t2__Cnig_chr_II.g4843.t1","trans only","II"
"female","no DE","no DE",-0.00824021447620306,-0.227370730918847,"non sig",0.564013235232688,"II.g4624.t1__Cnig_chr_II.g4842.t1","conserved","II"
"female","no DE","Cni",0.0317440182707416,0.61893873479546,"non sig",0.0577250935044481,"II.g4625.t1__Cnig_chr_II.g4841.t1","ambiguous","II"
"female","no DE","Cni",0.0931631328361309,1.87575398725073,"sig",0.0139240657078677,"II.g4626.t1__Cnig_chr_II.g4840.t1","trans only","II"
"female","no DE","no DE",0.0185584195914404,0.0768823704943908,"non sig",0.759516313990458,"II.g4627.t1__Cnig_chr_II.g4838.t1","conserved","II"
"female","no DE","no DE",0.00754392316768796,0.201462282318022,"non sig",0.566961094379809,"II.g4628.t1__Cnig_chr_II.g4837.t1","conserved","II"
"female","no DE","Cni",-0.235486751645753,5.22773596898171,"sig",0.000415859308715467,"II.g4629.t1__Cnig_chr_II.g4836.t1","trans only","II"
"female","Cni","Cni",0.923051624052777,1.81872969576764,"sig",0.000281421844276071,"II.g4631.t2__Cnig_chr_II.g4835.t4","cis-trans (enhancing)","II"
"female","no DE","Cbr",0.312139761634008,-1.23030908022388,"sig",0.000168986901862054,"II.g4632.t2__Cnig_chr_II.g4834.t1","trans only","II"
"female","no DE","no DE",-0.121753438541935,0.250087917623396,"non sig",0.305264724985002,"II.g4633.t1__Cnig_chr_II.g4832.t1","conserved","II"
"female","no DE","no DE",-0.189032008652317,0.215889763585766,"non sig",0.303501133631656,"II.g4634.t2__Cnig_chr_II.g4831.t1","conserved","II"
"female","no DE","Cbr",0.00829054878870099,-5.55389653211905,"sig",0.000401380688492088,"II.g4635.t1__Cnig_chr_II.g4830.t1","trans only","II"
"female","no DE","Cni",-0.547051843544306,4.41703958099891,"sig",0.000484170230046498,"II.g4637.t2__Cnig_chr_II.g4828.t1","trans only","II"
"female","no DE","no DE",0.00829054878870099,0.789493550426151,"non sig",0.378705268172534,"II.g4642.t1__Cnig_chr_II.g4824.t1","conserved","II"
"female","no DE","Cni",-0.291562289957148,4.72518499912606,"sig",0.000166953551874855,"II.g4647.t1__Cnig_chr_II.g5042.t1","trans only","II"
"female","no DE","Cbr",-0.271783973639659,-1.9156981967761,"sig",0.00729296687056784,"II.g4649.t1__Cnig_chr_II.g5040.t1","trans only","II"
"female","no DE","Cbr",0.00686809919837411,-1.72782315864252,"non sig",0.168932536531139,"II.g4650.t1__Cnig_chr_II.g5039.t1","ambiguous","II"
"female","no DE","no DE",0.0404024199897008,0.575758955190645,"non sig",0.125159356583679,"II.g4651.t1__Cnig_chr_II.g5038.t2","conserved","II"
"female","no DE","Cni",0.0319301323339169,1.35883047923677,"sig",0.00350442936320198,"II.g4652.t1__Cnig_chr_II.g5037.t1","trans only","II"
"female","Cni","no DE",0.317797904202039,0.298616202936584,"non sig",0.902875972208238,"II.g4653.t1__Cnig_chr_II.g5036.t1","ambiguous","II"
"female","no DE","Cni",-0.487882016741481,5.36686871365313,"sig",8.81307010790442e-05,"II.g4654.t1__Cnig_chr_II.g5031.t1","trans only","II"
"female","no DE","Cni",-0.218148523538751,4.7801818007387,"sig",5.76694893230256e-05,"II.g4655.t2__Cnig_chr_II.g5030.t1","trans only","II"
"female","no DE","Cni",0.00879889028406621,4.76963067337758,"sig",5.83941257079886e-05,"II.g4657.t1__Cnig_chr_II.g5026.t1","trans only","II"
"female","no DE","Cni",0.00611175567472318,5.31779052113707,"sig",0.0177438708133836,"II.g4658.t1__Cnig_chr_II.g5025.t1","trans only","II"
"female","no DE","no DE",-0.930942298707317,0.937286887693506,"non sig",0.11232993050522,"II.g4659.t1__Cnig_chr_II.g5024.t1","conserved","II"
"female","no DE","Cbr",0.09600154902596,-5.91366573162436,"sig",0.000431304860398496,"II.g4661.t1__Cnig_chr_II.g5023.t1","trans only","II"
"female","Cbr","no DE",-2.42014484540772,1.51704725176801,"sig",0.0300331669750252,"II.g4662.t1__Cnig_chr_II.g5022.t2","cis-trans (compensatory)","II"
"female","no DE","Cni",-0.0781661327118916,0.601772720700817,"sig",0.00479091638123865,"II.g4663.t2__Cnig_chr_II.g5021.t1","trans only","II"
"female","no DE","no DE",-0.207333789911871,0.397973585061393,"sig",0.0127437867965599,"II.g4665.t1__Cnig_chr_II.g5016.t1","ambiguous","II"
"female","Cni","Cni",0.606673869811067,1.89866941860741,"sig",0.0120211696958812,"II.g4666.t1__Cnig_chr_II.g5015.t1","cis-trans (enhancing)","II"
"female","no DE","Cni",0.058327035984959,1.17766166641792,"sig",0.0178698359575547,"II.g4668.t1__Cnig_chr_II.g5014.t1","trans only","II"
"female","Cbr","Cbr",-2.98453364399159,-1.70716537657208,"non sig",0.0617300080284271,"II.g4669.t3__Cnig_chr_II.g5013.t1","cis only","II"
"female","no DE","no DE",-0.262406686961044,-0.816857382418796,"non sig",0.198713313965579,"II.g4670.t1__Cnig_chr_II.g5012.t1","conserved","II"
"female","no DE","Cni",0.00856141158476619,4.39839022451287,"sig",0.000145367285697702,"II.g4671.t1__Cnig_chr_II.g5011.t1","trans only","II"
"female","no DE","no DE",0.00829054878870099,0.834549400514638,"non sig",0.524842685706132,"II.g4673.t1__Cnig_chr_II.g5010.t1","conserved","II"
"female","no DE","no DE",0.175532643516322,0.584911267298544,"non sig",0.346117088091135,"II.g4674.t1__Cnig_chr_II.g5009.t1","conserved","II"
"female","no DE","Cbr",0.00829054878870099,-3.72181129705729,"sig",0.00638287371989635,"II.g4675.t2__Cnig_chr_II.g5008.t1","trans only","II"
"female","Cbr","Cni",-4.39764975262513,2.64457726975248,"sig",1.95392381947557e-05,"II.g4677.t1__Cnig_chr_II.g5006.t1","cis-trans (compensatory)","II"
"female","no DE","Cbr",0.00829054878870099,-3.10811580898557,"non sig",0.0515866522567584,"II.g4680.t2__Cnig_chr_II.g5001.t1","ambiguous","II"
"female","no DE","no DE",0.387041272274014,0.330947579068522,"non sig",0.734620350770193,"II.g4682.t1__Cnig_chr_II.g4999.t1","conserved","II"
"female","no DE","Cni",-0.0206326538139651,2.27917943216667,"sig",0.0107104727144582,"II.g4685.t3__Cnig_chr_II.g4997.t3","trans only","II"
"female","no DE","no DE",-0.0360138817029913,0.266130219930939,"non sig",0.295791152648831,"II.g4686.t1__Cnig_chr_II.g4995.t2","conserved","II"
"female","no DE","Cbr",-0.154096491296621,-2.21825991962546,"sig",9.70029095943969e-05,"II.g4687.t1__Cnig_chr_II.g4994.t1","trans only","II"
"female","no DE","no DE",-0.653311866038281,0.564281938546458,"non sig",0.401107922645197,"II.g4688.t1__Cnig_chr_II.g4993.t1","conserved","II"
"female","Cbr","Cbr",-0.226047455827859,-0.91491439018202,"sig",0.00199206902623641,"II.g4696.t2__Cnig_chr_II.g4969.t2","cis-trans (enhancing)","II"
"female","no DE","Cbr",0.0110878124077322,-0.441160166772664,"sig",0.0303118340608737,"II.g4697.t1__Cnig_chr_II.g4967.t1","trans only","II"
"female","no DE","no DE",-0.141294582060493,-0.210906105194313,"non sig",0.826306246370058,"II.g4698.t1__Cnig_chr_II.g4966.t2","conserved","II"
"female","no DE","Cbr",-0.0819579995173836,-0.516069053343698,"non sig",0.0641607658697234,"II.g4699.t1__Cnig_chr_II.g4965.t1","ambiguous","II"
"female","no DE","Cni",0.0187011708016646,0.771252736192492,"sig",0.0212157577145565,"II.g4700.t1__Cnig_chr_II.g4964.t1","trans only","II"
"female","Cni","Cni",1.09358760562938,0.958767365938209,"non sig",0.427936250205593,"II.g4701.t1__Cnig_chr_II.g4963.t2","cis only","II"
"female","Cni","Cni",0.549706396170886,1.35203456710779,"sig",0.0254022674676998,"II.g4703.t1__Cnig_chr_II.g4962.t1","cis-trans (enhancing)","II"
"female","no DE","no DE",0.0364919033591111,0.267890467055937,"non sig",0.617922543322238,"II.g4704.t2__Cnig_chr_II.g4961.t3","conserved","II"
"female","no DE","no DE",-0.0256117241793887,0.167257264926285,"non sig",0.707490831082952,"II.g4705.t3__Cnig_chr_II.g4958.t1","conserved","II"
"female","Cni","no DE",1.60507134717853,0.757271630584309,"non sig",0.337607791793371,"II.g4706.t1__Cnig_chr_II.g4959.t2","ambiguous","II"
"female","no DE","Cni",-0.493507594469554,1.51354557271776,"sig",0.0397347635821613,"II.g4707.t1__Cnig_chr_II.g4956.t1","trans only","II"
"female","no DE","Cni",-0.0121296808073045,3.99381333593893,"sig",0.000338526778548922,"II.g4714.t1__Cnig_chr_II.g4953.t1","trans only","II"
"female","no DE","Cni",0.000929206303735193,0.684776669381616,"sig",0.00768930860412078,"II.g4715.t2__Cnig_chr_II.g4952.t3","trans only","II"
"female","no DE","Cni",-0.0340658861358448,0.828908532420053,"sig",0.000854122110269932,"II.g4716.t3__Cnig_chr_II.g4951.t1","trans only","II"
"female","no DE","no DE",-0.493507594469554,-1.00600227548937,"non sig",0.633560932920802,"II.g4717.t2__Cnig_chr_II.g4950.t1","conserved","II"
"female","no DE","Cni",0.355492428733952,0.46141168075031,"non sig",0.715357667531835,"II.g4719.t1__Cnig_chr_II.g4949.t1","ambiguous","II"
"female","no DE","Cni",-0.456240656924573,3.76746196418859,"sig",0.00162702169070595,"II.g4720.t1__Cnig_chr_II.g4948.t1","trans only","II"
"female","no DE","Cbr",0.00773411587607688,-2.80717311045735,"sig",0.000282922271207603,"II.g4721.t2__Cnig_chr_II.g4947.t3","trans only","II"
"female","no DE","Cni",0.00630722429750936,1.70045959997452,"sig",0.000123374907785199,"II.g4723.t3__Cnig_chr_II.g4941.t2","trans only","II"
"female","Cbr","Cbr",-3.17786605570699,-4.54244133894369,"non sig",0.193157310216026,"II.g4724.t2__Cnig_chr_II.g4931.t1","cis only","II"
"female","no DE","no DE",0.0879597359405193,0.323275491724463,"non sig",0.134013332529525,"II.g4725.t1__Cnig_chr_II.g5044.t1","conserved","II"
"female","no DE","no DE",0.0122855033309502,-0.117196811751712,"non sig",0.624138079818571,"II.g4726.t1__Cnig_chr_II.g5045.t1","conserved","II"
"female","no DE","Cni",0.0501475440027747,1.05078616191889,"sig",0.0041879893061252,"II.g4727.t1__Cnig_chr_II.g5046.t1","trans only","II"
"female","no DE","Cni",-0.0455857859389548,1.58791828402558,"sig",0.00680173989383875,"II.g4729.t1__Cnig_chr_II.g5049.t4","trans only","II"
"female","no DE","Cbr",0.0109645714342304,-0.413517561460735,"sig",0.00274754675917359,"II.g4730.t1__Cnig_chr_II.g5050.t2","trans only","II"
"female","Cbr","Cni",-0.49431283812161,1.68406065429063,"sig",0.000147089301903572,"II.g4736.t2__Cnig_chr_II.g5054.t1","cis-trans (compensatory)","II"
"female","no DE","Cni",-0.121659260112995,1.383737333337,"sig",0.0426219723562538,"II.g4738.t1__Cnig_chr_II.g5056.t1","trans only","II"
"female","no DE","Cni",-0.210513520206977,3.77528760151668,"sig",0.00254874927576293,"II.g4739.t1__Cnig_chr_II.g5057.t1","trans only","II"
"female","no DE","Cbr",0.00796680654512436,-0.607147436136737,"sig",0.000789243336134743,"II.g4740.t1__Cnig_chr_II.g5059.t1","trans only","II"
"female","no DE","Cbr",0.0521613377120023,-0.988654458890604,"sig",0.000412374782039363,"II.g4741.t1__Cnig_chr_II.g5060.t1","trans only","II"
"female","no DE","Cbr",-0.493507594469554,-5.59517922349023,"sig",0.00104882174135625,"II.g4742.t1__Cnig_chr_II.g5061.t1","trans only","II"
"female","no DE","no DE",-0.740956890099296,-0.467456947875072,"non sig",0.646075916996843,"II.g4744.t2__Cnig_chr_II.g5063.t1","conserved","II"
"female","no DE","Cni",-0.048468766047585,1.32805040326767,"sig",0.000865763148203271,"II.g4745.t2__Cnig_chr_II.g5064.t4","trans only","II"
"female","no DE","Cni",-0.0232114705932204,5.34006320450119,"sig",1.73241356161648e-05,"II.g4746.t1__Cnig_chr_II.g5065.t1","trans only","II"
"female","no DE","Cbr",-0.493507594469554,-1.40575316894471,"non sig",0.287118441381101,"II.g4749.t1__Cnig_chr_II.g5068.t1","ambiguous","II"
"female","no DE","Cbr",0.390560026236763,-5.79509386789251,"sig",0.00159765883452897,"II.g4750.t1__Cnig_chr_II.g5071.t1","trans only","II"
"female","no DE","Cbr",-0.0704763877687612,-3.36510194812637,"sig",0.00778937949648679,"II.g4752.t1__Cnig_chr_II.g5072.t2","trans only","II"
"female","no DE","Cbr",0.0565372884993543,-3.57450012113112,"sig",0.000311395034253839,"II.g4753.t1__Cnig_chr_II.g5073.t2","trans only","II"
"female","no DE","Cbr",1.5021928959907,-2.88004150559036,"sig",0.00835034307938825,"II.g4755.t1__Cnig_chr_II.g5076.t3","trans only","II"
"female","no DE","Cni",-0.256453294532929,0.767908801104706,"non sig",0.130826688505256,"II.g4756.t1__Cnig_chr_II.g5078.t1","ambiguous","II"
"female","no DE","Cni",-0.0760517475472649,1.4677201417861,"sig",0.00011928739609871,"II.g4757.t1__Cnig_chr_II.g5079.t1","trans only","II"
"female","no DE","no DE",-0.0304402294609858,0.0152272151917303,"non sig",0.74423887403217,"II.g4758.t2__Cnig_chr_II.g5080.t1","conserved","II"
"female","no DE","no DE",0.17409517361251,0.513493215847096,"non sig",0.472378723168504,"II.g4765.t1__Cnig_chr_II.g5085.t1","conserved","II"
"female","no DE","no DE",1.29193280537836,-0.18050128071208,"non sig",0.0548179346602345,"II.g4766.t1__Cnig_chr_II.g5086.t2","conserved","II"
"female","no DE","no DE",0.00555208369751346,0.357695866937765,"non sig",0.165360864223442,"II.g4767.t1__Cnig_chr_II.g5087.t1","conserved","II"
"female","no DE","Cbr",0.0492095457722628,-0.82854548641914,"non sig",0.128242056122242,"II.g4768.t1__Cnig_chr_II.g5088.t1","ambiguous","II"
"female","no DE","no DE",0.00769522407858896,-0.43683339727251,"non sig",0.0816907958230495,"II.g4769.t1__Cnig_chr_II.g5089.t1","conserved","II"
"female","no DE","no DE",-0.27729164125001,0.116722050591382,"non sig",0.403264056414652,"II.g4770.t2__Cnig_chr_II.g5090.t1","conserved","II"
"female","Cbr","Cni",-0.929579363731405,2.91156643228396,"sig",0.000114408983320265,"II.g4771.t1__Cnig_chr_II.g5091.t1","cis-trans (compensatory)","II"
"female","no DE","no DE",-0.0898362203993128,0.077722147065325,"non sig",0.372424466918175,"II.g4772.t1__Cnig_chr_II.g5093.t1","conserved","II"
"female","no DE","no DE",-0.0571759683531998,-0.125698087584681,"non sig",0.832686376595858,"II.g4773.t1__Cnig_chr_II.g5094.t1","conserved","II"
"female","no DE","no DE",0.0546327703517593,0.286715083941285,"non sig",0.181842479540211,"II.g4775.t1__Cnig_chr_II.g5097.t2","conserved","II"
"female","no DE","Cni",0.00772240305271452,0.541128756951194,"sig",0.0470818634514251,"II.g4776.t1__Cnig_chr_II.g5098.t2","trans only","II"
"female","no DE","no DE",-0.0698043712402053,0.0187220600779671,"non sig",0.686066742963267,"II.g4778.t1__Cnig_chr_II.g5099.t1","conserved","II"
"female","no DE","no DE",0.0212206908581706,-0.178811684630192,"non sig",0.279845807253789,"II.g4779.t1__Cnig_chr_II.g5100.t1","conserved","II"
"female","no DE","Cbr",-0.00869091813107268,-0.957268325011642,"sig",0.0193839419209454,"II.g4780.t1__Cnig_chr_II.g5101.t1","trans only","II"
"female","Cbr","Cbr",-1.29707786861156,-2.19750789735341,"sig",0.00310549006121896,"II.g4781.t1__Cnig_chr_II.g5102.t1","cis-trans (enhancing)","II"
"female","no DE","Cbr",-0.15046192069195,-0.735417437239409,"sig",0.00986305351122472,"II.g4786.t1__Cnig_chr_II.g5123.t1","trans only","II"
"female","Cni","Cni",2.50404317648457,4.10883324270697,"sig",0.0115659450778501,"II.g4789.t1__Cnig_chr_II.g5122.t1","cis-trans (enhancing)","II"
"female","Cbr","Cbr",-1.45319337305948,-1.05875159711024,"non sig",0.127437077120116,"II.g4793.t1__Cnig_chr_II.g5128.t1","cis only","II"
"female","no DE","Cbr",-0.380826257132838,-1.95797140706429,"non sig",0.388845164023106,"II.g4794.t1__Cnig_chr_II.g5129.t1","ambiguous","II"
"female","no DE","Cni",-0.115877393441581,0.759276651124373,"non sig",0.0803904706891052,"II.g4795.t3__Cnig_chr_II.g5130.t1","ambiguous","II"
"female","no DE","Cni",-0.00528485557646493,1.26239089939916,"non sig",0.10021195232027,"II.g4796.t1__Cnig_chr_II.g5131.t3","ambiguous","II"
"female","no DE","Cbr",0.128230620020116,-1.4777267261646,"sig",4.26925593114995e-05,"II.g4799.t1__Cnig_chr_II.g5136.t2","trans only","II"
"female","no DE","Cbr",0.0370761458338302,-2.29909628874116,"sig",1.95616204508089e-05,"II.g4800.t2__Cnig_chr_II.g5137.t3","trans only","II"
"female","no DE","Cbr",0.0147500355005554,-0.453612712878349,"non sig",0.0788053600541098,"II.g4802.t1__Cnig_chr_II.g5140.t1","ambiguous","II"
"female","no DE","Cbr",0.014971935994341,-0.448324468458533,"sig",0.00752344410869981,"II.g4803.t1__Cnig_chr_II.g5141.t1","trans only","II"
"female","Cni","Cni",1.74494615761209,4.98436883958464,"sig",0.00205240663296901,"II.g4804.t1__Cnig_chr_II.g5142.t2","cis-trans (enhancing)","II"
"female","no DE","Cni",-0.00267247921749935,1.14044548286055,"non sig",0.118111128128936,"II.g4808.t1__Cnig_chr_II.g5148.t3","ambiguous","II"
"female","no DE","Cbr",0.00744349123233415,-3.23018172965776,"sig",0.0302366475090836,"II.g4809.t1__Cnig_chr_II.g5149.t2","trans only","II"
"female","no DE","no DE",-0.862943803228385,0.155280012775868,"non sig",0.170287637971831,"II.g4810.t1__Cnig_chr_II.g5150.t1","conserved","II"
"female","Cbr","Cbr",-1.38447162516914,-1.00395543193929,"non sig",0.2526962144547,"II.g4811.t1__Cnig_chr_II.g5152.t1","cis only","II"
"female","no DE","Cni",-0.283810455373626,2.29304155744898,"sig",0.00078447198313181,"II.g4812.t2__Cnig_chr_II.g5153.t1","trans only","II"
"female","Cni","Cni",1.08633824143413,1.42682931997711,"non sig",0.229360650405503,"II.g4814.t1__Cnig_chr_II.g5158.t1","cis only","II"
"female","no DE","Cni",-0.00227807635546847,2.07871948394625,"sig",0.000994740368289097,"II.g4815.t3__Cnig_chr_II.g5157.t1","trans only","II"
"female","no DE","Cni",-0.0600568910160094,4.33117290005708,"sig",7.19855706711047e-05,"II.g4816.t1__Cnig_chr_II.g5156.t1","trans only","II"
"female","no DE","no DE",-0.102345653662573,0.319965289511669,"non sig",0.124776100474124,"II.g4817.t1__Cnig_chr_II.g5159.t1","conserved","II"
"female","no DE","Cbr",0.165584745238195,-1.52507234097688,"sig",0.000391278116799843,"II.g4818.t1__Cnig_chr_II.g5162.t1","trans only","II"
"female","no DE","Cni",-0.00759877686957915,0.749013651891641,"sig",0.0140730415227151,"II.g4819.t2__Cnig_chr_II.g5163.t1","trans only","II"
"female","no DE","Cni",0.255418660548021,1.6946558716481,"non sig",0.120706445842657,"II.g4820.t1__Cnig_chr_II.g5164.t1","ambiguous","II"
"female","no DE","Cbr",-0.14064826122027,-1.51774355793305,"sig",0.00184421190889179,"II.g4822.t1__Cnig_chr_II.g5165.t1","trans only","II"
"female","no DE","no DE",-0.170735412763005,-0.351746083146066,"non sig",0.572574185804905,"II.g4823.t1__Cnig_chr_II.g5166.t2","conserved","II"
"female","no DE","Cni",-0.0771704784807287,1.16554054330625,"non sig",0.139940067044218,"II.g4824.t1__Cnig_chr_II.g5167.t2","ambiguous","II"
"female","no DE","Cni",0.00879685969987192,5.99170568094183,"sig",0.000986259759915221,"II.g4826.t1__Cnig_chr_II.g5169.t1","trans only","II"
"female","no DE","Cni",0.00824148096597923,6.13948999004507,"sig",0.000145367285697702,"II.g4828.t1__Cnig_chr_II.g5170.t2","trans only","II"
"female","Cni","Cni",2.57975739622737,2.19313435801407,"non sig",0.0812055868648143,"II.g4831.t2__Cnig_chr_II.g5172.t3","cis only","II"
"female","no DE","Cbr",-0.0436557716423595,-1.44170106132795,"sig",0.00221828807181273,"II.g4833.t1__Cnig_chr_II.g5173.t2","trans only","II"
"female","no DE","Cbr",-0.111590089377808,-1.79923866903442,"sig",6.40750587963143e-05,"II.g4834.t1__Cnig_chr_II.g5174.t1","trans only","II"
"female","no DE","no DE",-0.0197260121414632,-0.154504075712451,"non sig",0.509997364412604,"II.g4835.t1__Cnig_chr_II.g5175.t1","conserved","II"
"female","Cbr","Cni",-2.39269906977413,1.5976176015003,"sig",5.22544270022594e-05,"II.g4836.t1__Cnig_chr_II.g5176.t1","cis-trans (compensatory)","II"
"female","no DE","no DE",0.0587353413494589,0.0311527220108129,"non sig",0.842274238239389,"II.g4838.t1__Cnig_chr_II.g5178.t1","conserved","II"
"female","no DE","Cbr",-0.124993173238127,-1.45526878660143,"sig",2.06334085133339e-05,"II.g4839.t1__Cnig_chr_II.g5179.t1","trans only","II"
"female","no DE","Cbr",-0.364195139776308,-2.33681570303534,"non sig",0.0925075061860009,"II.g4840.t1__Cnig_chr_II.g5180.t1","ambiguous","II"
"female","no DE","Cbr",-0.286928943349648,-5.17985823827262,"sig",0.0025806445284269,"II.g4842.t1__Cnig_chr_II.g5181.t1","trans only","II"
"female","no DE","Cbr",-0.328656547345767,-1.4365270107144,"sig",0.0472491505218418,"II.g4843.t2__Cnig_chr_II.g5182.t1","trans only","II"
"female","no DE","no DE",-0.481327646440504,-0.366363869593767,"non sig",0.81760023368674,"II.g4848.t1__Cnig_chr_II.g5185.t1","conserved","II"
"female","no DE","no DE",0.00686809919837411,0.147945642152676,"non sig",0.906833416309003,"II.g4849.t1__Cnig_chr_II.g5186.t2","conserved","II"
"female","no DE","Cbr",0.0242129406626701,-0.497287687793377,"sig",0.00634527223436685,"II.g4850.t1__Cnig_chr_II.g5187.t1","trans only","II"
"female","Cbr","Cbr",-4.01745482743312,-1.96821795560678,"sig",0.000798465165048784,"II.g4852.t3__Cnig_chr_II.g5190.t2","cis-trans (enhancing)","II"
"female","no DE","Cni",-0.0679404017781867,8.85132005176434,"sig",1.27976101206468e-06,"II.g4853.t1__Cnig_chr_II.g5191.t1","trans only","II"
"female","no DE","Cbr",0.000988723376859481,-0.885732016739298,"sig",0.00304458347538235,"II.g4854.t2__Cnig_chr_II.g5193.t1","trans only","II"
"female","no DE","Cbr",0.56221049153138,-3.97466398380811,"sig",0.000305028311578095,"II.g4855.t2__Cnig_chr_II.g5194.t1","trans only","II"
"female","no DE","Cbr",-0.10819051721731,-5.99455089884914,"sig",5.44943987486261e-06,"II.g4856.t1__Cnig_chr_II.g5195.t1","trans only","II"
"female","Cni","Cni",1.11189677043917,2.76725521192122,"sig",0.00288212513104816,"II.g4858.t1__Cnig_chr_II.g5197.t1","cis-trans (enhancing)","II"
"female","Cni","Cni",0.602464218533508,0.635163569140456,"non sig",0.973385913064969,"II.g4859.t3__Cnig_chr_II.g5198.t2","cis only","II"
"female","no DE","Cbr",-0.0246288664007916,-1.01699462764761,"sig",0.00159129236757514,"II.g4860.t1__Cnig_chr_II.g5199.t1","trans only","II"
"female","no DE","no DE",0.00829054878870099,0.26453302506784,"non sig",0.69399961996283,"II.g4862.t2__Cnig_chr_II.g5200.t1","conserved","II"
"female","no DE","Cbr",-0.368598483300342,-6.56960935647406,"sig",0.00708530511268902,"II.g4863.t1__Cnig_chr_II.g5201.t1","trans only","II"
"female","no DE","Cni",-0.0269852250479397,0.993626245865215,"sig",0.00216401622288687,"II.g4864.t1__Cnig_chr_II.g5202.t1","trans only","II"
"female","no DE","no DE",0.0398384143266567,-0.0973959262813698,"non sig",0.600809336296091,"II.g4867.t1__Cnig_chr_II.g5204.t4","conserved","II"
"female","no DE","no DE",-0.151865764640864,0.358541441365545,"non sig",0.191790223205846,"II.g4868.t1__Cnig_chr_II.g5203.t2","conserved","II"
"female","no DE","no DE",0.0442312467640895,0.239627559818705,"non sig",0.284010440029853,"II.g4870.t1__Cnig_chr_II.g5205.t5","conserved","II"
"female","no DE","Cni",0.17405783494012,2.41414893462732,"sig",0.000728005851469929,"II.g4871.t1__Cnig_chr_II.g5206.t1","trans only","II"
"female","no DE","Cbr",0.00278662109625035,-3.19916990827866,"sig",0.00154729291773507,"II.g4873.t1__Cnig_chr_II.g5210.t1","trans only","II"
"female","no DE","no DE",0.0335021442152865,-0.767194076810534,"non sig",0.306603877980346,"II.g4875.t1__Cnig_chr_II.g5213.t1","conserved","II"
"female","no DE","Cni",0.150085089815704,0.797666383093181,"sig",0.0225410004727707,"II.g4876.t1__Cnig_chr_II.g5214.t1","trans only","II"
"female","no DE","Cni",0.0365316137249555,0.784685825916357,"sig",0.00309718009538093,"II.g4878.t1__Cnig_chr_II.g5215.t1","trans only","II"
"female","no DE","Cni",0.0244462726495879,0.421306052900213,"sig",0.00475887167504963,"II.g4879.t1__Cnig_chr_II.g5216.t1","trans only","II"
"female","no DE","Cbr",-0.0147074136313995,-1.02593038303995,"sig",4.71055931354957e-05,"II.g4880.t1__Cnig_chr_II.g5217.t2","trans only","II"
"female","no DE","Cni",0.101000093888572,1.65645728179062,"sig",1.73706099400475e-05,"II.g4881.t1__Cnig_chr_II.g5218.t1","trans only","II"
"female","no DE","no DE",-0.0061550964143123,-0.027904922313225,"non sig",0.88640208941448,"II.g4882.t2__Cnig_chr_II.g5219.t2","conserved","II"
"female","no DE","Cbr",-0.00713734370485702,-1.45323560316865,"sig",0.00320101170348183,"II.g4883.t1__Cnig_chr_II.g5220.t1","trans only","II"
"female","no DE","Cni",0.00748105885767906,0.590928078520664,"sig",0.00393814326801145,"II.g4884.t1__Cnig_chr_II.g5221.t1","trans only","II"
"female","no DE","no DE",-0.0667847984695776,-0.247445909126796,"non sig",0.693970102324725,"II.g4885.t1__Cnig_chr_II.g5223.t1","conserved","II"
"female","no DE","Cbr",0.00773711645045317,-0.595776370991913,"sig",0.015993380618245,"II.g4886.t2__Cnig_chr_II.g5224.t1","trans only","II"
"female","no DE","no DE",0.128238156629654,-0.152310647792265,"non sig",0.283758803197357,"II.g4887.t1__Cnig_chr_II.g5225.t2","conserved","II"
